REGIAO:;CO
UF:;DF
ESTACAO:;PARANOA (COOPA-DF)
CODIGO (WMO):;A047
LATITUDE:;-16,012222
LONGITUDE:;-47,557417
ALTITUDE:;1043
DATA DE FUNDACAO:;07/02/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;0;900,1;900,1;899,8;;20;19,3;20;19,6;19,3;18,8;96;94;96;212;3;1,2;
2023/01/01;0300 UTC;0;900,4;900,6;900;;19,7;18,9;20;19,5;19,3;18,9;96;95;95;86;7,4;5;
2023/01/01;0400 UTC;0;899,6;900,4;899,5;;18,7;17,9;19,7;18,7;19;17,9;96;95;95;79;7,4;3,3;
2023/01/01;0500 UTC;0;898,6;899,6;898,6;;17,6;16,7;18,7;17,5;17,9;16,5;95;92;94;102;6,7;1,8;
2023/01/01;0600 UTC;0;898,4;898,8;898,3;;17,7;17;17,8;17,4;17,2;16,6;96;94;96;91;3,2;1,9;
2023/01/01;0700 UTC;0;898,4;898,4;898,2;;17,6;17,2;17,7;17,5;17,3;17;98;96;98;57;3,2;1,3;
2023/01/01;0800 UTC;0;898,6;898,6;898,4;;17,9;17,6;18;17,6;17,6;17,2;98;97;98;49;3,3;2,2;
2023/01/01;0900 UTC;0;899,2;899,2;898,6;5,2;18,1;17,8;18,1;17,9;17,9;17,6;99;98;99;66;3,5;2;
2023/01/01;1000 UTC;0;900,1;900,1;899,2;180,7;18,7;18,5;18,7;18,1;18,5;17,9;99;99;99;76;5,2;3,2;
2023/01/01;1100 UTC;0;900,5;900,5;900,1;455,5;19;18,9;19,1;18,6;19;18,4;99;99;99;49;5,6;3;
2023/01/01;1200 UTC;0;900,9;900,9;900,4;780,4;20,7;19,9;20,7;19;19,9;18,8;99;95;95;56;5,4;3,2;
2023/01/01;1300 UTC;0;900,8;901;900,7;2543,5;23,1;19,5;23,7;20,7;20,2;19,2;95;78;80;44;6,7;3,2;
2023/01/01;1400 UTC;0;900,3;900,7;900,3;3291,6;24,5;18,8;24,9;23;20,3;18,8;81;70;71;56;7,3;3,8;
2023/01/01;1500 UTC;0;899,7;900,3;899,7;3692,9;26;18,9;26,2;24,2;20;18,6;74;65;65;43;7,5;3,2;
2023/01/01;1600 UTC;0;899;899,7;899;3299,2;26,5;18,3;27,2;25;19,5;17,9;70;58;61;46;7;3,5;
2023/01/01;1700 UTC;0;898,2;899;898,2;3864,6;27,5;18,1;27,8;25,9;18,7;16,9;62;53;57;47;7,2;3,2;
2023/01/01;1800 UTC;0;897,5;898,2;897,5;3276,3;27,1;18,4;28,1;26,6;18,9;17,5;60;54;59;57;6,9;2,4;
