REGIAO:;CO
UF:;GO
ESTACAO:;JATAI
CODIGO (WMO):;A016
LATITUDE:;-17,923622
LONGITUDE:;-51,717467
ALTITUDE:;670,08
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;938,3;938,3;937,5;;24,6;20,6;24,8;24,2;22,5;20,6;90;79;79;27;1,9;,2;
2023/01/01;0100 UTC;0;939;939;938,3;;23,7;20,8;24,7;23,7;20,8;20,5;83;78;83;29;3,2;1,1;
2023/01/01;0200 UTC;0;939,2;939,3;939;;23;19,9;23,8;23;20,8;19,9;83;81;83;34;5,3;,1;
2023/01/01;0300 UTC;0;938,3;939,2;938,3;;22,5;20;23;22,3;20;19,8;86;83;86;342;3,4;1,6;
2023/01/01;0400 UTC;0;937,9;938,3;937,9;;22,1;19,8;22,6;22,1;20;19,8;88;85;87;331;3,7;,8;
2023/01/01;0500 UTC;0;937,5;937,9;937,5;;21,2;19,4;22,1;21,2;19,8;19,2;89;86;89;71;2,1;0;
2023/01/01;0600 UTC;0;937,1;937,5;937;;21,5;19,1;21,7;21,2;19,7;19,1;90;86;86;333;3,4;1;
2023/01/01;0700 UTC;0;937,4;937,5;937;;20,9;19,3;21,5;20,8;19,3;19;91;86;91;286;2,7;,3;
2023/01/01;0800 UTC;0;937,9;937,9;937,4;;20,1;18,9;20,9;20;19,4;18,8;93;91;93;203;1,3;0;
2023/01/01;0900 UTC;0;938;938;937,9;2,9;19,8;18,7;20,2;19,8;19,1;18,7;94;93;94;14;,6;0;
2023/01/01;1000 UTC;0;938,4;938,4;938;345,8;21,5;19,7;21,5;19,7;19,8;18,7;95;89;89;264;1,3;,1;
2023/01/01;1100 UTC;0;939,2;939,2;938,4;1212,2;24,7;20,2;24,7;21,5;20,3;19,6;90;76;76;318;2,7;,9;
2023/01/01;1200 UTC;0;939,4;939,4;939,2;2300,9;27,1;20,4;27,1;24,7;21,5;19,9;77;66;67;360;5,6;2,1;
2023/01/01;1300 UTC;0;939,2;939,5;939,1;2750,1;28,5;20,9;28,9;26,7;21,6;19,6;68;61;64;258;5,6;1,7;
2023/01/01;1400 UTC;0;938,8;939,2;938,8;3384,8;29,4;20,5;30;28,4;21,9;17,8;65;51;59;221;4,1;2,5;
2023/01/01;1500 UTC;0;938,2;938,9;938,2;1591,8;28,4;20,8;29,6;28,3;21,4;19,6;65;57;64;220;4,6;1,9;
2023/01/01;1600 UTC;1;937,7;938,2;937,6;1456,3;25,3;19;28,8;24,6;21,5;19;75;58;68;345;11,9;4,8;
2023/01/01;1700 UTC;1,2;936,6;937,8;936,6;2605,6;28,2;20,6;28,7;24,8;23,3;19;79;61;64;285;11,9;,9;
2023/01/01;1800 UTC;0;936,1;936,6;936;2076,9;28,4;20,5;30,1;28,2;22;19,1;66;52;62;85;4,7;2,9;
2023/01/01;1900 UTC;0;935,4;936,1;935,3;1647,1;29,3;20,4;29,5;28,5;21,2;19,8;64;56;59;89;5,5;1,6;
2023/01/01;2000 UTC;0;936;936,3;935,4;479,3;23,7;20;29,4;23,7;20,9;19,1;80;56;80;281;10,4;2,7;
2023/01/01;2100 UTC;0;935,4;936;935,2;581,4;24,9;20,4;24,9;23,4;20,6;19,6;82;74;76;325;5,3;,7;
2023/01/01;2200 UTC;0;936,3;936,4;935,4;118,8;23,2;20,8;24,9;23,1;20,8;20,3;86;76;86;300;2,9;1;
2023/01/01;2300 UTC;0;937,1;937,4;936,3;;22,9;20,3;23,3;22,7;20,9;20,3;89;85;86;322;2,8;,9;
2023/01/02;0000 UTC;0;937,7;937,7;937,1;;22,8;20,3;23;22,6;20,6;20,2;87;85;86;17;1,7;,1;
2023/01/02;0100 UTC;0;938;938,1;937,7;;22,4;21;22,8;22;21;20,3;92;86;92;115;1,8;0;
2023/01/02;0200 UTC;0;938,1;938,1;937,9;;21,7;20,6;22,6;21,7;21;20,4;93;90;93;303;1,7;,2;
2023/01/02;0300 UTC;0;937,3;938,4;937,3;;22,8;20,4;23,1;21,7;21,2;20,4;94;86;86;344;4,5;,2;
2023/01/02;0400 UTC;0;936,9;937,3;936,9;;21,6;20,6;22,8;21,4;20,7;20,3;94;86;94;199;1,8;0;
2023/01/02;0500 UTC;0;936,9;936,9;936,7;;21,3;20,5;21,7;21,2;20,8;20,5;95;94;95;177;2,1;,2;
2023/01/02;0600 UTC;0;936,5;936,9;936,4;;21,1;20,3;21,6;21,1;20,9;20,3;96;95;95;269;2,3;,6;
2023/01/02;0700 UTC;0;936,8;936,9;936,4;;21,2;20,6;21,2;20,8;20,6;20;96;95;96;355;2,4;1,1;
2023/01/02;0800 UTC;0;936,9;936,9;936,7;;21,2;20,3;21,6;21,1;20,8;20,2;96;95;95;285;2,2;,4;
2023/01/02;0900 UTC;0;937,4;937,4;936,9;,4;21,1;20,4;21,2;21;20,5;20,2;96;95;96;259;2,4;,5;
2023/01/02;1000 UTC;0;937,3;937,4;937,2;373;22,2;21,4;22,3;21,1;21,6;20,4;96;96;96;277;1,7;,1;
2023/01/02;1100 UTC;0;938;938;937,3;1106,7;24,3;21,8;24,3;22,2;22,2;21,4;96;86;86;287;3;1,6;
2023/01/02;1200 UTC;0;938,2;938,4;938;1584,9;26,5;22,5;26,5;24,1;22,8;21,4;87;78;79;294;3;1,1;
2023/01/02;1300 UTC;0;938;938,5;938;1664,6;27,2;21;27,3;25,7;23;20,5;79;68;69;289;4,7;2,2;
2023/01/02;1400 UTC;0;937,4;938;937,4;1768,4;27,6;19,8;28,3;27,1;22,3;19,1;72;59;62;342;4;1,6;
2023/01/02;1500 UTC;0;936,3;937,4;936,3;745,6;26,8;22;27,8;26,8;22;19,3;75;60;75;128;4,1;,6;
2023/01/02;1600 UTC;0;935,4;936,3;935,4;482,3;26,9;21,8;26,9;26,2;22,4;21,2;78;73;73;95;2;,1;
2023/01/02;1700 UTC;0;934;935,4;934;994,2;27,2;22,4;27,6;26,3;22,4;21,4;78;71;75;240;2;1;
2023/01/02;1800 UTC;0;934,3;934,3;934;1119,9;27,1;21,7;27,4;26,8;22,7;21,6;76;72;72;230;3,3;1,2;
2023/01/02;1900 UTC;0;933,6;934,3;933,6;1075,2;27,2;22,6;27,4;26,6;22,9;21,6;79;72;76;150;3,8;1,1;
2023/01/02;2000 UTC;0;933,5;933,7;933,4;775;26,8;22,8;27,4;26,7;22,9;22,1;79;74;79;158;3;1,3;
2023/01/02;2100 UTC;0;934;934;933,4;267,9;25,4;20,3;26,8;25,4;23;20,2;82;72;74;52;4,8;,3;
2023/01/02;2200 UTC;22,8;935,9;936,1;933,9;7,5;20,9;20,1;25,4;20,9;20,7;19,8;95;73;95;8;7,4;3,1;
2023/01/02;2300 UTC;8;936,4;936,4;935,3;;20,7;19,8;20,9;20,6;20,1;19,6;95;94;95;323;8;,8;
2023/01/03;0000 UTC;2;937,2;937,2;936,4;;20,8;19,5;20,9;20,5;19,8;19,4;95;92;92;343;4,6;2;
2023/01/03;0100 UTC;,2;937,3;937,4;937,2;;20,9;19,6;21;20,6;19,8;19,5;94;92;93;322;7,2;2,6;
2023/01/03;0200 UTC;,4;937,1;937,3;937,1;;20,9;19,8;20,9;20,7;19,8;19,6;94;92;93;330;6,3;2,8;
2023/01/03;0300 UTC;,2;937,1;937,1;937;;20,6;19,5;20,9;20,6;19,8;19,4;93;92;93;312;5,9;1,2;
2023/01/03;0400 UTC;0;936,9;937,2;936,9;;20,5;19,5;20,6;20,4;19,6;19,4;94;93;94;279;2,7;0;
2023/01/03;0500 UTC;,2;936,5;936,9;936,5;;20,7;19,5;20,7;20,4;19,7;19,4;95;93;93;357;2,5;1;
2023/01/03;0600 UTC;0;935,8;936,5;935,8;;20,6;19,6;20,7;20,6;19,6;19,5;94;93;94;325;3;1,5;
2023/01/03;0700 UTC;,2;934,9;935,8;934,9;;20,4;19,3;20,7;20,4;19,6;19,3;94;94;94;323;4,3;1,6;
2023/01/03;0800 UTC;0;934,8;934,9;934,7;;20,3;19,3;20,4;20,2;19,4;19,3;94;94;94;331;3,7;1,7;
2023/01/03;0900 UTC;0;935,7;935,7;934,8;1,1;20,5;19,3;20,5;20,3;19,4;19,2;94;93;93;347;4,1;2,1;
2023/01/03;1000 UTC;0;936,6;936,7;935,7;141,1;21,1;19,3;21,1;20,5;19,4;19,2;93;90;90;318;3,7;1,5;
2023/01/03;1100 UTC;0;937,5;937,5;936,7;401;21,7;19,5;21,8;21,1;19,6;19,3;90;87;87;316;4,6;1,9;
2023/01/03;1200 UTC;0;937,8;937,8;937,5;718,1;22,3;19,5;22,3;21,7;19,8;19,3;88;84;84;337;5;2,7;
2023/01/03;1300 UTC;0;938,3;938,3;937,8;914,4;22,9;20;22,9;22,3;20,1;19,4;85;83;84;327;6,1;2,7;
2023/01/03;1400 UTC;0;937,8;938,3;937,7;1751,5;24,8;20,8;24,9;22,9;21;20;85;77;79;314;7,1;3,1;
