REGIAO:;CO
UF:;GO
ESTACAO:;RIO VERDE
CODIGO (WMO):;A025
LATITUDE:;-17,78527777
LONGITUDE:;-50,965
ALTITUDE:;780,11
DATA DE FUNDACAO:;17/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;927,2;927,3;926,6;;21,5;19,9;21,5;21,3;19,9;19,7;91;90;90;63;6,6;2,3;
2023/01/01;0100 UTC;0;927,5;927,5;927,1;;21,2;19,7;21,5;21;20;19,7;93;90;91;55;5,1;3,1;
2023/01/01;0200 UTC;0;927,9;927,9;927,5;;20,5;19,5;21,2;20,5;19,7;19,4;94;91;94;34;5;1,7;
2023/01/01;0300 UTC;0;927,1;927,9;927,1;;20,5;19,3;20,6;20,4;19,5;19,3;94;93;93;53;3;1,6;
2023/01/01;0400 UTC;0;926,6;927,1;926,6;;20,5;19,2;20,7;20,4;19,3;19,1;93;92;92;74;3,3;1,9;
2023/01/01;0500 UTC;0;926,2;926,6;926,2;;20,5;19,2;20,5;20,1;19,3;18,9;93;92;93;49;3,1;2,2;
2023/01/01;0600 UTC;0;925,8;926,2;925,7;;20,1;19;20,5;20,1;19,2;19;93;93;93;53;3,1;1,6;
2023/01/01;0700 UTC;0;925,8;925,9;925,7;;20,3;19,1;20,4;20;19,3;18,9;94;93;93;86;4,1;,9;
2023/01/01;0800 UTC;0;926,2;926,2;925,8;;19,3;18,3;20,3;19;19;18;94;93;94;84;1,9;,3;
2023/01/01;0900 UTC;0;926,3;926,3;926,1;;19,6;18,6;19,8;19,2;18,9;18,2;94;94;94;171;1,5;,3;
2023/01/01;1000 UTC;0;927;927;926,3;94,2;20,9;19,8;20,9;19,5;19,9;18,5;94;94;94;60;2,5;1,3;
2023/01/01;1100 UTC;0;927,3;927,3;927;381,3;22,1;20,4;22,1;20,8;20,4;19,8;94;90;90;49;3,8;1,9;
2023/01/01;1200 UTC;0;927,7;927,8;927,3;967,2;23,9;20,5;24;22,1;21;20,3;90;81;81;63;3,3;1,6;
2023/01/01;1300 UTC;0;927,8;927,9;927,7;2392,1;26,1;20,7;26,1;23,8;21,3;20,2;83;72;72;32;5,6;3,2;
