REGIAO:;CO
UF:;GO
ESTACAO:;MINEIROS
CODIGO (WMO):;A026
LATITUDE:;-17,45472222
LONGITUDE:;-52,60111111
ALTITUDE:;862
DATA DE FUNDACAO:;24/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;0;918,1;918,2;917,9;;21,2;19,8;21,7;21,2;19,8;19,6;92;88;92;16;3,7;1,9;
2023/01/01;0300 UTC;0;917,5;918,2;917,5;;20,6;19,7;21,2;20,6;19,9;19,7;94;92;94;33;2,8;1,3;
2023/01/01;0400 UTC;0;916,6;917,5;916,6;;20,3;19,5;20,6;20,2;19,7;19,3;95;94;95;4;3,6;1,8;
2023/01/01;0500 UTC;0;916,2;916,6;916,2;;20,7;19,1;21;20,3;19,7;19,1;95;91;91;7;4,6;1,9;
2023/01/01;0600 UTC;0;916;916,2;916;;19,9;18,9;20,7;19,9;19,3;18,8;94;91;94;17;4,5;1,3;
2023/01/01;0700 UTC;0;916,1;916,1;915,9;;19,5;18,7;20,1;19,5;19,1;18,7;95;94;95;358;3,1;,9;
2023/01/01;0800 UTC;0;916,3;916,3;916,1;;20,4;19,5;20,5;19,5;19,6;18,7;96;95;95;62;2,4;1,4;
2023/01/01;0900 UTC;0;916,8;916,8;916,3;,2;20,1;19,3;20,4;20,1;19,5;19,2;95;95;95;61;2,7;1,5;
2023/01/01;1000 UTC;0;917,6;917,7;916,8;228,8;22,5;20,5;22,5;20,1;20,7;19,3;95;88;88;44;2,6;1,5;
2023/01/01;1100 UTC;0;917,9;917,9;917,6;567,2;24,3;21,7;24,3;22,5;21,7;20,6;89;84;85;359;3,9;1,8;
2023/01/01;1200 UTC;0;918,5;918,5;917,9;1132;25,4;21,6;25,4;24,3;21,9;21;85;79;79;14;5,5;2,7;
2023/01/01;1300 UTC;0;918,7;918,8;918,5;2168,4;28;22,3;28,1;25,4;22,9;21,3;80;71;71;1;6,3;2,9;
2023/01/01;1400 UTC;0;918,4;918,7;918,4;2495,5;27,3;21,9;28,5;26,3;23,3;20,7;77;69;72;333;6,6;3;
2023/01/01;1500 UTC;0;917,8;918,4;917,8;3566,7;28,9;22,3;29,2;27,2;23;20,3;73;62;67;335;6,8;2,3;
2023/01/01;1600 UTC;0;917,1;917,8;917,1;3695,4;29;20,7;29,8;28,1;22,9;20;70;58;61;321;6,7;2,3;
2023/01/01;1700 UTC;0;916,3;917,1;916,3;3758,7;30,6;21,3;30,7;28,6;23,6;19,2;70;52;58;358;7,4;3,5;
