REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA
CODIGO (WMO):;A036
LATITUDE:;-16,78499999
LONGITUDE:;-47,61305555
ALTITUDE:;1211,08
DATA DE FUNDACAO:;14/12/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;882,8;882,8;882,4;;20,6;19,1;20,7;20,4;19,3;18,9;92;91;91;245;2,8;1,9;
2023/01/01;0100 UTC;0;883,1;883,1;882,8;;19,8;18,7;20,6;19,8;19,3;18,7;94;91;94;86;2,9;1,1;
2023/01/01;0200 UTC;0;883,5;883,5;883,1;;19,1;17,9;19,8;19,1;18,7;17,8;94;92;92;121;5,1;2,7;
2023/01/01;0300 UTC;0;882,8;883,6;882,8;;17,7;16,6;19,1;17,7;18;16,6;94;92;94;114;6,8;1,9;
2023/01/01;0400 UTC;0;882,2;882,9;882,1;;17,2;16,3;17,6;17,1;16,6;16,2;95;94;95;92;4,7;2,4;
2023/01/01;0500 UTC;0;881,7;882,2;881,7;;17,5;16,6;17,5;17,2;16,6;16,3;95;95;95;59;6,2;3;
2023/01/01;0600 UTC;0;880,7;881,7;880,4;;17,2;16,4;17,6;17,2;16,7;16,4;95;95;95;45;6,2;1,3;
2023/01/01;0700 UTC;0;880,8;880,9;880,7;;17,8;17;18,2;17,3;17,3;16,5;95;95;95;32;6,1;2,8;
2023/01/01;0800 UTC;,2;881,2;881,2;880,8;;18,1;17,1;18,1;17,7;17,1;16,8;95;94;94;61;5,2;2,3;
2023/01/01;0900 UTC;0;882,1;882,1;881,2;13,4;17,9;17;18,2;17,9;17,2;17;94;94;94;61;5,3;2,7;
2023/01/01;1000 UTC;0;882,8;882,8;882,1;268,5;18,5;17,5;18,5;17,9;17,5;17;94;94;94;65;5,2;3;
2023/01/01;1100 UTC;0;883;883;882,8;783,5;19,6;17,7;19,6;18,5;17,9;17,2;94;88;89;70;6,4;2,9;
2023/01/01;1200 UTC;0;883,5;883,5;883;1051,7;20,4;17,7;20,6;19,5;18,1;17,3;89;84;85;64;7,3;3,3;
2023/01/01;1300 UTC;0;883,6;883,7;883,5;1326,9;21,3;18,2;21,3;20,2;18,5;17,6;86;82;83;61;6,3;3,5;
2023/01/01;1400 UTC;0;883,2;883,6;883,2;1331,8;21,8;18,1;21,8;21;18,2;17,7;84;79;80;49;7;4,2;
2023/01/01;1500 UTC;0;882,7;883,2;882,7;1703,5;23;17,7;23,2;21,6;18,5;17,3;80;72;72;28;7,4;4;
2023/01/01;1600 UTC;0;882,1;882,7;882,1;2183,8;24,5;17,9;24,5;22,9;18,5;17;74;63;67;54;6,4;2,6;
2023/01/01;1700 UTC;0;881,4;882,1;881,4;1921,2;24,9;18,3;24,9;24;18,6;17,1;70;64;67;40;4,8;2,5;
2023/01/01;1800 UTC;0;880,5;881,4;880,5;2149,5;25,1;18,3;25,6;24,6;18,9;16,9;68;60;66;75;4,6;2,3;
2023/01/01;1900 UTC;0;879,6;880,5;879,6;2767,1;25,8;16,7;26,3;25;18,8;16,3;67;56;57;58;5,8;3,1;
2023/01/01;2000 UTC;0;879,4;879,6;879,3;1407,4;24,3;17,7;26,1;24,3;18,3;16,8;67;57;67;74;5,9;2,5;
2023/01/01;2100 UTC;0;879,6;879,7;879,3;187,8;23,2;17,8;24,3;23,2;18,1;17;73;64;72;56;5,6;2,3;
2023/01/01;2200 UTC;3,2;880,8;880,9;879,6;29,6;19;16,5;23,2;19;18,1;16,5;86;72;86;55;7,7;4,4;
