REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA (FAZENDA SANTA MONICA)
CODIGO (WMO):;A056
LATITUDE:;-16,39944444
LONGITUDE:;-47,62583332
ALTITUDE:;932
DATA DE FUNDACAO:;25/01/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0300 UTC;0;909,6;910;909,6;;19,5;19,5;20;18,9;19,9;18,5;100;98;100;135;3,3;1,6;
2023/01/01;0400 UTC;0;909,4;909,9;909,4;;19,5;19,4;20;19,5;20;19,3;100;98;99;70;5,4;1,1;
2023/01/01;0500 UTC;0;908,4;909,4;908,4;;19,3;19,3;19,6;19,3;19,4;19,2;100;98;100;99;6,1;,4;
2023/01/01;0600 UTC;0;908;908,4;907,9;;18,8;18,8;19,3;18,8;19,3;18,8;100;100;100;116;3,5;0;
2023/01/01;0700 UTC;0;907,9;908;907,8;;18,6;18,6;18,9;18,6;18,9;18,6;100;100;100;46;2,7;,3;
2023/01/01;0800 UTC;0;908,2;908,2;907,8;;18,3;18,3;18,6;17,8;18,6;17,8;100;100;100;49;2,9;1,4;
2023/01/01;0900 UTC;0;909;909;908,2;7,1;18,5;18,5;18,5;18,3;18,5;18,3;100;100;100;47;3,5;2,2;
2023/01/01;1000 UTC;0;909,7;909,7;909;232,4;18,9;18,8;19;18,4;18,9;18,4;100;100;100;56;3,9;2,2;
2023/01/01;1100 UTC;0;910,1;910,1;909,7;1203,4;21;21;21;18,9;21;18,9;100;100;100;78;4,9;2,4;
2023/01/01;1200 UTC;0;910,5;910,5;910,1;1806,7;22,5;20,7;22,6;21;21,5;19,8;100;86;90;65;6,4;3,1;
2023/01/01;1300 UTC;0;910,5;910,6;910,5;2158,5;23,2;20,9;23,5;22,2;21,7;19,9;93;83;87;51;8,6;4,9;
2023/01/01;1400 UTC;0;910,1;910,5;910,1;2920,1;24,2;20,4;24,4;23;21,5;19,6;89;77;79;44;8,2;4,7;
2023/01/01;1500 UTC;0;909,4;910,1;909,4;3822,3;26,4;20,8;26,5;24,2;21,8;19,4;84;68;71;56;7,6;2,5;
2023/01/01;1600 UTC;0;908,7;909,4;908,6;3136,9;26,7;19,5;26,8;25,4;21,8;18,5;77;61;65;59;6,1;1,8;
2023/01/01;1700 UTC;0;907,7;908,6;907,7;3544,1;27,5;20,5;27,6;25,8;21,2;18,5;72;59;66;48;7,1;3,4;
2023/01/01;1800 UTC;0;906,9;907,7;906,9;3028,7;27,5;19,8;27,9;26,2;21,6;18,8;71;58;63;64;7,4;2,6;
