REGIAO:;CO
UF:;MS
ESTACAO:;PARANAIBA
CODIGO (WMO):;A710
LATITUDE:;-19,69555555
LONGITUDE:;-51,18166666
ALTITUDE:;408,06
DATA DE FUNDACAO:;10/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;;;;0;24,5;21,2;25,3;24,5;21,4;19,9;82;72;82;41;6,1;0;
2023/01/01;0100 UTC;0;;;;0;23,8;20,6;24,5;23,8;21,3;20,6;83;80;82;42;0;0;
2023/01/01;0200 UTC;0;;;;0;23,8;20,6;23,8;23,7;20,7;20,6;83;82;82;20;0;0;
2023/01/01;0300 UTC;0;;;;0;23,6;20,7;23,8;23,5;20,8;20,6;84;82;84;22;0;0;
2023/01/01;0400 UTC;0;;;;0;23,6;21,1;23,6;23,5;21,1;20,7;86;84;86;53;0;0;
2023/01/01;0500 UTC;0;;;;0;23,6;21,3;23,7;23,6;21,3;21,1;87;86;87;61;0;0;
2023/01/01;0600 UTC;0;;;;0;23,6;21,5;23,6;23,5;21,6;21,3;88;87;88;69;0;0;
2023/01/01;0700 UTC;0;;;;0;23,7;21,6;23,7;23,5;21,6;21,2;89;87;88;360;0;0;
2023/01/01;0800 UTC;0;;;;0;23,4;21,2;23,7;23,4;21,5;21,2;88;86;87;27;0;0;
2023/01/01;0900 UTC;0;;;;3,8;23,1;21,2;23,4;23,1;21,2;21,1;89;87;89;25;0;0;
2023/01/01;1000 UTC;0;;;;301,5;24,4;21;24,4;23;21,3;20,9;89;81;82;49;0;0;
2023/01/01;1100 UTC;0;;;;1111,3;25,8;21;25,8;24,3;21,3;20,8;82;75;75;23;0;0;
2023/01/01;1200 UTC;0;;;;1952,3;27,5;21,1;27,6;25,8;21,6;20,8;76;67;68;355;0;0;
2023/01/01;1300 UTC;0;;;;2663,5;29;21,1;29;27,5;22;20,8;69;62;62;13;0;0;
2023/01/01;1400 UTC;0;;;;3322,9;30,2;21,3;30,5;28,9;22,3;20,9;64;57;59;34;0;0;
2023/01/01;1500 UTC;0;;;;2973,4;30,9;21,6;31;30;22,6;21,1;63;56;58;30;0;0;
2023/01/01;1600 UTC;0;;;;2340,3;31,1;21;32;30,2;22,7;20,7;61;53;55;62;0;0;
2023/01/01;1700 UTC;0;;;;2113,7;31,4;20,6;32,5;30,8;22,3;20,1;58;49;53;49;2,9;0;
2023/01/01;1800 UTC;0;;;;552,3;30,4;21,3;31,4;30,2;21,7;20,4;60;53;58;89;0;0;
2023/01/01;1900 UTC;0;;;;1433,8;31,3;21,4;31,8;30,1;22,2;20,7;62;53;56;91;0;0;
2023/01/01;2000 UTC;0;;;;1506,2;31;22,1;31,5;31;23;20,9;61;54;59;114;0;0;
2023/01/01;2100 UTC;0;;;;468,6;30,6;20,1;31;29,3;22,1;20,1;64;53;54;97;0;0;
2023/01/01;2200 UTC;0;;;;138,4;27,7;22,6;30,7;27,7;22,9;20,1;75;53;74;247;0;0;
2023/01/01;2300 UTC;0;;;;3,1;26,6;22,2;27,7;26,6;22,7;21,9;77;71;77;281;4;0;
2023/01/02;0000 UTC;0;;;;0;25,9;22,3;26,6;25,8;22,3;22;81;76;81;299;0;0;
2023/01/02;0100 UTC;0;;;;0;25;22,4;26,3;24,9;22,6;22,1;86;78;86;128;0;0;
2023/01/02;0200 UTC;0;;;;0;25,2;21,8;26,2;25;22,7;21,8;86;80;82;284;0;0;
2023/01/02;0300 UTC;0;;;;0;23,8;21,8;25,2;23,8;21,9;21,7;89;82;89;208;0;0;
2023/01/02;0400 UTC;0;;;;0;23,4;21,5;23,8;23,4;21,9;21,5;90;89;90;229;0;0;
2023/01/02;0500 UTC;0;;;;0;23,5;21,7;23,6;23,2;21,8;21,5;90;89;89;237;0;0;
2023/01/02;0600 UTC;0;;;;0;23;21,3;23,6;23;21,7;21,2;90;89;90;236;0;0;
2023/01/02;0700 UTC;0;;;;0;23;21,5;23;22,6;21,5;21;91;90;91;133;0;0;
2023/01/02;0800 UTC;0;;;;0;22,9;21,5;23;22,6;21,5;21,2;92;91;92;90;0;0;
2023/01/02;0900 UTC;0;;;;3;23,6;21;23,8;22,9;22;21;92;85;85;62;3,2;0;
2023/01/02;1000 UTC;0;;;;316,3;24,5;21;24,5;23,4;21;20,2;85;81;81;59;3,2;0;
2023/01/02;1100 UTC;0;;;;1178,4;25,9;20,7;25,9;24,5;20,9;20;81;71;73;30;3,5;0;
2023/01/02;1200 UTC;0;;;;1969,6;27,9;20,9;28;25,9;21,2;20,5;73;64;66;25;0;0;
2023/01/02;1300 UTC;0;;;;2277,7;29,7;21,8;29,7;27,9;22,1;20,8;67;63;63;39;2,9;0;
2023/01/02;1400 UTC;0;;;;2760,5;30,9;21,8;30,9;29,4;22,5;21;65;56;58;4;3,9;0;
2023/01/02;1500 UTC;0;;;;3166,8;31,6;21,5;32,1;30,6;22,4;20,8;61;53;55;355;3,5;0;
2023/01/02;1600 UTC;0;;;;1648,6;29,6;21;32,2;29,6;21,9;20,3;61;50;60;32;4,6;0;
2023/01/02;1700 UTC;0;;;;2180,7;28,2;19,7;30,7;27,3;22,4;19,7;71;55;60;348;11;1,8;
2023/01/02;1800 UTC;,4;;;;628,3;23,1;20,5;28,2;23,1;20,9;18,5;86;56;86;283;10,8;2,9;
2023/01/02;1900 UTC;0;;;;54,1;22,7;20,8;23,3;22,5;20,8;20,4;89;85;89;229;9,1;,1;
2023/01/02;2000 UTC;8;;;;21;22;20,5;22,7;22;20,9;20,5;93;89;92;223;8,6;0;
2023/01/02;2100 UTC;6,6;;;;22,1;22,1;20,8;22,3;21,9;20,9;20,4;93;91;92;198;5,7;0;
2023/01/02;2200 UTC;,2;;;;42,8;21,6;19,9;22,2;21,6;20,9;19,9;92;90;90;169;7,4;,5;
2023/01/02;2300 UTC;0;;;;2,8;21,3;19,6;21,6;21,3;19,9;19,5;90;89;90;215;6,8;0;
2023/01/03;0000 UTC;0;;;;,2;21,3;19,7;21,4;21,3;19,7;19,6;91;90;91;177;2,9;0;
2023/01/03;0100 UTC;0;;;;0;21,6;20;21,6;21,3;20;19,7;91;91;91;277;0;0;
2023/01/03;0200 UTC;0;;;;0;21,6;20,1;21,7;21,5;20,2;20;91;91;91;48;0;0;
2023/01/03;0300 UTC;0;;;;0;21,7;20;21,8;21,6;20,3;20;91;90;90;342;3,7;,1;
2023/01/03;0400 UTC;0;;;;0;21,7;19,9;21,8;21,7;20;19,8;90;89;90;348;3,7;0;
2023/01/03;0500 UTC;0;;;;0;21,8;20;21,8;21,7;20;19,9;90;89;89;340;0;0;
2023/01/03;0600 UTC;0;;;;0;21,8;20;21,9;21,8;20,1;19,9;90;89;90;354;0;0;
2023/01/03;0700 UTC;0;;;;0;21,8;20,1;21,9;21,7;20,1;20;90;90;90;5;0;0;
2023/01/03;0800 UTC;0;;;;0;22;20;22;21,8;20,2;20;90;89;89;24;0;0;
2023/01/03;0900 UTC;0;;;;2,7;22;19,9;22,1;21,9;20;19,8;89;88;88;4;0;0;
2023/01/03;1000 UTC;0;;;;109,7;22,3;20;22,3;22;20,1;19,8;89;86;87;338;2,1;0;
2023/01/03;1100 UTC;0;;;;299,4;22,7;20,4;22,7;22,3;20,4;20;87;86;86;10;,2;0;
2023/01/03;1200 UTC;0;;;;636,4;23,8;20,4;23,8;22,7;20,6;20,2;87;81;81;356;0;0;
2023/01/03;1300 UTC;0;;;;1156,5;25;20,1;25,2;23,8;20,6;19,9;81;73;74;315;6,4;,2;
2023/01/03;1400 UTC;0;;;;1980;27,5;21,1;27,5;24,9;21,2;19,8;75;67;68;295;6,9;,1;
2023/01/03;1500 UTC;0;;;;1997;27,9;20,5;28,2;27,1;21,4;20,1;70;62;64;304;5,9;,1;
2023/01/03;1600 UTC;0;;;;2363,2;29,6;20,8;29,6;27,7;21,3;19,9;65;58;59;335;5,9;0;
2023/01/03;1700 UTC;0;;;;1334,2;25,8;19,6;30;25,7;21,3;19,4;70;57;69;237;4,7;,1;
2023/01/03;1800 UTC;0;;;;1206,6;25,3;21,3;26,5;25,3;21,5;19,6;79;69;79;259;4,7;0;
2023/01/03;1900 UTC;,4;;;;1726,3;27,5;19,8;27,7;25,3;22,6;19,8;82;63;63;32;0;0;
2023/01/03;2000 UTC;0;;;;806,4;24,7;20,9;28,3;24,7;21,5;19,3;80;59;79;197;4,4;0;
2023/01/03;2100 UTC;0;;;;494,6;27,1;20,5;27,1;24,7;21,6;20,2;80;66;67;17;2,2;0;
2023/01/03;2200 UTC;0;;;;230,2;26,2;21,1;27,1;26,2;21,5;20,2;73;66;73;84;0;0;
2023/01/03;2300 UTC;0;;;;6,7;25,6;21,6;26,2;25,5;21,8;21,2;80;74;79;67;0;0;
2023/01/04;0000 UTC;0;;;;0;24,8;21,6;25,6;24,8;21,9;21,5;83;78;83;91;0;0;
2023/01/04;0100 UTC;0;;;;0;25,7;21,8;25,7;24,7;22;21,6;83;79;79;39;0;0;
2023/01/04;0200 UTC;8;;;;4,4;22,1;20,6;26;21,2;21,8;18,8;91;72;91;38;19,9;0;
2023/01/04;0300 UTC;0;;;;1,4;22,1;20,2;22,1;21,8;20,6;20,2;91;89;89;218;0;0;
2023/01/04;0400 UTC;17,2;;;;2,4;20,7;19,6;22,3;20,4;20,3;18,9;93;86;93;273;13,8;0;
2023/01/04;0500 UTC;3;;;;,1;21,1;20;21,3;20,7;20,1;19,6;93;93;93;350;0;0;
2023/01/04;0600 UTC;,6;;;;,1;21,4;20,2;21,4;21,1;20,3;19,9;93;93;93;355;0;0;
2023/01/04;0700 UTC;0;;;;,2;21,4;20,2;21,5;21,4;20,3;20,1;93;92;92;14;0;0;
2023/01/04;0800 UTC;0;;;;0;21,7;20,4;21,7;21,4;20,4;20,1;92;92;92;1;0;0;
2023/01/04;0900 UTC;0;;;;1,3;22;20,5;22;21,7;20,6;20,4;92;92;92;342;0;0;
2023/01/04;1000 UTC;0;;;;135,2;22,4;20,8;22,4;21,9;20,9;20,5;92;91;91;349;0;0;
2023/01/04;1100 UTC;0;;;;381,3;23,1;21;23,1;22,4;21;20,7;91;88;88;353;0;0;
2023/01/04;1200 UTC;0;;;;781,6;24,3;21;24,3;23;21,3;20,8;88;82;82;344;3,2;0;
2023/01/04;1300 UTC;0;;;;940,7;25,1;21,2;25,1;24,3;21,4;20,8;82;78;79;333;4,8;0;
2023/01/04;1400 UTC;0;;;;1119,2;25,4;20,7;25,7;25,1;21,3;20,6;79;75;75;351;5,5;,2;
2023/01/04;1500 UTC;0;;;;797,4;25,7;21,4;25,8;25,4;21,5;20,7;77;75;77;353;7,5;0;
2023/01/04;1600 UTC;0;;;;1848,4;27,9;21,9;27,9;25,7;22;21;77;68;70;338;8,4;,8;
2023/01/04;1700 UTC;0;;;;2325,7;27,9;20,7;28,9;27,9;22,1;20,6;70;62;65;347;11,3;2,4;
2023/01/04;1800 UTC;0;;;;1101,2;28,1;22,2;28,1;26,6;22,3;20,8;77;65;71;310;8,2;0;
2023/01/04;1900 UTC;1,2;;;;773,5;24,6;21,9;28,1;24,4;22,7;20,9;86;66;85;304;9,6;,4;
2023/01/04;2000 UTC;10,8;;;;217,8;22,4;21;24,7;22,4;22;21;92;84;92;236;6,7;1;
2023/01/04;2100 UTC;2,4;;;;106,8;22;20,5;22,5;21,9;21,3;20,5;93;92;92;296;6,7;0;
2023/01/04;2200 UTC;0;;;;101;22;20,1;22,3;21,9;20,6;20,1;92;89;89;259;0;0;
2023/01/04;2300 UTC;1,8;;;;4;22,1;20,6;22,1;21,9;20,6;20,1;91;89;91;242;0;0;
2023/01/05;0000 UTC;,6;;;;,1;22,1;20,8;22,1;22;20,8;20,5;92;91;92;279;0;0;
2023/01/05;0100 UTC;1,2;;;;0;22,3;21;22,4;22,1;21;20,8;92;92;92;303;0;0;
2023/01/05;0200 UTC;0;;;;,3;22,2;20,8;22,4;22,1;21;20,7;92;92;92;271;0;0;
2023/01/05;0300 UTC;1,2;;;;1;20,7;19,2;22,2;20,7;20,8;19,2;92;89;91;277;3;0;
2023/01/05;0400 UTC;0;;;;,2;20,7;19,3;21;20,7;19,5;19,1;91;91;91;277;3,4;0;
2023/01/05;0500 UTC;0;;;;,1;20,5;19,1;20,7;20,5;19,3;19;92;91;92;284;0;0;
2023/01/05;0600 UTC;0;;;;0;20,8;19,5;20,8;20,5;19,5;19,1;92;92;92;320;0;0;
2023/01/05;0700 UTC;0;;;;0;21,1;19,7;21,1;20,8;19,7;19,5;92;92;92;324;0;0;
2023/01/05;0800 UTC;0;;;;0;21,1;19,6;21,2;21;19,8;19,5;92;91;91;307;0;0;
2023/01/05;0900 UTC;0;;;;,8;21,3;19,7;21,3;21,1;19,7;19,6;91;91;91;320;0;0;
2023/01/05;1000 UTC;0;;;;112,9;21,7;20,2;21,7;21,3;20,2;19,8;91;91;91;348;0;0;
2023/01/05;1100 UTC;0;;;;568,1;23,1;20,7;23,1;21,7;20,8;20;91;86;86;7;0;0;
2023/01/05;1200 UTC;0;;;;1812,6;24,8;19,8;25,1;23,1;20,9;19,4;86;73;74;331;0;0;
2023/01/05;1300 UTC;0;;;;1636,8;25,1;18,9;25,6;24,8;20,2;18,9;74;68;69;6;3,5;0;
2023/01/05;1400 UTC;0;;;;1598,8;25,9;19,9;25,9;25,1;20,4;19,1;74;69;69;352;1,6;0;
2023/01/05;1500 UTC;0;;;;1752,9;26,8;20,2;26,8;25,9;20,4;19,4;71;65;67;335;0;0;
2023/01/05;1600 UTC;0;;;;1785,8;26,9;20,4;27,3;26,3;20,8;19,8;70;64;68;291;0;0;
2023/01/05;1700 UTC;0;;;;2318,8;27,7;20,4;28,5;26,7;21;19,8;69;62;65;271;0;0;
2023/01/05;1800 UTC;0;;;;1249;26,7;20,7;27,7;26,7;20,9;19,7;70;62;69;252;5;0;
2023/01/05;1900 UTC;1,2;;;;273,2;23,2;21,1;26,7;23,1;21,1;20,3;88;69;88;301;7,2;0;
2023/01/05;2000 UTC;,4;;;;583,8;23;21,2;23,3;22,6;21,3;20,6;90;87;89;246;4,5;0;
2023/01/05;2100 UTC;0;;;;506,7;23,6;21,7;23,7;23;21,7;21,1;90;88;89;246;0;0;
2023/01/05;2200 UTC;0;;;;119,4;23,7;21,8;23,8;23,6;21,9;21,6;89;89;89;262;0;0;
2023/01/05;2300 UTC;0;;;;6,1;22,5;20,7;23,7;22,5;21,9;20,4;90;86;90;195;3,1;0;
2023/01/06;0000 UTC;0;;;;0;22,6;20,9;22,6;22,5;20,9;20,6;90;89;90;178;0;0;
2023/01/06;0100 UTC;0;;;;0;22,7;20,9;22,8;22,6;21;20,9;90;90;90;166;0;0;
2023/01/06;0200 UTC;0;;;;0;22,5;20,9;22,7;22,5;20,9;20,8;90;89;90;140;3,7;0;
2023/01/06;0300 UTC;0;;;;,1;22,4;20,7;22,6;22,4;20,8;20,7;90;90;90;136;0;0;
2023/01/06;0400 UTC;0;;;;,4;21,9;20,1;22,4;21,9;20,7;20,1;91;90;90;135;4,6;0;
2023/01/06;0500 UTC;0;;;;,8;21,8;20;21,9;21,8;20,1;19,8;89;88;89;149;4,6;0;
2023/01/06;0600 UTC;0;;;;0;21,7;19,9;21,8;21,7;20;19,9;90;89;89;149;2;0;
2023/01/06;0700 UTC;0;;;;,5;21,2;19,2;21,7;21,2;19,8;19,2;89;88;88;151;2,8;0;
2023/01/06;0800 UTC;0;;;;,1;20,9;18,7;21,2;20,9;19,2;18,7;89;88;88;155;0;0;
2023/01/06;0900 UTC;0;;;;1,7;20,6;18,6;20,9;20,6;18,7;18,5;88;87;88;151;0;0;
2023/01/06;1000 UTC;0;;;;122,4;20,9;18,6;20,9;20,6;18,8;18,5;88;87;87;133;4,2;0;
2023/01/06;1100 UTC;0;;;;394,4;21,4;18,7;21,4;20,9;18,8;18,6;87;85;85;145;0;0;
2023/01/06;1200 UTC;0;;;;631;22;19;22;21,4;19,1;18,6;85;82;83;132;3,7;0;
2023/01/06;1300 UTC;0;;;;1274;23,1;19,1;23,2;22;19,6;19;84;78;78;91;0;0;
2023/01/06;1400 UTC;0;;;;1758,2;24,1;19,7;24,5;23,1;20,3;19,1;80;75;76;125;0;0;
2023/01/06;1500 UTC;0;;;;969,9;24;19,9;24,1;23,7;20,1;19,6;80;76;78;173;2,7;0;
2023/01/06;1600 UTC;0;;;;1010,6;23,8;19,8;24,4;23,8;20,3;19,7;79;76;78;164;,9;0;
2023/01/06;1700 UTC;0;;;;1162,7;24,8;20,2;24,8;23,8;20,5;19,8;79;75;76;166;0;0;
2023/01/06;1800 UTC;0;;;;2121,9;26,6;20,6;26,7;24,8;21,1;20,1;76;70;70;176;3,2;0;
2023/01/06;1900 UTC;0;;;;2533,6;26,7;20,7;27,5;26,3;21,1;20,3;72;66;70;155;3,7;0;
2023/01/06;2000 UTC;0;;;;919;25,5;20,1;26,7;25,5;20,8;20,1;73;68;72;158;2,6;0;
2023/01/06;2100 UTC;0;;;;438,2;25,4;20,5;25,6;25,3;20,6;20,1;75;72;74;145;0;0;
2023/01/06;2200 UTC;0;;;;159,4;24,5;21;25,4;24,5;21,1;20,4;81;74;81;88;0;0;
2023/01/06;2300 UTC;1,8;;;;11,4;22,8;21;24,5;22,8;21,1;20,6;90;81;90;74;0;0;
2023/01/07;0000 UTC;26,2;;;;,6;21,6;20,4;22,8;21,6;21;20,4;93;90;93;96;0;0;
2023/01/07;0100 UTC;6;;;;,2;21,7;20,5;21,7;21,3;20,5;20,2;93;93;93;4;0;0;
2023/01/07;0200 UTC;2,4;;;;0;22;20,7;22;21,6;20,7;20,4;93;93;93;134;0;0;
2023/01/07;0300 UTC;0;;;;,8;21,8;20,5;22;21,8;20,8;20,5;93;92;92;124;3,3;,1;
2023/01/07;0400 UTC;0;;;;,4;21,7;20,2;21,8;21,7;20,5;20,1;92;91;91;118;8,1;0;
2023/01/07;0500 UTC;0;;;;2,5;21,4;19,9;21,7;21,4;20,3;19,9;91;91;91;109;5,4;0;
2023/01/07;0600 UTC;0;;;;,3;21,4;19,9;21,5;21,4;20;19,9;91;91;91;134;3,7;0;
2023/01/07;0700 UTC;0;;;;0;21,1;19,9;21,4;21,1;19,9;19,8;93;91;93;121;2,9;0;
2023/01/07;0800 UTC;0;;;;0;20,6;19,3;21,1;20,6;19,9;19,3;93;92;92;122;4,9;,1;
2023/01/07;0900 UTC;0;;;;1,4;19,9;18,7;20,6;19,9;19,3;18,7;93;92;93;114;6,7;0;
2023/01/07;1000 UTC;0;;;;63,8;19,9;18,4;19,9;19,8;18,7;18,4;93;91;91;116;6,7;,2;
2023/01/07;1100 UTC;0;;;;200,4;19,9;18,6;19,9;19,8;18,6;18,3;92;91;92;116;6,7;0;
2023/01/07;1200 UTC;0;;;;415,7;20,3;19;20,4;19,8;19;18,6;92;92;92;127;4;0;
2023/01/07;1300 UTC;0;;;;1090,7;21,3;19,5;21,3;20,3;19,6;19;92;90;90;131;5,6;0;
2023/01/07;1400 UTC;0;;;;1650,3;23,2;20,2;23,2;21,3;20,3;19,3;90;83;84;130;0;0;
2023/01/07;1500 UTC;0;;;;3028,5;25,4;21,3;25,4;23,2;21,3;20,1;84;75;78;131;4,6;0;
2023/01/07;1600 UTC;0;;;;2196;25,8;20,8;26,1;25,4;21,8;20,5;78;72;74;153;3;0;
2023/01/07;1700 UTC;0;;;;2155,1;26,5;20,8;27,3;25,8;21,6;20,6;74;69;71;161;0;0;
2023/01/07;1800 UTC;0;;;;2508,6;27,9;21;28;26,5;21,7;20,7;74;66;66;178;0;0;
2023/01/07;1900 UTC;0;;;;1546,4;27,4;20,6;28;27,1;21,8;20,4;70;66;67;152;0;0;
2023/01/07;2000 UTC;0;;;;1757,6;27,5;20,8;28,9;27,4;21,6;20,6;68;62;67;171;1,3;0;
2023/01/07;2100 UTC;0;;;;636,1;26,5;20,4;28;26,5;21,2;20,3;71;65;69;153;1,3;0;
2023/01/07;2200 UTC;0;;;;148,2;25,6;20,6;26,5;25,6;20,9;20,2;74;69;74;168;0;0;
2023/01/07;2300 UTC;0;;;;13,5;24,8;20,5;25,6;24,8;20,6;20,4;77;73;77;167;3,6;0;
