REGIAO:;CO
UF:;MS
ESTACAO:;RIO BRILHANTE
CODIGO (WMO):;A743
LATITUDE:;-21,77499999
LONGITUDE:;-54,52805554
ALTITUDE:;324,31
DATA DE FUNDACAO:;26/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;973,5;973,5;972,1;;27,3;22,9;27,3;25,7;23,3;22,7;85;77;77;;3,7;,8;
2023/01/01;0100 UTC;0;973,9;974;973,3;;25,2;22,9;27,4;25,1;22,9;22,6;87;76;87;;3,5;,5;
2023/01/01;0200 UTC;0;974,4;974,4;973,9;;25,8;22,7;25,8;24,9;23;22,6;88;83;83;;2,4;,1;
2023/01/01;0300 UTC;0;974,1;974,3;974,1;;24,3;22,2;25,8;24,3;22,7;22,2;88;83;88;;3,2;,3;
2023/01/01;0400 UTC;0;973;974,1;973;;23,7;22,1;24,7;23,6;22,3;21,9;91;85;91;;1,9;0;
2023/01/01;0500 UTC;0;972,7;973,2;972,7;;23,6;21,9;23,9;23,6;22,2;21,8;91;89;90;;3,4;0;
2023/01/01;0600 UTC;0;972,4;972,7;972,3;;22,5;21,4;23,6;22,5;22;21,3;94;90;94;;1,9;0;
2023/01/01;0700 UTC;0;972,6;972,8;972,2;;22,9;22,1;22,9;22,2;22,1;21,3;96;94;95;;,9;0;
2023/01/01;0800 UTC;0;972,5;972,6;972,4;;22,7;21,8;23,1;22,7;22,1;21,7;95;93;95;;1,3;,1;
2023/01/01;0900 UTC;0;973,3;973,3;972,5;;22,6;21,8;22,7;22,5;21,9;21,7;96;95;96;;2,2;1;
