REGIAO:;CO
UF:;MS
ESTACAO:;JUTI
CODIGO (WMO):;A749
LATITUDE:;-22,85722222
LONGITUDE:;-54,60555555
ALTITUDE:;375,18
DATA DE FUNDACAO:;16/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;967,3;967,3;966,5;;28,2;22,4;28,9;28,2;23;22,3;72;69;71;290;5,2;2,7;
2023/01/01;0100 UTC;0;968;968;967,3;;27,4;22,6;28,2;27,3;22,6;22,4;76;71;75;281;5,4;2,7;
2023/01/01;0200 UTC;0;968,6;968,6;968;;26,6;22,5;27,4;26,6;22,7;22,4;78;75;78;296;5,8;2,3;
2023/01/01;0300 UTC;0;968,3;968,8;968,3;;25,8;22,6;26,9;25,8;22,7;22,4;83;77;83;268;4,9;1,6;
2023/01/01;0400 UTC;0;967,8;968,3;967,7;;25;22,4;25,8;25;22,6;22,4;85;82;85;282;3,1;,9;
2023/01/01;0500 UTC;0;967;967,8;967;;24,6;22,3;25;24,6;22,5;22,3;87;85;87;251;3,1;1,6;
2023/01/01;0600 UTC;0;966,8;967,2;966,8;;24,3;22,1;24,7;24,3;22,3;22,1;88;87;87;275;3,8;1,4;
2023/01/01;0700 UTC;0;967;967;966,7;;23,6;21,8;24,3;23,6;22,1;21,8;90;87;90;212;3,8;0;
2023/01/01;0800 UTC;0;967,3;967,4;967;;23,2;21,9;23,6;23,1;21,9;21,7;93;90;93;269;2,9;,5;
2023/01/01;0900 UTC;0;967,8;967,8;967,1;;23,1;21,7;23,2;23;21,9;21,6;93;92;92;324;2,1;0;
2023/01/01;1000 UTC;0;968,6;968,6;967,8;293,7;24,4;22,1;24,4;23;22,3;21,6;92;87;87;268;3,7;1,8;
2023/01/01;1100 UTC;0;969,5;969,5;968,6;1086,1;26,1;22,7;26,2;24,3;23,1;21,9;87;82;82;244;5,1;2,3;
2023/01/01;1200 UTC;0;969,7;969,8;969,4;1939,4;28,2;23,2;28,2;26,1;23,2;22,4;82;73;75;211;5,1;2,3;
2023/01/01;1300 UTC;0;969,7;969,9;969,6;2687,7;29,5;22,7;30,2;28,2;24;22,5;75;65;67;219;5,4;2,4;
2023/01/01;1400 UTC;0;969,7;969,7;969,6;3255,4;31,1;22,6;31,5;29,5;23,3;22,3;67;60;61;212;5;2,4;
2023/01/01;1500 UTC;0;969,2;969,6;969,2;3595,2;32,2;22,4;32,6;30,5;23,4;21,5;61;55;56;209;6,3;2;
2023/01/01;1600 UTC;0;968,4;969,2;968,4;3719,4;33,1;22,1;33,3;31,7;23,8;21,8;59;53;53;205;6,6;2,6;
2023/01/01;1700 UTC;0;967,5;968,4;967,5;3652,9;33,8;22,3;34,1;32,5;23,8;21,2;60;48;51;210;6,3;1,9;
2023/01/01;1800 UTC;0;966,6;967,6;966,6;3126,4;34,4;21,9;34,5;32,9;23,1;20,9;54;46;48;201;5,8;1,4;
2023/01/01;1900 UTC;0;965,8;966,6;965,8;1593,4;33,5;21,7;34,6;32,9;22;20,7;51;46;50;226;4,3;1,1;
2023/01/01;2000 UTC;0;965,1;965,8;965,1;931,3;33;22,1;33,5;32,8;22,9;21;56;48;53;220;3,9;,3;
2023/01/01;2100 UTC;0;964,5;965,2;964,5;678,1;32,7;22;33,3;32,5;22,5;21,3;56;50;54;212;2,7;,4;
2023/01/01;2200 UTC;0;964,6;964,6;964,4;145,5;31,7;22,9;32,9;31,7;23;21,7;60;52;60;193;2,3;,3;
2023/01/01;2300 UTC;0;965,8;965,8;964,6;15,2;30,1;22,9;31,7;30,1;23,3;22,8;66;60;65;220;1,5;,2;
2023/01/02;0000 UTC;0;966,7;966,8;965,8;;28,3;22,5;30,1;28,3;23,1;22,4;71;65;71;214;5,7;2,5;
2023/01/02;0100 UTC;0;967;967,1;966,7;;27;22,2;28,3;27;22,7;22,2;76;71;75;216;5,6;2,8;
