REGIAO:;CO
UF:;MS
ESTACAO:;COSTA RICA
CODIGO (WMO):;A760
LATITUDE:;-18,49277777
LONGITUDE:;-53,17138888
ALTITUDE:;727,34
DATA DE FUNDACAO:;04/12/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;,2;932,1;932,1;930,7;;21,8;20,4;22,9;21,4;20,4;19,6;92;83;92;31;8,3;6,2;
2023/01/01;0100 UTC;2,4;932,3;932,6;932,1;;21;20;21,9;20,6;20,5;19,2;96;90;94;54;12,8;5;
2023/01/01;0200 UTC;,6;932,2;932,5;932,2;;21,1;19,8;21,5;21;20;19,5;94;90;92;15;6,8;2,8;
2023/01/01;0300 UTC;,4;931,3;932,2;931,3;;20,9;19,9;21,3;20,9;20;19,5;94;90;94;42;4,6;3;
2023/01/01;0400 UTC;0;930,6;931,3;930,6;;20,6;20,5;21;20,4;20,5;19,7;99;93;99;59;4,2;2,7;
2023/01/01;0500 UTC;0;930,1;930,6;930;;20,5;20,5;20,6;20,3;20,5;20,2;100;99;100;53;5,3;4,3;
2023/01/01;0600 UTC;0;930;930,1;930;;20,8;19,6;21;20,5;20,6;19,6;100;93;93;52;5,2;3,7;
2023/01/01;0700 UTC;0;930,2;930,2;930;;20,7;19,9;20,8;20,2;20;19,4;97;93;95;60;4,6;3,1;
2023/01/01;0800 UTC;0;930,1;930,3;930;;20,5;19,7;20,8;20,3;19,9;19,5;95;94;95;39;4,7;3,7;
2023/01/01;0900 UTC;,2;930,8;930,8;930,1;;20,7;19,6;20,9;20,5;19,7;19,4;95;93;93;33;5,6;4;
