REGIAO:;CO
UF:;MT
ESTACAO:;BRASNORTE (NOVO MUNDO)
CODIGO (WMO):;A927
LATITUDE:;-12,52194443
LONGITUDE:;-58,23138888
ALTITUDE:;426,2
DATA DE FUNDACAO:;29/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;961,5;961,5;960,4;;23,3;21,8;23,7;22,8;22,2;21,7;94;89;92;360;0;0;
2023/01/01;0100 UTC;0;962,8;962,8;961,5;;22,4;21,7;23,3;22,4;21,8;21,4;96;91;96;317;4,2;0;
2023/01/01;0200 UTC;0;963,4;963,4;962,8;;22,3;21,9;22,4;22;21,9;21,5;98;96;98;339;0;0;
2023/01/01;0300 UTC;0;963;963,4;963;;22,1;21,8;22,3;21,7;21,9;21,2;98;97;98;17;0;0;
2023/01/01;0400 UTC;0;962,4;963;962,4;;22;21,7;22,2;22;21,9;21,6;98;98;98;4;0;0;
2023/01/01;0500 UTC;0;962,1;962,5;962,1;;21,8;21,5;22,2;21,8;21,8;21,5;98;98;98;321;0;0;
2023/01/01;0600 UTC;0;961,8;962,1;961,8;;21,8;21,5;21,9;21,6;21,6;21,3;98;98;98;341;0;0;
2023/01/01;0700 UTC;0;961,4;961,8;961,4;;21,7;21,4;21,9;21,7;21,6;21,4;98;98;98;324;2,9;0;
2023/01/01;0800 UTC;0;961,3;961,4;961,2;;21,5;21,2;21,7;21,4;21,4;21,1;98;98;98;355;0;0;
2023/01/01;0900 UTC;0;961,8;961,8;961,3;;21,3;21;21,6;21,1;21,2;20,8;98;98;98;20;0;0;
2023/01/01;1000 UTC;0;962,7;962,7;961,8;35;21,4;21,1;21,4;20,9;21,1;20,6;99;98;99;9;0;0;
2023/01/01;1100 UTC;0;963,4;963,4;962,7;594,2;22,8;22,1;23,1;21,4;22,6;21,2;99;95;96;324;0;0;
2023/01/01;1200 UTC;0;963,9;963,9;963,4;1656,7;24,9;22,8;25,1;22,8;23,3;22;96;87;88;245;2,2;0;
