REGIAO:;CO
UF:;MT
ESTACAO:;SERRA NOVA DOURADA
CODIGO (WMO):;A943
LATITUDE:;-11,98777777
LONGITUDE:;-51,4261111
ALTITUDE:;441
DATA DE FUNDACAO:;29/03/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;961,6;961,6;960,8;;25,6;21,2;25,9;25;22,3;21;83;75;76;317;2,6;2,2;
2023/01/01;0100 UTC;0;961,9;961,9;961,5;;24,8;21,4;26,1;24,8;21,5;21,2;82;75;82;283;7,9;2,8;
2023/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0300 UTC;0;961,9;961,9;961,8;;24,8;21,6;25,1;24,6;21,8;21,4;83;81;82;258;1,8;,6;
2023/01/01;0400 UTC;0;961,5;961,9;961,5;;24,4;21,5;24,9;24,3;21,8;21,3;85;82;84;197;1,6;,4;
2023/01/01;0500 UTC;0;961;961,5;961;;23,8;21,5;24,4;23,8;21,6;21,3;87;84;87;216;1,6;,7;
2023/01/01;0600 UTC;0;960,8;961;960,6;;23,9;20,9;24,2;23,8;21,5;20,8;87;82;83;249;2,8;,9;
2023/01/01;0700 UTC;0;960,5;960,8;960,5;;23,7;21;23,9;23,6;21,1;20,8;86;83;85;201;2,8;,5;
2023/01/01;0800 UTC;0;960,7;960,7;960,4;;23,5;20,7;23,7;22,6;21,1;20,4;90;83;84;283;2,2;1,3;
2023/01/01;0900 UTC;0;960,9;960,9;960,6;;23,4;20,7;23,6;23,3;20,7;20,5;85;84;85;266;2,7;1,2;
2023/01/01;1000 UTC;0;961,7;961,7;960,9;203,8;24,3;21,1;24,3;23,4;21,4;20,6;85;82;82;255;2,3;1;
2023/01/01;1100 UTC;0;962,4;962,4;961,7;928,4;25,5;22,2;25,6;24,3;22,7;21,1;85;79;82;292;4,2;2,7;
2023/01/01;1200 UTC;0;962,6;962,6;962,4;1754,3;26,4;22,9;26,5;25,5;23,4;22,2;84;79;81;310;4,7;3,3;
2023/01/01;1300 UTC;,2;962,8;963;962,6;2070,5;26,9;23,1;27,4;26,2;24;22,4;85;77;80;302;5,4;2,9;
2023/01/01;1400 UTC;0;962,3;962,8;962,3;2893,1;28,2;22,7;29,3;26,7;24,2;22;81;69;72;320;4,7;2,8;
2023/01/01;1500 UTC;0;961,7;962,3;961,7;3085;28,7;22,5;29,7;28;23,7;21,6;75;64;69;350;5;1,9;
2023/01/01;1600 UTC;0;961,1;961,7;961,1;2990,3;28,9;22,3;30,1;28,4;23,2;21,4;72;59;68;318;5,7;3,5;
2023/01/01;1700 UTC;0;960;961,1;960;3417,8;30;21,3;30,9;28,6;23,2;20,8;69;57;60;308;5,8;3,7;
2023/01/01;1800 UTC;0;958,8;960;958,8;2824,7;30;21,6;30,9;29,4;23,2;20,2;67;55;61;283;5,6;1,8;
2023/01/01;1900 UTC;0;958;958,8;958;2912,5;30,5;22,8;31,2;30;22,9;20,1;64;53;63;313;5,7;3,4;
2023/01/01;2000 UTC;0;957,8;958;957,7;1557,8;30,3;20,2;30,5;29,4;23,1;20,2;69;55;55;338;6;1,5;
2023/01/01;2100 UTC;0;958,1;958,1;957,7;525,2;28,3;23,1;30,9;28,3;23,7;20,1;75;54;73;319;2,4;1,6;
2023/01/01;2200 UTC;0;958,8;958,8;958,1;103,8;27,2;20,6;28,3;27,1;22,9;19,7;74;61;67;321;3,5;2,6;
2023/01/01;2300 UTC;0;959,8;960;958,8;;24;20,9;27,2;24;21,6;20,5;82;67;82;303;11,3;3,4;
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0200 UTC;0;961,7;961,9;961,7;;25,2;20,9;25,8;24,8;21,1;20,5;80;73;77;164;3;1,2;
2023/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0400 UTC;0;960,5;961,5;960,5;;24,8;20,9;25,1;23,9;21,7;20,8;86;78;79;134;3,4;1,7;
2023/01/02;0500 UTC;0;960;960,5;960;;23,9;21,5;24,8;23,7;21,6;20,9;87;79;86;132;2,8;1,2;
2023/01/02;0600 UTC;0;959,6;960;959,5;;23,8;21,9;24,5;23,7;21,9;21,5;89;84;89;170;3,1;1,2;
2023/01/02;0700 UTC;0;959,4;959,6;959,4;;24,2;21,2;24,5;23,7;22;21;89;81;83;183;2,1;,9;
2023/01/02;0800 UTC;0;959,6;959,6;959,3;;24,4;20,6;24,5;23,8;21,4;20,6;86;79;79;187;2,8;,8;
2023/01/02;0900 UTC;0;960,2;960,2;959,6;;22,4;21,1;24,6;22,4;21,2;20,5;92;79;92;154;3,3;2,1;
2023/01/02;1000 UTC;0;961,3;961,3;960,1;162,6;23,9;20,8;23,9;22,4;21,4;20,7;92;83;83;156;3,8;1,4;
2023/01/02;1100 UTC;0;961,9;961,9;961,2;832,2;25,2;21,8;25,3;23,8;21,9;20,7;84;78;81;155;3;2;
2023/01/02;1200 UTC;0;962,3;962,3;961,8;1534,8;27,6;21,6;27,7;25,2;22;20,6;81;67;70;263;2,7;,8;
2023/01/02;1300 UTC;0;962,3;962,5;962,1;2403,5;28,7;21,9;29;27,7;22,8;20,5;71;63;67;262;3,7;1,4;
2023/01/02;1400 UTC;0;961,6;962,3;961,6;2508,4;28,3;22,8;29,6;27,3;22,9;21,3;75;65;72;246;5;1,4;
2023/01/02;1500 UTC;0;960,6;961,6;960,5;2694,2;29,5;22,8;29,5;27,8;23,6;21,6;74;65;67;255;6,1;1,8;
2023/01/02;1600 UTC;0;959,4;960,7;959,4;1919,2;28;20,7;29,9;27,9;23,5;20,3;70;63;65;242;5,7;1,7;
2023/01/02;1700 UTC;0;958,8;959,6;958,8;322,1;26,2;22,9;28;26;23,2;20,4;85;65;82;296;4,6;1,7;
2023/01/02;1800 UTC;0;958;958,8;958;321,7;26,4;23,2;26,6;26;23,2;22,6;84;79;82;151;2,6;,5;
2023/01/02;1900 UTC;0;957,9;958,2;957,9;808,4;26,9;22,8;28;26,4;23,3;21,4;83;70;78;55;2,1;,8;
2023/01/02;2000 UTC;0;957,9;958;957,7;619,9;27;21,8;27,3;26,5;23,4;21,3;82;71;73;273;2,3;,7;
2023/01/02;2100 UTC;0;957,9;957,9;957,7;353,4;26,5;22,5;27;26,5;22,8;21,7;79;73;79;210;2,4;,9;
2023/01/02;2200 UTC;0;958,4;958,4;957,9;61,2;24,9;23,1;26,5;24,9;23,5;22,6;90;79;90;105;2,3;1,1;
2023/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/03;0100 UTC;0;961,2;961,2;960,7;;23,4;22,1;24,3;23,3;23,1;21,9;93;91;92;120;5,5;2,9;
2023/01/03;0200 UTC;0;961,4;961,5;961,2;;23;21,8;23,7;23;22,3;21,8;93;91;93;117;4,9;3,3;
2023/01/03;0300 UTC;0;960,8;961,6;960,8;;22,4;21,4;23;22,4;21,9;21,4;94;93;94;112;4,4;2,8;
2023/01/03;0400 UTC;0;960,2;960,8;960,2;;22,3;21,3;22,6;22,2;21,6;21,2;94;94;94;154;4;2,9;
2023/01/03;0500 UTC;0;959,6;960,2;959,6;;22,3;21,1;22,5;22,2;21,4;21,1;94;93;93;131;4,9;3,6;
2023/01/03;0600 UTC;0;959,3;959,6;959,2;;21,9;20,7;22,3;21,9;21,1;20,7;94;93;93;129;5;3,3;
2023/01/03;0700 UTC;0;959,4;959,6;959,3;;21,6;20,5;22;21,5;20,7;20,3;93;92;93;135;4,7;2,5;
2023/01/03;0800 UTC;0;959,4;959,4;959,3;;21,4;20,3;21,6;20,9;20,5;19,8;94;93;93;123;4;2,8;
2023/01/03;0900 UTC;0;960;960;959,3;;21,2;19,7;21,6;21,2;20,2;19,7;93;91;91;124;3,9;2,7;
2023/01/03;1000 UTC;0;961,2;961,2;960;142,8;22;20,6;22;21;20,6;19,6;92;91;92;109;3,5;2,5;
2023/01/03;1100 UTC;0;962;962,1;961,2;791,4;23,5;21,7;23,5;22;21,7;20,6;92;88;90;97;4,6;3,2;
2023/01/03;1200 UTC;0;962,7;962,7;962;1694,3;24,8;21,9;24,8;23,2;22,2;21;90;82;84;116;5,8;4;
2023/01/03;1300 UTC;0;963,2;963,2;962,7;2521,7;26,2;21,6;26,4;24,7;22,4;21,2;84;75;76;118;6,3;3,1;
2023/01/03;1400 UTC;0;962,5;963,2;962,5;2525,1;26,9;21,4;27,6;26,2;22,5;20,9;80;69;72;160;6,7;3,1;
2023/01/03;1500 UTC;0;961,5;962,5;961,5;2228,4;27,4;20,9;28,1;26,9;22,2;20,6;74;67;68;140;5,9;3,5;
2023/01/03;1600 UTC;0;960,4;961,5;960,4;2550,3;28,9;22,1;28,9;27,3;22,7;20,4;74;63;67;150;5,5;2,8;
2023/01/03;1700 UTC;2,4;959;960,4;959;2081,6;26,1;21,6;29,5;25,2;23,3;20;77;60;76;179;6,9;2,3;
2023/01/03;1800 UTC;0;958,5;958,9;958,2;1356,4;26,7;22,9;28,1;25,4;23,9;20,9;86;70;80;125;8,2;3,9;
2023/01/03;1900 UTC;0;958,9;959;958,5;440,7;24,1;21,5;26,9;24,1;22,4;21;86;70;86;54;6,4;2;
2023/01/03;2000 UTC;5,6;958,3;959,1;958,2;253,1;23,1;21,2;24,4;23,1;22;21;91;84;89;210;4,3;1,4;
2023/01/03;2100 UTC;,2;958,5;958,7;958,2;244,5;23,4;21,6;23,5;23,1;21,7;21,3;91;87;90;288;4,2;1,9;
2023/01/03;2200 UTC;0;959,6;959,6;958,5;78,9;23;21,4;23,4;23;21,8;21,3;91;89;91;216;3,5;,8;
2023/01/03;2300 UTC;0;960,3;960,3;959,6;;22,9;21,1;23,1;22,9;21,5;21,1;91;89;90;232;2,9;1,1;
2023/01/04;0000 UTC;0;960,8;960,8;960,3;;22,6;21,4;22,9;22,6;21,4;21,1;93;89;93;225;2,9;,9;
2023/01/04;0100 UTC;0;961,4;961,4;960,8;;22,7;21,1;22,8;22,6;21,5;21;93;91;91;242;2,5;1,2;
2023/01/04;0200 UTC;0;961,8;961,9;961,4;;22,5;21;22,9;22,4;21,1;20,5;91;87;91;268;3,1;1,2;
2023/01/04;0300 UTC;0;962;962;961,8;;22,3;21,1;22,5;22,3;21,2;21;93;91;92;251;4,2;1,5;
2023/01/04;0400 UTC;0;961,8;962,2;961,8;;22,5;21,3;22,5;22,3;21,3;21,1;93;92;93;233;3,7;1,4;
2023/01/04;0500 UTC;0;961;961,8;961;;22,3;21,2;22,6;22,3;21,4;21,1;93;92;93;177;3,7;1,4;
2023/01/04;0600 UTC;0;960,8;961;960,8;;22,4;21,4;22,4;22,3;21,4;21,2;94;93;94;202;3,7;1,1;
2023/01/04;0700 UTC;0;960,6;960,8;960,4;;22,3;21,1;22,6;22,3;21,4;21,1;94;92;93;204;2,8;1,2;
2023/01/04;0800 UTC;0;960,8;960,9;960,6;;22,5;21,2;22,5;22,3;21,2;21,1;93;92;92;174;3,7;2;
2023/01/04;0900 UTC;0;961;961;960,8;;22,3;21,1;22,6;22,3;21,2;21,1;93;92;93;169;4,9;2,5;
2023/01/04;1000 UTC;0;962,3;962,3;961;89,3;22,5;21,2;22,5;22,2;21,2;21,1;94;93;93;176;4,4;1,7;
2023/01/04;1100 UTC;0;962,8;962,8;962,3;381,1;23;21,6;23;22,5;21,6;21,1;93;90;92;168;4,6;2,9;
2023/01/04;1200 UTC;0;963,2;963,2;962,8;1133,7;24;21,6;24,2;23;22;21,4;92;85;86;159;5,6;3,1;
2023/01/04;1300 UTC;0;963,5;963,6;963,2;1383,5;25,2;21,6;25,2;23,9;22;21,2;87;79;81;157;4,7;2,5;
2023/01/04;1400 UTC;0;963,2;963,5;963,2;2245,4;27,2;22;27,2;25,1;22,7;21,2;82;72;73;153;5,1;2,6;
2023/01/04;1500 UTC;0;962,5;963,2;962,5;3766,7;29,2;21,6;29,2;26,9;22,4;20,2;74;61;64;192;4,9;1,8;
2023/01/04;1600 UTC;0;961,3;962,5;961,3;3907,3;29,4;21,3;30;28,4;22,6;19,9;67;59;62;220;5,8;2,2;
2023/01/04;1700 UTC;0;960,1;961,3;960,1;3703,3;30,1;21,9;30,6;29,1;22,1;19,3;65;54;62;241;6,5;2,2;
2023/01/04;1800 UTC;0;959,4;960,1;959,4;2536,3;30,4;22,7;31,4;28,4;22,7;20,5;69;56;64;245;5,3;1,2;
2023/01/04;1900 UTC;0;958,5;959,4;958,5;1260;28,1;22,3;30,8;27,8;23;20,7;71;57;71;261;6,4;1,1;
2023/01/04;2000 UTC;0;957,8;958,5;957,8;855,8;27,4;21,9;28,4;27,4;23,2;21,2;75;67;72;275;4,6;1,5;
