REGIAO:;NE
UF:;AL
ESTACAO:;PAO DE ACUCAR
CODIGO (WMO):;A323
LATITUDE:;-9,74916666
LONGITUDE:;-37,43083332
ALTITUDE:;20,83
DATA DE FUNDACAO:;14/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;1012,7;1012,7;1012;;;;;;;;;;;109;6;2,2;
2023/01/01;0100 UTC;;1012,5;1012,7;1012,4;;;;;;;;;;;106;5,3;1,7;
2023/01/01;0200 UTC;;1012;1012,5;1012;;;;;;;;;;;113;4,2;,4;
2023/01/01;0300 UTC;;1011,4;1012;1011,4;;;;;;;;;;;98;2,6;,3;
2023/01/01;0400 UTC;;1010,9;1011,4;1010,9;;;;;;;;;;;136;2,3;,1;
2023/01/01;0500 UTC;;1010,7;1010,9;1010,7;;;;;;;;;;;109;2;0;
2023/01/01;0600 UTC;;1010,3;1010,7;1010,2;;;;;;;;;;;17;1;0;
2023/01/01;0700 UTC;;1010,3;1010,4;1010,2;;;;;;;;;;;87;,4;0;
2023/01/01;0800 UTC;;1010,7;1010,7;1010,3;;;;;;;;;;;113;,9;0;
2023/01/01;0900 UTC;;1011,6;1011,6;1010,7;50;;;;;;;;;;60;2;,2;
2023/01/01;1000 UTC;;1012;1012;1011,6;391,8;;;;;;;;;;124;2,9;,9;
2023/01/01;1100 UTC;;1012,2;1012,2;1012;1363,4;;;;;;;;;;123;2,9;1,4;
2023/01/01;1200 UTC;;1011,9;1012,2;1011,9;1519,3;;;;;;;;;;82;4,5;,5;
2023/01/01;1300 UTC;;1011,3;1011,9;1011,3;2302;;;;;;;;;;142;4,3;1,6;
2023/01/01;1400 UTC;;1010,4;1011,3;1010,4;2384;;;;;;;;;;112;6,1;,4;
2023/01/01;1500 UTC;;1009,7;1010,4;1009,7;2324,1;;;;;;;;;;126;8;2,8;
2023/01/01;1600 UTC;;1008,7;1009,7;1008,7;1587,8;;;;;;;;;;129;5,6;1,7;
2023/01/01;1700 UTC;;1007,6;1008,7;1007,6;2873,9;;;;;;;;;;120;5;1,9;
2023/01/01;1800 UTC;;1007,2;1007,6;1007,2;1617,3;;;;;;;;;;127;8,5;3,5;
2023/01/01;1900 UTC;;1008,3;1008,3;1007,2;522,3;;;;;;;;;;50;10,8;3,5;
2023/01/01;2000 UTC;;1008,8;1008,8;1008,3;495,8;;;;;;;;;;56;8;2,7;
