REGIAO:;NE
UF:;BA
ESTACAO:;ITABERABA
CODIGO (WMO):;A408
LATITUDE:;-12,52416666
LONGITUDE:;-40,29972221
ALTITUDE:;250,11
DATA DE FUNDACAO:;29/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;986,2;986,2;985,4;;24,2;21,1;25,2;24;21,3;20,9;83;79;83;144;3,8;1,6;
2023/01/01;0100 UTC;;987;987;986,2;,7;23,7;21,2;24,2;23,7;21,3;21;86;83;86;159;3,7;1,2;
2023/01/01;0200 UTC;;987,2;987,3;987;;23,4;21,6;23,7;23,3;21,6;21,1;90;86;90;182;3,5;1,3;
2023/01/01;0300 UTC;;986,9;987,3;986,9;,3;23;21,8;23,4;22,9;21,8;21,6;93;90;93;186;3,2;,8;
2023/01/01;0400 UTC;;986,3;986,9;986,3;,2;23;22;23,1;22,9;22,1;21,8;94;93;94;154;2,7;1;
2023/01/01;0500 UTC;;985,9;986,3;985,9;,4;22,8;22;23;22,7;22,1;21,9;96;94;96;144;2,7;,6;
2023/01/01;0600 UTC;;985,5;985,9;985,5;1,1;22,8;22,1;23;22,8;22,2;22;96;95;96;154;2;,4;
2023/01/01;0700 UTC;;985,5;985,6;985,4;,6;22,8;22;22,9;22,7;22,2;22;96;95;95;139;2,1;,7;
2023/01/01;0800 UTC;;985,7;985,7;985,5;;22,4;22,2;22,8;22,3;22,2;21,8;99;95;99;6;2,1;,5;
2023/01/01;0900 UTC;;986;986,1;985,7;;21,9;21,9;22,4;21,9;22,4;21,9;100;99;100;337;2,1;0;
2023/01/01;1000 UTC;;986,6;986,6;986;5,8;23;;23;21,8;;;;;;294;0;0;
2023/01/01;1100 UTC;;987,2;987,2;986,6;26,3;23,8;;24,2;22,7;;;;;;31;1,7;,6;
2023/01/01;1200 UTC;;987,4;987,5;987,2;60;25,9;22,3;26,6;23,8;25;22,3;100;80;80;225;3,5;,7;
2023/01/01;1300 UTC;;987,1;987,5;987,1;81,1;27,7;23,1;28,2;25,6;24,3;21,8;84;74;76;41;3,3;1,2;
2023/01/01;1400 UTC;;986,3;987,1;986,3;127,6;29,7;22,8;29,8;26,3;24,5;21,3;79;66;67;65;4,7;1,3;
2023/01/01;1500 UTC;;985,6;986,4;985,6;149,2;28,2;21,2;31,4;28,2;24,2;21;70;60;66;126;4,7;1,7;
2023/01/01;1600 UTC;;984,7;985,6;984,7;207,7;30,5;22;31,3;28,2;22,9;20,9;68;57;61;144;4,9;2,2;
2023/01/01;1700 UTC;;983,7;984,7;983,7;166,7;32,5;22,9;32,5;30;22,9;20,2;61;54;57;105;5,7;,9;
2023/01/01;1800 UTC;;983;983,7;983;147,9;31,3;22,1;32,5;30;22,7;20,5;59;53;58;127;5,5;2,4;
2023/01/01;1900 UTC;;982,3;983;982,3;141,8;31,7;22,1;32,2;30,2;22,6;20,8;60;54;57;98;5,8;2,4;
2023/01/01;2000 UTC;;982,3;982,3;982,2;93,7;30,5;20,9;31,6;30;21,8;20,7;60;56;57;109;6,9;3,4;
2023/01/01;2100 UTC;;982,9;982,9;982,3;33,4;28,9;20,7;30,5;28,8;21,8;20,6;63;56;61;109;7,3;3;
2023/01/01;2200 UTC;;983,8;983,8;982,9;4,4;27,2;21,5;28,9;27,2;21,5;20,3;71;60;71;111;7,9;4,4;
2023/01/01;2300 UTC;;985;985;983,8;,5;25,8;21,7;27,2;25,8;21,7;21,5;78;71;78;112;9,1;3,8;
2023/01/02;0000 UTC;;986;986;985,1;1,8;25,2;21,9;25,8;25,1;21,9;21,7;82;78;82;125;6,4;1,5;
2023/01/02;0100 UTC;;986,6;986,6;986;1,4;25;21,2;25,3;25;22;21,1;82;79;79;122;5,3;2,4;
2023/01/02;0200 UTC;;986,6;986,7;986,5;1,5;24,3;21,4;25;24,3;21,4;21,1;84;79;84;119;4,7;2,2;
2023/01/02;0300 UTC;;986,1;986,6;986,1;,7;24;21,9;24,4;24;22;21,4;88;84;88;101;5,8;2,6;
2023/01/02;0400 UTC;;985,5;986,1;985,5;,4;23,4;21,2;24;23,4;21,9;21,2;88;87;87;91;5,1;1,6;
2023/01/02;0500 UTC;;985,1;985,5;985;,3;22,9;21,1;23,4;22,9;21,2;21;89;87;89;85;4,4;2,2;
2023/01/02;0600 UTC;;985,1;985,2;985,1;;22,2;21;23;22,2;21,2;21;93;89;93;27;5,3;1,9;
2023/01/02;0700 UTC;;984,6;985,1;984,6;;21,7;21,2;22,2;21,6;21,2;20,9;97;93;97;306;4,1;0;
2023/01/02;0800 UTC;;984,8;984,9;984,6;;21,7;21,5;21,8;21,6;21,6;21,2;99;97;99;130;1,3;0;
2023/01/02;0900 UTC;;985,3;985,3;984,8;;21,3;21,3;21,7;21,2;21,6;21,2;100;99;100;244;1,3;,4;
2023/01/02;1000 UTC;;985,9;985,9;985,3;11,7;23,6;22,5;24;21,3;23,9;21,3;100;93;93;207;2,6;0;
2023/01/02;1100 UTC;;986,5;986,5;985,9;39;25,9;21,9;26,4;23,4;23,6;21,6;93;79;79;107;1,7;,2;
2023/01/02;1200 UTC;;986,4;986,5;986,3;72,6;26,9;22;27,8;25,5;23,6;21,4;81;74;75;50;4,2;1,6;
2023/01/02;1300 UTC;;986,3;986,5;986,3;97,9;28,5;23,4;28,5;25,8;23,8;21,6;82;73;74;79;4,6;1,9;
2023/01/02;1400 UTC;;985,9;986,3;985,9;117,2;28,4;22,5;28,7;26,8;23,2;21,8;76;69;70;38;6,4;2,8;
2023/01/02;1500 UTC;;985,1;985,9;985,1;157,7;28,5;21,8;30,6;28,1;23,7;21,5;72;63;67;60;5,4;2;
2023/01/02;1600 UTC;;984;985,1;984;133,1;28,8;22,3;29,6;27,1;24,1;22;79;67;68;25;6,2;,9;
2023/01/02;1700 UTC;;983,3;984;983,3;146,3;27,3;23,6;31,4;26,4;23,6;22,4;82;61;80;107;9,3;4,6;
2023/01/02;1800 UTC;;982,5;983,3;982,5;128,7;27,4;22,9;27,8;26,8;24;22,5;82;76;76;122;8,6;1,4;
2023/01/02;1900 UTC;;982;982,5;981,9;113,9;28,2;23,5;30,3;27,4;24,5;22,5;78;70;76;80;9,4;3,9;
2023/01/02;2000 UTC;;981,9;982,1;981,8;83,9;27,7;22,3;28,4;26,6;23,8;21,9;78;71;72;113;7,3;3,8;
2023/01/02;2100 UTC;;982,2;982,2;981,8;42;26,6;23;27,7;26,5;23;21,6;81;71;81;115;6,5;3;
2023/01/02;2200 UTC;;983,7;983,7;982,2;,8;23;22,8;26,6;23;23,1;22,6;99;81;99;117;9,8;3,4;
2023/01/02;2300 UTC;;984,7;984,7;983,7;;22,9;22,9;23;22,9;23;22,8;100;99;100;113;6,2;2,9;
2023/01/03;0000 UTC;;985,3;985,3;984,7;;22,3;;23;22,3;;;;;;119;6,9;2,2;
2023/01/03;0100 UTC;;985,5;985,7;985,2;;22,3;;22,4;22,3;;;;;;78;4,2;1,4;
2023/01/03;0200 UTC;;985,3;985,5;985,3;;22,4;;22,5;22,3;;;;;;62;4,7;1,7;
2023/01/03;0300 UTC;;985,4;985,5;985,2;;22,2;;22,4;22,2;;;;;;67;6,8;2,6;
2023/01/03;0400 UTC;;985;985,6;985;;21,8;;22,2;21,8;;;;;;58;4,3;1,8;
2023/01/03;0500 UTC;;984,4;985;984,4;;21,7;;21,8;21,7;;;;;;114;3,8;,4;
