REGIAO:;NE
UF:;BA
ESTACAO:;CORRENTINA
CODIGO (WMO):;A416
LATITUDE:;-13,33249999
LONGITUDE:;-44,61749999
ALTITUDE:;551,71
DATA DE FUNDACAO:;09/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;950,6;950,6;950;;22,2;21,9;23,4;22,2;22,5;21,9;98;94;98;297;1,1;,6;
2023/01/01;0100 UTC;0;951;951,1;950,6;;21,5;21,5;22,2;21,5;21,9;21,5;100;98;100;223;1,5;,4;
2023/01/01;0200 UTC;0;951,3;951,3;951;;20,9;20,9;21,5;20,9;21,5;20,9;100;100;100;256;1,6;1;
2023/01/01;0300 UTC;0;951;951,4;951;;20,8;20,8;20,9;20,6;20,9;20,6;100;100;100;258;3,1;1,4;
2023/01/01;0400 UTC;0;950,7;951,1;950,7;;20,2;20,2;20,9;20,2;20,9;20,2;100;100;100;261;3,1;,8;
2023/01/01;0500 UTC;0;950,4;950,7;950,4;;19,8;19,8;20,3;19,8;20,3;19,8;100;100;100;253;2,4;,5;
2023/01/01;0600 UTC;0;950,4;950,4;950,3;;19,4;;19,9;19,4;19,8;19,4;100;100;;263;1,4;,5;
2023/01/01;0700 UTC;0;950,4;950,5;950,3;;19,7;19,7;19,8;19,4;;;;;100;244;2,5;1,1;
2023/01/01;0800 UTC;0;950,8;950,8;950,4;;19,3;;19,7;19,2;;;;;;299;2,5;,3;
2023/01/01;0900 UTC;0;951,5;951,5;950,8;2,7;18,9;;19,4;18,9;;;;;;214;1,7;,2;
2023/01/01;1000 UTC;0;952,1;952,2;951,5;364,4;21,2;21,2;21,2;18,9;;;;;100;78;1,7;,9;
2023/01/01;1100 UTC;0;952,5;952,5;952,1;1274,7;23,5;20,9;23,7;21,2;21,6;20,5;100;85;85;70;3,1;1,3;
2023/01/01;1200 UTC;0;952,8;952,8;952,5;2108,5;25,5;21,1;25,9;23,4;21,7;20,4;87;76;76;118;4,3;2,2;
