REGIAO:;NE
UF:;BA
ESTACAO:;UNA
CODIGO (WMO):;A437
LATITUDE:;-15,28027777
LONGITUDE:;-39,09138888
ALTITUDE:;74,08
DATA DE FUNDACAO:;25/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1007,6;1007,6;1007,2;;23,1;21;24;23;21,2;20,9;88;84;88;289;,8;0;
2023/01/01;0100 UTC;0;1007,8;1007,9;1007,6;;22,9;20,9;23,2;22,6;21,1;20,5;89;87;88;284;1,9;,6;
2023/01/01;0200 UTC;0;1007,6;1007,9;1007,6;;22,6;20,7;22,9;22,6;20,9;20,6;89;88;89;283;2,1;1,2;
2023/01/01;0300 UTC;,4;1007,1;1007,6;1007;;22,3;20,6;22,6;22,3;20,7;20,4;90;89;90;240;2,4;,6;
2023/01/01;0400 UTC;,6;1006,6;1007,1;1006,3;;22,3;20,9;22,4;22,2;20,9;20,5;92;90;92;157;4,5;1,4;
2023/01/01;0500 UTC;1,6;1006;1006,6;1006;;22,2;20,8;22,4;22,2;21;20,8;92;92;92;278;4,5;,7;
2023/01/01;0600 UTC;0;1005,8;1006;1005,7;;22;20,6;22,3;22;20,9;20,6;92;91;92;271;1,6;,5;
2023/01/01;0700 UTC;0;1005,9;1005,9;1005,8;;21,8;20,4;22;21,7;20,6;20,3;92;92;92;267;2;,7;
2023/01/01;0800 UTC;0;1006,3;1006,3;1005,9;;21,5;20,2;21,8;21,5;20,4;20,1;92;92;92;294;1,7;0;
2023/01/01;0900 UTC;0;1006,9;1006,9;1006,3;95,8;21,6;20,2;21,7;21,4;20,3;20;92;92;92;239;1,5;,6;
2023/01/01;1000 UTC;0;1007,2;1007,3;1006,9;904;24,3;21,6;24,4;21,6;22,1;20,3;92;85;85;237;2,2;1,1;
2023/01/01;1100 UTC;0;1007,5;1007,5;1007,2;1548;25,9;21,2;26,9;24,1;22,2;20,9;85;73;75;177;2,9;1;
2023/01/01;1200 UTC;0;1007,6;1007,7;1007,5;2025,2;26,7;21,2;27,5;25,9;22,1;21;76;69;72;101;3,5;1;
2023/01/01;1300 UTC;0;1007,5;1007,7;1007,4;2419;28,5;20,5;28,9;26,7;22,2;19,9;73;60;62;102;6,8;2,3;
2023/01/01;1400 UTC;0;1007;1007,5;1007;3536;29;21,6;29,6;27,8;21,8;20,2;66;58;64;116;7;2,2;
2023/01/01;1500 UTC;,4;1006,6;1007;1006,6;1892,5;26,8;21,2;29,9;26,5;22,2;20,3;77;60;71;85;7;2,2;
2023/01/01;1600 UTC;0;1006,1;1006,6;1006,1;2817,3;29;21;29,2;26,8;22,1;20,1;71;61;62;106;8,6;3,3;
2023/01/01;1700 UTC;0;1005,4;1006,1;1005,4;2810,2;28,4;19,9;29,3;27,5;21,9;19,7;69;59;60;109;9,1;3,5;
2023/01/01;1800 UTC;0;1004,9;1005,4;1004,9;2770,2;28,5;20,4;28,9;27,6;21,2;19,4;66;58;61;96;7;2,7;
2023/01/01;1900 UTC;0;1005;1005;1004,8;1681,7;26,8;20,4;29;26,8;20,7;19,3;68;59;68;102;7,6;3;
2023/01/01;2000 UTC;0;1005,5;1005,5;1005;336;25,3;21,4;26,8;25,2;21,7;20,5;79;68;79;93;7,4;2,5;
2023/01/01;2100 UTC;0;1005,9;1005,9;1005,5;100,5;24,7;20,6;25,3;24,7;21,3;20,6;80;77;78;107;6,4;1,9;
2023/01/01;2200 UTC;0;1006,6;1006,6;1005,9;;24,5;20,8;24,7;24,5;21;20,6;81;78;80;116;4,4;,2;
2023/01/01;2300 UTC;0;1007,4;1007,4;1006,6;;24,1;20,9;24,5;24,1;21,2;20,8;83;80;82;94;4,3;1,7;
2023/01/02;0000 UTC;0;1008;1008,1;1007,4;;23,2;20,5;24,1;23,2;20,9;20,2;85;81;85;110;4,6;1;
2023/01/02;0100 UTC;,4;1007,7;1008;1007,7;;23,2;20,9;23,3;23,1;21;20,5;87;85;87;42;2,5;,2;
2023/01/02;0200 UTC;,4;1007,1;1007,7;1007,1;;22,8;21;23,2;22,8;21,2;20,8;89;87;89;222;1,4;,2;
2023/01/02;0300 UTC;,4;1006,6;1007,1;1006,6;;22,8;21,3;22,9;22,7;21,3;20,9;91;89;91;318;1,8;,4;
2023/01/02;0400 UTC;0;1005,8;1006,6;1005,8;;22,7;21,2;22,8;22,6;21,3;21,1;91;91;91;279;1,5;,3;
2023/01/02;0500 UTC;9,4;1005,7;1006,1;1005,6;;22,1;20,6;22,7;22;21,2;20,6;92;91;92;290;2,9;,1;
2023/01/02;0600 UTC;,6;1005,4;1005,6;1005,3;;21,7;20,3;22,1;21,7;20,7;20,3;92;91;92;172;1,6;,6;
2023/01/02;0700 UTC;,2;1005,3;1005,5;1005,3;;21,7;20,3;21,8;21,6;20,4;20,2;92;91;92;247;1,6;,2;
2023/01/02;0800 UTC;,8;1005,6;1005,6;1005,3;;21,6;20,2;21,7;21,5;20,3;20,1;92;91;92;222;1,1;,3;
2023/01/02;0900 UTC;0;1005,8;1005,8;1005,5;51,3;21,8;20,4;21,8;21,5;20,4;20,1;92;92;92;297;2;,4;
2023/01/02;1000 UTC;,2;1006,5;1006,5;1005,8;651;23,8;22;23,8;21,8;22,1;20,4;92;90;90;253;1,8;,3;
2023/01/02;1100 UTC;0;1006,8;1006,8;1006,5;894,8;24,9;21,3;24,9;23,4;21,9;20,9;90;81;81;253;1,7;,5;
2023/01/02;1200 UTC;0;1007,1;1007,1;1006,8;1322,6;26,1;21,6;26,1;24,6;21,6;20,5;81;76;76;252;3;,9;
2023/01/02;1300 UTC;,6;1007,1;1007,1;1007;935,9;24;21,6;26,1;23,7;21,7;20,5;87;73;86;322;4,5;,9;
2023/01/02;1400 UTC;0;1006,3;1007,1;1006,3;2176,4;26,6;22,4;26,7;24;22,9;21,2;86;76;78;274;3,3;,9;
