REGIAO:;NE
UF:;BA
ESTACAO:;MARAU
CODIGO (WMO):;A438
LATITUDE:;-13,90694444
LONGITUDE:;-38,97222221
ALTITUDE:;6,24
DATA DE FUNDACAO:;22/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1015,2;1015,2;1014,8;;24,1;;24,7;24,1;;;;;;115;1,5;,1;
2023/01/01;0100 UTC;0;1015,3;1015,4;1015,2;;24;;24,1;23,9;;;;;;108;2,1;,7;
2023/01/01;0200 UTC;0;1015;1015,3;1015;;24,3;;24,5;23,9;;;;;;66;3,2;1,1;
2023/01/01;0300 UTC;0;1014,3;1015;1014,3;;24,6;;25,1;24,3;;;;;;125;4,1;,4;
2023/01/01;0400 UTC;,6;1013,8;1014,3;1013,8;;23,4;;24,5;23,2;;;;;;199;8,1;,6;
2023/01/01;0500 UTC;,6;1013,5;1013,8;1013,5;;23,5;;23,6;23,3;;;;;;108;2,5;,8;
2023/01/01;0600 UTC;0;1013,3;1013,5;1013,3;;23,1;;23,5;23,1;;;;;;132;2,5;,1;
2023/01/01;0700 UTC;0;1013,4;1013,4;1013,2;;23,3;;23,5;23;;;;;;240;2,6;,5;
2023/01/01;0800 UTC;0;1013,8;1013,8;1013,3;;22,9;;23,3;22,9;;;;;;87;1,6;0;
2023/01/01;0900 UTC;0;1014,3;1014,3;1013,8;219,2;24,9;;24,9;22,8;;;;;;236;1,2;,1;
2023/01/01;1000 UTC;0;1014,7;1014,7;1014,3;976;27,1;;27,1;24,9;;;;;;181;2,7;,3;
2023/01/01;1100 UTC;0;1015,1;1015,1;1014,7;1880,7;28;;28,8;27,1;;;;;;122;4,7;1;
2023/01/01;1200 UTC;0;1015,4;1015,4;1015,1;2244,1;27,5;;29,7;27,5;;;;;;119;6,9;3,1;
2023/01/01;1300 UTC;0;1015;1015,4;1015;2508;28,7;;29,7;27;;;;;;121;6,9;2,4;
2023/01/01;1400 UTC;0;1014,6;1015;1014,5;3446,5;29,3;;30,2;28,7;;;;;;112;6,3;2,5;
2023/01/01;1500 UTC;0;1014;1014,6;1014;3065,5;29,2;;31,1;28,9;;;;;;119;6,6;3,3;
2023/01/01;1600 UTC;0;1013,5;1014;1013,5;3021,3;28,6;;31,1;28,6;;;;;;119;7,6;3,7;
2023/01/01;1700 UTC;0;1012,8;1013,5;1012,8;2650,4;28,9;;30,4;28,6;;;;;;138;8;3,4;
