REGIAO:;NE
UF:;MA
ESTACAO:;CAXIAS
CODIGO (WMO):;A237
LATITUDE:;-4,82138888
LONGITUDE:;-43,3436111
ALTITUDE:;84,85
DATA DE FUNDACAO:;13/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1001,4;1001,4;1000,9;;23,6;22,3;24,1;23,4;22,7;21,9;92;91;92;350;1,2;,5;
2023/01/01;0100 UTC;0;1002,6;1002,6;1001,4;;23,4;22,2;23,7;23,1;22,5;21,8;93;92;93;2;2,5;,9;
2023/01/01;0200 UTC;0;1002,1;1002,7;1002,1;;23,5;22,3;23,9;23,4;22,7;22,2;93;93;93;1;2,5;,8;
2023/01/01;0300 UTC;0;1001,4;1002,1;1001,4;;22,9;21,6;23,5;22,9;22,2;21,6;93;93;93;230;1,5;1;
2023/01/01;0400 UTC;0;1000,6;1001,4;1000,6;;22,7;21,5;23;22,7;21,8;21,4;93;93;93;5;1,3;,2;
2023/01/01;0500 UTC;0;1000,6;1000,6;1000,5;;22,6;21,5;22,9;22,6;21,7;21,4;93;93;93;7;1,4;,6;
2023/01/01;0600 UTC;0;1000,3;1000,6;1000,2;;22,5;21,3;22,7;22,5;21,5;21,3;93;93;93;195;1,9;,2;
2023/01/01;0700 UTC;0;1000,3;1000,3;1000,2;;22,3;21,2;22,5;22,3;21,4;21,1;94;93;93;150;1,1;,8;
2023/01/01;0800 UTC;0;1000,7;1000,7;1000,3;;22;20,8;22,3;21,9;21,2;20,8;94;93;93;34;1,3;,3;
2023/01/01;0900 UTC;0;1001,1;1001,1;1000,6;3,7;22;21;22;21,8;21;20,6;94;93;94;40;,7;,3;
2023/01/01;1000 UTC;0;1001,8;1001,8;1001,1;308,9;24,2;23;24,2;22;23;20,9;94;93;93;132;1,1;,6;
2023/01/01;1100 UTC;0;1002,2;1002,2;1001,8;803,6;27;23,4;27;24,2;23,5;22,4;93;81;81;116;1,6;,7;
2023/01/01;1200 UTC;0;1002,6;1002,7;1002,2;1479,3;29,4;22,9;29,4;26,3;23,7;21,9;81;67;68;38;2,4;,7;
2023/01/01;1300 UTC;0;1002,5;1002,7;1002,5;2345,6;30,2;22,8;30,5;28,1;23,6;21,5;71;64;65;43;3,6;1,2;
2023/01/01;1400 UTC;,6;1002;1002,5;1002;1411,4;27,7;23,8;30,3;27,6;23,8;22;79;63;79;87;4;1;
2023/01/01;1500 UTC;,4;1001,5;1002;1001,5;2811,3;29,6;22,7;30,5;27,7;25,2;21,7;82;63;66;103;4,8;2,1;
2023/01/01;1600 UTC;0;1000,6;1001,5;1000,6;2891,2;30,7;22,7;31,1;29,6;23,1;21,5;67;59;63;90;5,5;2,6;
2023/01/01;1700 UTC;0;999,9;1000,6;999,9;2603,6;30,2;22,2;31,9;30,2;23,5;21,6;65;56;62;93;5,7;2,4;
2023/01/01;1800 UTC;0;999,1;999,9;999,1;1111,8;30,7;22,1;30,8;30,1;23,2;22;66;60;60;98;5,3;1,1;
2023/01/01;1900 UTC;0;998,6;999,1;998,5;1149,4;30,9;21,4;31,2;30,6;22,9;21,3;64;56;57;146;3;1,8;
2023/01/01;2000 UTC;0;998,7;998,7;998,6;782,8;31;24,4;31,8;30,8;24,4;21,5;68;57;68;232;2,8;,6;
2023/01/01;2100 UTC;0;998,9;998,9;998,6;213,6;27,4;23,8;31;27,4;25,1;23,4;81;66;80;288;1,4;,5;
2023/01/01;2200 UTC;0;999,6;999,6;998,9;,4;25,7;23,4;27,4;25,5;23,7;23;87;80;87;126;1,4;,2;
2023/01/01;2300 UTC;0;1000,3;1000,3;999,6;;24,8;23;25,6;24,7;23,7;22,9;90;87;90;244;1;,3;
2023/01/02;0000 UTC;0;1000,8;1000,8;1000,3;;24,2;22,7;24,8;24,2;23,3;22,7;92;90;92;280;1,6;,4;
2023/01/02;0100 UTC;0;1001,4;1001,4;1000,8;;23,7;22,4;24,3;23,7;23;22,3;92;91;92;17;,8;,3;
2023/01/02;0200 UTC;0;1001,8;1002;1001,3;;24,8;23,5;24,8;23,6;23,5;22,3;93;92;93;12;5,3;1,3;
2023/01/02;0300 UTC;0;1001,5;1001,8;1001,5;;24,1;22,7;24,8;24,1;23,5;22,7;92;92;92;316;2,7;,8;
2023/01/02;0400 UTC;0;1001,1;1001,5;1001;;23,6;22,3;24,1;23,5;22,7;22,1;92;92;92;302;2;,8;
2023/01/02;0500 UTC;0;1000,6;1001,1;1000,5;;23;21,7;23,7;23;22,4;21,7;93;92;93;318;1,8;1,2;
2023/01/02;0600 UTC;0;1000,8;1001;1000,6;;23,4;22,2;23,5;23;22,3;21,8;93;93;93;334;1,7;,4;
2023/01/02;0700 UTC;0;1000,8;1000,9;1000,7;;23,7;22,5;23,7;23,3;22,5;22,1;93;93;93;324;1,6;,7;
2023/01/02;0800 UTC;0;1001;1001;1000,7;;23,7;22,6;23,7;23,4;22,6;22,2;93;93;93;327;1,5;,9;
2023/01/02;0900 UTC;0;1001,3;1001,3;1001;5,6;23,7;22,5;23,8;23,6;22,6;22,4;93;93;93;8;1,5;,6;
2023/01/02;1000 UTC;0;1002;1002;1001,3;277,6;24,8;23,4;24,8;23,7;23,4;22,4;93;92;92;253;1,3;,3;
2023/01/02;1100 UTC;0;1002,7;1002,7;1002;594,3;25,8;23;25,9;24,7;23,7;23;92;85;85;2;3,4;1;
2023/01/02;1200 UTC;0;1003;1003;1002,7;967,4;27,5;22,5;28,3;25,7;24,5;22,3;85;73;74;360;5,1;2,2;
2023/01/02;1300 UTC;0;1003,2;1003,2;1003;1094,3;28,8;22,7;28,9;27,5;23,3;22,1;76;69;70;98;5,1;1;
2023/01/02;1400 UTC;0;1002,8;1003,2;1002,8;1311,1;28,3;23,7;29,2;27,8;24,4;22,1;78;67;76;187;4,1;1,7;
2023/01/02;1500 UTC;0;1002,3;1002,9;1002,3;1469,2;29;23,5;29,7;27,7;24,7;23,2;79;71;72;218;4,2;1,7;
2023/01/02;1600 UTC;0;1001;1002,3;1001;2447,4;30,4;24,2;30,8;29;24,3;22,6;74;64;69;168;4,9;1,9;
2023/01/02;1700 UTC;0;999,8;1001;999,8;1785,8;29,8;23,1;30,7;29,4;24,4;22,5;71;64;67;149;4,2;2,4;
2023/01/02;1800 UTC;0;999,2;999,8;999,1;2083,3;30,7;23,8;31,5;29,6;24,6;22,8;69;63;67;176;4,9;2,6;
2023/01/02;1900 UTC;0;998,1;999,2;998,1;1973,7;30,5;23,8;31,1;30;24,7;23,2;70;65;67;199;5,3;2,5;
2023/01/02;2000 UTC;0;998;998,1;997,9;1073,1;29,5;23,3;30,6;29,3;23,9;23;71;65;69;205;5;2,2;
2023/01/02;2100 UTC;0;998,8;998,8;997,9;111,7;26,9;23,3;29,5;26,9;23,3;22,8;81;68;81;225;4,3;1,3;
2023/01/02;2200 UTC;0;998,8;998,9;998,7;,4;25,3;22,8;26,9;25,3;23,3;22,7;86;81;86;205;3,8;1,1;
2023/01/02;2300 UTC;0;1000,4;1000,4;998,8;;24,4;22,5;25,4;24,4;22,9;22,4;89;86;89;137;1,9;,5;
2023/01/03;0000 UTC;0;1000,9;1001;1000,3;;24,4;22,6;24,5;24;22,8;22,2;91;89;90;278;5,6;,9;
2023/01/03;0100 UTC;0;1001,7;1001,9;1000,9;;24,2;22,6;24,5;24,2;22,9;22,5;91;90;91;299;1,9;,8;
2023/01/03;0200 UTC;0;1002;1002;1001,6;;24,4;23;24,5;24,2;23;22,6;92;91;92;154;2,6;,9;
2023/01/03;0300 UTC;0;1001,5;1002,1;1001,5;;23,7;21,7;24,4;23,6;22,9;21,4;92;87;89;1;5,3;,5;
2023/01/03;0400 UTC;0;1001;1001,6;1001;;23,2;21,7;23,8;23,1;21,9;21,6;91;89;91;248;2,5;,9;
2023/01/03;0500 UTC;,2;1000,6;1001;1000,6;;23,2;21,8;23,3;23,1;21,9;21,7;92;91;92;255;2,4;,5;
2023/01/03;0600 UTC;0;1000,8;1000,9;1000,6;;23,5;22,3;23,6;23,2;22,4;21,9;93;92;93;100;2,6;,9;
2023/01/03;0700 UTC;1,2;1000,5;1000,8;1000,5;;23,4;22,2;23,9;23,4;22,7;22,1;93;93;93;200;5,4;1,2;
2023/01/03;0800 UTC;1,8;1000,5;1000,5;1000,4;;23,6;22,4;23,6;23,4;22,4;22,2;93;93;93;58;2,7;,3;
