REGIAO:;NE
UF:;PE
ESTACAO:;ARCO VERDE
CODIGO (WMO):;A309
LATITUDE:;-8,4336111
LONGITUDE:;-37,05555555
ALTITUDE:;683,95
DATA DE FUNDACAO:;20/11/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;938,4;938,5;937,9;;22,5;17,6;23,7;22,5;17,6;17;74;66;74;120;8,8;3,7;
2023/01/01;0100 UTC;0;938,3;938,4;938,3;;21,7;17,9;22,5;21,7;17,9;17,5;79;74;79;115;6,8;3,1;
2023/01/01;0200 UTC;0;938,1;938,4;938,1;;21,5;17,9;21,8;21,5;18;17,9;80;79;80;113;7,4;4,1;
2023/01/01;0300 UTC;0;937,5;938,1;937,5;;21,5;17,9;21,7;21,2;18;17,8;81;79;80;121;9;4,8;
2023/01/01;0400 UTC;0;936,8;937,5;936,8;;21,1;17,8;21,5;21;17,9;17,7;82;80;82;121;10;4;
2023/01/01;0500 UTC;0;936,5;936,9;936,5;;21,3;17,8;21,4;21;18;17,7;82;81;81;115;6,9;2,8;
2023/01/01;0600 UTC;0;936,3;936,5;936,3;;20,9;17,8;21,3;20,9;17,8;17,7;83;81;83;108;5,6;2,6;
2023/01/01;0700 UTC;0;936,2;936,3;936,1;;19,7;17,5;20,9;19,7;17,9;17,4;87;83;87;118;5,3;,9;
2023/01/01;0800 UTC;0;936,8;936,8;936,2;;19,8;17,5;20,1;19,5;17,7;17,3;87;86;87;121;5,9;1,4;
2023/01/01;0900 UTC;0;937,2;937,2;936,8;130,1;20,6;17,9;20,6;19,4;17,9;17,3;88;85;85;116;4,5;2,5;
2023/01/01;1000 UTC;0;937,7;937,7;937,2;841;22,3;18,3;22,4;20,6;18,5;17,9;85;77;78;121;4,9;2,2;
2023/01/01;1100 UTC;0;938,2;938,2;937,7;1502,2;25;18,1;25,1;22,2;18,6;17,7;79;65;65;68;5,2;3,2;
2023/01/01;1200 UTC;0;938;938,2;938;1656;25,3;18,3;25,3;24,4;18,3;17,4;67;64;65;115;7,4;1,5;
2023/01/01;1300 UTC;0;937,6;938;937,6;2907,8;29,1;17,5;29,1;25,4;18,9;16,7;65;49;50;105;7,5;3,1;
2023/01/01;1400 UTC;0;937,1;937,7;937,1;3175,9;29,4;16,7;29,5;27,4;17,3;16,1;52;46;46;86;8,7;4,3;
2023/01/01;1500 UTC;0;936,2;937,1;936,2;3085,7;29,3;16,5;30,7;28,3;17,9;15,6;49;42;46;75;8,4;2;
2023/01/01;1600 UTC;0;935,4;936,2;935,4;1398,8;29,7;16;30,8;29;17,2;15,9;48;41;43;81;7,5;1,9;
2023/01/01;1700 UTC;0;934,7;935,4;934,7;1131,9;29,1;16,8;30,9;28,8;16,8;14,8;47;40;47;109;6,2;3,2;
2023/01/01;1800 UTC;0;934,4;934,8;934,4;979,6;28,7;17,2;29,5;28,6;17,6;16,1;51;45;50;69;8;3,5;
2023/01/01;1900 UTC;0;934,2;934,4;934;644,4;27,4;19;28,8;26,8;19,1;17,2;60;50;60;73;7,5;3,6;
2023/01/01;2000 UTC;0;935;935;934,2;229,3;25,5;18;27,4;25,5;18,9;17,9;64;60;63;91;8,3;2,7;
2023/01/01;2100 UTC;0;936;936;934,9;15,5;24,8;17,9;25,6;24,8;18;17,6;65;62;65;75;6,1;3,1;
2023/01/01;2200 UTC;0;936,3;936,3;935,9;;22,9;18,8;24,9;22,9;18,8;17,8;78;65;78;87;7,3;4,2;
2023/01/01;2300 UTC;0;937,2;937,2;936,3;;22,8;19,5;22,9;22,1;19,5;18,9;85;78;82;119;6,7;3,8;
2023/01/02;0000 UTC;0;937,9;937,9;937,2;;22,6;19,2;22,9;22,6;19,6;19,2;82;81;81;114;8,9;4;
2023/01/02;0100 UTC;0;938,2;938,2;937,9;;21,8;19,2;22,6;21,6;19,4;19,2;87;81;86;120;7,3;3,3;
2023/01/02;0200 UTC;0;937,5;938,2;937,5;;21,6;18,9;21,8;21,5;19,2;18,7;86;84;85;118;8,4;3,5;
2023/01/02;0300 UTC;0;937;937,5;937;;21,5;18,8;21,6;21,5;19;18,8;85;84;84;113;6,9;2,5;
2023/01/02;0400 UTC;0;936,7;937,1;936,7;;21,4;18,8;21,5;21,3;18,8;18,7;85;84;85;118;6;2,4;
2023/01/02;0500 UTC;0;936,3;936,7;936,2;;21,3;18,7;21,5;21,3;18,8;18,7;85;84;85;102;7,2;2,9;
2023/01/02;0600 UTC;0;935,7;936,3;935,7;;21,2;18,6;21,3;21,2;18,7;18,6;85;85;85;102;6,1;3,3;
2023/01/02;0700 UTC;0;936,1;936,2;935,7;;21,4;18,6;21,4;21,2;18,7;18,6;85;84;84;116;7,1;2,2;
2023/01/02;0800 UTC;0;936,6;936,6;936,1;;21,4;18,7;21,4;21,3;18,7;18,6;85;84;85;116;5,5;2,2;
2023/01/02;0900 UTC;,2;937,3;937,3;936,6;34;21,4;18,8;21,4;21,1;18,9;18,6;87;84;85;117;5,3;1,5;
2023/01/02;1000 UTC;0;938;938,1;937,3;214,7;22;18,7;22;21,4;18,8;18,6;85;82;82;107;5,4;3;
2023/01/02;1100 UTC;0;938,5;938,6;938;587,3;22,7;18,9;22,8;22;19;18,6;82;78;79;110;6,8;3,6;
2023/01/02;1200 UTC;0;938,4;938,7;938,4;1393,5;25,8;19,6;26;22,7;20,2;18,8;79;68;68;101;7,1;3,8;
2023/01/02;1300 UTC;0;938,2;938,4;938,2;1811,1;25,3;18,8;26;24,7;19,8;18,6;71;66;67;101;9,2;4,7;
2023/01/02;1400 UTC;0;937,8;938,3;937,7;1618,1;27,3;19,4;27,3;25,3;19,5;18,4;68;62;62;103;9,2;2,9;
2023/01/02;1500 UTC;0;936,9;937,8;936,9;2052;28;19,2;28,4;26,5;19,9;18,4;64;58;59;99;7,6;4,8;
2023/01/02;1600 UTC;0;935,9;936,9;935,9;2109,4;27,9;18,3;29,2;26,8;19,8;18;62;56;56;101;8;3,8;
2023/01/02;1700 UTC;0;934,9;935,9;934,8;2597,1;29,1;18,5;29,9;27,6;19,5;17,9;59;51;53;94;8,1;4;
2023/01/02;1800 UTC;0;934,1;934,9;934,1;2168,6;29;18,3;30,4;28,3;18,8;17,4;54;49;53;106;7,8;3,2;
2023/01/02;1900 UTC;0;934,3;934,4;934,1;852,8;27,7;18,6;29,2;27,7;18,8;17,8;58;52;58;97;7,1;3,7;
2023/01/02;2000 UTC;0;934,9;934,9;934,2;473,2;26,7;18,3;28;26,7;19;18,1;60;57;60;89;7,5;4,2;
2023/01/02;2100 UTC;0;935,1;935,1;934,9;105,9;23,8;19,1;26,7;23,7;19,1;18,2;75;60;75;67;9,5;4,5;
2023/01/02;2200 UTC;0;936,1;936,1;935,1;;23,4;19,1;23,9;23,3;19,2;18,8;77;73;77;77;8,8;5;
2023/01/02;2300 UTC;0;937,1;937,1;936,1;;22,5;19;23,5;22,5;19,2;19;81;77;81;107;9,9;3,4;
2023/01/03;0000 UTC;0;937,5;937,5;937,1;;22,2;19;22,5;22,2;19,1;19;82;81;82;117;8,6;2,1;
2023/01/03;0100 UTC;0;937,5;937,5;937,4;;21,9;18,9;22,2;21,9;19,1;18,9;83;82;83;112;6,2;3,1;
2023/01/03;0200 UTC;0;937,3;937,6;937,3;;21,2;18,1;21,9;21,2;18,9;18,1;83;81;82;102;6,6;2,2;
2023/01/03;0300 UTC;0;937;937,3;937;;20,8;17,9;21,2;20,8;18;17,9;84;82;83;98;7,1;4,1;
2023/01/03;0400 UTC;0;936,4;937;936,4;;20,2;17,5;20,8;20,2;17,9;17,5;85;83;85;118;7,1;2;
2023/01/03;0500 UTC;0;936,1;936,4;936;;19,1;17,1;20,2;19;17,5;16,9;88;85;88;80;3,7;,2;
2023/01/03;0600 UTC;0;935,9;936,1;935,9;;19;17,1;19,6;18,9;17,7;16,9;89;88;89;116;2,4;,6;
2023/01/03;0700 UTC;0;936,1;936,2;935,8;;18,8;17;19,3;18,3;17,4;16,5;90;88;89;116;2,3;,1;
2023/01/03;0800 UTC;0;936,4;936,4;936;;19,2;17,1;19,8;18,8;17,8;17;90;87;87;119;2,3;,7;
2023/01/03;0900 UTC;0;937,2;937,2;936,4;84;19,8;17,9;19,8;18,7;17,9;16,8;89;87;88;166;4;0;
2023/01/03;1000 UTC;0;937,8;937,8;937,2;544,6;21,1;18,2;21,5;19,8;18,5;17,9;88;82;83;114;4,4;2,7;
2023/01/03;1100 UTC;0;938,2;938,2;937,8;1725,4;24,8;19,3;24,8;21,1;19,3;18,3;84;70;71;103;6,4;3,3;
2023/01/03;1200 UTC;0;938,2;938,3;938,2;1891,4;25,8;18,4;27,6;24,4;19,6;18;71;60;63;102;6,4;3,3;
2023/01/03;1300 UTC;0;938,1;938,2;938,1;2149,7;28,2;18,5;28,2;25,8;19,3;17,7;64;56;56;101;7,1;3;
2023/01/03;1400 UTC;0;937,8;938,1;937,8;2705,1;28,3;17,3;29,6;26,7;19,1;17,1;58;49;51;107;9,8;3,1;
2023/01/03;1500 UTC;0;937;937,8;937;2736,1;30,3;16,3;30,7;28,3;18,3;16;52;42;43;63;8,4;2,5;
2023/01/03;1600 UTC;0;935,9;937;935,9;1889,4;32,1;16,8;32,1;29,1;17,6;15,9;47;40;40;99;7,3;3;
2023/01/03;1700 UTC;0;935;935,9;935;1867,7;31,5;15,5;32,1;29,6;16,8;15,1;43;38;38;123;6,4;2,1;
2023/01/03;1800 UTC;0;934,3;935;934,2;1428;30,3;15,8;32,2;30,2;16,7;14,8;43;36;41;63;6,6;3,2;
2023/01/03;1900 UTC;0;934,2;934,3;934,1;847,9;29,5;16,4;31,4;29,5;16,5;15,3;45;39;45;108;7,1;3;
2023/01/03;2000 UTC;0;934,5;934,5;934,1;235;27,6;18,2;29,5;27,6;18,3;16,2;57;45;57;67;7,5;4,9;
2023/01/03;2100 UTC;0;935,1;935,1;934,5;44,2;25,9;18,4;27,6;25,9;18,6;18,2;63;57;63;85;10,2;4,8;
2023/01/03;2200 UTC;0;936,2;936,2;935,1;;24,6;19,6;25,9;24,6;19,6;18,4;74;63;74;90;9,5;5,1;
2023/01/03;2300 UTC;0;937,3;937,3;936,2;;23,8;19,4;24,6;23,8;19,7;19,4;77;74;77;120;8,5;1,8;
2023/01/04;0000 UTC;0;938,2;938,2;937,3;;23,3;19,5;23,8;23,3;19,5;19,3;79;77;79;110;6,8;2,2;
2023/01/04;0100 UTC;0;938;938,3;938;;22,8;19,3;23,3;22,8;19,5;19,3;81;79;81;91;6,3;3,5;
2023/01/04;0200 UTC;0;937,8;938;937,7;;21,8;18,4;22,8;21,8;19,3;18,4;81;80;81;113;6,8;2,7;
2023/01/04;0300 UTC;0;937,4;937,9;937,4;;21;17,9;21,8;21;18,4;17,9;83;81;83;112;6,8;3,2;
2023/01/04;0400 UTC;0;936,8;937,4;936,8;;20,6;17,8;21;20,4;17,9;17,7;84;82;84;110;6,8;1,4;
2023/01/04;0500 UTC;0;936,5;936,8;936,5;;20,3;17,6;20,7;20,3;17,8;17,5;85;83;84;103;4,7;2,4;
2023/01/04;0600 UTC;0;936,4;936,5;936,4;;20,1;17,8;20,3;19,5;17,8;17,2;88;84;87;107;6,1;2,9;
2023/01/04;0700 UTC;0;936,4;936,5;936,2;;19,7;17,5;20,1;19,6;17,8;17,3;87;86;87;113;6,1;1,8;
2023/01/04;0800 UTC;0;936,9;936,9;936,4;;19,4;17,2;19,8;19,4;17,5;17,1;87;86;87;118;6;1,7;
2023/01/04;0900 UTC;0;937,9;937,9;936,9;82,8;19,9;17,4;19,9;19,3;17,4;17,1;87;86;86;105;4,8;2,4;
2023/01/04;1000 UTC;0;938,2;938,2;937,9;855,3;22,1;17,3;22,3;19,9;17,9;17,3;86;74;74;97;5,1;2,4;
2023/01/04;1100 UTC;0;938,4;938,4;938,2;1624,2;24,7;17,5;24,8;22;18;17;75;64;65;85;8,6;2,7;
2023/01/04;1200 UTC;0;938,8;938,9;938,4;2304,9;27,1;17,2;27,3;24,6;17,9;16,6;65;54;55;70;6,6;3,7;
2023/01/04;1300 UTC;0;938,6;938,9;938,6;2887,9;28,5;16,1;29,1;26,9;17,7;16,1;56;46;47;96;7;3;
2023/01/04;1400 UTC;0;938,1;938,6;938,1;3361,7;30,1;15,3;30,5;28,2;16,9;14,7;48;39;41;102;7,2;3,4;
2023/01/04;1500 UTC;0;937,2;938,1;937,2;3482,3;31,5;14,4;32,1;29,6;15,7;14;41;35;35;122;9,1;3,1;
2023/01/04;1600 UTC;0;936,3;937,2;936,3;3377,4;31,5;13,9;32,6;30,8;14,7;12,6;37;31;34;107;7,3;3;
2023/01/04;1700 UTC;0;935,8;936,3;935,8;2958;31,8;14,8;33,2;31,3;15,2;13;36;31;36;86;7,9;3,9;
2023/01/04;1800 UTC;0;935,3;935,8;935,3;2068,7;31,1;14,2;32,1;30,6;15,2;13,1;38;33;36;96;8,5;3,9;
2023/01/04;1900 UTC;0;934,9;935,3;934,8;1429,6;30,6;15,1;31,8;30,2;15,6;14,4;40;35;39;93;8,8;5,1;
2023/01/04;2000 UTC;0;934,9;934,9;934,8;776,1;29;15,2;30,7;29;15,4;14,9;43;39;43;95;8,2;4;
2023/01/04;2100 UTC;0;935,2;935,2;934,8;113,6;26,3;15,8;29;26,3;15,8;15;52;43;52;94;8,5;3,3;
2023/01/04;2200 UTC;0;935,6;935,6;935,2;;25;16,3;26,3;25;16,3;15,7;58;52;58;98;7,1;2,8;
2023/01/04;2300 UTC;0;936,4;936,4;935,6;;23,9;17,8;25,1;23,9;17,8;16,3;69;58;69;92;8,9;5,1;
2023/01/05;0000 UTC;0;937;937;936,4;;22,7;17,9;23,9;22,7;18,1;17,8;74;69;74;91;10,6;5,7;
2023/01/05;0100 UTC;0;937,3;937,4;937;;21,6;17,9;22,7;21,6;17,9;17,8;80;74;80;86;11,5;6,2;
2023/01/05;0200 UTC;0;937,2;937,4;937,1;;20,6;17,7;21,6;20,6;17,9;17,6;83;80;83;92;11,5;5,3;
2023/01/05;0300 UTC;0;936,7;937,2;936,7;;20,2;17,5;20,6;20,2;17,7;17,5;85;83;85;102;10,3;3,6;
2023/01/05;0400 UTC;0;936,4;936,7;936,2;;20;17,3;20,2;19,9;17,5;17,2;85;84;85;121;9,5;1,8;
2023/01/05;0500 UTC;0;936,4;936,5;936,3;;20,3;17,4;20,5;19,9;17,6;17,3;85;83;83;105;8,8;4,4;
2023/01/05;0600 UTC;0;936,4;936,4;936,3;;20,1;17,4;20,4;19,8;17,5;17,3;85;83;84;115;8,8;3,2;
2023/01/05;0700 UTC;0;936,6;936,7;936,3;;19,8;17,2;20,1;19,8;17,4;17,2;85;84;85;121;6,5;2;
2023/01/05;0800 UTC;0;937,2;937,2;936,6;;19,4;17;19,9;19,3;17,3;16,9;86;85;86;124;5;1,8;
2023/01/05;0900 UTC;0;937,5;937,5;937,2;105,2;20,3;17,5;20,3;19,2;17,5;16,9;87;84;84;142;4,7;1,2;
2023/01/05;1000 UTC;0;938,4;938,4;937,6;846,4;21,5;17,5;21,6;20,3;17,8;17,3;84;78;78;92;6;3,5;
2023/01/05;1100 UTC;0;938,9;938,9;938,4;1679,3;24,9;17,9;24,9;21,5;18,1;17,3;78;65;65;94;7,2;4,1;
2023/01/05;1200 UTC;0;939;939,1;938,9;2354,2;26,7;16,8;26,8;24,4;17,8;15,7;65;52;54;102;9,1;4,3;
2023/01/05;1300 UTC;0;938,6;939;938,6;2942,2;28,5;17;28,9;26,7;17,6;16,4;55;49;50;84;7,7;4,1;
2023/01/05;1400 UTC;0;938,2;938,6;938,1;3398,3;29,8;16,5;30;28,4;17,3;15,3;50;43;45;98;10,1;3,5;
2023/01/05;1500 UTC;0;937,6;938,2;937,6;2813;29,4;15,1;31,2;28,1;16,9;13,9;46;37;42;69;8,1;2,5;
2023/01/05;1600 UTC;0;937;937,6;937;2780,7;31,3;15,8;31,7;28,6;15,8;13,6;43;34;39;100;7,4;2,5;
2023/01/05;1700 UTC;0;935,9;937;935,9;2845,4;31,4;13,2;32,6;30,7;15,7;12,7;39;31;33;87;7,9;2,4;
2023/01/05;1800 UTC;0;935,1;935,9;935;2064,6;32,8;13,3;32,8;30,8;14;11,4;35;28;31;109;7,7;1,8;
2023/01/05;1900 UTC;0;934,7;935,1;934,7;1474,6;31,2;12,4;32,8;31,1;13;11,6;32;28;32;120;6,2;3,2;
2023/01/05;2000 UTC;0;934,7;934,7;934,6;825,2;30,4;12,6;31,6;30,4;12,6;11,2;34;29;34;94;5,3;3,3;
2023/01/05;2100 UTC;0;934,9;934,9;934,7;129,6;27,1;15,1;30,4;27,1;15,1;12,6;48;34;48;89;5,7;3;
2023/01/05;2200 UTC;0;935,3;935,3;934,9;;26,1;16,4;27,1;26;16,4;15,1;55;48;55;69;7,2;3,8;
2023/01/05;2300 UTC;0;935,9;935,9;935,3;;24,6;17,8;26,1;24,6;17,8;16,4;66;55;66;76;10,8;5,8;
2023/01/06;0000 UTC;0;936,7;936,7;935,9;;23,3;18,5;24,6;23,3;18,5;17,8;75;66;75;81;13,1;6,2;
2023/01/06;0100 UTC;0;937,5;937,5;936,7;;22,3;18,1;23,3;22,3;18,5;18,1;77;75;77;117;11,4;2,1;
2023/01/06;0200 UTC;0;937,3;937,6;937,3;;21,3;17,5;22,3;21,3;18,1;17,5;79;77;79;106;7,1;1,9;
2023/01/06;0300 UTC;0;937,2;937,4;937,2;;20,5;16,9;21,3;20,5;17,5;16,9;80;78;80;176;4,6;,9;
2023/01/06;0400 UTC;0;937;937,2;936,9;;20,1;17,1;20,6;19,9;17,2;16,8;83;80;83;124;4,3;2;
2023/01/06;0500 UTC;0;936,8;937;936,7;;19,6;17,1;20,2;19,6;17,2;17;85;83;85;137;4,1;1,5;
2023/01/06;0600 UTC;0;937,2;937,2;936,8;;19,4;17,2;19,7;19,1;17,3;16,9;87;85;87;71;3,8;,9;
2023/01/06;0700 UTC;0;937,4;937,4;937,2;;18,7;16,7;19,4;18,7;17,3;16,7;89;87;89;168;4,7;,7;
2023/01/06;0800 UTC;0;937,6;937,6;937,4;;17,8;16,1;18,7;17,7;16,7;15,9;90;89;90;90;1,3;0;
2023/01/06;0900 UTC;0;938,4;938,4;937,6;110,3;18,9;17,1;18,9;17;17,1;15,3;91;89;89;228;1,8;,6;
2023/01/06;1000 UTC;0;938,7;938,7;938,3;927,4;22,8;18;22,9;18,9;18,2;17;89;74;74;104;5,3;2,7;
2023/01/06;1100 UTC;0;939;939;938,7;1609,9;25,3;18,1;25,4;22,8;18,6;17,9;74;64;64;97;5;2,1;
2023/01/06;1200 UTC;0;939;939,1;939;2299,7;28,5;18,1;28,6;25,2;18,5;17,2;65;53;53;103;6,1;2,2;
2023/01/06;1300 UTC;0;938,6;939;938,6;2886,7;29,8;16,1;30,2;27,4;18,1;15,5;55;42;44;133;5,6;2,1;
2023/01/06;1400 UTC;0;938,1;938,6;938;2915,2;30,3;15,7;31;28,6;16,7;15;46;40;41;114;6,3;3,1;
2023/01/06;1500 UTC;0;937,5;938,1;937,5;3222,9;31,2;15,8;32,3;29,4;17,2;14,9;45;36;39;120;8,4;3,5;
2023/01/06;1600 UTC;0;936,6;937,5;936,6;3636,6;33,4;14;33,8;30,9;16,1;13,5;40;31;31;137;9,4;2,2;
2023/01/06;1700 UTC;0;935,7;936,6;935,7;3042,9;33,5;12,8;34,3;32,1;14,3;12;32;26;29;202;7,8;2,9;
2023/01/06;1800 UTC;0;935,1;935,7;935,1;2345,1;33,3;12,7;34,1;32,5;13,7;11,9;30;27;29;187;8;4;
2023/01/06;1900 UTC;0;935;935,1;934,9;1547,3;32;13,4;33,3;31,9;13,7;12,4;32;29;32;121;7,5;3,3;
2023/01/06;2000 UTC;0;935,4;935,4;934,9;837,7;30,9;14,1;32,1;30,9;14,5;13,3;36;32;36;108;7,5;2,2;
2023/01/06;2100 UTC;0;936;936;935,4;116,1;28,5;15,3;30,9;28,5;15,3;14;45;36;45;149;5,5;,6;
2023/01/06;2200 UTC;0;936,6;936,6;936;;24,9;16,5;28,5;24,9;16,7;15,3;60;45;60;348;3,4;,2;
2023/01/06;2300 UTC;0;937,2;937,2;936,6;;25;18,5;25,9;24,4;18,5;16,3;67;58;67;94;7,3;3,5;
2023/01/07;0000 UTC;0;937,8;937,8;937,2;;23,5;18,7;25;23,5;18,7;18,5;75;67;75;89;9,9;4,3;
2023/01/07;0100 UTC;0;938,2;938,2;937,8;;22,5;18,6;23,5;22,5;18,8;18,6;79;75;79;92;10,9;5,1;
2023/01/07;0200 UTC;0;938,4;938,5;938,2;;21,6;17,6;22,5;21,6;18,6;17,6;79;78;78;104;9,1;3,2;
2023/01/07;0300 UTC;0;938,1;938,4;938,1;;21,1;17,7;21,7;21,1;17,7;17,3;81;77;81;113;8,9;3,4;
2023/01/07;0400 UTC;0;937,8;938,1;937,7;;20,9;17,5;21,2;20,9;17,8;17,5;81;81;81;115;8,6;2,8;
2023/01/07;0500 UTC;0;937,7;937,8;937,6;;20,3;17,2;20,9;20,3;17,5;17,1;82;80;82;112;6,9;2,3;
2023/01/07;0600 UTC;0;937,7;937,8;937,6;;20,3;17,2;20,4;20,2;17,3;17,1;83;82;82;116;6,9;2,5;
2023/01/07;0700 UTC;0;937,8;937,8;937,7;;19,8;17,3;20,4;19,7;17,3;17;85;82;85;107;5,5;1,8;
2023/01/07;0800 UTC;0;938,5;938,5;937,7;;19,8;17,2;20;19,8;17,4;17,2;85;85;85;118;7,1;1,6;
2023/01/07;0900 UTC;0;939,1;939,1;938,5;113,6;20,6;17,8;20,6;19,7;17,8;17,1;85;84;84;97;6,1;2,2;
2023/01/07;1000 UTC;0;939,6;939,6;939,1;916,7;22,6;18;22,8;20,6;18,2;17,5;84;74;75;109;6,2;2,6;
2023/01/07;1100 UTC;0;940;940;939,5;1659,6;24;17,6;24,5;22,4;18,5;17,4;75;67;67;95;8,6;4,1;
2023/01/07;1200 UTC;0;940,4;940,4;940;2319,5;26,4;17,5;26,7;24;18,1;16,9;68;57;58;108;8,2;4,5;
2023/01/07;1300 UTC;0;939,9;940,4;939,9;2903,2;28,6;17,1;28,7;26,1;17,8;16,7;58;49;50;74;8,4;4,4;
2023/01/07;1400 UTC;0;939,4;939,9;939,3;3239,3;30,6;17,4;30,7;27,4;17,6;16,4;52;45;45;92;7,9;3,3;
2023/01/07;1500 UTC;0;938,9;939,4;938,8;3218,2;30,8;16;31,5;28,8;17,4;16;48;41;41;95;8,6;3,3;
2023/01/07;1600 UTC;0;937,8;938,9;937,8;3050;32,1;15,1;32,2;29,4;16,4;13,7;43;35;36;99;8;3,3;
2023/01/07;1700 UTC;0;936,7;937,8;936,7;2753,6;32,6;13,8;32,7;30,1;15;12,9;38;31;32;133;8;1,6;
2023/01/07;1800 UTC;0;936;936,7;936;2336,6;31,3;12,4;33,1;31,3;14,3;12,4;34;31;32;122;6,5;3,6;
2023/01/07;1900 UTC;0;935,4;936;935,4;1166,3;31,9;13,2;32,5;30,4;13,8;12,5;35;31;32;117;7,6;2,4;
2023/01/07;2000 UTC;0;935,7;935,7;935,4;679,8;30,1;13,1;32;30,1;13,5;12,6;36;31;35;92;6,4;3,2;
2023/01/07;2100 UTC;0;936,1;936,1;935,7;123,9;27,6;14;30,1;27,6;14,1;13,1;43;35;43;101;6,3;2,5;
2023/01/07;2200 UTC;0;936,7;936,7;936,1;;25,6;14,9;27,6;25,5;14,9;14;52;43;52;94;5;3,1;
2023/01/07;2300 UTC;0;937,3;937,3;936,7;;24,6;16,7;26,3;24,5;16,8;14,9;62;51;62;95;7,8;3;
2023/01/08;0000 UTC;0;938,1;938,2;937,3;;22,8;18,2;24,6;22,8;18,2;16,6;75;62;75;101;6,7;3,5;
2023/01/08;0100 UTC;0;938,3;938,3;938,1;;21,6;17,9;22,8;21,6;18,2;17,8;80;75;80;113;8,6;3,6;
2023/01/08;0200 UTC;0;938,2;938,4;938,2;;20,9;17,9;21,6;20,9;18,1;17,9;83;80;83;114;8,6;2,9;
2023/01/08;0300 UTC;0;937,9;938,2;937,9;;20,3;17,4;20,9;20,2;17,9;17,3;83;83;83;100;8,3;3,2;
2023/01/08;0400 UTC;0;937,7;937,9;937,7;;19,8;16,7;20,3;19,7;17,4;16,7;84;83;83;112;7,3;2,6;
2023/01/08;0500 UTC;0;937,6;937,7;937,5;;19,1;16,5;19,8;19,1;16,7;16,4;85;83;85;131;6,9;1,6;
2023/01/08;0600 UTC;0;937,8;937,8;937,6;;19,1;16,4;19,4;18,9;16,8;16,4;86;84;85;122;5,8;1,6;
2023/01/08;0700 UTC;0;937,6;937,8;937,6;;18,6;16,2;19,1;18,5;16,5;16,1;86;85;86;130;6,2;2,1;
2023/01/08;0800 UTC;0;938,1;938,1;937,6;;18,6;16,3;18,8;18,5;16,4;16,1;87;85;86;112;6,2;2,9;
2023/01/08;0900 UTC;0;938,6;938,6;938,1;78;18,9;16,4;18,9;18,2;16,4;15,8;87;86;86;120;6,2;2,6;
2023/01/08;1000 UTC;0;938,9;939;938,6;886,1;21,7;17,1;21,7;18,8;17,1;16,3;86;75;75;109;7,5;3;
2023/01/08;1100 UTC;0;939,2;939,3;938,9;1351,8;23,2;16;23,2;21;16,9;15,5;75;64;64;102;10,2;6,2;
2023/01/08;1200 UTC;0;939,5;939,5;939,1;2079,7;25,9;14,3;26,3;23,1;16;14,3;64;48;49;96;12;5,3;
2023/01/08;1300 UTC;0;939,4;939,6;939,4;3047,9;28,5;13,8;28,5;25,8;15,8;11,8;52;36;41;93;9,9;4,9;
2023/01/08;1400 UTC;0;939;939,4;939;3476,8;29,4;11,2;30;28,1;14,9;11,2;43;32;32;100;8,4;3,4;
2023/01/08;1500 UTC;0;938,2;939;938,2;3598,2;30,7;12,9;31,3;29;14,5;11,3;38;32;34;88;7;3,3;
