REGIAO:;NE
UF:;PE
ESTACAO:;OURICURI
CODIGO (WMO):;A366
LATITUDE:;-7,88583333
LONGITUDE:;-40,10277777
ALTITUDE:;457,85
DATA DE FUNDACAO:;11/08/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;960,5;960,6;960,3;;22,7;15,7;24,6;22,7;16;15,4;65;58;65;19;3,5;1,5;
2023/01/01;0100 UTC;0;960,7;960,7;960,5;;21,7;16,1;22,7;21,7;16,1;15,6;71;64;71;14;2,5;1,8;
2023/01/01;0200 UTC;0;960,8;960,8;960,6;;22,2;16,2;22,4;21,4;16,2;16;72;67;69;64;2,8;1,6;
2023/01/01;0300 UTC;0;960,5;960,8;960,5;;21,5;16,8;22,2;21,4;16,8;16,2;75;69;75;42;2,9;1,2;
2023/01/01;0400 UTC;0;960,1;960,5;960,1;;22,4;17,3;22,8;21,3;17,3;16,7;76;71;73;100;4,2;1,3;
2023/01/01;0500 UTC;0;959,9;960,1;959,9;;22;17,9;22,4;21,6;18,1;17,3;80;73;78;101;2,7;1,1;
2023/01/01;0600 UTC;0;960;960;959,8;;22,1;18,7;22,3;22;18,8;18;81;78;81;98;2,3;1,2;
2023/01/01;0700 UTC;0;960,2;960,2;960;;21,8;19,2;22,2;21,8;19,3;18,7;85;81;85;97;4,3;1,4;
2023/01/01;0800 UTC;0;960,6;960,6;960,1;;21,2;19,4;21,9;21,2;19,5;19,2;90;85;90;104;3,6;1,2;
2023/01/01;0900 UTC;0;961,2;961,2;960,6;33,7;20,8;19,7;21,2;20,7;19,8;19,4;94;90;94;156;2,3;1;
2023/01/01;1000 UTC;0;961,5;961,5;961,2;474,2;22,3;19,7;22,4;20,8;20;19,3;94;84;85;135;4,3;2,3;
2023/01/01;1100 UTC;0;962;962;961,5;950,2;24,2;19,1;24,2;22,2;19,9;19,1;86;73;73;121;5,6;2,8;
