REGIAO:;NE
UF:;PE
ESTACAO:;SALGUEIRO
CODIGO (WMO):;A370
LATITUDE:;-8,05805555
LONGITUDE:;-39,0961111
ALTITUDE:;447
DATA DE FUNDACAO:;15/09/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;962,3;962,4;962;;22,4;19,1;23;22,4;19,4;18,3;83;75;82;84;1,5;0;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;0;962,4;962,6;962,4;;22,4;18,8;22,5;21,8;18,9;18,5;85;79;80;163;2,7;,6;
2023/01/01;0300 UTC;0;962;962,4;962;;23,1;18,9;23,3;22,4;18,9;18,7;80;76;77;170;4;1,4;
2023/01/01;0400 UTC;0;961,7;962;961,7;;23,1;18,6;23,5;23,1;18,9;18,6;77;75;76;167;5,3;1,9;
2023/01/01;0500 UTC;0;961,6;961,7;961,6;;22,9;18,7;23,3;22,8;18,7;18,6;78;75;77;158;5,5;1,7;
2023/01/01;0600 UTC;0;961,5;961,6;961,3;;22,4;18,5;22,9;22,4;18,7;18,5;79;77;79;178;4,4;1,3;
2023/01/01;0700 UTC;0;961,8;961,8;961,5;;21,8;18,7;22,4;21,8;18,7;18,5;83;79;83;157;3,4;,4;
2023/01/01;0800 UTC;0;962;962;961,7;;21,9;18,9;22,1;21,7;19;18,7;84;81;83;147;2,3;,6;
2023/01/01;0900 UTC;0;962,7;962,7;962;62,4;22,4;18,8;22,4;21,9;19;18,7;83;80;80;114;3,2;0;
2023/01/01;1000 UTC;0;963,2;963,2;962,7;353,3;22,8;18,9;22,8;22,2;19,5;18,8;83;79;79;166;2,2;,3;
2023/01/01;1100 UTC;0;963,6;963,6;963,2;648,6;24,1;19,4;24,1;22,8;19,8;18,9;80;75;75;174;3,5;1,1;
2023/01/01;1200 UTC;0;963,3;963,6;963,3;2214,4;26,9;19,7;27;24,1;20,2;19,1;77;63;65;148;5,8;2,7;
2023/01/01;1300 UTC;0;962,9;963,4;962,9;2325,6;27;19,5;27,6;26,5;20;19;65;61;64;143;8,5;3,6;
2023/01/01;1400 UTC;0;962,5;962,9;962,5;2046,9;27,7;19,7;27,8;27;20,4;19;65;60;62;132;6;2,9;
2023/01/01;1500 UTC;0;961,8;962,5;961,8;2733,4;28,6;19,5;29,2;27,4;20,2;18,9;63;56;58;142;7,2;2,3;
2023/01/01;1600 UTC;0;961;961,8;961;3129;29,6;18,9;30,1;28,6;20,7;18,6;60;52;53;168;6,5;1,8;
2023/01/01;1700 UTC;0;959,8;961;959,8;2877,4;30,1;19,4;31,1;29,3;20,3;18,8;57;50;53;201;5,6;2,8;
2023/01/01;1800 UTC;0;958,9;959,8;958,9;2274;30,2;19,3;31,4;29,9;20,4;18,9;54;49;52;192;5,1;2,4;
2023/01/01;1900 UTC;0;958,9;959;958,8;1154,9;26,8;19,8;31;26,7;20,2;18,9;66;49;66;22;8,4;3,8;
2023/01/01;2000 UTC;0;959;959;958,8;479,7;27,9;20,3;28;26,8;20,9;20;68;63;63;271;8,4;0;
2023/01/01;2100 UTC;0;959,7;959,7;959;149,1;26,4;20,9;28,1;26,4;21,2;20,3;72;63;72;9;2,3;0;
2023/01/01;2200 UTC;0;960,5;960,5;959,7;;24,9;21,2;26,4;24,9;21,5;20,3;80;71;80;135;1,5;,1;
2023/01/01;2300 UTC;0;961,1;961,1;960,5;;23,6;20,7;24,9;23,6;21,4;20,4;87;78;84;26;2,2;1,2;
2023/01/02;0000 UTC;0;961,9;961,9;961,1;;23,5;20,2;23,6;22,6;21;20,2;91;82;82;195;2,8;1,2;
2023/01/02;0100 UTC;0;962,3;962,3;961,9;;24,1;20,6;25;23,5;20,6;20,1;82;77;81;152;5,8;,1;
2023/01/02;0200 UTC;0;962;962,4;962;;23,5;19,8;24,1;22,9;20,5;19,8;85;80;80;115;4,8;,7;
2023/01/02;0300 UTC;0;961,7;962;961,7;;23,7;19,4;23,8;23,4;19,8;19,4;80;76;77;124;4,9;1,5;
2023/01/02;0400 UTC;0;961,3;961,7;961,3;;22,7;19,3;23,8;22,7;19,4;19,3;81;77;81;90;3,9;,9;
2023/01/02;0500 UTC;0;961,3;961,3;961,2;;22;19,6;22,7;21,8;19,6;19,3;87;81;86;117;2,4;0;
2023/01/02;0600 UTC;0;961,3;961,3;961,1;;22;20;22;21,9;20,1;19,5;90;86;89;212;,7;0;
2023/01/02;0700 UTC;0;961,5;961,5;961,1;;22,6;20,2;22,6;22;20,4;20,1;89;86;86;123;3,4;1;
2023/01/02;0800 UTC;0;961,8;961,9;961,5;;22,1;20,7;22,7;22,1;20,7;20,1;92;86;92;185;3,2;0;
2023/01/02;0900 UTC;0;962,6;962,6;961,8;29,7;22,3;21,2;22,3;21,9;21,6;20,8;98;92;94;87;1,9;0;
2023/01/02;1000 UTC;0;963,2;963,2;962,6;168,6;22,9;21,3;22,9;22,2;21,4;20,7;94;89;91;61;2;,1;
2023/01/02;1100 UTC;0;963,6;963,6;963,2;707,2;24,5;21,1;24,5;22,8;21,4;20,7;91;81;81;124;3,6;1,5;
2023/01/02;1200 UTC;0;963,7;963,7;963,6;1078,7;26;21,1;26;24,4;21,2;20,5;81;73;75;96;4,4;,9;
2023/01/02;1300 UTC;0;963,5;963,7;963,5;1870,7;26,3;21;27,3;26;21,5;20,4;75;66;73;117;5,5;2,5;
2023/01/02;1400 UTC;0;962,5;963,5;962,5;1941,2;28,5;20,6;28,7;25,2;22;19,9;81;59;63;113;5,5;1,8;
2023/01/02;1500 UTC;0;961,4;962,5;961,4;2391,9;29,2;18,8;30,3;28,5;20,9;18,6;63;53;54;82;5,9;3,2;
2023/01/02;1600 UTC;0;960,5;961,4;960,5;2081,8;29,4;17,7;30,3;27,8;20,7;17,7;62;50;50;90;6,4;2,4;
