REGIAO:;NE
UF:;PI
ESTACAO:;PAULISTANA
CODIGO (WMO):;A330
LATITUDE:;-8,132288
LONGITUDE:;-41,142945
ALTITUDE:;376
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;1100 UTC;0;970,6;970,7;970,2;1701,4;26;17,7;26,1;24,4;18,1;17,6;66;60;60;116;11,5;6,9;
2023/01/01;1200 UTC;0;970,7;970,8;970,6;2625,8;27,9;17,5;27,9;26;18,2;17,2;61;53;53;117;11,8;5,7;
2023/01/01;1300 UTC;0;970,4;970,8;970,3;3543;29,2;17,7;29,4;27,9;17,9;17,1;53;49;50;97;10,9;5,5;
2023/01/01;1400 UTC;0;969,9;970,4;969,9;4096,2;30,5;16,5;31,1;29,2;17,8;16,5;50;42;43;122;10,8;4,6;
2023/01/01;1500 UTC;0;969,3;970;969,3;3601,9;31,7;15,9;32,3;29,6;17,5;15,7;46;38;39;130;9,1;4,7;
2023/01/01;1600 UTC;0;968,4;969,4;968,4;3245,9;31,6;16;32,6;31,2;16,5;14,8;40;37;39;110;8,9;3,5;
2023/01/01;1700 UTC;0;967,5;968,4;967,5;2357,6;32;15,7;32,2;31,2;16,6;15,2;41;37;37;85;8,3;3,3;
2023/01/01;1800 UTC;0;966,6;967,5;966,6;1615,1;31,4;15,7;32;31,1;16,2;15,3;40;37;39;100;6,8;3;
2023/01/01;1900 UTC;0;966,2;966,6;966,2;1459,2;32,4;14,8;32,4;31,1;16;14,5;39;34;35;110;6,4;2,8;
2023/01/01;2000 UTC;0;966,5;966,5;966,2;1234,3;31,3;15;32,6;31,2;15;14;37;34;37;118;6,2;1,3;
2023/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
