REGIAO:;NE
UF:;PI
ESTACAO:;CARACOL
CODIGO (WMO):;A337
LATITUDE:;-9,28583333
LONGITUDE:;-43,32444443
ALTITUDE:;515,3
DATA DE FUNDACAO:;10/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;954,2;954,2;953,8;;26,8;24,4;27,8;26,8;25,2;21;87;70;87;286;1,5;,7;
2023/01/01;0100 UTC;0;954,6;954,6;954,2;;26;23,8;26,8;25,9;24,5;20,4;88;71;88;302;1,6;,4;
2023/01/01;0200 UTC;0;954,8;954,8;954,5;;25,5;23,4;26;25,4;23,8;20,8;89;72;89;288;1,6;,7;
2023/01/01;0300 UTC;0;954,3;954,8;954,3;;25,1;23,1;25,5;25;23,5;19,7;89;72;89;277;2,3;,5;
2023/01/01;0400 UTC;0;953,7;954,3;953,7;7,8;24,4;21,8;25,1;24,4;21,8;19,3;89;73;85;291;1,5;,8;
2023/01/01;0500 UTC;0;953,4;953,8;953,3;;24,2;20,8;24,5;24,2;22,6;19;90;73;81;353;2,3;,4;
2023/01/01;0600 UTC;0;953,5;953,5;953,3;;23,9;18,9;24,2;23,7;22,3;18,7;90;73;74;281;1,6;0;
2023/01/01;0700 UTC;0;953,5;953,6;953,4;6,7;23,7;18,8;23,9;23,5;18,9;18,5;74;73;74;129;2,3;,4;
2023/01/01;0800 UTC;0;953,9;954;953,5;7,8;23,2;21,4;23,8;23,2;22,2;18,5;91;74;90;324;1,1;0;
2023/01/01;0900 UTC;0;954,4;954,4;953,9;5,6;23,1;21,7;23,2;22,8;21,7;18,1;92;75;92;304;1,2;,1;
2023/01/01;1000 UTC;0;955,4;955,4;954,4;41,7;24,4;21;24,4;23,1;22,9;19;92;75;81;109;4,4;2;
2023/01/01;1100 UTC;0;955,5;955,6;955,4;103,4;25,6;21,5;25,7;24,4;24,2;20,2;93;76;78;98;6,1;3,6;
2023/01/01;1200 UTC;0;955,7;955,7;955,2;135,2;26,6;23,7;26,6;25,6;23,7;21,2;86;76;84;108;9,3;4,8;
2023/01/01;1300 UTC;0;955,6;955,8;955,6;211,7;27,8;26;27,8;26,6;26,2;22,1;92;75;90;101;9,8;4,6;
2023/01/01;1400 UTC;0;954,9;955,6;954,9;349,5;28,8;26,9;28,8;27,7;26,9;26,1;91;89;89;108;9;4,1;
2023/01/01;1500 UTC;0;954,1;954,9;954,1;261,2;29,5;27,3;29,6;28,8;27,5;26,9;89;88;88;94;9,6;4,3;
2023/01/01;1600 UTC;0;953,3;954,1;953,3;263,1;30,6;28,1;30,6;29,5;28,1;24,4;88;71;86;97;9,2;4;
2023/01/01;1700 UTC;0;952,6;953,3;952,6;280,4;31,2;28,3;31,3;30,4;28,6;27,8;87;83;85;82;6,7;3,3;
2023/01/01;1800 UTC;0;951,8;952,6;951,8;270,4;31,4;28,2;31,4;31;28,4;27,9;85;83;83;57;6;2,4;
2023/01/01;1900 UTC;0;951,4;951,8;951,4;168,2;31,7;27;31,7;31,3;28,3;25,2;84;68;76;94;5;1,5;
2023/01/01;2000 UTC;0;951,6;951,6;951,3;101;31,4;27,6;31,8;31,4;28,3;24,9;82;67;81;88;5,6;2,7;
2023/01/01;2100 UTC;0;952,1;952,1;951,6;25,2;30,1;26,8;31,4;30,1;27,6;26,7;82;80;82;87;5,6;1,5;
2023/01/01;2200 UTC;0;952,6;952,6;952,1;;29,1;26;30,1;29,1;26,8;25,9;84;82;83;81;3,3;,9;
2023/01/01;2300 UTC;0;953,2;953,2;952,6;;27,8;24,9;29,2;27,8;26,1;24,8;85;83;85;279;3,8;0;
2023/01/02;0000 UTC;0;953,7;953,7;953,2;21,4;26,8;22;27,9;26,7;25;20,7;85;69;75;283;1,5;,7;
2023/01/02;0100 UTC;0;954,1;954,1;953,7;;26,1;20,6;27,2;26,1;24,4;20,3;87;70;72;290;2;,9;
2023/01/02;0200 UTC;0;953,8;954,2;953,8;;25,3;19,6;26,2;25,2;23,5;19,5;87;70;71;299;1,9;,8;
2023/01/02;0300 UTC;0;953,6;953,9;953,6;29,6;24,6;19,1;25,3;24,6;20;19;74;71;71;288;2;,7;
2023/01/02;0400 UTC;0;953,1;953,6;953,1;30,2;24,2;18,8;24,6;24,1;19;18,7;72;71;72;296;2,3;0;
2023/01/02;0500 UTC;0;953,5;953,5;953;26;24,1;18,8;24,2;23,9;18,8;18,6;72;72;72;275;2,6;,1;
2023/01/02;0600 UTC;0;953,4;953,6;953,4;26,9;23,8;18,6;24,1;23,8;18,8;18,6;73;72;73;284;1,8;0;
2023/01/02;0700 UTC;0;953,4;953,4;953,3;27,8;24;19;24,1;23,8;19;18,6;74;73;74;241;1,2;0;
2023/01/02;0800 UTC;0;953,6;953,6;953,4;27,6;23,7;18,8;24,1;23,7;19,1;18,8;74;74;74;281;1,2;0;
2023/01/02;0900 UTC;0;954,3;954,3;953,6;30,2;23,6;18,8;23,7;23,1;18,8;18,3;75;74;75;15;1,7;0;
2023/01/02;1000 UTC;0;955;955;954,3;66,7;25,4;22,3;25,4;23,6;22,3;18,8;83;75;83;114;3,9;1,2;
2023/01/02;1100 UTC;0;955,4;955,4;955;91,6;26,3;23,9;26,3;25,4;24,6;20,9;93;76;87;97;4;1;
2023/01/02;1200 UTC;0;955,6;955,7;955,4;140,4;27,3;22,8;27,3;26,3;25,2;21,9;93;76;77;92;6,8;3,2;
2023/01/02;1300 UTC;0;955,7;955,8;955,6;176,2;27;22,5;27,3;26,6;22,9;22,1;78;76;76;62;7,8;2,9;
2023/01/02;1400 UTC;0;955,2;955,7;955,2;254,7;28,4;23,8;28,5;27;25,8;22,5;92;76;76;100;6,5;3,1;
2023/01/02;1500 UTC;0;954,3;955,2;954,3;262,1;29,2;27,6;29,7;28,3;27,7;23,6;92;76;91;67;6,2;2,8;
2023/01/02;1600 UTC;0;953,1;954,3;953,1;256;30,3;27,4;30,4;29,1;28,1;24,7;92;75;84;101;6,8;2,9;
2023/01/02;1700 UTC;0;952,4;953,1;952,4;151;29,3;25,4;30,8;29;29;23,9;91;73;80;165;8,7;2;
2023/01/02;1800 UTC;0;952;952,4;951,4;264,8;29,5;27,3;30,8;29,3;28,9;25,5;90;75;88;99;9,1;5,1;
2023/01/02;1900 UTC;1,4;951,4;952;951,3;130;29,4;27,6;29,5;28,8;27,8;26,3;91;84;90;327;9,1;,9;
2023/01/02;2000 UTC;0;950,8;951,4;950,7;101,3;30,4;28,5;30,5;29,4;28,8;25,4;91;78;89;39;3;1,8;
2023/01/02;2100 UTC;0;951,1;951,2;950,8;37,2;29,1;27,4;30,4;29;28,7;27,3;91;89;91;2;4;1,1;
2023/01/02;2200 UTC;0;952,2;952,2;951,1;,3;27,8;25,4;29,1;27,8;27,3;24,9;91;84;87;350;3,2;,6;
2023/01/02;2300 UTC;0;952,8;952,8;952,2;;27,2;23,7;27,9;27,2;26,3;22,6;91;75;81;64;4,6;1,6;
2023/01/03;0000 UTC;0;953,6;953,6;952,8;7,1;26,2;22;27,2;26,2;25,6;21,8;92;76;78;195;3,4;,2;
2023/01/03;0100 UTC;0;953,4;953,6;953,4;14,2;26;21,8;26,3;26;24,9;21,5;93;76;78;292;1,2;0;
2023/01/03;0200 UTC;0;953,7;953,7;953,4;6,5;25,6;24,4;26;25,5;24,7;21,4;93;77;93;296;2,2;0;
2023/01/03;0300 UTC;0;953,5;953,7;953,5;;26;24,9;26,1;25,6;24,9;24,2;93;91;93;87;0;0;
2023/01/03;0400 UTC;0;953,2;953,5;953;;26;24,9;26,1;25,8;24,9;21,7;94;77;94;304;0;0;
2023/01/03;0500 UTC;0;952,9;953,2;952,9;;25,6;22,7;26;25,6;24,9;21,5;94;77;84;279;0;0;
2023/01/03;0600 UTC;0;952,4;952,9;952,4;4,5;25,5;21,4;25,8;25,4;24,5;21,2;94;78;78;241;2,6;,9;
2023/01/03;0700 UTC;0;952,4;952,6;952,4;3,7;25,3;21,2;25,6;25,3;21,5;21,1;78;78;78;15;2;,2;
2023/01/03;0800 UTC;0;953;953;952,4;3,3;25,3;21,2;25,5;25,1;21,4;21;78;78;78;269;1,3;0;
2023/01/03;0900 UTC;0;953,6;953,6;953;7,5;24,9;20,9;25,4;24,9;24,1;20,9;93;78;78;257;1,2;,6;
2023/01/03;1000 UTC;0;954,4;954,4;953,6;32,2;25,5;21,6;25,5;24,8;21,6;20,8;79;78;79;44;1,6;,8;
2023/01/03;1100 UTC;0;955,1;955,1;954,4;86,2;26,4;25,6;26,5;25,5;25,6;21,6;96;79;96;73;4,6;2,1;
2023/01/03;1200 UTC;0;955,3;955,4;955,1;157,9;27,4;26,6;27,4;26,4;26,6;22,6;96;80;96;77;7,9;4,8;
2023/01/03;1300 UTC;0;955,5;955,5;955,3;183,3;27,9;27;28;27,2;27,2;26;96;93;95;63;8,1;4,1;
2023/01/03;1400 UTC;0;955;955,5;954,9;231,7;28,4;24,5;28,5;27,9;27,2;24;95;78;79;19;7,5;3,2;
2023/01/03;1500 UTC;0;954,7;955;954,3;193,3;28,5;23,9;29,2;28,2;26,7;23,9;89;76;76;22;9,4;5,9;
2023/01/03;1600 UTC;10,4;954;954,8;954;164,5;27,5;23,5;28,5;26,9;26,7;22,4;93;76;79;61;10,3;1,8;
2023/01/03;1700 UTC;0;952,8;954;952,7;230,5;28,5;24,5;28,5;27,4;25,9;23,2;91;78;79;359;4,6;1,7;
2023/01/03;1800 UTC;,2;952,3;952,9;952,3;182,8;28,4;24,3;28,9;28,1;24,7;24;79;78;78;293;7,1;4,3;
2023/01/03;1900 UTC;0;951,8;952,4;951,8;190,5;27,6;26,4;28,4;27,6;26,7;23,6;93;77;93;297;7,1;3,1;
2023/01/03;2000 UTC;0;951,7;952;951,7;116,1;27,8;25,5;27,9;27,4;26,6;23;93;77;88;283;5,2;1,9;
2023/01/03;2100 UTC;0;953,4;953,4;951,7;38,3;27,3;22,8;27,8;27,3;26,5;22,8;93;76;76;83;11,1;4,3;
2023/01/03;2200 UTC;13;953,9;953,9;953,4;7,2;25,7;22;27,3;25,7;25,5;21,4;93;76;80;123;11,1;1,4;
2023/01/03;2300 UTC;3,2;954,8;954,8;953,9;9,1;25,4;22,6;25,7;25,3;24,5;21,2;94;77;85;204;2,7;0;
2023/01/04;0000 UTC;1;955,3;955,3;954,8;;25,1;21,1;25,4;25,1;24,4;21;95;78;79;200;2,4;,2;
2023/01/04;0100 UTC;0;955,6;955,6;955,2;;24,9;21,3;25,1;24,9;24,2;21;95;79;80;199;3,5;1,4;
2023/01/04;0200 UTC;,2;955,2;955,7;955,2;6,5;24,4;23,7;24,9;24,4;23,7;20,6;96;79;96;221;4,9;1,1;
2023/01/04;0300 UTC;0;954,6;955,2;954,6;;24,2;23,3;24,4;24,2;23,7;20,4;96;79;95;118;3,4;0;
2023/01/04;0400 UTC;0;954,1;954,7;954,1;;24,3;20,5;24,3;24,2;23,6;20,4;96;79;79;229;2,4;0;
2023/01/04;0500 UTC;0;953,6;954,1;953,5;;24,1;20,4;24,3;24,1;23,6;20,3;96;79;80;204;2,4;,7;
2023/01/04;0600 UTC;0;953,3;953,6;953,3;;23,6;20,4;24,1;23,6;23,4;19,9;96;80;82;207;4,1;2,1;
2023/01/04;0700 UTC;0;953,5;953,5;953,3;;23,4;19,8;23,6;23,4;22;19,7;91;80;80;199;4,2;,4;
2023/01/04;0800 UTC;0;954,2;954,2;953,5;4,6;23,4;21,4;23,5;23,4;22,9;19,8;97;80;89;195;1,9;,3;
2023/01/04;0900 UTC;0;954,7;954,7;954,1;10,4;23,7;21,4;23,7;23,4;22,9;19,8;97;80;87;210;2;0;
2023/01/04;1000 UTC;0;955,6;955,6;954,7;22,4;24,1;20,7;24,1;23,7;22;20,1;90;81;81;98;3,6;1,7;
2023/01/04;1100 UTC;0;956,1;956,1;955,6;89,1;24,8;21,5;24,9;24,1;24,5;20,7;98;81;82;126;4,7;2,4;
2023/01/04;1200 UTC;0;956,6;956,6;956,1;107;25,5;22,2;25,5;24,8;24,1;21,6;98;82;82;130;4,1;1,7;
2023/01/04;1300 UTC;0;956,2;956,5;956,2;157,4;26,8;25,8;26,8;25,5;25,8;22,2;98;82;94;119;3,1;1,7;
2023/01/04;1400 UTC;0;955,8;956,3;955,8;194,6;27,6;27,1;27,6;26,7;27,1;23,4;98;82;97;230;4,5;,2;
2023/01/04;1500 UTC;0;955;955,8;955;167,5;29,2;28,5;29,2;27,6;28,5;27,1;97;96;96;85;3,3;1,4;
2023/01/04;1600 UTC;0;954,3;955;954,3;259,3;30,2;29,1;30,2;29,2;29,1;26,5;96;80;94;96;4,9;2,3;
2023/01/04;1700 UTC;,2;953,2;954,3;953,2;182,4;30,3;28,9;30,5;30;29,2;25,6;94;77;92;84;5,7;2,8;
2023/01/04;1800 UTC;0;952,2;953,2;952,2;196,8;30,2;28,6;31;30,1;29,6;28,5;93;91;91;93;4,4;1,4;
2023/01/04;1900 UTC;0;951,7;952,2;951,7;161,4;31,3;29,7;31,3;30,2;29,7;27,4;91;83;91;93;3,4;2;
2023/01/04;2000 UTC;0;951,3;951,7;951,2;164,2;30,5;28,5;31,8;30,4;30;27,9;91;86;89;122;9,4;2,5;
2023/01/04;2100 UTC;0;951,8;951,8;951,3;43,3;29,6;27,8;30,5;29,6;28,5;27,5;90;87;90;29;3,7;,5;
2023/01/04;2200 UTC;0;952,5;952,5;951,8;;28,7;27,1;29,7;28,6;27,9;26,7;91;86;91;313;2,4;,3;
2023/01/04;2300 UTC;0;953,1;953,1;952,5;;27,7;23,9;28,7;27,5;27;22,8;91;75;80;273;1,5;0;
2023/01/05;0000 UTC;0;953,7;953,7;953,1;3,1;26,9;23,6;27,7;26,9;25,8;22,3;91;75;82;265;1,9;,3;
2023/01/05;0100 UTC;0;954,2;954,2;953,7;;26,4;24,9;27;26,3;25,6;21,8;92;76;91;264;1,8;,2;
2023/01/05;0200 UTC;0;954,1;954,4;954,1;;25,8;21,7;26,4;25,7;24,1;21,4;91;76;78;259;2,7;1,3;
2023/01/05;0300 UTC;0;954,1;954,1;954;7,5;25,4;21,2;25,8;25,4;24,4;21,1;93;77;77;327;1,9;,9;
2023/01/05;0400 UTC;0;953,3;954,1;953,3;7,6;25;20,7;25,4;25;22,1;20,7;85;77;77;290;1,7;,3;
2023/01/05;0500 UTC;0;953,1;953,3;953;7,9;24,8;21,4;25;24,7;22,8;20,5;91;77;82;41;1,9;0;
2023/01/05;0600 UTC;0;952,7;953,1;952,7;2,1;25;22,1;25;24,7;23,8;20,7;94;78;84;15;,8;0;
2023/01/05;0700 UTC;0;952,8;952,8;952,7;;24,5;20,6;25;24,4;23,3;20,4;92;78;79;269;,9;0;
2023/01/05;0800 UTC;0;953,2;953,2;952,8;7;24,4;20,4;24,5;24,3;20,8;20,3;80;79;79;150;1,7;,7;
2023/01/05;0900 UTC;0;953,3;953,4;953,2;11,3;24,2;20,3;24,4;24,1;23,5;20,3;95;79;79;256;1,7;0;
2023/01/05;1000 UTC;0;953,7;953,7;953,3;52,8;25,7;22,1;25,7;24,2;22,1;20,3;80;79;80;358;1;0;
2023/01/05;1100 UTC;0;954,6;954,6;953,7;91,5;27,2;23,5;27,3;25,7;23,5;22,1;82;80;80;93;4,5;2,8;
2023/01/05;1200 UTC;0;955;955,1;954,6;130,4;27,7;23,9;27,9;27,2;24,1;23,4;80;80;80;86;7,8;5;
2023/01/05;1300 UTC;0;955,3;955,4;955;197,3;28,8;24,7;28,8;27,7;25,3;23,9;88;78;78;75;9,1;4,8;
2023/01/05;1400 UTC;0;954,9;955,4;954,9;196,2;28,8;24,3;29,5;28,8;28,3;24,3;94;76;77;74;8,6;4,4;
2023/01/05;1500 UTC;0;954,1;954,9;954,1;229,1;29,6;24,8;30;28,8;25,4;24,5;78;76;76;68;8,9;4,7;
2023/01/05;1600 UTC;0;953,5;954,1;953,5;275,6;30,7;25,7;30,8;29,5;28,5;24,8;91;74;75;65;9,1;4,7;
2023/01/05;1700 UTC;0;952,2;953,5;952,2;278;31,3;28,9;31,4;30,7;28,9;25,7;89;73;87;75;9;4,3;
2023/01/05;1800 UTC;0;951,2;952,2;951,2;319,1;31,2;28,7;31,4;30,8;29;25,6;87;72;87;77;10,5;5,1;
2023/01/05;1900 UTC;0;951;951,4;951;157,9;31,3;28,6;31,5;31;28,8;25,5;87;71;86;76;9,1;3,9;
2023/01/05;2000 UTC;0;951,2;951,3;950,9;101,3;30,8;27,2;31,4;30,7;28,7;24,8;86;70;81;81;7,1;2,6;
2023/01/05;2100 UTC;0;952,4;952,4;951,2;36,1;29,7;24,1;30,8;29,7;28;23,8;86;70;72;123;4,4;0;
2023/01/05;2200 UTC;0;953,1;953,1;952,3;7,6;28,9;23,3;29,7;28,9;25,5;23,3;78;71;72;250;2,5;1,1;
2023/01/05;2300 UTC;0;953,6;953,6;953,1;25,1;28;22,5;28,9;27,9;23,2;22,3;72;71;72;278;1,8;,3;
2023/01/06;0000 UTC;0;954,9;954,9;953,6;18,1;27,1;21,6;28,1;27,1;25,8;21,6;88;71;72;334;5,4;1,3;
2023/01/06;0100 UTC;0;954,7;954,9;954,5;21,1;26,6;23,5;27,1;26,6;23,5;21,1;84;72;83;44;3;,7;
2023/01/06;0200 UTC;0;955,2;955,3;954,7;19,1;25,7;23,4;26,7;25,5;24,3;20,2;87;72;87;213;8,6;4,1;
2023/01/06;0300 UTC;0;954,8;955,3;954,8;24,8;25,3;20,3;25,7;25,3;22,9;20,2;89;73;74;241;8,4;4,4;
2023/01/06;0400 UTC;0;954,8;954,8;954,2;21,4;24,9;20,3;25,3;24,9;22,6;20;87;74;76;192;9,2;3,7;
2023/01/06;0500 UTC;9,2;955,1;955,2;954,6;19,2;24,4;22,6;25;24,4;23,3;19,6;91;74;90;285;8,3;3,2;
2023/01/06;0600 UTC;6,8;955,5;955,5;955;21,3;23,2;18,6;24,4;23,2;22,9;18,6;91;75;75;68;9,8;,9;
2023/01/06;0700 UTC;6;954,9;955,6;954,9;24,1;22,6;18,1;23,2;22,5;21,8;18,1;92;75;76;289;6,3;2,7;
2023/01/06;0800 UTC;7,6;954,8;955,3;954,7;22,9;22,1;17,7;22,6;22,1;18,7;17,7;80;76;76;265;5,9;1,6;
2023/01/06;0900 UTC;,2;954,4;954,8;954,3;33,6;21,8;18,1;22,1;21,7;18,1;17,3;79;76;79;114;3,6;,7;
2023/01/06;1000 UTC;,2;954,8;954,8;954,4;101,5;23,1;19,3;23,2;21,8;20,8;17,7;93;77;79;194;2,1;,8;
2023/01/06;1100 UTC;0;955,4;955,4;954,8;157,8;24,4;20,9;24,4;23,1;21,6;19,1;88;78;81;135;2,1;,1;
2023/01/06;1200 UTC;0;955,9;956;955,4;224;25,9;22,4;25,9;24,4;24,8;20,4;95;78;81;60;2,5;,9;
2023/01/06;1300 UTC;0;956,4;956,4;955,9;284,8;27,1;26,1;27,1;25,9;26,1;22;95;79;94;59;3,7;1,8;
2023/01/06;1400 UTC;0;956,2;956,4;956,2;352,8;28,7;27,6;28,7;27,1;27,6;24,7;95;78;94;64;4,4;2,7;
2023/01/06;1500 UTC;0;955,8;956,2;955,7;365,9;29,4;25,5;29,4;28,6;27,7;24,4;94;77;80;100;6,6;3,1;
2023/01/06;1600 UTC;0;955;955,8;954,9;409,7;30,2;25,4;30,2;29,4;28;25,1;92;75;76;77;6,1;3,2;
2023/01/06;1700 UTC;0;954,1;955;954,1;319;29,6;24,5;30,2;29,5;25,7;24,4;78;74;74;91;6,5;3,2;
2023/01/06;1800 UTC;0;953,3;954,1;953,3;301,5;30,5;27,3;30,5;29,6;27,3;24,5;83;74;83;71;5,8;2,8;
2023/01/06;1900 UTC;0;952,8;953,3;952,8;239,1;30,2;28,1;30,6;30,2;28,6;25;89;73;89;82;6,8;3,7;
2023/01/06;2000 UTC;0;953,1;953,1;952,7;99,6;29,3;24,1;30,3;29,3;28,2;24,1;89;73;74;89;7,4;2,7;
