REGIAO:;NE
UF:;PI
ESTACAO:;OEIRAS
CODIGO (WMO):;A354
LATITUDE:;-6,97416666
LONGITUDE:;-42,14694444
ALTITUDE:;154,03
DATA DE FUNDACAO:;22/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;993,7;993,8;993,6;0;22,9;21,1;23,7;22,9;21,3;21;90;85;90;269;1,7;,4;
2023/01/01;0100 UTC;0;993,9;993,9;993,7;0;22;20,5;22,9;22;21,1;20,4;91;90;91;313;1,5;,2;
2023/01/01;0200 UTC;0;994;994,1;993,9;0;21,3;20,2;22;21,3;20,5;20,2;93;91;93;161;1;,4;
2023/01/01;0300 UTC;0;993,6;994;993,5;0;20,7;20;21,3;20,7;20,4;20;96;93;96;256;1,2;,4;
2023/01/01;0400 UTC;0;992,7;993,6;992,7;0;20,3;19,9;20,8;20,3;20,3;19,9;97;96;97;236;1,3;,7;
2023/01/01;0500 UTC;0;992,6;992,7;992,5;0;20,5;20,1;20,8;20,3;20,3;19,9;97;97;97;236;2,7;,3;
2023/01/01;0600 UTC;0;992,5;992,8;992,5;0;19,9;19,5;20,5;19,9;20;19,5;98;97;98;226;1,6;,3;
2023/01/01;0700 UTC;0;993,1;993,1;992,3;0;19,5;19,2;20;19,4;19,6;19;98;98;98;17;2,7;1,2;
2023/01/01;0800 UTC;0;993,8;993,8;993,1;0;19,6;19,2;19,8;19,5;19,4;19,2;98;98;98;285;2,7;,6;
2023/01/01;0900 UTC;0;994,2;994,2;993,8;11,4;19,6;19,2;19,6;19,3;19,2;18,9;98;98;98;317;2,1;,2;
2023/01/01;1000 UTC;0;995,2;995,2;994,2;166,3;20,9;20,5;20,9;19,6;20,5;19,2;98;98;98;78;1,2;,4;
2023/01/01;1100 UTC;0;995,6;995,6;995,2;1115,6;24,3;19,3;24,5;20,9;21,2;19,3;98;74;74;142;2,1;1,2;
2023/01/01;1200 UTC;0;995,4;995,7;995,3;1959,2;27,7;21,3;27,7;24,2;21,3;19,2;75;64;68;116;4,5;1,8;
2023/01/01;1300 UTC;0;995,3;995,4;995,2;2369,9;29,2;20,9;29,2;27,1;21,2;19,4;68;58;61;132;5,4;2,4;
2023/01/01;1400 UTC;0;994,8;995,3;994,8;2879,9;29,4;19,8;30,5;28,2;21,5;19,3;63;52;56;140;5,3;2,8;
2023/01/01;1500 UTC;0;994;994,8;994;3228,3;30,9;19,2;31,1;29,2;21,4;18,4;63;47;50;166;5,3;1,9;
2023/01/01;1600 UTC;0;992,9;994;992,9;3301;31,5;18,8;32,7;30,9;20,9;18;53;42;47;91;5,1;1,4;
2023/01/01;1700 UTC;0;991,9;992,9;991,9;2304,5;32;18,3;33,2;31,2;21,1;17,7;54;40;44;80;4,9;2,1;
2023/01/01;1800 UTC;0;991;991,9;991;2395,5;32,5;18,8;33,7;31,3;20,3;16,9;53;38;44;143;4,5;1,8;
2023/01/01;1900 UTC;0;990,7;991;990,6;1906,7;31,7;18,4;33,6;31,5;20,1;17;48;39;45;160;4,8;2,1;
2023/01/01;2000 UTC;0;990,8;990,8;990,6;424,2;31,5;20,6;31,9;30,7;25,2;18,1;69;44;53;337;4;,7;
2023/01/01;2100 UTC;0;991;991;990,7;153,8;28,1;22,4;32,9;28,1;23,9;20,4;72;51;71;203;1,5;,8;
2023/01/01;2200 UTC;0;991,6;991,6;991;5,5;25,3;22,3;28,1;25,3;23,2;21,9;85;71;84;295;1,7;,5;
2023/01/01;2300 UTC;0;992,6;992,6;991,6;0;23,9;21,6;25,3;23,9;22,4;21,3;87;83;87;337;1,3;,5;
2023/01/02;0000 UTC;0;993,1;993,1;992,6;0;23;21,1;23,9;23;21,7;21;89;87;89;272;1,2;,6;
2023/01/02;0100 UTC;0;993,5;993,5;993,1;0;22,7;21,1;23;22,6;21,1;20,9;91;89;91;274;1,1;,3;
2023/01/02;0200 UTC;0;993,3;993,5;993,3;0;22,7;21,1;22,8;22,7;21,2;21,1;91;90;91;78;,9;,4;
2023/01/02;0300 UTC;0;992,7;993,3;992,7;0;22,2;20,9;22,7;22,2;21,3;20,9;92;91;92;285;,8;,4;
2023/01/02;0400 UTC;0;992,6;992,8;992,6;0;21,9;21;22,2;21,9;21,1;20,9;95;92;95;284;1,5;,4;
2023/01/02;0500 UTC;0;992,5;992,6;992,5;0;22,4;21,6;22,4;21,9;21,7;21;97;95;95;288;1,7;,5;
2023/01/02;0600 UTC;0;992,6;992,7;992,5;0;22,7;21,9;22,7;22,4;21,9;21,3;95;93;95;121;1,6;,8;
2023/01/02;0700 UTC;0;992,8;992,8;992,3;0;23,2;21,6;23,2;22,7;21,9;21,6;95;91;91;158;3,6;1,8;
2023/01/02;0800 UTC;0;993,7;993,7;992,8;0;23;21,1;23,2;22,9;21,6;20,9;91;88;89;99;3,6;,8;
2023/01/02;0900 UTC;0;994,3;994,3;993,6;5,5;22,8;21,2;23;22,6;21,2;20,9;92;89;91;223;1,9;1,2;
2023/01/02;1000 UTC;0;994,9;994,9;994,3;160;24,1;21,5;24,1;22,8;21,6;21,2;91;85;85;54;1,8;,3;
2023/01/02;1100 UTC;0;995,1;995,1;994,8;1276;27,3;21,7;27,3;24,1;22,2;20,7;85;68;71;128;3,8;2,1;
2023/01/02;1200 UTC;0;995,8;995,8;995,1;1817,6;28,4;21,7;28,4;27,2;22;20,3;72;64;67;125;5,4;1,9;
2023/01/02;1300 UTC;0;995,8;995,9;995,8;1457,3;28,1;21,4;29,7;27,9;21,7;19,6;68;57;67;74;3,9;1,6;
2023/01/02;1400 UTC;0;995,1;995,8;995,1;1919,7;29,5;21,2;30,4;28,1;22,1;19,7;69;55;61;82;4;1,3;
2023/01/02;1500 UTC;0;994,1;995,1;994,1;2139,2;30,5;20,7;30,7;29,5;21,5;19,2;62;51;56;359;4,7;1,7;
2023/01/02;1600 UTC;0;993,5;994,1;993,5;931;27,4;22,2;30,5;27,4;23,1;19,7;73;54;73;328;4,4;1,8;
2023/01/02;1700 UTC;0;992,4;993,5;992,4;1399,1;27,4;21,9;28,6;27,4;23;21,8;75;68;72;306;5,9;2,1;
2023/01/02;1800 UTC;0;991,3;992,4;991,3;673;26,9;22,5;27,4;26,7;22,7;21,6;78;72;77;301;4,6;2,3;
2023/01/02;1900 UTC;0;991,1;991,3;990,9;769,7;27,7;22,2;27,7;26,9;22,9;22;78;72;72;298;3,9;1,2;
2023/01/02;2000 UTC;0;991,1;991,2;991;568,3;27,2;22,4;27,7;27,2;22,7;21,7;76;70;75;312;3,7;1,6;
2023/01/02;2100 UTC;0;991,5;991,6;991,1;160,2;26,3;22,9;27,2;26,3;22,9;22,4;81;75;81;291;3,5;,6;
2023/01/02;2200 UTC;0;991,6;991,9;991,5;1,7;24,8;22,7;26,3;24,8;23;22,7;88;81;88;231;1,7;,6;
2023/01/02;2300 UTC;0;992,7;992,7;991,6;0;24,4;22,8;24,8;24,3;22,9;22,6;91;88;91;306;1,1;,7;
2023/01/03;0000 UTC;0;993,2;993,2;992,7;0;23,7;22,3;24,3;23,7;22,7;22,3;92;91;92;144;1;,4;
2023/01/03;0100 UTC;0;993,6;993,6;993,1;0;23,6;23;23,8;23,5;23;22,3;96;92;96;31;1,7;,8;
2023/01/03;0200 UTC;0;993,3;993,6;993,3;0;23,5;23;23,6;23,2;23;22,7;97;96;97;177;2,1;1,1;
2023/01/03;0300 UTC;0;993,6;993,7;993,3;0;23,7;23,2;23,7;23,4;23,2;22,9;97;97;97;289;2,1;,4;
2023/01/03;0400 UTC;0;993,4;993,6;993,4;0;23,8;23,3;23,9;23,6;23,4;23,1;97;97;97;154;2,6;1,7;
2023/01/03;0500 UTC;1,4;992,9;993,4;992,8;0;23,9;23,5;24,1;23,8;23,6;23,3;97;97;97;138;2,6;1,2;
2023/01/03;0600 UTC;1,4;992,8;992,9;992,3;0;23,1;22,2;23,9;23,1;23,4;22,2;97;95;95;144;3,6;1,7;
2023/01/03;0700 UTC;19,4;993,8;993,8;992,8;,1;22,2;21,7;23,1;22,2;22;21,1;97;92;97;134;8,8;2,3;
2023/01/03;0800 UTC;10,4;993,4;993,8;993,3;,3;22,3;21,8;22,3;22,2;21,8;21,7;97;97;97;105;6,6;1,6;
2023/01/03;0900 UTC;1;994,7;994,7;993,4;,3;22,3;21,8;22,4;22,2;21,9;21,8;97;97;97;163;3,2;,6;
2023/01/03;1000 UTC;1,4;995;995;994,6;36,8;22,5;22;22,5;22,3;22;21,8;97;97;97;315;1,8;,5;
2023/01/03;1100 UTC;,2;995,7;995,7;994,9;244;23,3;22,8;23,3;22,5;22,8;22;97;97;97;104;1,2;,6;
2023/01/03;1200 UTC;0;996,5;996,5;995,7;807;24,6;22,1;24,7;23,3;23,7;22,1;98;86;86;292;1,3;,9;
2023/01/03;1300 UTC;0;996,3;996,6;996,2;1137;25,8;22,2;26;24,6;23,1;21,9;88;80;80;300;2,1;,8;
2023/01/03;1400 UTC;0;995,8;996,3;995,7;2307,3;28,1;22,4;28,2;25,8;23,4;21,6;83;68;71;279;2,9;1,1;
