REGIAO:;NE
UF:;PI
ESTACAO:;CANTO DO BURITI
CODIGO (WMO):;A365
LATITUDE:;-8,11805554
LONGITUDE:;-42,97583332
ALTITUDE:;312,07
DATA DE FUNDACAO:;12/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;976,6;976,6;976,3;;25,1;19,2;26,7;24,4;19,4;18,4;73;60;70;28;2,7;,4;
2023/01/01;0100 UTC;0;976,5;976,7;976,5;;23,7;19,6;25,1;23,7;19,8;19,1;78;70;78;254;1,8;,8;
2023/01/01;0200 UTC;0;976,3;976,5;976,3;;22,2;19,3;24,5;22,2;19,7;18,9;83;73;83;284;1,5;1;
2023/01/01;0300 UTC;0;975,7;976,3;975,7;;22;19,2;22,9;22;19,8;19,2;85;81;84;295;2,1;1,4;
2023/01/01;0400 UTC;0;975,3;975,7;975,3;;21,5;19,3;22,3;21,5;19,6;19,2;87;84;87;302;2,2;1,5;
2023/01/01;0500 UTC;0;975,4;975,4;975,3;;21,4;18,9;22,4;21,3;20;18,9;88;83;86;214;1,9;,7;
2023/01/01;0600 UTC;0;975,1;975,4;975,1;;21,2;19,1;21,4;20,9;19,3;18,8;90;86;88;55;1,3;1;
2023/01/01;0700 UTC;0;975,6;975,6;975,1;;21;18,8;21,3;20,9;19,1;18,8;89;86;87;91;2,5;1,4;
2023/01/01;0800 UTC;0;976,2;976,2;975,5;;20,4;17,7;21,3;20,4;18,8;17,7;87;82;85;125;3,1;,6;
2023/01/01;0900 UTC;0;977,1;977,1;976,2;188,7;22,2;19,1;22,2;20,2;19,1;17,7;87;82;82;154;1,6;,4;
2023/01/01;1000 UTC;0;977,5;977,5;977,1;954,6;24,9;19,2;24,9;22,3;19,3;18,5;83;70;70;111;6,9;3,8;
2023/01/01;1100 UTC;0;978;978;977,5;1816,1;26,6;19,1;26,7;24,7;19,5;18,6;70;63;63;120;8,2;4,4;
2023/01/01;1200 UTC;0;978,1;978,2;978;2574;28,1;18,3;28,5;26,6;19,6;18,3;64;55;55;91;9,1;4,4;
2023/01/01;1300 UTC;0;977,5;978,1;977,5;3099,7;29,7;18,9;29,7;27,7;19,1;18,2;58;52;52;95;7,8;3,6;
2023/01/01;1400 UTC;0;976,6;977,5;976,6;3341,7;30,2;18,5;31,2;28,9;19,2;18,1;53;47;50;108;9,4;5,1;
2023/01/01;1500 UTC;0;975,7;976,6;975,7;3737,1;30,8;18,1;32,7;30,3;19,2;17,4;50;42;47;90;9,2;3,8;
