REGIAO:;N
UF:;AM
ESTACAO:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10333333
LONGITUDE:;-60,01638888
ALTITUDE:;61,25
DATA DE FUNDACAO:;09/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;,2;1005;1005;1004,7;0;24;22,9;24;23,8;22,9;22,4;94;91;93;55;3,1;,8;
2023/01/01;0100 UTC;0;1005,8;1005,8;1005;0;23,9;23,1;24;23,7;23,1;22,8;96;93;95;336;1,4;,4;
2023/01/01;0200 UTC;0;1005,8;1006,1;1005,8;0;23,9;22,9;24,2;23,9;23,3;22,9;96;94;95;12;1,5;,4;
2023/01/01;0300 UTC;0;1005,6;1005,8;1005,6;0;24,3;22,9;24,4;23,8;23,2;22,9;95;92;92;64;2,6;1,5;
2023/01/01;0400 UTC;,4;1005,8;1005,9;1005,6;0;23,8;22,8;24,3;23,8;23,1;22,7;94;92;94;50;3;1,5;
2023/01/01;0500 UTC;0;1004,6;1005,8;1004,6;0;23,4;22;23,9;23,4;22,9;22;95;92;92;60;4,1;1,4;
2023/01/01;0600 UTC;0;1003,9;1004,6;1003,9;0;23,2;22,1;23,4;23,1;22,2;22;95;92;93;43;3;1,3;
2023/01/01;0700 UTC;0;1003,9;1003,9;1003,7;0;23,2;22,1;23,3;23;22,1;22;94;93;93;51;3;1,2;
2023/01/01;0800 UTC;0;1004,2;1004,2;1003,9;0;23,2;22;23,2;23,1;22,1;22;94;93;93;55;3,2;1,6;
2023/01/01;0900 UTC;,2;1004,5;1004,5;1004,2;0;23,2;22,2;23,2;23,1;22,2;22;94;93;94;53;3,2;1;
2023/01/01;1000 UTC;0;1005,2;1005,2;1004,5;2;23,3;22,2;23,3;23,2;22,3;22,1;94;93;94;51;1,8;,9;
