REGIAO:;N
UF:;AM
ESTACAO:;ITACOATIARA
CODIGO (WMO):;A121
LATITUDE:;-3,13333333
LONGITUDE:;-58,48277777
ALTITUDE:;41,54
DATA DE FUNDACAO:;17/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;1006;1006;1005,1;0;23,4;22,4;23,6;23,3;22,4;22,3;94;93;94;295;2,1;,8;
2023/01/01;0100 UTC;;1006,9;1006,9;1006;0;23,5;22,5;23,5;23,3;22,5;22,4;94;94;94;288;2,5;1,2;
2023/01/01;0200 UTC;;1007,5;1007,5;1006,9;0;23,7;22,6;23,7;23,4;22,6;22,5;94;94;94;281;2,5;,9;
2023/01/01;0300 UTC;;1007,4;1007,6;1007,4;0;23,6;22,6;23,7;23,6;22,6;22,6;94;94;94;290;2,2;,8;
2023/01/01;0400 UTC;;1006,7;1007,4;1006,7;0;23,5;22,5;23,7;23,5;22,7;22,5;94;94;94;288;2,2;,3;
2023/01/01;0500 UTC;;1005,7;1006,7;1005,7;0;23,6;22,6;23,7;23,5;22,7;22,5;94;94;94;238;1,2;0;
2023/01/01;0600 UTC;;1005,2;1005,7;1005,2;0;23,9;22,9;24,1;23,6;23,1;22,6;94;94;94;262;1,6;0;
2023/01/01;0700 UTC;;1005,1;1005,3;1005,1;0;23,7;22,7;24;23,7;22,9;22,7;94;94;94;301;0;0;
2023/01/01;0800 UTC;;1004,8;1005,1;1004,7;0;24;23;24;23,6;23;22,6;94;94;94;256;0;0;
2023/01/01;0900 UTC;;1005,4;1005,4;1004,8;0;23,9;22,8;24;23,9;23;22,8;94;94;94;251;1,5;0;
