REGIAO:;N
UF:;AM
ESTACAO:;S. G. DA CACHOEIRA
CODIGO (WMO):;A134
LATITUDE:;-,125207
LONGITUDE:;-67,061246
ALTITUDE:;79,67
DATA DE FUNDACAO:;31/08/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1000,2;1000,2;999,8;0;23,4;20,4;24,1;23,3;20,7;20,1;83;81;83;81;;;
2023/01/01;0100 UTC;0;1001,4;1001,4;1000,2;0;23,1;20,3;23,4;23,1;20,4;20,1;84;83;84;81;;;
2023/01/01;0200 UTC;0;1002,1;1002,1;1001,4;0;22,9;20,2;23,2;22,9;20,4;20,1;85;84;85;332;;;
2023/01/01;0300 UTC;0;1002,3;1002,3;1002,1;0;23;20,8;23;22,8;21,3;20,1;91;84;87;2;;;
2023/01/01;0400 UTC;0;1001,9;1002,3;1001,9;0;22,8;21;23;22,8;21;20,3;90;86;90;55;;;
2023/01/01;0500 UTC;,2;1001,7;1001,9;1001,7;0;22,8;21,2;22,8;22,7;21,3;21;91;90;91;158;;;
2023/01/01;0600 UTC;0;1000,8;1001,7;1000,8;0;22,7;21;22,8;22,7;21,3;21;91;90;90;107;;;
2023/01/01;0700 UTC;0;1000,4;1000,8;1000,4;0;22,8;21,3;22,8;22,6;21,3;20,5;91;88;91;165;;;
2023/01/01;0800 UTC;0;1000,2;1000,4;1000,1;0;22,9;21,4;22,9;22,8;21,4;21,2;91;91;91;54;;;
2023/01/01;0900 UTC;0;1000,6;1000,6;1000,2;0;23;21,5;23;22,8;21,5;21,3;92;91;92;105;;;
2023/01/01;1000 UTC;0;1001,2;1001,2;1000,6;0;23;21,6;23,1;23;21,6;21,5;92;92;92;82;;;
2023/01/01;1100 UTC;0;1002;1002;1001,2;40;23,2;21,8;23,2;23;21,8;21,5;92;91;92;72;;;
2023/01/01;1200 UTC;0;1003,2;1003,2;1002;258,2;24,2;21,5;24,2;23,2;22;21,3;92;85;85;54;;;
2023/01/01;1300 UTC;0;1003,9;1003,9;1003,2;724,2;26;21,7;26;24,2;21,8;21,2;85;76;77;85;;;
2023/01/01;1400 UTC;0;1004,2;1004,3;1003,9;877,4;26,7;21,7;26,7;25,9;21,9;20,8;77;71;74;138;;;
2023/01/01;1500 UTC;0;1004,2;1004,4;1004,2;1189,5;27,6;21,7;27,7;26,7;22,4;20,9;75;67;70;45;;;
2023/01/01;1600 UTC;0;1003,5;1004,2;1003,5;1417,2;28,6;21;28,7;27,3;22,6;20,3;73;61;64;117;;;
2023/01/01;1700 UTC;0;1002,1;1003,5;1002,1;2352,8;30,7;21,3;30,8;28,3;22,6;19,8;67;53;57;80;;;
2023/01/01;1800 UTC;4;1000,4;1002,1;1000,4;857,5;25,6;21,6;30,7;25,3;22,2;19,7;82;53;78;242;;;
2023/01/01;1900 UTC;,4;998,9;1000,4;998,9;1338;27,1;22,3;27,4;25,6;22,6;21,1;81;72;75;306;;;
2023/01/01;2000 UTC;0;998,3;998,9;998,3;1527,2;28,3;22,2;29,1;27,1;23;21,2;75;65;70;135;;;
2023/01/01;2100 UTC;0;998,8;998,8;998,3;451;25,8;21,6;28,2;25,8;23,2;21,6;79;68;78;75;;;
2023/01/01;2200 UTC;0;999,6;999,6;998,8;262,6;25,1;21,7;25,8;25,1;22;21,4;82;77;82;70;;;
2023/01/01;2300 UTC;,4;1000;1000,2;999,6;33,5;24,1;21,1;25,1;24,1;21,7;20,8;83;80;83;290;;;
2023/01/02;0000 UTC;,8;1000,9;1000,9;1000;0;23,9;22,3;24,1;23,8;22,3;21;91;83;91;213;;;
2023/01/02;0100 UTC;,6;1002;1002;1000,9;0;23,7;22,1;23,9;23,7;22,3;22;91;90;91;53;;;
