REGIAO:;N
UF:;AM
ESTACAO:;NOVO ARIPUANA
CODIGO (WMO):;A144
LATITUDE:;-8,0911111
LONGITUDE:;-60,38055554
ALTITUDE:;45
DATA DE FUNDACAO:;18/07/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1006,7;1006,7;1005,6;;26,3;25,2;26,7;26,3;25,5;25,1;94;91;93;268;2;,7;
2023/01/01;0100 UTC;3,2;1007,1;1007,2;1006,7;;25,1;24,6;26,4;25,1;25,3;24,1;97;91;97;74;3,5;,6;
2023/01/01;0200 UTC;0;1007,1;1007,1;1006,9;;24,8;24,4;25,2;24,8;24,7;24,3;98;97;97;48;2,3;,4;
2023/01/01;0300 UTC;0;1007,2;1007,3;1007,1;;24,6;24,1;24,8;24,6;24,4;24,1;98;97;97;87;2,1;,7;
2023/01/01;0400 UTC;0;1007;1007,2;1007;;24,2;23,9;24,6;24,2;24,1;23,9;98;97;98;310;2,1;,5;
2023/01/01;0500 UTC;0;1006,7;1007;1006,7;;24,4;24,1;24,4;24,2;24,1;23,9;98;98;98;25;1,4;,5;
2023/01/01;0600 UTC;0;1006,2;1006,7;1006,1;;24,2;23,7;24,4;24,2;24,1;23,7;98;97;97;55;2,7;,5;
2023/01/01;0700 UTC;0;1005,8;1006,2;1005,8;;24;23,6;24,2;24;23,9;23,5;98;97;97;359;2;,4;
2023/01/01;0800 UTC;0;1005,6;1005,8;1005,6;;23,9;23,5;24;23,9;23,6;23,5;98;97;98;13;1,7;,2;
2023/01/01;0900 UTC;0;1005,8;1005,9;1005,6;;23,8;23,5;23,9;23,8;23,6;23,5;98;98;98;3;,8;,2;
2023/01/01;1000 UTC;0;1006,6;1006,6;1005,8;,7;23,9;23,6;23,9;23,8;23,7;23,5;98;98;98;58;,8;,4;
2023/01/01;1100 UTC;0;1007,5;1007,5;1006,6;228,3;25;24,3;25;23,9;24,3;23,6;99;96;96;58;1,2;,5;
2023/01/01;1200 UTC;0;1008,4;1008,4;1007,5;1412;27,9;24;28,1;25;25,1;23,7;96;78;79;67;1,8;,7;
2023/01/01;1300 UTC;0;1008,8;1008,8;1008,4;1362,4;27,9;24,5;28,1;27,1;24,8;23,2;85;77;82;342;2,6;,5;
2023/01/01;1400 UTC;0;1008,9;1009;1008,8;2317,4;29,3;24,2;29,9;27,8;26,2;23,7;83;72;74;354;3,1;,9;
