REGIAO:;N
UF:;TO
ESTACAO:;PARANA
CODIGO (WMO):;A010
LATITUDE:;-12,615
LONGITUDE:;-47,87194443
ALTITUDE:;284,96
DATA DE FUNDACAO:;04/03/05
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;978,9;979;978,3;;25,3;20,6;26,1;25,2;20,9;20,5;76;73;75;276;3,2;,1;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;;979,9;980,2;979,6;;24,3;20,6;24,7;24,3;20,6;20,2;80;77;79;6;2,6;0;
2023/01/01;0300 UTC;;980,4;980,6;979,7;;24,1;21;24,6;23,9;21,1;20,6;83;79;83;51;3,9;,7;
2023/01/01;0400 UTC;;980,2;980,7;980,2;;23,5;21,4;24,3;23,4;21,5;21;89;83;88;218;4,1;0;
2023/01/01;0500 UTC;;979,7;980,2;979,6;;22,7;20,5;23,6;22,7;21,5;20,5;89;87;88;100;4,4;1,2;
2023/01/01;0600 UTC;;979,5;980;978,9;;21,9;19,8;22,7;21,9;20,5;19,6;88;87;88;87;8,8;,9;
2023/01/01;0700 UTC;;979,8;980,2;979,5;;20,6;18,6;21,9;20,5;19,8;18,5;89;87;88;135;7,6;2,3;
2023/01/01;0800 UTC;;979,6;979,9;979,6;;20,3;18,4;20,6;20,3;18,5;18,3;89;88;89;214;4,7;,4;
2023/01/01;0900 UTC;;979,9;979,9;979,5;2,9;20,5;18,7;20,5;20,3;18,7;18,4;89;89;89;129;2,4;,2;
2023/01/01;1000 UTC;;980,5;980,5;979,9;212,7;21,2;19,1;21,2;20,5;19,1;18,6;89;88;88;145;3,2;,8;
2023/01/01;1100 UTC;;981,1;981,1;980,5;762;22,8;19,6;22,8;21,2;19,8;19,1;88;82;82;101;4,1;,3;
2023/01/01;1200 UTC;;981,2;981,3;981,1;2070,3;25,4;19,1;25,5;22,9;20,1;19;82;68;68;115;3,4;,8;
2023/01/01;1300 UTC;;981,3;981,4;981,2;2561,7;26,4;19,4;26,7;25,4;20,2;18,3;70;64;65;104;3,3;,7;
2023/01/01;1400 UTC;;980,4;981,3;980,4;3334,4;29;19,1;29,2;26,4;21;18,8;66;55;55;71;3,5;0;
2023/01/01;1500 UTC;;979,7;980,4;979,7;3581,1;30,2;19,4;30,4;28,8;20,4;18,5;59;52;52;108;0;0;
2023/01/01;1600 UTC;;979,1;979,7;979,1;3340,9;31,2;19,7;31,7;29,3;20,1;18,2;56;46;50;121;0;0;
2023/01/01;1700 UTC;;978;979,1;978;3567,7;30,9;17,8;32,6;30,9;20,5;17,8;51;45;46;23;0;0;
2023/01/01;1800 UTC;;977,1;978;977,1;2290,3;30,5;19,5;33,2;29,9;19,6;17,4;54;40;52;25;0;0;
2023/01/01;1900 UTC;;976,2;977,1;976,2;2510,2;31,8;17,7;32,6;30,5;20;17,4;52;42;43;63;0;0;
2023/01/01;2000 UTC;;976;976,2;975,9;1514,6;31,5;18,1;32,8;31,5;19;17;46;40;45;67;0;0;
