REGIAO:;SE
UF:;ES
ESTACAO:;SAO MATEUS
CODIGO (WMO):;A616
LATITUDE:;-18,6761111
LONGITUDE:;-39,86416666
ALTITUDE:;28,66
DATA DE FUNDACAO:;25/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1012,9;1013;1012,2;0;25,2;22,7;25,3;25,1;22,8;22,5;87;84;86;79;5;2,6;
2023/01/01;0100 UTC;0;1013,2;1013,3;1012,9;0;25,1;22,8;25,3;25,1;22,9;22,7;87;86;87;72;4,6;1,7;
2023/01/01;0200 UTC;0;1013;1013,2;1013;0;24,9;22,2;25,3;24,9;22,9;22,1;87;84;85;80;4,5;1,9;
2023/01/01;0300 UTC;0;1012,4;1013;1012,4;0;25,2;22,3;25,2;24,9;22,6;22,2;86;84;84;63;5,2;2,6;
2023/01/01;0400 UTC;0;1011,7;1012,4;1011,7;0;24,4;22,5;25,2;24,4;22,5;22,2;89;84;89;29;5,1;1,2;
2023/01/01;0500 UTC;0;1011,2;1011,7;1011,2;0;23,4;22,2;24,5;23,4;22,5;22,1;93;89;93;185;2;,3;
2023/01/01;0600 UTC;0;1010,9;1011,2;1010,9;0;22,8;22;23,5;22,8;22,3;22;96;93;95;310;1,2;,6;
2023/01/01;0700 UTC;0;1010,7;1010,9;1010,6;0;23,2;22,2;23,6;22,8;22,7;22,1;96;94;94;44;2,4;,5;
2023/01/01;0800 UTC;0;1011,2;1011,2;1010,7;0;22,4;21,9;23,2;22,3;22,1;21,7;97;94;97;238;1,3;,4;
2023/01/01;0900 UTC;0;1012;1012;1011,2;75;22,5;22;22,6;22,3;22,1;21,8;97;97;97;269;1,3;,8;
2023/01/01;1000 UTC;0;1012,5;1012,5;1012;234;23,8;23,2;23,8;22,5;23,3;22;97;97;97;218;2,2;,9;
2023/01/01;1100 UTC;0;1012,8;1012,9;1012,5;1470;26,2;22,4;27,6;23,8;24,7;22,3;97;77;80;350;2,6;1,4;
2023/01/01;1200 UTC;0;1012,9;1012,9;1012,7;2402,1;27,9;22,7;28;26;23,5;21,9;83;71;73;54;5;2,3;
2023/01/01;1300 UTC;3,2;1012,9;1013,2;1012,9;1745;27,6;23,1;28,4;24,4;24,1;21;86;71;77;60;8,5;3,2;
2023/01/01;1400 UTC;0;1012,3;1012,9;1012,3;3559,8;28,6;22,1;29,6;27,3;24,3;21,7;79;66;68;81;7,4;3,8;
2023/01/01;1500 UTC;0;1011,6;1012,4;1011,6;3658,9;29,4;22,5;29,6;28;23,4;21,5;72;64;66;71;8;4,6;
2023/01/01;1600 UTC;0;1011,1;1011,6;1011,1;3969,1;28,9;21,8;30;28,7;23,2;21;69;62;66;74;8,9;4,2;
2023/01/01;1700 UTC;0;1010,5;1011,2;1010,5;3614,6;29,2;22,2;29,8;28,7;22,9;20,8;69;61;66;77;9,3;4,3;
2023/01/01;1800 UTC;0;1010,2;1010,6;1010,2;1896,7;28,1;22;29,5;27,9;22,6;20,6;71;62;69;66;8,1;4,2;
2023/01/01;1900 UTC;0;1009,9;1010,2;1009,9;1994,8;27,9;22,7;28,9;27,7;23;21,6;74;68;73;75;8,9;4,5;
2023/01/01;2000 UTC;0;1010,3;1010,3;1009,9;1368,7;27,3;22,5;28,5;26,9;23,2;21,8;76;69;75;80;8,4;3,1;
2023/01/01;2100 UTC;0;1010,6;1010,6;1010,3;402,3;26;22,3;27,3;26;22,3;21,6;80;74;80;70;7,2;2,8;
2023/01/01;2200 UTC;0;1011,4;1011,4;1010,6;9,5;25,4;22,3;26;25,3;22,5;22,2;84;80;83;69;6;2,3;
2023/01/01;2300 UTC;0;1011,7;1011,7;1011,3;0;25;22;25,4;25;22,3;22;84;83;83;72;5;2,6;
2023/01/02;0000 UTC;0;1012,3;1012,4;1011,7;0;24,5;22,1;25;24,5;22,1;22;86;83;86;80;5;1;
2023/01/02;0100 UTC;0;1012,5;1012,5;1012,3;0;24,2;22,2;24,5;24,2;22,2;22,1;88;86;88;66;3;1,6;
2023/01/02;0200 UTC;0;1012,4;1012,6;1012,3;0;24,2;22,1;24,3;24,1;22,2;22;89;87;88;85;2,9;1,2;
2023/01/02;0300 UTC;0;1011,9;1012,4;1011,9;0;23,6;22,1;24,3;23,6;22,1;22;91;87;91;26;2,1;,2;
2023/01/02;0400 UTC;0;1011,2;1011,9;1011,2;0;24,2;22,3;24,3;23,6;22,3;22,1;92;89;89;65;1,8;,9;
2023/01/02;0500 UTC;0;1010,5;1011,2;1010,3;0;23,7;22;24,2;23,7;22,3;22;91;89;91;96;2;,6;
2023/01/02;0600 UTC;0;1010,1;1010,7;1010,1;0;23,1;22,1;23,7;23;22,3;22;94;91;94;149;1,2;,4;
2023/01/02;0700 UTC;0;1010;1010,3;1010;0;22,9;22,1;23,2;22,8;22,2;22;95;94;95;261;1,1;,6;
2023/01/02;0800 UTC;0;1010,3;1010,3;1009,9;0;22,4;21,8;22,9;22,3;22,1;21,5;96;95;96;331;,9;,1;
2023/01/02;0900 UTC;0;1010,7;1010,7;1010,3;59,6;23,2;22,4;23,3;22,4;22,4;21,8;96;95;95;33;2,8;1,2;
2023/01/02;1000 UTC;0;1011,4;1011,4;1010,7;355,7;24,6;22,9;24,6;23,2;23;22,4;95;89;90;306;2,4;1;
2023/01/02;1100 UTC;0;1011,6;1011,6;1011,2;757,7;25,6;22,4;25,7;24,6;22,8;22,1;90;82;83;41;2,9;1,1;
2023/01/02;1200 UTC;0;1011,4;1011,9;1011,4;1284,4;26,4;22,4;26,9;25,6;23,4;21,7;84;74;79;44;5,5;3,2;
2023/01/02;1300 UTC;0;1011,5;1011,6;1011,1;1215,1;26,8;22,2;26,9;26,3;22,5;22;79;75;76;46;6,8;2,4;
2023/01/02;1400 UTC;0;1011,3;1011,5;1011,3;1047,3;26,7;22,2;27,2;26,7;22,4;21,4;77;71;76;77;5,9;2,8;
2023/01/02;1500 UTC;0;1011,1;1011,4;1010,9;1649,4;26,9;21,4;27,6;26,7;22,3;20,8;76;68;72;57;6,4;3,6;
2023/01/02;1600 UTC;0;1010,3;1011,2;1010,3;2003,7;27,2;21,8;28,2;26,6;23;21,2;75;70;72;64;7,9;4,3;
2023/01/02;1700 UTC;0;1009,8;1010,5;1009,8;1684,2;26,7;21,6;27,7;26,4;22,1;21;74;70;74;68;8,7;4,7;
2023/01/02;1800 UTC;0;1009,1;1009,8;1009,1;1771,4;26,7;21,6;27,8;26,3;22,7;21,5;77;71;74;83;8,9;3,9;
2023/01/02;1900 UTC;0;1008,4;1009,1;1008,4;1370,7;26;21,8;27;25,9;22,3;21,4;78;73;78;59;7,8;4,1;
2023/01/02;2000 UTC;0;1008,4;1008,5;1008,2;1172;26,1;21,2;27,1;26;21,9;20,9;78;71;75;71;7,4;4;
2023/01/02;2100 UTC;0;1009,1;1009,1;1008,3;236,3;24,8;21,4;26,1;24,8;21,6;21,1;81;75;81;63;7,5;2,5;
2023/01/02;2200 UTC;0;1009,8;1009,8;1009,1;15,9;23,8;21,2;24,8;23,8;21,4;21,1;85;81;85;51;5,2;1,7;
2023/01/02;2300 UTC;0;1010,1;1010,1;1009,7;0;23,4;21,4;23,8;23,4;21,4;21,2;88;85;88;48;2,7;1,2;
2023/01/03;0000 UTC;0;1010,4;1010,4;1010,1;0;23,3;21,4;23,4;23,2;21,5;21,4;89;88;89;62;2,5;,9;
2023/01/03;0100 UTC;0;1010,8;1010,9;1010,4;0;23,3;21,3;23,4;23,3;21,5;21,3;89;89;89;20;2,4;1,3;
2023/01/03;0200 UTC;0;1010,4;1010,8;1010,4;0;22,4;21;23,3;22,4;21,3;20,9;92;89;92;338;2,2;,5;
2023/01/03;0300 UTC;0;1009,8;1010,4;1009,8;0;21,6;20,7;22,5;21,6;21,1;20,6;95;92;95;326;1,1;,4;
2023/01/03;0400 UTC;0;1009,2;1009,8;1009,2;0;21,5;20,7;21,6;21,2;20,8;20,4;96;94;95;306;2,1;,7;
2023/01/03;0500 UTC;0;1008,7;1009,3;1008,7;0;21,5;20,6;21,7;21,2;20,8;20,3;95;94;94;336;2,1;,5;
2023/01/03;0600 UTC;0;1008,5;1008,8;1008,5;0;20,9;20;21,5;20,9;20,6;20;95;94;95;310;1,8;,3;
2023/01/03;0700 UTC;0;1008,6;1008,7;1008,5;0;20,6;19,9;20,9;20,6;20,1;19,8;96;95;96;350;1,1;,7;
2023/01/03;0800 UTC;0;1008,8;1008,8;1008,4;0;20,5;19,9;20,6;20,5;20;19,8;96;96;96;272;1,3;,3;
2023/01/03;0900 UTC;0;1009,6;1009,7;1008,9;149,3;22;21,1;22;20,5;21,2;19,9;97;95;95;53;1,4;,3;
2023/01/03;1000 UTC;0;1010,1;1010,2;1009,6;790,1;24;20,4;24,3;22;21,8;20,3;95;80;81;350;4;2;
2023/01/03;1100 UTC;0;1010,5;1010,5;1010,1;1787,8;26,1;20,3;26,3;23,9;21;19,7;81;69;70;348;4,1;2,6;
2023/01/03;1200 UTC;0;1010,5;1010,6;1010,3;2634,3;28;21,5;28;26;21,9;20,3;72;66;68;24;8,2;3,2;
2023/01/03;1300 UTC;0;1010,7;1010,7;1010,5;2825,5;28,8;20,5;29,1;27,7;21,7;20,3;68;61;61;14;7,1;2,9;
2023/01/03;1400 UTC;0;1010,3;1010,7;1010,2;1630,3;28;21,2;28,9;27,4;22,3;20,2;71;61;67;3;7,4;1,9;
2023/01/03;1500 UTC;0;1009,8;1010,3;1009,8;3519,3;28,9;21,2;31;28;22,6;20,4;67;57;63;77;7;3,5;
2023/01/03;1600 UTC;0;1009,1;1009,9;1009,1;2703,9;29,8;21,7;30;27,6;23,3;20,9;72;62;62;73;7,6;3,9;
2023/01/03;1700 UTC;0;1008,3;1009,1;1008,3;2919,4;28,8;22,1;30,2;28,4;22,5;21,5;68;62;67;67;8,8;5,1;
2023/01/03;1800 UTC;0;1008;1008,3;1008;1790,4;28;21,4;29,3;27,8;22,6;21,3;70;65;68;46;9,9;4,2;
2023/01/03;1900 UTC;0;1007;1008;1007;1629,2;28,2;21,2;28,7;27,5;22,4;21,2;71;66;66;58;8,6;5,3;
2023/01/03;2000 UTC;0;1006,7;1007;1006,6;1383,5;27,6;22,1;28,7;27,3;22,3;21,4;72;66;72;57;10;4,5;
2023/01/03;2100 UTC;0;1007,8;1007,8;1006,7;505,9;26,3;22,3;27,7;26,3;22,4;21,9;79;72;79;55;8,9;3,8;
2023/01/03;2200 UTC;0;1008,4;1008,4;1007,7;12;25,6;22,2;26,3;25,6;22,4;22,2;82;79;82;46;7,6;3,1;
2023/01/03;2300 UTC;0;1008,8;1008,8;1008,4;0;25,4;22,4;25,6;25,4;22,5;22,2;84;82;83;49;8,1;3,5;
2023/01/04;0000 UTC;0;1009,8;1009,8;1008,8;0;25,2;22,7;25,5;25,2;22,7;22,3;86;83;86;34;7,3;2,4;
2023/01/04;0100 UTC;0;1009,8;1009,9;1009,7;0;24,8;22,2;25,2;24,8;22,7;22,2;87;85;85;44;5,2;2,8;
2023/01/04;0200 UTC;0;1010;1010;1009,8;0;24,4;21,9;24,9;24,4;22,2;21,9;86;84;86;11;5,2;2;
2023/01/04;0300 UTC;0;1009,4;1010;1009,4;0;23,8;21,8;24,5;23,8;21,9;21,8;88;86;88;337;4,6;,7;
2023/01/04;0400 UTC;0;1009;1009,4;1009;0;23,4;22;23,9;23,3;22;21,7;92;88;92;292;2,3;1;
2023/01/04;0500 UTC;0;1008,2;1009;1008,2;0;23,5;22,1;23,6;23,4;22,2;22;92;92;92;288;2,2;1,2;
2023/01/04;0600 UTC;0;1007,8;1008,2;1007,8;0;23,2;22;23,5;23,2;22,1;21,9;93;92;93;8;2,2;1,1;
2023/01/04;0700 UTC;0;1007,6;1007,8;1007,6;0;23,1;22;23,4;23,1;22,1;22;94;93;94;44;3,2;1,4;
2023/01/04;0800 UTC;0;1007,8;1007,8;1007,5;0;23;22,1;23,1;22,8;22,2;21,9;95;94;95;27;3,1;1,5;
2023/01/04;0900 UTC;0;1008,3;1008,3;1007,8;127,3;23,5;22,3;23,5;23;22,4;22,1;95;93;93;46;5,2;3;
2023/01/04;1000 UTC;0;1009,1;1009,1;1008,3;539;25,4;22,4;25,4;23,5;22,6;22,2;93;84;84;24;7;2,7;
2023/01/04;1100 UTC;0;1009,6;1009,6;1009,1;1094,6;26,6;22,5;26,6;25,3;22,7;22,1;84;77;78;26;5,8;2,3;
2023/01/04;1200 UTC;0;1009,7;1009,9;1009,6;1454,8;27,3;23,2;27,3;26,5;23,2;21,8;78;75;78;41;7,5;3;
2023/01/04;1300 UTC;0;1009,4;1009,7;1009,4;2540,7;29,1;21,5;29,3;27,4;23,2;21,2;78;64;64;24;8,4;4;
2023/01/04;1400 UTC;0;1009,2;1009,4;1009,2;2691,8;29,9;22,2;30,9;28,8;23,6;21,4;67;60;64;20;8,6;2,5;
2023/01/04;1500 UTC;0;1008,5;1009,2;1008,5;2167,9;29,2;23,3;30,5;29,1;24,3;21,1;74;59;70;65;9,5;4,7;
2023/01/04;1600 UTC;,6;1007,8;1008,6;1007,8;3000,2;29,4;24;29,6;26,6;25,7;23;89;70;73;72;9,5;4,7;
2023/01/04;1700 UTC;0;1006,7;1007,8;1006,7;3384,5;29,7;22,9;30,4;29,1;24,4;22,9;73;67;67;67;10,8;5,9;
2023/01/04;1800 UTC;0;1006,1;1006,7;1006;2640,4;28;22,5;30,1;28;23,9;22,4;72;66;72;63;11;5,7;
2023/01/04;1900 UTC;0;1005,9;1006,2;1005,8;1104,2;26,9;22,6;28,6;26,9;23,1;22;77;70;77;59;10,6;5,4;
2023/01/04;2000 UTC;0;1005,9;1006,2;1005,9;281,6;26,5;22,8;27;26,4;22,8;22,6;80;77;80;49;9,4;4,7;
2023/01/04;2100 UTC;0;1006,4;1006,5;1005,8;146,9;26,2;22,3;26,5;26,2;22,8;22,3;81;78;79;53;8,9;4,4;
2023/01/04;2200 UTC;0;1007,1;1007,1;1006,3;4,9;26;22,5;26,2;26;22,5;22,2;81;79;81;46;8,9;3,7;
2023/01/04;2300 UTC;0;1007,9;1007,9;1007,1;0;25,9;23;26,1;25,9;23;22,5;84;81;84;44;7,9;4,2;
2023/01/05;0000 UTC;0;1008,2;1008,4;1007,8;0;25,8;22,2;26;25,8;23;22,2;84;80;80;45;7,5;3,5;
2023/01/05;0100 UTC;0;1008,7;1008,7;1008,2;0;25,5;22,2;25,8;25,5;22,2;22,1;82;80;82;35;7,9;3,7;
2023/01/05;0200 UTC;0;1008,5;1008,7;1008,5;0;25,4;22,2;25,6;25,3;22,3;22,1;83;82;83;33;7,9;3,3;
2023/01/05;0300 UTC;0;1008,1;1008,5;1008,1;0;24,9;22,3;25,4;24,9;22,3;22,1;86;83;85;27;6;2,2;
2023/01/05;0400 UTC;0;1007,7;1008,1;1007,7;0;24,3;22,4;24,9;24,3;22,5;22,3;89;85;89;30;4;1;
2023/01/05;0500 UTC;0;1007,2;1007,7;1007,2;0;24,1;22,3;24,3;24,1;22,4;22,2;89;88;89;31;2,4;1;
2023/01/05;0600 UTC;0;1006,8;1007,2;1006,8;0;23,8;22,4;24,1;23,7;22,4;22,2;92;89;92;57;2,4;1,4;
2023/01/05;0700 UTC;,2;1006,7;1006,8;1006,7;0;24;22,7;24;23,8;22,7;22,4;93;92;93;37;4,1;2,6;
2023/01/05;0800 UTC;0;1007,6;1007,6;1006,7;0;24,1;22,8;24,1;24;22,8;22,7;93;92;92;30;4,4;2,2;
2023/01/05;0900 UTC;0;1008,2;1008,2;1007,6;62,4;24,4;22,8;24,4;24,1;22,8;22,7;92;91;91;33;5;1,9;
2023/01/05;1000 UTC;0;1008,8;1008,8;1008,2;403,3;25,4;22,9;25,4;24,4;23;22,8;91;86;86;33;5,7;3,1;
2023/01/05;1100 UTC;0;1008,8;1008,9;1008,7;1246,1;26,9;22,9;27,2;25,4;23,4;22,8;86;78;79;28;7,8;3,9;
2023/01/05;1200 UTC;0;1009;1009;1008,8;2266,4;28,8;23,2;29,1;26,9;23,7;22,7;79;70;72;20;7,8;3,8;
2023/01/05;1300 UTC;0;1008,8;1009,1;1008,8;2226,4;29,9;23,2;30,2;28,5;23,5;22,4;72;65;67;15;6,8;2,9;
2023/01/05;1400 UTC;0;1008,6;1008,9;1008,6;2217,2;30,6;23;30,7;29;23,9;22,4;71;63;64;23;6,4;3,1;
2023/01/05;1500 UTC;0;1008,1;1008,6;1008,1;2239,6;29,5;23,2;31,3;29,5;23,4;22,2;69;61;69;29;6,4;2,8;
