REGIAO:;SE
UF:;MG
ESTACAO:;TIMOTEO
CODIGO (WMO):;A511
LATITUDE:;-19,57388888
LONGITUDE:;-42,62249999
ALTITUDE:;493,42
DATA DE FUNDACAO:;22/02/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;959,7;959,7;958,7;2,8;24,4;16,1;25,2;23,3;16,7;15,1;64;57;60;69;0;0;
2023/01/01;0100 UTC;0;960,3;960,3;959,7;3,1;23,3;16,5;25,9;23,1;16,7;15,7;67;55;65;130;0;0;
2023/01/01;0200 UTC;0;960,4;960,5;960,2;6;23,9;17,2;24;22,8;18;16,3;75;64;66;331;0;0;
2023/01/01;0300 UTC;0;960,4;960,6;960,4;3,5;22,9;18,9;24,3;22,8;18,9;17;78;64;78;107;0;0;
2023/01/01;0400 UTC;2,6;960,2;960,5;960,2;2,9;22,2;20,5;22,8;20,9;20,9;18,9;96;79;90;54;4,2;1,4;
2023/01/01;0500 UTC;1,8;959,7;960,2;959,6;3,9;21,7;20,2;22,2;21,3;20,7;19,9;94;89;91;42;4,9;,2;
2023/01/01;0600 UTC;0;959,1;959,7;959,1;5,2;21,9;19,1;22,2;21,7;20,2;19;91;83;84;32;6,6;1;
2023/01/01;0700 UTC;0;959,3;959,3;959,1;6;21,7;18,5;22,1;21,7;19,1;18,4;84;81;82;21;6,4;2;
2023/01/01;0800 UTC;,2;959,8;960;959,3;,4;20,5;19;21,7;20,5;19,1;18,5;91;82;91;30;4,7;,8;
2023/01/01;0900 UTC;0;960,6;960,6;959,9;9,4;21;18,9;21;20,5;19;18,8;91;87;88;22;5,8;,9;
2023/01/01;1000 UTC;0;961,1;961,1;960,6;154,8;21,3;18,9;21,3;20,9;19,1;18,8;89;86;86;24;5,8;,9;
2023/01/01;1100 UTC;0;961,3;961,4;961,1;302,5;21,6;19,3;21,6;21,2;19,5;18,8;88;86;87;12;4,2;0;
2023/01/01;1200 UTC;0;961,4;961,6;961,3;1057,4;22,7;19,8;22,7;21,6;19,9;19;87;81;84;326;3,4;,4;
2023/01/01;1300 UTC;0;961,6;961,7;961,4;1052,6;22,8;19,5;23,2;22,6;20,2;18,7;85;77;82;358;5,7;,4;
2023/01/01;1400 UTC;0;961,6;961,7;961,5;1011,7;23,7;18,7;24,1;22,6;20,5;18,7;84;74;74;336;3,4;0;
2023/01/01;1500 UTC;0;961,2;961,6;961,2;1878,9;25,3;20,1;25,3;23,5;20,8;18,6;79;71;73;358;3,9;0;
2023/01/01;1600 UTC;0;960,6;961,2;960,6;1795,7;24,9;19,4;25,3;24,2;20,3;18,6;76;69;72;48;5,1;0;
2023/01/01;1700 UTC;0;959,8;960,6;959,8;1146,2;25;20,3;25,3;24,5;20,6;18,6;76;69;75;308;2;0;
2023/01/01;1800 UTC;0;959;959,8;959;1056;24,9;19,9;25,1;24,5;21,3;19,5;80;71;74;10;0;0;
2023/01/01;1900 UTC;0;958,4;959;958,4;634,7;24,3;20,6;24,9;24,3;20,9;19,5;80;73;80;23;0;0;
2023/01/01;2000 UTC;0;958,4;958,4;958;425,6;23,9;20,5;24,3;23,6;21,6;20,1;87;78;81;344;0;0;
2023/01/01;2100 UTC;0;958,4;958,5;958;637,8;23,3;20,2;25;23,3;21,3;19,5;83;74;83;200;0;0;
2023/01/01;2200 UTC;0;959,1;959,1;958,4;80;21,5;20;23,3;21,5;20,5;19,9;92;83;92;129;0;0;
2023/01/01;2300 UTC;0;959,6;959,6;959;3,5;21,2;19,7;21,7;21,2;20,2;19,5;92;89;91;97;0;0;
2023/01/02;0000 UTC;0;960,5;960,5;959,6;3,8;21,6;19,8;21,8;21,2;20;19,6;92;90;90;104;0;0;
2023/01/02;0100 UTC;,6;961,1;961,1;960,5;2,5;20,8;20,3;21,7;20,7;20,3;19,8;97;89;97;118;0;0;
2023/01/02;0200 UTC;,4;960,8;961,1;960,7;,9;20,7;20,1;21,5;20,7;20,7;20;97;95;96;139;3,7;,5;
2023/01/02;0300 UTC;0;960,3;960,8;960,3;,8;20,6;19,8;20,9;20,4;20,4;19,8;97;96;96;140;3,9;,6;
2023/01/02;0400 UTC;0;959,5;960,3;959,5;2,5;20,3;19,6;20,7;20,2;19,9;19,4;96;94;96;47;3,5;0;
2023/01/02;0500 UTC;1,4;959,1;959,5;958,8;3;20,2;19,8;20,3;20,2;19,9;19,6;98;96;98;97;0;0;
2023/01/02;0600 UTC;9,2;959,1;959,1;958,8;3,9;19,8;19,5;20,2;19,8;19,8;19,5;98;98;98;101;3,7;,9;
2023/01/02;0700 UTC;36,2;959,5;959,7;959,1;6;18,6;18,3;19,8;18,3;19,5;18;98;98;98;6;4,8;,2;
2023/01/02;0800 UTC;7,2;959;959,7;959;3,6;18,9;18,6;18,9;18,5;18,6;18,2;98;98;98;351;4,9;,4;
2023/01/02;0900 UTC;0;958,5;959,1;958,1;6,6;18,8;18,6;18,9;18,5;18,6;18,2;98;98;98;45;5,5;,5;
2023/01/02;1000 UTC;0;960;960;958,5;137,1;19,4;18,6;19,4;18,6;18,7;18,2;98;95;95;49;7,6;0;
2023/01/02;1100 UTC;0;960,4;960,4;959,8;365,8;20,1;19,1;20,1;19,3;19,1;18,3;95;91;94;112;3,8;0;
2023/01/02;1200 UTC;0;960,8;960,8;960,4;451,2;20,1;19,5;20,3;19,9;19,7;19;97;94;96;331;4,3;0;
2023/01/02;1300 UTC;0;960,7;960,8;960,7;659,3;21;20,3;21,2;20,1;20,4;19,5;97;94;96;278;0;0;
2023/01/02;1400 UTC;0;960,2;960,7;960,2;2010,7;23,9;20,3;24,1;21;21,6;20,1;96;80;80;336;3,1;,2;
2023/01/02;1500 UTC;0;959,7;960,3;959,7;2184,5;23,7;20,2;24,8;23,5;21,1;19,4;83;75;81;11;3,9;0;
