REGIAO:;SE
UF:;MG
ESTACAO:;PATROCINIO
CODIGO (WMO):;A523
LATITUDE:;-18,996684
LONGITUDE:;-46,985935
ALTITUDE:;978,11
DATA DE FUNDACAO:;22/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;15,4;908,6;908,6;907,8;;19;18,5;19,9;18,9;19,3;18,4;97;96;97;199;5;,3;
2023/01/01;0100 UTC;13;908,4;908,8;908,4;;18,6;18,3;19;18,6;18,5;18,2;98;97;98;44;2,4;,5;
2023/01/01;0200 UTC;,4;907,9;908,4;907,8;;18,4;18,1;18,7;18,3;18,4;18;98;98;98;223;1,3;0;
2023/01/01;0300 UTC;0;907,5;907,9;907,5;;18,1;18;18,4;17,8;18,2;17,6;99;98;99;148;,8;0;
2023/01/01;0400 UTC;0;907;907,5;907;;18,1;18;18,3;17,7;18,2;17,5;99;99;99;23;1,9;,8;
2023/01/01;0500 UTC;0;906,1;907;906,1;;17,7;17,6;18,4;17,6;18,2;17,5;99;99;99;76;1,7;0;
2023/01/01;0600 UTC;0;905,5;906,1;905,5;;17,4;17,3;17,8;17,1;17,7;17;100;99;100;143;1,1;0;
2023/01/01;0700 UTC;0;905,3;905,5;905,3;;17;16,9;17,4;16,9;17,3;16,8;100;100;100;165;1,7;,3;
2023/01/01;0800 UTC;0;906;906;905,2;;17;16,9;17,4;16,9;17,4;16,8;100;100;100;122;1,6;,2;
2023/01/01;0900 UTC;,4;906,6;906,6;906;16,1;17,6;17,5;17,9;17;17,9;17;100;100;100;65;1;,1;
2023/01/01;1000 UTC;0;907,4;907,4;906,6;251,2;19,2;19,2;19,2;17,6;19,2;17,7;100;100;100;89;,8;0;
2023/01/01;1100 UTC;0;907,7;907,7;907,4;933,3;21,2;21;21,2;19,2;21;19,2;100;99;99;110;1,1;,1;
2023/01/01;1200 UTC;0;907,9;907,9;907,7;1778,3;23,7;19,8;24;21,2;21,3;19,1;99;76;79;46;3,3;1,2;
2023/01/01;1300 UTC;0;907,9;908;907,8;2669,6;24,7;19,3;25,4;23,8;20,6;18,2;79;68;72;37;6,3;3,1;
2023/01/01;1400 UTC;0;907,6;907,9;907,6;1643,4;24,7;19,1;25,5;24,3;20,4;18,8;75;70;71;33;7;3,6;
2023/01/01;1500 UTC;0;907,2;907,6;907,1;989,4;24,3;19,2;24,9;23,8;19,5;18,5;75;69;73;36;7,6;2,7;
2023/01/01;1600 UTC;0;906,6;907,1;906,6;1302,6;25,4;19,1;25,5;24;19,8;18,7;76;68;68;1;6;2,9;
2023/01/01;1700 UTC;0;905,5;906,6;905,5;2038,7;26;18,8;26,9;24,9;19,7;18,1;72;61;65;339;6,5;3,2;
2023/01/01;1800 UTC;0;904,7;905,5;904,7;2781,6;25,7;18,7;27,5;25,7;19,7;17,9;67;58;65;2;7,8;2,8;
2023/01/01;1900 UTC;0;903,9;904,7;903,8;2725,2;27,8;19,1;28;25,7;19,6;17,8;66;55;59;356;6,8;2,7;
2023/01/01;2000 UTC;0;903,6;903,9;903,6;1977;27,2;18,5;27,9;26,8;19,3;17,5;60;55;59;323;6,6;2,8;
2023/01/01;2100 UTC;0;904,1;904,1;903,5;645,2;24,1;17,9;27,5;24,1;18,8;17,8;68;58;68;343;5,8;1,3;
2023/01/01;2200 UTC;0;904,1;904,4;904,1;8,9;22,3;18,4;24,1;22,2;18,4;17,9;79;68;79;49;2,7;1,6;
2023/01/01;2300 UTC;0;905,8;905,8;904,1;;21,6;19,8;22,4;21,5;19,8;18,3;90;78;90;162;2,6;0;
2023/01/02;0000 UTC;0;906,2;906,2;905,6;;21;19,8;21,6;21;20,1;19,8;93;90;93;141;1,4;,2;
