REGIAO:;SE
UF:;MG
ESTACAO:;DIAMANTINA
CODIGO (WMO):;A537
LATITUDE:;-18,231052
LONGITUDE:;-43,648269
ALTITUDE:;1359,25
DATA DE FUNDACAO:;05/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;868,6;868,7;868,1;;19,8;14,5;20,4;19,6;14,5;13,6;72;65;72;136;4,6;2,2;
2023/01/01;0100 UTC;0;869,3;869,3;868,6;;19,6;14,7;19,8;19,2;15;14,4;75;71;73;74;3,1;1,9;
2023/01/01;0200 UTC;0;869,2;869,4;869,2;;19,1;15,7;19,7;19,1;15,7;14,7;81;73;81;47;4,9;3,1;
2023/01/01;0300 UTC;0;868,6;869,2;868,6;;18,7;15,7;19,1;18,6;16;15,7;84;80;83;50;4,9;1,7;
2023/01/01;0400 UTC;0;868;868,6;868;;18,5;15,6;18,7;18,5;15,8;15,3;84;81;83;74;6,2;3,1;
2023/01/01;0500 UTC;0;867,5;868;867,4;;18;15,7;18,5;18;15,8;15,6;87;83;87;40;4,5;1,3;
2023/01/01;0600 UTC;0;867,4;867,5;867,4;;17,7;16,1;18;17,5;16,1;15,7;91;87;91;53;3;2,2;
2023/01/01;0700 UTC;0;867,5;867,6;867,3;;17,2;15,8;17,8;17,2;16,1;15,7;91;88;91;37;7;4,3;
2023/01/01;0800 UTC;0;867,8;867,8;867,5;;17,2;15,6;17,2;17;16;15,6;93;91;91;46;7;3,4;
2023/01/01;0900 UTC;0;868,3;868,3;867,8;76,5;17,1;15,6;17,2;16,8;15,9;15,5;94;91;91;34;6,2;3,4;
2023/01/01;1000 UTC;0;868,7;868,8;868,3;335,6;17,3;15,8;17,4;17;15,9;15,6;92;90;91;32;7,5;4,1;
2023/01/01;1100 UTC;0;869;869;868,7;623,4;18,4;15,7;18,4;17,2;16;15,5;91;84;85;42;7,3;4,1;
2023/01/01;1200 UTC;0;869,7;869,7;869;1096,9;19,3;15,8;19,3;18;15,9;15,3;85;80;80;40;7,1;2,7;
2023/01/01;1300 UTC;0;869,3;869,7;869,2;2731,2;21,6;15,5;21,9;19,1;16,1;14,9;80;68;68;43;6,6;3;
2023/01/01;1400 UTC;0;869;869,3;869;2222,8;20,5;15,8;21,9;20,5;16,6;15;74;67;74;29;6,3;3,4;
2023/01/01;1500 UTC;0;868,6;869;868,5;1964,8;21,7;16;22;20,4;16,7;15,5;77;70;70;26;5,8;3,1;
2023/01/01;1600 UTC;0;867,8;868,6;867,8;2096,5;23,1;15,5;23,1;21,5;16,5;14,9;71;61;62;28;5,9;2,5;
2023/01/01;1700 UTC;0;867,2;867,8;867,1;1503,4;22,4;14,9;23,8;22,1;16;14,7;65;59;62;43;5,5;3,2;
2023/01/01;1800 UTC;0;866,9;867,2;866,7;337,6;19,1;16,4;22,4;19,1;16,4;14,7;84;62;84;151;5,5;3,4;
2023/01/01;1900 UTC;,2;867;867,3;866,9;19,3;17,5;16,6;19,3;17,5;16,8;16,4;94;84;94;139;6,3;4,3;
2023/01/01;2000 UTC;2;867,2;867,3;867;20,3;17,4;16,6;17,6;17,4;16,7;16,5;95;94;95;119;6,3;3;
2023/01/01;2100 UTC;1,2;867,1;867,4;866,9;30,6;17,3;16,6;17,4;17,2;16,6;16,4;96;95;96;126;4,5;2,9;
2023/01/01;2200 UTC;0;867,4;867,5;867;1,3;17,3;16,6;17,4;17,1;16,7;16,5;96;95;95;198;4,6;1,1;
