REGIAO:;SE
UF:;MG
ESTACAO:;CURVELO
CODIGO (WMO):;A538
LATITUDE:;-18,747711
LONGITUDE:;-44,453785
ALTITUDE:;669,48
DATA DE FUNDACAO:;18/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;939,9;939,9;939;;23,8;18,8;25,4;23,8;18,9;17,6;74;62;74;216;1,8;1,3;
2023/01/01;0100 UTC;0;940,2;940,2;939,9;;23,8;18,8;24;23,8;19;18,5;74;71;74;178;2,3;1,5;
2023/01/01;0200 UTC;0;940,6;940,7;940,2;;23,7;19,1;23,9;22,9;19,4;18,5;80;72;75;331;3;,3;
2023/01/01;0300 UTC;0;940,3;940,6;940,3;;23,8;18,1;24,2;23,7;19,1;18;75;70;70;291;1,9;,1;
2023/01/01;0400 UTC;0;939,5;940,3;939,5;;22,7;18,9;23,9;22,6;19,4;17,6;82;68;79;226;2,8;2;
2023/01/01;0500 UTC;0;939,2;939,5;939,1;;22,3;18,3;22,7;22,3;19;18,3;81;78;78;219;3,2;,9;
2023/01/01;0600 UTC;0;939;939,2;938,9;;21,4;18,8;22,3;21,4;18,8;18;85;77;85;246;4,4;2,8;
2023/01/01;0700 UTC;,6;939,2;939,4;939;;20,5;19;21,4;20,5;19,3;18,8;91;85;91;227;6,1;4,6;
2023/01/01;0800 UTC;,2;939,3;939,4;939,1;;20;18,5;20,5;20;19;18,5;91;91;91;224;6,1;2,1;
2023/01/01;0900 UTC;0;939,4;939,5;939,2;49,9;20;18,7;20;19,8;18,7;18,5;92;91;92;154;3,7;1;
2023/01/01;1000 UTC;0;940;940;939,4;477,4;21;19,2;21;20;19,4;18,7;92;89;89;112;2,6;1,8;
2023/01/01;1100 UTC;0;940,7;940,7;940;990,6;22,6;19,4;22,6;21;19,7;18,9;89;82;82;34;3,3;,2;
2023/01/01;1200 UTC;0;941;941,1;940,7;1682,5;24,2;18,5;24,4;22,6;20,2;18,5;83;70;70;74;4,1;1,9;
2023/01/01;1300 UTC;0;940,8;941;940,8;1601,1;25,1;18;25,6;24,2;19,6;17,5;74;63;65;9;6;2,7;
2023/01/01;1400 UTC;0;940,5;940,8;940,5;1576,1;25,7;18,4;25,8;25,1;19,3;18;69;64;64;351;5,5;2,1;
2023/01/01;1500 UTC;,2;940,1;940,6;940,1;1777,6;26,4;17,7;26,6;25,4;19,6;17,7;68;58;59;15;4,7;2;
2023/01/01;1600 UTC;0;939,1;940,1;939,1;2468,3;27,5;18,2;28,1;26,3;18,9;17,5;61;54;57;5;4,9;1,9;
2023/01/01;1700 UTC;0;938,5;939,1;938,5;1594,4;27,5;17,2;27,9;27,3;18,8;16,4;59;50;53;354;4,5;1,8;
2023/01/01;1800 UTC;0;937,9;938,5;937,9;1556,2;27,2;17,2;28,9;27,2;18,4;16,4;56;49;54;322;4,2;1,8;
2023/01/01;1900 UTC;0;938,1;938,2;937,8;128,4;22,4;19,5;27,2;22,4;19,5;17,2;84;54;84;114;7,9;2,6;
