REGIAO:;SE
UF:;MG
ESTACAO:;ESPINOSA
CODIGO (WMO):;A543
LATITUDE:;-14,91222222
LONGITUDE:;-42,80861111
ALTITUDE:;565,36
DATA DE FUNDACAO:;14/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;949,6;949,6;948,9;;23,7;18,3;24,7;23,6;18,5;17,5;73;64;71;;;;
2023/01/01;0100 UTC;;950,2;950,2;949,6;;22,5;18,4;23,8;22,4;18,6;18,1;78;71;78;;;;
2023/01/01;0200 UTC;;950,6;950,6;950,2;;24,5;17,6;24,8;22,4;18,5;17,5;79;64;66;;;;
2023/01/01;0300 UTC;;950,5;950,8;950,5;;23,9;17,9;24,5;23,7;18,1;17,7;71;66;69;;;;
2023/01/01;0400 UTC;;949,9;950,5;949,9;;23,6;18,3;23,9;23,4;18,5;17,8;74;69;72;;;;
2023/01/01;0500 UTC;;949,7;950;949,6;;23,3;18,5;23,6;23,2;18,6;18,2;75;72;74;;;;
2023/01/01;0600 UTC;;949,6;949,7;949,4;;22,6;18,4;23,3;22,6;18,5;18,1;77;74;77;;;;
2023/01/01;0700 UTC;;949,7;949,7;949,5;;21,8;17,5;22,7;21,8;18,4;17,5;78;75;77;;;;
2023/01/01;0800 UTC;;949,9;949,9;949,7;;21,7;16,6;22;21,7;17,6;16,5;77;72;73;;;;
2023/01/01;0900 UTC;;950,5;950,5;949,9;26,7;21,5;16,5;21,7;21,3;16,6;16,4;74;72;73;;;;
