REGIAO:;SE
UF:;MG
ESTACAO:;BURITIS
CODIGO (WMO):;A544
LATITUDE:;-15,52416666
LONGITUDE:;-46,43555555
ALTITUDE:;894
DATA DE FUNDACAO:;19/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;1,2;911,8;911,8;911,3;;21,4;18,5;22;21,1;19;18,2;86;81;83;49;5,6;2;
2023/01/01;0100 UTC;0;912,4;912,5;911,7;1,3;20,4;19,1;21,9;20,4;19,1;18,4;92;82;92;336;6,7;3,7;
2023/01/01;0200 UTC;0;912,5;912,6;912,4;;20,6;18,8;20,7;20,2;19,2;18,8;93;89;89;317;6,2;3;
2023/01/01;0300 UTC;0;912,2;912,5;912,2;;19,8;18,7;20,6;19,8;18,8;18,6;93;89;93;353;3,6;0;
2023/01/01;0400 UTC;0;911,7;912,2;911,7;;19,8;18,5;20;19,7;18,8;18,4;93;92;92;337;3,7;1,5;
2023/01/01;0500 UTC;0;911;911,7;911;;20,1;18,5;20,1;19,7;18,7;18,3;92;91;91;297;3,3;2,6;
2023/01/01;0600 UTC;0;910,7;911;910,7;;19,4;18,1;20,2;19,4;18,5;18,1;92;90;92;15;3,3;0;
2023/01/01;0700 UTC;0;910,8;910,8;910,6;;19,5;18,2;19,5;19,3;18,2;18;92;92;92;308;1,5;0;
2023/01/01;0800 UTC;0;911;911,1;910,8;;19,2;17,9;20,1;19,2;18,6;17,8;92;90;92;112;0;0;
2023/01/01;0900 UTC;0;911,9;911,9;911;13,9;19,9;18,7;20;19,2;18,7;17,9;93;92;92;223;2,7;1,6;
2023/01/01;1000 UTC;0;912,5;912,5;911,9;334,3;20,6;19,4;20,6;19,9;19,4;18,7;93;92;93;182;3,2;1;
2023/01/01;1100 UTC;0;913;913;912,5;831,7;21,6;18,6;21,7;20,5;19,4;18,3;93;82;83;179;5,4;3,5;
2023/01/01;1200 UTC;0;913,2;913,2;913;1365,6;22,3;18,6;22,4;21,4;19,6;18,5;87;80;80;183;6;3,1;
2023/01/01;1300 UTC;0;913,1;913,2;913;2978,5;23,8;18,3;24;22,3;19,3;17;82;67;72;171;9,2;4,6;
2023/01/01;1400 UTC;,2;912,6;913,1;912,6;3653,7;25,1;17,4;25,2;23,7;18,6;17;72;62;62;177;7,7;3,5;
2023/01/01;1500 UTC;0;912,3;912,7;912,3;3159,4;25;17,2;26,2;24,6;18,4;16,6;67;58;62;211;6,5;1,7;
2023/01/01;1600 UTC;0;911,6;912,3;911,5;2467,9;27;17,4;27,1;25;18,2;16,2;65;52;56;167;5,3;1,3;
2023/01/01;1700 UTC;0;910,7;911,6;910,7;2747,5;26,9;16,5;27,7;26,3;17,7;15,3;58;49;53;178;5,1;2,6;
2023/01/01;1800 UTC;0;909,8;910,7;909,8;2978,7;26,4;16,9;28,4;26,4;18;14,9;60;46;56;206;6;3,1;
2023/01/01;1900 UTC;0;909;909,8;909;2704;27,7;16,9;28,6;26,4;19,4;15,7;59;48;52;195;5,4;2,5;
2023/01/01;2000 UTC;0;908,6;909;908,5;1772,4;27,6;16,5;27,9;27,4;17,5;15,9;55;49;51;188;6;2;
2023/01/01;2100 UTC;0;908,9;908,9;908,5;908,9;26,4;16,9;27,6;26,4;17,2;15,6;56;48;56;213;5,6;3,6;
2023/01/01;2200 UTC;0;909,2;909,2;908,7;127,9;24,5;17;26,5;24,4;17,6;16,7;64;55;63;205;5,6;2,5;
2023/01/01;2300 UTC;0;910,4;910,4;909,2;;23,9;17;24,6;23,8;17,2;16,8;66;62;65;212;4,8;2,4;
2023/01/02;0000 UTC;0;911,1;911,1;910,4;;23,3;17,1;24;23,2;17,2;16,9;69;65;68;197;4,6;3;
2023/01/02;0100 UTC;0;911,6;911,6;911,1;;22,7;17,1;23,3;22,3;17,4;16,9;72;68;71;175;5,7;2;
2023/01/02;0200 UTC;0;911,5;911,6;911,3;;22,2;16,4;23;21,8;17,1;16,4;72;68;70;170;5,6;2,5;
2023/01/02;0300 UTC;0;911,7;911,9;911,5;;21,9;16,4;22,2;21,6;16,7;16,3;73;70;71;166;5,6;1,2;
2023/01/02;0400 UTC;0;911;911,7;911;;21,4;16,8;21,9;21;16,8;16,3;77;71;75;168;4,2;2,6;
