REGIAO:;SE
UF:;MG
ESTACAO:;RIO PARDO DE MINAS
CODIGO (WMO):;A551
LATITUDE:;-15,72305554
LONGITUDE:;-42,43583333
ALTITUDE:;850,06
DATA DE FUNDACAO:;17/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;920,9;920,9;919,9;;20,3;17,6;20,6;19,9;17,8;17,4;87;83;85;106;4,4;2,7;
2023/01/01;0100 UTC;0;921,3;921,3;920,9;;20,4;18,1;21,1;20,3;18,1;17,7;86;82;86;94;7,3;3,5;
2023/01/01;0200 UTC;0;921,8;921,8;921,3;;20,2;18,5;20,6;20,2;18,5;18,1;90;86;90;94;6,9;3,7;
2023/01/01;0300 UTC;0;921,3;921,9;921,3;;20,6;18,2;20,7;20,2;18,6;18,2;90;86;86;82;8;4,4;
2023/01/01;0400 UTC;0;920,8;921,3;920,8;;20,1;18,2;20,6;20,1;18,4;18,2;89;86;89;93;7,4;3,4;
2023/01/01;0500 UTC;0;920,5;920,8;920,5;;19,8;17,9;20,1;19,8;18,2;17,9;89;88;89;86;7,4;2,9;
2023/01/01;0600 UTC;0;920,4;920,6;920,4;;19,2;18;19,8;19,2;18;17,8;93;89;93;85;5,5;2,2;
2023/01/01;0700 UTC;0;920,3;920,4;920,2;;18,6;17,8;19,2;18,6;18,2;17,8;95;93;95;98;4;2;
2023/01/01;0800 UTC;0;920,6;920,6;920,3;;18,9;17,8;18,9;18,3;18;17,6;96;93;93;50;3,7;1,7;
2023/01/01;0900 UTC;0;921,1;921,1;920,6;49,9;18,9;17;19,3;18,7;17,7;17;93;87;89;72;3,7;1,8;
2023/01/01;1000 UTC;0;921,6;921,7;921,1;539,9;20,1;17;20,1;18,9;17,8;16,9;89;83;83;73;4,7;2,5;
2023/01/01;1100 UTC;0;921,8;921,9;921,6;1285,3;21,7;17,3;21,8;20,1;17,7;16,6;84;75;76;85;5,5;3;
2023/01/01;1200 UTC;0;921,8;921,9;921,8;2513,7;23,7;17,2;23,7;21,7;18;16,9;77;67;67;81;6,9;4,3;
2023/01/01;1300 UTC;0;921,7;922;921,7;3273,3;24,9;16,9;25,2;23,7;17,8;16,3;69;59;61;86;8,4;4,6;
2023/01/01;1400 UTC;0;921,2;921,7;921,2;3607,1;26,3;16,2;26,3;24,9;17,1;15;62;52;54;74;7,7;3,9;
2023/01/01;1500 UTC;0;920,5;921,2;920,5;4089,7;26,9;16,9;27,5;25,9;17,4;15,1;56;49;54;93;7,4;3,1;
2023/01/01;1600 UTC;0;919,9;920,5;919,9;2663,4;26,9;15,6;27,6;26;17,3;15,1;56;48;50;123;8,1;3,2;
2023/01/01;1700 UTC;0;919;919,9;919;3398,1;28,5;13,2;28,9;26,7;16,6;13,2;51;39;39;75;7,5;3,4;
2023/01/01;1800 UTC;0;918,4;919;918,4;3306,5;29,5;14,9;29,7;28,3;16,3;13,3;46;38;41;106;7,4;2,4;
2023/01/01;1900 UTC;0;918,1;918,4;918;2436,8;28,7;14,7;29,7;28,6;15,3;13;44;37;42;88;6,8;4;
2023/01/01;2000 UTC;0;918,3;918,3;918;1468,3;28,1;14,3;28,7;27,9;15,1;13,4;45;39;43;91;6,8;3;
2023/01/01;2100 UTC;0;918,4;918,5;918,1;431,7;24,8;15,8;28,1;24,8;15,8;14,1;57;43;57;107;5,6;2,7;
2023/01/01;2200 UTC;0;918,9;918,9;918,4;7,5;22,3;17,3;24,8;22,2;17,3;15,9;73;57;73;102;4,7;2,9;
2023/01/01;2300 UTC;0;919,9;919,9;918,9;;21,5;17,1;22,4;21,4;17,6;17,1;78;73;76;115;4,6;2,7;
2023/01/02;0000 UTC;0;920,4;920,4;919,9;;19,8;16,7;21,5;19,8;17,1;16,7;83;76;82;100;4;2,6;
2023/01/02;0100 UTC;0;920,7;920,9;920,4;;20,1;17,3;21,8;19,5;17,3;16,6;84;75;84;55;3,4;2,2;
2023/01/02;0200 UTC;0;920,8;920,9;920,7;;19,2;17;20,2;18,8;17,3;16,7;88;82;87;91;3,7;2,5;
2023/01/02;0300 UTC;0;920,8;921;920,8;;19;17,5;19,2;18,7;17,5;16,9;92;87;91;95;5,1;3,1;
2023/01/02;0400 UTC;0;920,4;920,8;920,4;;19,5;17,8;19,6;19;17,9;17,6;91;89;90;95;8,7;4,5;
2023/01/02;0500 UTC;0;920,3;920,5;920,2;;19,7;17,7;19,8;19,5;17,9;17,7;90;88;88;75;7,3;1,6;
2023/01/02;0600 UTC;0;919,6;920,3;919,6;;20;17,2;20,1;19,6;17,7;17,1;88;84;84;54;7;3,8;
2023/01/02;0700 UTC;0;919,6;919,7;919,5;;19,4;16,9;20,1;19,4;17,3;16,8;86;84;85;61;7;3,7;
2023/01/02;0800 UTC;0;919,6;919,6;919,4;;19,3;16,9;19,5;19,2;17,1;16,9;87;85;86;55;5,8;2,2;
2023/01/02;0900 UTC;0;920,2;920,2;919,6;45;19,4;17;19,5;19,1;17,1;16,7;87;85;86;73;5,5;1,7;
2023/01/02;1000 UTC;0;920,9;920,9;920,2;511,1;20,4;17,2;20,7;19,4;17,5;17;87;81;82;103;3,9;2,4;
2023/01/02;1100 UTC;0;921,2;921,2;920,9;948,2;21,6;17,7;21,6;20,4;17,9;17,2;83;78;78;111;6,1;3,2;
2023/01/02;1200 UTC;0;921,7;921,7;921,2;1337,5;22,4;17,5;22,5;21,3;18;17;79;73;74;103;6,4;3,1;
2023/01/02;1300 UTC;0;921,5;921,7;921,4;2259,4;24,1;17,1;24,1;22,3;17,9;16,7;74;65;65;65;6,4;3,1;
2023/01/02;1400 UTC;0;920,7;921,5;920,7;3703,5;26,3;17,7;26,5;23,7;18,4;16,3;67;58;59;88;6,6;3,9;
2023/01/02;1500 UTC;0;919,8;920,7;919,8;3359;26,6;18,3;27;25,4;18,7;16,8;64;57;60;118;6,6;3;
2023/01/02;1600 UTC;0;918,8;919,8;918,8;3210,9;27;17,6;28,3;25,9;18,4;16,5;61;52;57;95;5,7;1,7;
2023/01/02;1700 UTC;0;917,7;918,8;917,7;2443,5;28,4;17,3;28,9;26,6;18,7;16,6;58;49;51;128;4,6;2,5;
2023/01/02;1800 UTC;0;916,4;917,7;916,4;2744,4;28,9;16,9;29,1;27,6;17,5;16,2;52;47;48;112;5,7;1;
2023/01/02;1900 UTC;0;916,1;916,4;916,1;1796,1;25,7;17,8;30;25,4;18,3;15,3;64;43;62;347;6;2,9;
2023/01/02;2000 UTC;0;915,9;916,1;915,9;564,3;22,6;17,6;25,7;22,6;19,7;17,3;73;61;73;111;8,4;4,5;
2023/01/02;2100 UTC;0;916;916;915,7;396,7;22,5;18,9;23,9;22,5;18,9;16,9;80;66;80;142;8,4;2,4;
2023/01/02;2200 UTC;,2;917,3;917,4;916;5,6;20,8;19,6;22,6;20,8;19,7;18,9;93;80;93;81;9,7;5,2;
2023/01/02;2300 UTC;1,2;918,1;918,1;917,3;;20,2;19,3;20,8;19,9;19,7;19,1;96;93;94;98;9,4;4,8;
2023/01/03;0000 UTC;0;919,1;919,1;918,1;;20,4;19,6;20,5;20,2;19,7;19,3;96;94;95;87;8;3,3;
2023/01/03;0100 UTC;,2;919,9;919,9;919,1;;19,8;18,6;20,6;19,8;19,9;18,6;96;91;93;88;7,5;4,8;
2023/01/03;0200 UTC;0;919,9;920,1;919,9;;19,4;18,5;19,8;19,4;18,9;18,5;95;93;94;90;7,5;1,8;
2023/01/03;0300 UTC;,2;919,5;920,1;919,4;;19,2;18,4;19,5;19,2;18,7;18,4;96;94;95;96;5,1;3,2;
2023/01/03;0400 UTC;0;919,2;919,5;919,2;;19;18,3;19,2;19;18,5;18,3;97;95;96;104;5,1;2,1;
2023/01/03;0500 UTC;0;919;919,2;918,9;;18,9;18,4;19;18,8;18,4;18,2;97;96;97;74;4,3;1,1;
2023/01/03;0600 UTC;0;918,6;919;918,6;;18,8;18,3;18,9;18,8;18,4;18,3;97;97;97;117;3;1;
2023/01/03;0700 UTC;0;918,1;918,7;918,1;;18,7;18;18,8;18,7;18,3;18;97;96;96;68;3,5;2,3;
2023/01/03;0800 UTC;0;918,3;918,3;918,1;;18,9;18,2;19;18,6;18,3;17,9;96;95;96;44;3,4;1,1;
2023/01/03;0900 UTC;0;919,1;919,1;918,3;71,7;19,3;18;19,4;18,8;18,5;18;97;92;92;22;4,2;1,8;
2023/01/03;1000 UTC;,2;919,4;919,4;919,1;394,9;20;17,7;20,1;19,3;17,9;17,2;92;85;87;24;6,8;3,4;
2023/01/03;1100 UTC;0;919,9;919,9;919,4;688,2;20,8;17,7;20,9;19,9;18;17,4;87;82;83;22;6,4;3,6;
2023/01/03;1200 UTC;0;920,1;920,1;919,9;1235;22,7;17,6;22,8;20,8;18,1;17,4;83;73;73;36;6,4;4,3;
2023/01/03;1300 UTC;0;920,4;920,4;920,1;1652,7;23,6;18,2;23,9;22,6;18,3;17,4;75;69;72;45;7,1;4,3;
2023/01/03;1400 UTC;0;920,4;920,5;920,3;2484,4;24,7;18,3;24,9;23,6;18,6;17,3;72;64;68;57;7,9;4,2;
2023/01/03;1500 UTC;0;919,8;920,4;919,8;2998,4;26,1;17,5;26,2;24,5;18,4;17,4;68;59;59;44;6,8;4;
2023/01/03;1600 UTC;0;918,6;919,8;918,6;3252,6;26,8;19;27,5;25,9;19,1;17,4;65;56;62;73;6,8;3,3;
2023/01/03;1700 UTC;0;917,5;918,6;917,5;3213,3;27,4;17,8;28,1;26,5;19,3;17,3;63;53;56;61;6,9;3,5;
2023/01/03;1800 UTC;0;916,8;917,5;916,7;2671,2;27;17,6;28,8;27;18,9;17,1;58;51;56;75;6,7;3,3;
2023/01/03;1900 UTC;0;916,6;916,8;916,4;672,9;26,3;18,6;27,1;26;18,7;17,3;64;56;63;77;5,3;1,3;
2023/01/03;2000 UTC;0;916,6;916,9;916,6;179,5;23,4;19,2;26,3;23,4;19,3;17,8;78;60;77;220;5;2,2;
2023/01/03;2100 UTC;0;917,2;917,2;916,6;142,1;22,8;19,9;23,8;22,6;19,9;19,2;84;76;84;305;4;1;
2023/01/03;2200 UTC;0;917,6;917,6;917,1;,2;23;19,3;23,1;22,5;19,8;19,1;84;79;80;21;2,2;,4;
2023/01/03;2300 UTC;0;918,7;918,7;917,6;;21,8;19,5;23,3;21,8;19,7;18,8;87;77;87;194;2,9;,2;
2023/01/04;0000 UTC;0;919,7;919,7;918,7;;21,4;20;22;21,3;20,1;19,5;91;86;91;98;1,9;0;
2023/01/04;0100 UTC;0;919,9;919,9;919,7;;21,8;20,3;22,5;21,4;20,3;19,4;91;84;91;73;1,9;1;
2023/01/04;0200 UTC;0;919,5;920;919,5;;22,4;19,5;22,4;21,8;20,7;19,4;92;84;84;14;3,9;2;
2023/01/04;0300 UTC;0;919,4;919,5;919,2;;21,8;19,3;22,4;21,6;19,4;19,1;86;83;86;53;4,9;2,2;
2023/01/04;0400 UTC;0;919,2;919,4;919,1;;21,3;18,9;22;21;19,2;18,8;87;83;87;44;4,6;1,6;
2023/01/04;0500 UTC;0;918,9;919,2;918,9;;21,1;18,5;21,4;20,7;19;18,5;89;85;85;33;4,6;2,8;
2023/01/04;0600 UTC;0;918,8;918,9;918,4;;20,7;18,5;21,1;20,6;18,5;18,2;87;85;87;7;4,8;,5;
2023/01/04;0700 UTC;0;918,6;918,8;918,5;;20,6;18,4;20,7;20,3;18,5;18,3;89;87;88;351;3,2;1,1;
2023/01/04;0800 UTC;0;919;919;918,6;;20,5;18,7;20,7;20,5;18,7;18,3;90;87;90;37;3,3;1;
2023/01/04;0900 UTC;0;919,5;919,5;919;19,1;20,7;18,8;20,9;20,4;18,9;18,6;90;87;89;42;2,6;1,5;
2023/01/04;1000 UTC;0;919,9;919,9;919,5;194,1;21,2;18,8;21,3;20,7;18,9;18,6;89;86;86;15;3,2;2,3;
2023/01/04;1100 UTC;0;920,3;920,3;919,9;590,8;21,7;18,7;21,8;21,1;19,1;18,5;87;83;83;357;3,7;1,7;
2023/01/04;1200 UTC;0;920,5;920,5;920,3;1055,1;23,4;18,8;23,5;21,6;18,9;18,2;84;74;75;5;4,9;2,4;
2023/01/04;1300 UTC;0;920,3;920,5;920,2;1613,1;24,6;18,8;24,8;23,4;19,2;18,2;75;69;70;325;5,3;2,8;
2023/01/04;1400 UTC;0;919,9;920,3;919,9;2368,6;25,8;18,4;26,2;24,5;19,2;18,2;71;64;64;3;5,9;2,1;
2023/01/04;1500 UTC;0;919,2;919,9;919,1;2721,6;26,4;18,9;26,9;25,6;19,6;18,1;65;60;64;348;7,5;2,7;
2023/01/04;1600 UTC;0;918,4;919,2;918,4;827;25,1;20;26,3;24,8;20,4;18,6;75;64;73;272;7,5;1,8;
2023/01/04;1700 UTC;0;917,4;918,4;917,4;1008,7;25,7;19,6;25,9;25;20,3;19,1;75;69;69;203;3,4;0;
2023/01/04;1800 UTC;0;916,5;917,4;916,5;1751,3;27,5;19,4;27,6;25,6;20,4;19;72;61;61;237;3,1;,7;
2023/01/04;1900 UTC;0;915,9;916,5;915,9;1379,1;27,3;19,2;27,8;26,8;19,7;18,6;63;59;61;276;2,3;,3;
2023/01/04;2000 UTC;0;916,1;916,1;915,7;424,7;25,8;20,1;27,4;25,8;20,6;18,9;72;60;71;217;4,9;1,7;
2023/01/04;2100 UTC;0;916,4;916,6;915,9;174,2;23,7;19,5;25,8;23,6;20,2;19,4;80;71;77;71;5;,1;
2023/01/04;2200 UTC;0;917,3;917,3;916,4;4,4;22,3;19,7;23,9;22,3;19,9;19,4;85;76;85;86;4,1;1,1;
2023/01/04;2300 UTC;0;918;918;917,3;;21,5;19,6;22,4;21,5;19,8;19,5;89;84;89;95;2,5;,9;
2023/01/05;0000 UTC;0;918,8;918,8;918;;20,6;19,3;21,7;20,6;19,8;19,2;92;88;92;112;1,6;1,3;
2023/01/05;0100 UTC;0;919,4;919,4;918,8;;20,5;19,4;20,7;20,4;19,4;19,2;93;92;93;117;2;1,1;
2023/01/05;0200 UTC;0;919,4;919,5;919,3;;20,3;19,5;20,6;20,3;19,7;19,3;95;93;95;138;2,9;1,3;
2023/01/05;0300 UTC;0;918,5;919,4;918,5;;20,3;19,6;20,4;20,1;19,6;19,3;96;95;95;75;2,7;1,7;
2023/01/05;0400 UTC;0;918,2;918,5;918,1;;20,2;19,7;20,3;20;19,7;19,4;97;95;97;74;2,8;1,4;
2023/01/05;0500 UTC;0;917,8;918,2;917,8;;20;19,6;20,3;20;19,8;19,6;97;97;97;96;2,5;,5;
2023/01/05;0600 UTC;0;917,5;917,8;917,5;;19,6;19;20,3;19,6;19,9;19;97;96;97;43;1,2;0;
2023/01/05;0700 UTC;0;917,8;917,8;917,5;;20,1;19,7;20,3;19,6;19,9;19;98;97;98;54;1,6;1;
2023/01/05;0800 UTC;0;918,3;918,3;917,8;;20,3;19,8;20,6;20;20,2;19,7;98;97;97;46;1,6;0;
2023/01/05;0900 UTC;0;918,6;918,7;918,3;53,2;20,5;20;20,5;20;20;19,6;97;97;97;44;1,1;,4;
2023/01/05;1000 UTC;0;919,2;919,2;918,6;480,9;21,7;19,8;21,8;20,5;20,5;19,6;97;88;89;41;1,6;,8;
2023/01/05;1100 UTC;0;919,5;919,5;919,2;1093,9;22,6;19,8;22,8;21,6;20,2;19,5;90;83;84;18;4,4;2,3;
2023/01/05;1200 UTC;0;920;920;919,5;987,2;23,7;20;23,7;22,6;20,1;19,5;84;80;80;21;4,4;,8;
2023/01/05;1300 UTC;0;919,6;920;919,6;2012,1;24,9;19,4;25,3;23,4;20,4;19,4;81;71;71;45;4,6;2;
2023/01/05;1400 UTC;0;919,1;919,6;919,1;2941,1;26,2;19,3;27;24,8;20,5;18,9;74;64;66;11;5,8;2,5;
2023/01/05;1500 UTC;0;918,8;919,2;918,8;1184,4;24,3;20,2;26,7;23,9;20,7;19,2;79;65;78;292;7,4;2,1;
2023/01/05;1600 UTC;0;918,3;918,8;918,2;763,1;23,9;20,2;24,5;23,8;20,5;18,2;81;69;79;129;3,8;,6;
2023/01/05;1700 UTC;0;918,1;918,3;917,9;909,2;24,8;20,5;24,8;23,7;21;19,7;84;76;77;109;3,1;1,6;
2023/01/05;1800 UTC;0;916,8;918,1;916,8;2046,3;24,8;19,9;25,8;24,6;20,9;19,7;78;72;74;65;6,3;3,8;
2023/01/05;1900 UTC;0;916,7;916,9;916,6;1466,9;25,5;19,8;26,4;24,8;20,6;19,4;75;67;71;16;6,3;2,5;
2023/01/05;2000 UTC;0;917;917;916,7;770,6;24,6;19,4;26,1;24,6;20,1;18,8;72;67;72;353;5,3;1,7;
2023/01/05;2100 UTC;0;917,9;917,9;917;58;23,3;20,2;24,8;23,3;20,2;19,3;83;72;83;286;5,2;2,4;
2023/01/05;2200 UTC;0;918,7;918,7;917,9;2,7;21,4;19,4;23,3;21,4;20,3;19,4;89;83;88;272;5,1;2,5;
2023/01/05;2300 UTC;0;919,4;919,4;918,7;;21;19,1;21,4;21;19,4;19,1;89;88;89;323;5,1;1,8;
2023/01/06;0000 UTC;1;920;920;919,4;;20,5;19,6;21,2;20,5;19,6;19,1;94;89;94;342;3,4;1;
2023/01/06;0100 UTC;,8;920,4;920,4;920;;20,6;20,1;20,6;20,3;20,1;19,6;97;94;97;37;2,6;1,1;
2023/01/06;0200 UTC;,2;920,3;920,4;920,2;;20,2;19,7;20,6;20;20;19,4;97;96;97;36;1,7;,1;
2023/01/06;0300 UTC;,4;920;920,4;920;;20;19,6;20,3;19,8;19,9;19,5;98;97;98;62;2,5;1,3;
2023/01/06;0400 UTC;,2;919,1;920;919,1;;19,9;19,6;20,1;19,8;19,8;19,5;98;98;98;13;2,3;1,6;
2023/01/06;0500 UTC;,2;919;919,1;919;;19,8;19,4;20;19,6;19,6;19,3;98;98;98;16;2,3;1;
2023/01/06;0600 UTC;,6;918,7;919;918,7;;19,7;19,4;19,9;19,6;19,5;19,3;98;98;98;321;1,8;0;
2023/01/06;0700 UTC;0;918,3;918,7;918,3;;19,8;19,5;19,9;19,7;19,5;19,4;98;98;98;296;1,1;0;
2023/01/06;0800 UTC;0;918,4;918,4;918,3;;19,4;19;19,8;19,4;19,5;19;98;97;98;125;,9;,6;
2023/01/06;0900 UTC;0;919;919;918,4;14,8;19,6;19,2;19,9;19,3;19,5;19;98;98;98;65;2,4;1,2;
2023/01/06;1000 UTC;0;919,5;919,5;919;261,9;20,5;20,1;20,5;19,5;20,1;19,2;98;98;98;244;2,1;1,1;
2023/01/06;1100 UTC;,2;920,1;920,1;919,5;996,8;21,4;20;21,5;20,4;20,3;19,8;98;91;92;339;3,3;1,4;
2023/01/06;1200 UTC;0;920,7;920,7;920,1;1043,6;22,5;20,1;22,5;21,4;20,3;19,5;93;86;86;350;3;1,2;
2023/01/06;1300 UTC;0;921;921;920,7;1190,6;23,2;19,7;23,3;22,5;20,5;19,4;86;80;81;12;3,6;,8;
2023/01/06;1400 UTC;0;921,1;921,2;921;1446,8;24,2;20,1;24,2;23,1;20,5;19,3;84;75;78;348;4,1;,9;
2023/01/06;1500 UTC;0;920,8;921,1;920,8;1737,9;24,7;21,2;24,7;23,9;21,5;19,1;86;73;81;84;3,3;1,6;
2023/01/06;1600 UTC;0;919,8;920,8;919,7;2588,4;26,3;18,4;26,5;24,2;21,5;18,4;83;62;62;63;3,3;1,8;
2023/01/06;1700 UTC;,2;918,6;919,8;918,6;2607,3;25,6;19,4;26,9;25,6;19,9;17,5;69;57;69;27;9,2;2,2;
2023/01/06;1800 UTC;28;918,6;919,2;918,6;370,8;21,6;21,3;25,5;19,8;21,3;18;98;69;98;296;9,2;,6;
2023/01/06;1900 UTC;,6;918,2;918,6;918,1;755,4;22,6;21,9;22,9;21,3;22,5;21;98;95;96;132;2,6;,1;
2023/01/06;2000 UTC;,2;918,2;918,2;918,1;545,9;22,9;21,4;23,1;22,5;22,1;21,1;96;89;91;158;1,7;,7;
2023/01/06;2100 UTC;0;918,7;918,7;918,2;272,6;22,8;21,9;23,2;22,8;22,2;21,5;96;91;95;41;2,5;1,9;
2023/01/06;2200 UTC;0;919,3;919,3;918,7;14,8;21,8;20,9;22,8;21,8;21,9;20,8;95;92;94;69;2,5;1,5;
2023/01/06;2300 UTC;0;920,3;920,3;919,3;;21,1;20,2;22,1;21,1;21;20,2;95;92;95;152;2,3;1;
2023/01/07;0000 UTC;0;921,2;921,2;920,3;;21;20,5;21,2;20,9;20,6;20,3;97;95;97;89;4,1;2,7;
2023/01/07;0100 UTC;,2;921,6;921,6;921,2;;20;19,6;21;20;20,6;19,6;98;97;97;81;5,2;1,7;
2023/01/07;0200 UTC;0;921,2;921,7;921,2;;19,8;19,4;20,1;19,8;19,7;19,4;98;97;98;90;3,3;1,1;
2023/01/07;0300 UTC;0;921,1;921,3;921,1;;19,8;19,3;20,1;19,8;19,7;19,3;98;97;97;78;1,7;,3;
2023/01/07;0400 UTC;0;920,7;921,1;920,7;;19,5;19,1;19,8;19,4;19,3;19;98;97;98;202;1,7;,2;
2023/01/07;0500 UTC;0;920,4;920,7;920,4;;19,2;18,9;19,6;19,1;19,2;18,8;98;98;98;213;1,5;,3;
2023/01/07;0600 UTC;0;920,3;920,4;920,2;;18,6;18,4;19,4;18,6;19,1;18,4;98;98;98;282;1,5;0;
2023/01/07;0700 UTC;0;920,2;920,3;920,2;;19,2;18,9;19,2;18,2;18,9;17,9;98;98;98;175;1,3;0;
2023/01/07;0800 UTC;0;920,7;920,7;920,2;;18,9;18,6;19,3;18,7;19;18,5;98;98;98;159;2;,5;
2023/01/07;0900 UTC;0;921,3;921,3;920,7;27,2;19,3;19;19,3;18,8;19,1;18,5;98;98;98;100;2,3;,7;
2023/01/07;1000 UTC;0;921,8;921,8;921,3;340,3;19,9;19,7;20;19,3;19,7;19,1;98;98;98;128;2,2;1;
2023/01/07;1100 UTC;0;922,1;922,1;921,8;747,9;21,6;21,3;21,6;19,8;21,3;19,6;98;98;98;104;2,6;1,3;
2023/01/07;1200 UTC;0;922,5;922,6;922,1;1038,3;22,5;20,4;22,7;21,5;21,4;20;98;87;88;81;4,5;2,8;
2023/01/07;1300 UTC;0;922,5;922,6;922,5;2291,6;24,3;20;24,5;22,5;21,2;20;89;77;77;106;4,5;2,1;
2023/01/07;1400 UTC;0;922,3;922,6;922,3;2660,2;25;19,9;25,5;24,2;21,4;19,8;81;72;73;83;4,9;2,8;
2023/01/07;1500 UTC;0;921,6;922,3;921,6;2183;25,5;19,1;25,7;24,8;20,8;19,1;78;68;68;115;4,9;1,9;
2023/01/07;1600 UTC;0;920,7;921,6;920,7;2971,2;27,1;19,2;27,3;25,4;20,4;18,8;72;61;62;94;4,7;2,6;
2023/01/07;1700 UTC;0;919,5;920,7;919,5;2457,2;27,3;18;27,9;26,8;20,1;17,6;65;55;57;114;4,7;1,6;
2023/01/07;1800 UTC;0;918,4;919,5;918,4;3052,8;28,5;19;28,9;27,3;20,1;17,8;61;52;57;63;8,1;5,1;
2023/01/07;1900 UTC;0;917,8;918,4;917,8;2151,4;29,1;18,5;29,2;27,6;19,7;18,1;60;53;53;101;8;3,5;
2023/01/07;2000 UTC;0;917,8;917,8;917,6;1431,7;27,7;17,6;29,1;27,1;19,3;17,5;62;52;54;83;7,4;4;
2023/01/07;2100 UTC;0;918,4;918,4;917,8;637,8;25,8;19,2;27,8;25,8;19,3;17,4;67;54;67;79;7,3;3,6;
2023/01/07;2200 UTC;0;919,3;919,3;918,4;8,1;23;19,5;25,8;23;19,6;19,1;81;67;81;66;8,3;1,8;
2023/01/07;2300 UTC;0;920,1;920,1;919,3;;21,2;19,5;23;21,2;19,8;19,4;90;81;90;100;3,9;2;
2023/01/08;0000 UTC;0;920,7;920,8;920,1;;20,7;19,1;21,3;20,4;19,5;19;93;88;91;108;3;,8;
2023/01/08;0100 UTC;0;921,2;921,2;920,7;;20,9;19;21,3;20,3;19,4;18,6;92;88;89;70;3;,8;
2023/01/08;0200 UTC;0;921,2;921,3;921,1;;19,9;18,9;20,9;19,8;19,2;18,4;95;89;94;69;2,1;1;
2023/01/08;0300 UTC;0;920,9;921,2;920,9;;19,4;18,6;20;19,3;19;18,3;95;93;95;134;1,4;,3;
2023/01/08;0400 UTC;0;920,5;921;920,5;;19;18,6;19,4;18,6;18,6;18;98;95;98;69;1,6;1,2;
2023/01/08;0500 UTC;0;920;920,5;920;;19,1;18,6;19,6;19;19,2;18,5;98;96;97;60;1,7;0;
2023/01/08;0600 UTC;0;919,9;920,1;919,9;;18,6;18,2;19,3;18,5;18,9;18,1;98;97;97;87;1,7;,1;
2023/01/08;0700 UTC;0;919,8;919,9;919,7;;18,7;18,4;18,8;18,1;18,5;17,7;98;97;98;172;1,5;,3;
2023/01/08;0800 UTC;,2;920;920;919,7;;18,9;18,6;18,9;18,3;18,6;18;98;98;98;92;1;,2;
2023/01/08;0900 UTC;0;920,7;920,7;920;54,4;19,4;19,1;19,4;18,8;19,1;18,6;98;98;98;102;1,2;0;
2023/01/08;1000 UTC;0;921,3;921,3;920,7;278,1;20,6;19,5;20,6;19,4;20;19,1;98;93;93;5;1,2;,3;
2023/01/08;1100 UTC;0;921,7;921,7;921,3;953,6;21,8;19,3;21,9;20,6;19,9;19;93;84;86;41;2,3;1,5;
2023/01/08;1200 UTC;0;921,9;922;921,7;1481,2;23,3;19,6;23,4;21,8;20,2;19,4;87;80;80;154;2,6;,6;
2023/01/08;1300 UTC;0;921,8;922;921,8;2231,6;25,1;19;25,2;23,1;20;19;82;69;69;100;2,9;,4;
2023/01/08;1400 UTC;0;921,4;921,9;921,4;2880,2;26,9;19,2;27,2;25,1;20,1;18,7;70;62;63;142;4,1;1,1;
2023/01/08;1500 UTC;0;920,9;921,4;920,9;2775,6;27,3;18,4;28;26;20,5;18,4;68;58;58;102;4;1,6;
