REGIAO:;SE
UF:;MG
ESTACAO:;PATOS DE MINAS
CODIGO (WMO):;A562
LATITUDE:;-18,52055554
LONGITUDE:;-46,44055555
ALTITUDE:;950
DATA DE FUNDACAO:;12/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;1,2;910,8;910,8;910,1;;19,7;18,9;20,1;19,7;19,3;18,9;96;95;95;266;2,2;,4;
2023/01/01;0100 UTC;1,8;911,3;911,3;910,8;;19,4;18,8;19,7;19,3;18,9;18,5;96;95;96;267;1,3;,3;
2023/01/01;0200 UTC;,6;910,6;911,3;910,6;;19,1;18,4;19,4;19,1;18,7;18,4;96;95;96;147;1;,4;
2023/01/01;0300 UTC;0;910,2;910,6;910,2;;19;18,3;19,1;18,9;18,5;18,2;96;96;96;72;1,5;,8;
2023/01/01;0400 UTC;,4;909,9;910,2;909,8;;19,5;18,8;19,5;19;18,8;18,3;96;96;96;18;2,5;,7;
2023/01/01;0500 UTC;,2;908,8;909,9;908,8;;19,3;18,7;19,6;19,3;18,9;18,6;96;96;96;84;2,5;,9;
2023/01/01;0600 UTC;0;908;908,8;908;;18,6;17,9;19,3;18,6;18,6;17,9;96;95;95;67;1,8;,4;
2023/01/01;0700 UTC;0;908,2;908,3;908;;19,1;18,2;19,2;18,6;18,5;17,9;96;95;95;124;3,6;,8;
2023/01/01;0800 UTC;0;908,3;908,4;908,2;;18,5;17,3;19,2;18,5;18,2;17,3;95;92;93;42;2,8;1,4;
2023/01/01;0900 UTC;0;909,2;909,2;908,3;20,6;18,3;17,2;18,5;18,2;17,4;17,1;93;93;93;92;2,7;,9;
2023/01/01;1000 UTC;0;909,8;909,9;909,2;339,5;19,4;18,1;19,4;18,3;18,1;17,2;93;92;92;280;2,1;,8;
2023/01/01;1100 UTC;0;910,3;910,3;909,8;1147,8;22;19;22;19,4;19,4;18;92;83;83;292;1,7;,8;
2023/01/01;1200 UTC;0;910,7;910,7;910,3;1829,6;24,1;19,3;24,1;22;19,4;18;84;71;74;31;7,4;3,1;
2023/01/01;1300 UTC;0;910,8;910,8;910,7;1714,1;24,5;19,7;24,5;23;19,7;18,1;77;71;74;34;8,1;3,3;
2023/01/01;1400 UTC;0;910,6;910,9;910,6;1898,7;24;18,8;24,6;23,5;19,7;18,2;75;71;73;44;8,8;4;
2023/01/01;1500 UTC;0;909,7;910,5;909,7;3609,3;27,2;19,4;27,8;23,9;21,2;18,9;75;62;62;11;8;4,3;
2023/01/01;1600 UTC;0;909,2;909,7;909,2;3670,1;26,4;18,6;29,1;26,4;21,1;18,6;66;57;62;353;8,1;4;
2023/01/01;1700 UTC;0;908,2;909,2;908,2;1987;26,9;19,8;27,6;24,1;20,4;18,2;74;60;65;314;7,5;4,3;
2023/01/01;1800 UTC;0;907,3;908,2;907,3;2967,9;26,7;19,4;28,9;25,9;20,4;18;67;58;64;322;7,6;3,1;
2023/01/01;1900 UTC;0;906,8;907,5;906,8;955,5;25,8;19,6;26,9;25,4;20;18,7;71;62;68;286;5,9;2,2;
2023/01/01;2000 UTC;0;906,6;906,8;906,6;1406,7;25,6;18;27,7;25,4;21;17,9;72;61;63;54;4,9;1,8;
2023/01/01;2100 UTC;0;907,2;907,2;906,6;258,2;22,4;19,1;25,8;22,4;19,2;17,7;82;61;82;89;6,5;2,3;
2023/01/01;2200 UTC;1;907,7;907,7;907,2;18,1;20,5;18,7;22,4;20,5;19,4;18,7;91;82;90;98;5,8;,7;
2023/01/01;2300 UTC;,2;908,2;908,3;907,7;;20,5;18,3;20,6;20,3;18,7;18,3;90;87;87;85;3,4;1,2;
2023/01/02;0000 UTC;0;909,3;909,3;908,2;;20,7;18,1;20,8;20,3;18,5;17,8;89;83;85;61;2,8;1,1;
2023/01/02;0100 UTC;9,8;909,2;909,4;908,7;;19,6;18,4;20,7;19,5;18,4;17,9;93;85;92;112;6,5;1,2;
2023/01/02;0200 UTC;0;909,8;910,1;909,3;;20;18,6;20,2;19,5;18,6;18,2;93;90;92;8;4,7;1,4;
2023/01/02;0300 UTC;,2;907,4;909,8;907,4;;20,4;19;20,4;19,8;19;18,4;93;90;92;101;7,6;2;
2023/01/02;0400 UTC;0;908,8;908,9;907,1;;20;19;20,4;19,3;19;18,1;95;90;94;261;5,5;1,3;
