REGIAO:;SE
UF:;MG
ESTACAO:;DIVINOPOLIS
CODIGO (WMO):;A564
LATITUDE:;-20,17333332
LONGITUDE:;-44,87499999
ALTITUDE:;796
DATA DE FUNDACAO:;26/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;12,2;927,6;927,9;926,7;;20,1;20,1;20,6;19,7;20,5;19,7;100;100;100;;;;
2023/01/01;0100 UTC;,8;928,8;928,8;927,6;;20,2;20,2;20,3;20,1;20,3;20,1;100;100;100;;;;
2023/01/01;0200 UTC;6,6;929,1;929,2;928,8;;19,1;19,1;20,2;19,1;20,2;19,1;100;100;100;;;;
2023/01/01;0300 UTC;,2;927,8;929,1;927,7;;19,6;19,6;19,6;19,1;19,6;19,1;100;100;100;;;;
2023/01/01;0400 UTC;,4;926,8;927,9;926,8;;19,3;19,3;19,8;19,1;19,7;19,1;100;100;100;;;;
2023/01/01;0500 UTC;,2;926,4;927,2;926,4;;19,3;19,2;19,3;19,1;19,3;19,1;100;100;100;;;;
2023/01/01;0600 UTC;0;926,1;926,4;926,1;;19,2;19,2;19,3;19,1;19,2;19,1;100;100;100;;;;
2023/01/01;0700 UTC;0;926,1;926,2;926;;19,1;19,1;19,2;19,1;19,2;19,1;100;100;100;;;;
2023/01/01;0800 UTC;0;926,5;926,5;926,1;;19,1;19,1;19,2;19,1;19,2;19,1;100;100;100;;;;
2023/01/01;0900 UTC;0;926,7;926,9;926,3;24,7;19,2;19,2;19,2;19;19,2;19;100;100;100;;;;
2023/01/01;1000 UTC;0;927,3;927,3;926,6;234,1;19,7;19,6;19,7;19,2;19,6;19,2;100;100;100;;;;
2023/01/01;1100 UTC;0;927,4;927,5;927,2;1174,7;21,8;21,1;22,2;19,6;21,6;19,6;100;89;95;;;;
2023/01/01;1200 UTC;0;927,9;927,9;927,4;1719,4;22,3;19,9;23,3;21,6;21,5;19,6;98;82;86;;;;
2023/01/01;1300 UTC;0;927,9;928;927,8;1695,8;23,8;20;24,1;22,3;21;19,5;89;78;79;;;;
