REGIAO:;SE
UF:;RJ
ESTACAO:;NOVA FRIBURGO - SALINAS
CODIGO (WMO):;A624
LATITUDE:;-22,33472221
LONGITUDE:;-42,67694443
ALTITUDE:;1070
DATA DE FUNDACAO:;18/09/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;,2;900;900,1;899,7;;18,3;16,5;18,4;17,5;16,6;14,8;90;82;89;61;5,4;1,4;
2023/01/01;0100 UTC;,2;900,2;900,4;900;;16,9;14,2;18,7;16,9;16,9;14,2;90;84;84;357;3,4;1,8;
2023/01/01;0200 UTC;0;899,7;900,2;899,6;;17,1;15,3;17,2;16,3;15,5;13,7;90;82;89;10;4,4;1,4;
2023/01/01;0300 UTC;0;899;899,7;899;;17,3;15,8;17,3;16,5;15,8;14,7;91;89;91;26;3,2;1,3;
2023/01/01;0400 UTC;0;898,4;899;898,4;;18;15,9;18,6;17,3;16,8;15,8;91;86;88;52;5,6;,8;
2023/01/01;0500 UTC;0;897,8;898,4;897,8;;18;16;18,3;17,8;16,3;15,7;89;87;88;35;3;1;
2023/01/01;0600 UTC;0;897,5;897,8;897,5;;17,3;15,3;18,2;17,3;16,2;15,3;89;87;88;38;3,3;1,3;
2023/01/01;0700 UTC;0;897,6;897,6;897,4;;16,4;15;17,3;16,3;15,5;14,9;92;88;92;2;2;,9;
2023/01/01;0800 UTC;0;898,1;898,1;897,5;;16;14,8;16,4;15,9;15,3;14,8;93;92;93;5;2;,9;
2023/01/01;0900 UTC;0;898,9;898,9;898,1;98,3;16,4;15,3;16,7;15,6;15,6;14,4;93;93;93;27;2,3;,8;
2023/01/01;1000 UTC;0;899,3;899,3;898,9;969,1;20,1;17,1;20,1;16,3;17,1;15,2;93;83;83;79;3,8;2;
2023/01/01;1100 UTC;0;899,6;899,6;899,3;1825,6;21,5;16,9;21,5;19,7;17,1;15,7;83;75;75;50;5;2,4;
2023/01/01;1200 UTC;0;899,9;900;899,6;1977,6;21,7;16,8;21,7;20,4;17,2;15,9;77;74;74;63;6,8;2,5;
2023/01/01;1300 UTC;0;899,5;899,9;899,5;3402,5;23,8;16,5;23,8;21,5;17,9;15,9;76;63;64;92;7,2;3,4;
2023/01/01;1400 UTC;0;899,1;899,5;899,1;3386,1;24,2;16,3;24,7;23,2;17,7;15,9;67;60;62;68;8;3;
2023/01/01;1500 UTC;3,6;899,8;899,9;899;1433,5;18,1;15,7;24,2;18,1;17,1;15,5;86;60;85;75;9,5;2,4;
2023/01/01;1600 UTC;1,6;898,6;899,8;898,6;2179,8;20,9;15,5;21,6;18,1;17,4;15,5;86;72;72;88;6,6;3;
2023/01/01;1700 UTC;0;898,3;898,8;898,1;2370,2;22,2;13,8;23,6;20,8;16,6;13,8;74;57;59;23;6;1,9;
2023/01/01;1800 UTC;0;897,6;898,3;897,4;684,2;19,4;16,3;22,6;19,4;16,3;13,2;83;57;83;273;4,6;1;
2023/01/01;1900 UTC;12,2;897,9;898,4;897,6;29;16,3;14;19,5;16,2;16,4;13,6;88;79;86;331;8,5;3,4;
2023/01/01;2000 UTC;,4;898;898,2;897,5;29,7;16,8;14,6;17,4;16,3;14,7;13,7;87;81;87;4;6,9;,9;
2023/01/01;2100 UTC;0;898,3;898,3;897,9;43,6;16,5;14,4;16,8;16,1;14,6;14,1;89;86;88;295;3,7;1,7;
2023/01/01;2200 UTC;,2;898,5;898,8;898,3;16,3;15,9;14,4;16,5;15,8;14,5;14;91;87;91;296;2,8;,7;
2023/01/01;2300 UTC;0;898,8;898,8;898,4;;15,9;14,6;16;15,7;14,8;14,1;93;91;93;32;2,3;1;
2023/01/02;0000 UTC;0;899,7;899,7;898,9;;17,5;14,9;17,5;15,8;15,7;14,7;93;84;84;67;5,3;2,3;
2023/01/02;0100 UTC;0;899,3;899,7;899,3;;17,4;14,8;17,5;17,2;14,9;14,6;86;84;85;13;5,8;2,2;
2023/01/02;0200 UTC;0;899,2;899,4;899,2;,4;17,7;14,6;17,7;17,4;14,9;14,5;85;82;82;26;6,2;2,3;
2023/01/02;0300 UTC;0;898,7;899,2;898,7;;17,2;14,7;17,7;17,1;14,7;14,2;85;82;85;80;5,1;1,7;
2023/01/02;0400 UTC;0;897,7;898,7;897,7;;16,2;14,2;17,2;16,2;14,7;14,2;88;85;88;15;4,8;1,6;
2023/01/02;0500 UTC;0;896,9;897,7;896,9;;15,1;13,3;16,2;15,1;14,3;13,2;89;87;89;13;3,9;1,6;
2023/01/02;0600 UTC;0;896,6;897;896,6;;14,1;12,3;15,5;14;13,5;12;89;86;89;356;4;2;
2023/01/02;0700 UTC;0;896,7;896,7;896,5;;14,3;12,7;14,4;13,6;12,8;11,7;90;88;90;353;4,4;2,3;
2023/01/02;0800 UTC;0;897;897;896,7;;13,4;12;14,4;13;12,7;11,4;92;89;92;3;3,8;1,7;
2023/01/02;0900 UTC;0;898;898;897;58,1;14,7;13,1;15,2;13,1;13,9;11,8;92;90;90;358;4,3;1,8;
2023/01/02;1000 UTC;0;898,2;898,2;898;879,4;18,8;13,6;18,8;14,7;14,1;13,4;90;72;72;88;6,3;3,5;
2023/01/02;1100 UTC;0;898,3;898,3;898,1;1793,7;19,2;14,2;19,7;18,7;14,6;13,4;73;70;73;84;9,1;4,3;
2023/01/02;1200 UTC;0;898,6;898,6;898,3;2416;19,4;14,6;19,6;18,6;14,8;14,1;76;72;73;79;9,1;4,4;
2023/01/02;1300 UTC;0;898,6;898,7;898,5;1456,1;19;14,7;19,6;18,9;14,9;14,3;76;73;76;82;8,4;3,8;
2023/01/02;1400 UTC;0;898,3;898,7;898,2;1594,9;20,2;15;20,6;19;15,6;14,5;77;71;72;88;8,1;4,1;
2023/01/02;1500 UTC;0;897,7;898,3;897,7;2687;20,7;15,3;21,8;20,2;16,3;14,8;74;68;71;69;7,6;3,4;
2023/01/02;1600 UTC;0;897,2;897,7;897,2;1392;20;16,5;21,1;19,8;16,5;15;80;70;80;41;7,6;2;
2023/01/02;1700 UTC;0;896;897,2;896;2745,8;22;15,9;22,2;20,1;16,8;15,4;80;67;68;95;6,9;3,6;
2023/01/02;1800 UTC;0;895,2;896;895,1;2811,9;22,8;15,3;23,3;21,8;16,8;15,1;70;62;63;80;6,2;2,9;
2023/01/02;1900 UTC;0;894,5;895,2;894,5;1830,9;23,1;15,3;23,7;22,4;16,2;14,7;66;60;61;29;5,2;2,2;
2023/01/02;2000 UTC;0;894,4;894,5;894,2;992,4;22,5;15,7;23,5;21,6;15,7;14,5;68;58;65;30;5,2;1,5;
2023/01/02;2100 UTC;0;894,5;894,5;894,2;400,7;21,1;15,5;22,8;21,1;16,2;15,1;71;62;70;61;4,6;1,3;
2023/01/02;2200 UTC;0;895;895,1;894,5;20,4;20,2;15,8;21,2;20,2;15,9;15,5;76;70;76;19;4,9;2,3;
2023/01/02;2300 UTC;0;895,9;895,9;895;;20;16,1;20,2;19,6;16,2;15,7;79;76;79;23;4,9;2,4;
2023/01/03;0000 UTC;4,2;896,5;896,7;895,8;;17;14,9;20;16,9;16,2;13,7;87;78;87;46;8,3;2;
2023/01/03;0100 UTC;,4;896,9;896,9;896,4;;17,3;14,6;18,2;17;15,8;14,5;88;81;84;60;6,5;1,5;
2023/01/03;0200 UTC;0;896,7;896,9;896,7;;17,5;14,6;17,6;16,7;15,2;14,4;88;83;83;52;4,5;1,9;
2023/01/03;0300 UTC;0;896,3;896,8;896,3;;17;14,8;17,5;17;14,8;14,4;87;83;87;81;6,4;2,6;
2023/01/03;0400 UTC;0;895,5;896,3;895,5;;17,2;15;17,3;16,8;15,1;14,6;88;86;87;45;6,4;2,2;
2023/01/03;0500 UTC;0;894,8;895,5;894,8;;17,6;15,2;17,6;17,1;15,2;14,8;87;85;86;69;5;2,3;
2023/01/03;0600 UTC;0;894,3;894,8;894,3;;17,9;15,5;18;17,6;15,5;15,1;86;85;85;82;6,8;3,3;
2023/01/03;0700 UTC;0;894,4;894,5;894,2;;18,1;15,6;18,1;17,9;15,7;15,5;86;85;86;78;6,8;2,9;
2023/01/03;0800 UTC;0;894,7;894,7;894,4;;18,2;15,6;18,3;18,1;15,7;15,5;86;84;85;86;7,2;3,7;
2023/01/03;0900 UTC;0;895,3;895,3;894,7;39;18,4;15,6;18,4;18,1;15,6;15,5;85;84;84;74;8,7;2,9;
2023/01/03;1000 UTC;0;896,1;896,1;895,3;118,9;18,4;15,7;18,4;18,2;15,8;15,6;85;84;85;87;7,5;3,4;
2023/01/03;1100 UTC;0;896,4;896,5;896,1;521,6;18,9;15,8;19,2;18,3;16,3;15,7;85;82;82;80;7;3,3;
2023/01/03;1200 UTC;0;896,6;896,7;896,2;1695,4;20,9;16,3;21;18,9;16,8;15,6;83;75;75;84;7,3;3,7;
2023/01/03;1300 UTC;0;896,4;896,7;896,3;2640,8;21,8;16;21,9;20,2;17;15,4;77;68;69;83;8,2;4,9;
2023/01/03;1400 UTC;0;896,2;896,4;896,1;3698,4;22,5;15,9;23,2;21,8;16,6;15,3;70;62;67;90;10;5,4;
2023/01/03;1500 UTC;0;895,7;896,2;895,6;2547,6;23,8;16,5;23,8;22,4;17;15,5;69;60;64;67;8,8;3,5;
2023/01/03;1600 UTC;0;894,9;895,7;894,9;2591,2;24,7;16,3;25,3;23,5;17,4;15,2;64;56;60;80;7,9;3,4;
2023/01/03;1700 UTC;0;894,2;894,9;894,2;2355,4;24,6;15,9;25,6;24,1;17;15,2;62;54;58;63;8,6;2,9;
2023/01/03;1800 UTC;0;893,7;894,2;893,7;2311,3;24,9;17,2;25,8;24,1;17,7;15,5;64;55;63;81;6,6;3,2;
2023/01/03;1900 UTC;0;893,6;893,7;893,4;1206,4;23,1;17,3;24,9;23;17,9;16,7;72;62;70;81;6,6;2,9;
2023/01/03;2000 UTC;,4;894;894,1;893,6;367,5;19,2;16,4;23,1;19;17,1;14,4;84;64;84;41;8,9;1,3;
2023/01/03;2100 UTC;0;893,7;894,1;893,5;217,1;19,8;15,8;19,9;19,1;16,6;15,8;85;77;78;94;6;3;
2023/01/03;2200 UTC;0;894,4;894,4;893,7;40,9;18,7;15,8;19,8;18,7;16;15,5;83;77;83;336;6;1,6;
2023/01/03;2300 UTC;0;894,6;894,7;894,4;;18,8;15,8;19,2;18,5;16,1;15,8;85;82;83;55;4,7;1,6;
2023/01/04;0000 UTC;0;895,7;895,7;894,6;;18,6;16,4;18,8;18,5;16,4;15,8;87;83;87;129;4,3;,8;
2023/01/04;0100 UTC;0;896,2;896,2;895,7;;19,5;16,7;19,6;18,2;16,9;16,1;88;84;84;82;4,2;2;
2023/01/04;0200 UTC;0;896,1;896,3;896,1;;19;16,9;19,6;19;16,9;16,6;87;84;87;66;6,7;2,5;
2023/01/04;0300 UTC;0;895,3;896,1;895,3;;19,1;17;19,1;18,8;17,2;16,8;89;87;87;57;5,9;2,2;
2023/01/04;0400 UTC;0;894,5;895,3;894,5;;18,9;16,3;19,1;18,9;17;16,3;87;85;85;81;6,5;2,4;
2023/01/04;0500 UTC;0;894,1;894,6;894,1;;18,8;16,3;19;18,7;16,4;16,2;86;85;86;71;6,3;1,8;
