REGIAO:;SE
UF:;RJ
ESTACAO:;RIO CLARO
CODIGO (WMO):;A626
LATITUDE:;-22,653579
LONGITUDE:;-44,040916
ALTITUDE:;516
DATA DE FUNDACAO:;03/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;959;959;958,3;;19,9;19,2;19,9;19,8;19,2;19;95;95;95;;;;
2023/01/01;0100 UTC;,2;959;959,3;959;;19,9;19,2;20,2;19,9;19,4;19,1;95;95;95;;;;
2023/01/01;0200 UTC;0;958,7;959;958,6;;19,7;18,9;20;19,7;19,2;18,9;95;95;95;;;;
2023/01/01;0300 UTC;0;957,5;958,7;957,5;;19,3;18,6;19,7;19,2;19;18,4;96;95;96;;;;
2023/01/01;0400 UTC;0;956,5;957,5;956,5;;19,1;18,4;19,3;19;18,6;18,2;96;95;96;;;;
2023/01/01;0500 UTC;0;956,2;956,6;956,2;;18,5;17,8;19,1;18,4;18,4;17,7;96;96;96;;;;
2023/01/01;0600 UTC;0;956,1;956,2;956,1;;18,4;17,7;18,9;18,4;18,2;17,7;96;96;96;;;;
2023/01/01;0700 UTC;0;956,1;956,2;955,9;;18,5;17,9;18,6;18,1;17,9;17,5;96;96;96;;;;
2023/01/01;0800 UTC;0;956,4;956,4;956,1;;18;17,3;18,5;18;17,9;17,3;96;96;96;;;;
2023/01/01;0900 UTC;0;957,1;957,1;956,4;47,1;18,1;17,5;18,1;17,9;17,5;17,2;96;96;96;;;;
2023/01/01;1000 UTC;0;957,7;957,7;957,1;689,5;19,1;18,5;19,4;18;18,7;17,4;96;96;96;;;;
2023/01/01;1100 UTC;0;958,2;958,2;957,7;1107,3;21,4;20,6;21,4;19,1;20,6;18,6;96;95;96;;;;
2023/01/01;1200 UTC;0;958,5;958,5;958,2;1540,1;23,6;21,1;23,6;21,2;21,7;20,4;96;86;86;;;;
2023/01/01;1300 UTC;0;958,3;958,5;958,3;2816,4;26,3;20,8;26,5;23,6;22,4;20,2;87;70;72;;;;
2023/01/01;1400 UTC;0;957,7;958,3;957,7;2851,8;27,5;20,5;28,5;25,5;22,3;19,6;77;64;66;;;;
2023/01/01;1500 UTC;0;957;957,7;957;3833,5;29,6;20,4;30,2;27,5;23,2;19,5;70;53;58;;;;
2023/01/01;1600 UTC;0;956,1;957;956,1;3018,6;28,9;20,6;30,9;28,5;22,2;18,7;64;52;61;;;;
2023/01/01;1700 UTC;0;955;956,1;955;2491,1;29,4;19,6;30,6;28;21,1;19;63;50;56;;;;
2023/01/01;1800 UTC;0;955,1;955,1;954,9;1349,2;26,9;21,1;29,6;26,9;21,2;18,5;71;53;70;;;;
2023/01/01;1900 UTC;0;954,9;955,3;954,6;856,4;26,2;21,7;26,9;25,6;22,3;21;80;70;77;;;;
2023/01/01;2000 UTC;0;955,7;955,8;954,8;376,8;25;21;26,2;24,9;21,9;19,7;81;68;79;;;;
2023/01/01;2100 UTC;0;956,3;956,3;955,7;53,4;22,4;20,3;25;22,4;21,2;20,1;88;79;88;;;;
2023/01/01;2200 UTC;2,4;957;957;956,3;27,9;21,4;20,1;22,4;21,4;20,5;20,1;92;88;92;;;;
2023/01/01;2300 UTC;2,2;957,5;957,5;956,9;;21;19,9;21,6;20,9;20,3;19,8;94;92;94;;;;
2023/01/02;0000 UTC;0;958,3;958,3;957,5;;20,4;19,3;21;20,4;20;19,3;94;94;94;;;;
2023/01/02;0100 UTC;0;958,6;958,6;958,2;;19,7;18,8;20,4;19,6;19,3;18,6;94;93;94;;;;
2023/01/02;0200 UTC;0;958;958,6;958;;19,3;18,4;19,7;19,3;18,8;18,4;95;94;95;;;;
2023/01/02;0300 UTC;,2;957,1;958;957,1;;18,7;17,9;19,3;18,6;18,4;17,8;95;95;95;;;;
2023/01/02;0400 UTC;0;956,7;957,1;956,6;;18,5;17,7;18,7;18,2;18;17,4;96;95;95;;;;
2023/01/02;0500 UTC;0;955,8;956,7;955,8;;18,2;17,5;18,5;18,1;17,8;17,4;96;95;96;;;;
2023/01/02;0600 UTC;0;955,6;955,8;955,4;;18,2;17,5;18,2;18;17,5;17,3;96;96;96;;;;
2023/01/02;0700 UTC;0;955,3;955,6;955,1;;17,7;17;18,3;17,7;17,6;17;96;96;96;;;;
2023/01/02;0800 UTC;0;955,6;955,6;955,3;;17,4;16,8;17,8;17,3;17,2;16,6;96;96;96;;;;
2023/01/02;0900 UTC;0;956;956;955,5;48,1;17,4;16,7;17,5;17,1;16,9;16,4;96;96;96;;;;
2023/01/02;1000 UTC;0;956,4;956,4;956;799,4;20,6;19,8;20,7;17,2;19,9;16,6;96;95;95;;;;
2023/01/02;1100 UTC;0;956,4;956,5;956,3;1692,3;22,8;18,8;23,5;20,6;20,3;18,5;95;77;78;;;;
2023/01/02;1200 UTC;0;956,5;956,5;956,3;2398,6;25,4;19,6;25,4;22,2;20,6;18;85;68;71;;;;
2023/01/02;1300 UTC;0;956,3;956,8;956,3;2793,8;26,2;20;26,5;23,7;20,7;18,3;76;67;69;;;;
2023/01/02;1400 UTC;0;955,6;956,3;955,6;3156,9;27,4;19,9;27,7;25,3;21,6;18,6;73;62;64;;;;
2023/01/02;1500 UTC;0;954,6;955,6;954,6;3457,9;27,9;19;28,9;26,3;22;18,7;73;58;58;;;;
2023/01/02;1600 UTC;0;953,8;954,6;953,8;3298;30;19,5;30,1;27,4;22,3;18,7;68;53;53;;;;
2023/01/02;1700 UTC;0;952,6;953,8;952,6;2092,8;28;20,1;30;27,6;21,8;19;67;53;62;;;;
2023/01/02;1800 UTC;0;952,6;952,9;952,5;1777,9;25,6;17,6;28;24,9;20,5;16,2;68;57;61;;;;
2023/01/02;1900 UTC;0;952,4;952,8;951,7;860,7;22;17,8;26,2;22;18,2;16,3;78;58;77;;;;
2023/01/02;2000 UTC;0;951,6;952,4;951,6;769,8;22,9;19,9;23,1;21,8;20,5;17,9;86;77;83;;;;
2023/01/02;2100 UTC;0;951,7;951,8;951,5;377,7;22,3;19,3;23,1;21,8;20;19;88;78;83;;;;
