REGIAO:;SE
UF:;RJ
ESTACAO:;SAQUAREMA - SAMPAIO CORREIA
CODIGO (WMO):;A667
LATITUDE:;-22,8711111
LONGITUDE:;-42,60888888
ALTITUDE:;26
DATA DE FUNDACAO:;02/09/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1013,9;1013,9;1013,3;;25,1;20,7;25,3;25;20,8;20,7;77;76;77;354;6,3;2,4;
2023/01/01;0100 UTC;0;1013,8;1014;1013,8;;25,2;20,6;25,3;25,1;20,7;20,6;77;75;75;5;8,4;3,5;
2023/01/01;0200 UTC;0;1013,4;1013,8;1013,4;;24,8;20,5;25,2;24,8;20,6;20,5;77;75;77;28;7,5;2,1;
2023/01/01;0300 UTC;0;1012,8;1013,4;1012,8;;24,7;20,5;24,9;24,6;20,6;20,5;78;77;77;17;6,8;2,1;
2023/01/01;0400 UTC;0;1012,2;1012,8;1012,2;;24,4;20,3;24,9;24,4;20,5;20,2;78;76;78;28;4,8;1;
2023/01/01;0500 UTC;0;1011,5;1012,2;1011,5;;22,5;20,3;24,3;22,4;20,5;20,2;88;78;88;350;2,5;,9;
2023/01/01;0600 UTC;0;1011,1;1011,5;1011,1;;21,8;19,9;22,8;21,8;20,4;19,9;89;86;89;256;2,6;1;
2023/01/01;0700 UTC;0;1011,2;1011,2;1011;;22,7;21,1;22,7;21,2;21,1;19,6;91;89;91;331;4;1,5;
2023/01/01;0800 UTC;0;1011,6;1011,6;1011,2;;23,6;20,4;23,8;21,5;21,2;19,2;91;81;82;359;5,3;2;
2023/01/01;0900 UTC;0;1012,2;1012,2;1011,6;126,9;24,1;20,6;24,2;23,7;20,6;20,2;82;80;80;12;8,2;3,3;
