REGIAO:;SE
UF:;SP
ESTACAO:;FRANCA
CODIGO (WMO):;A708
LATITUDE:;-20,58444444
LONGITUDE:;-47,38249999
ALTITUDE:;1002,74
DATA DE FUNDACAO:;12/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;904,7;904,7;903,9;;20,8;18,1;21,7;20,8;18,1;17,5;85;77;85;111;5,8;3,4;
2023/01/01;0100 UTC;0;905;905,1;904,7;;20,8;18;21,1;20,6;18,4;18;86;84;84;107;5,8;3;
2023/01/01;0200 UTC;0;905,1;905,3;905;;20,8;17,7;20,9;20,7;18,1;17,7;84;82;82;109;5,5;3;
2023/01/01;0300 UTC;0;904,8;905,2;904,8;;20,1;17,6;20,9;20,1;17,7;17,5;86;81;86;105;5,6;2,8;
2023/01/01;0400 UTC;0;904,1;904,8;904;;20,3;17,1;20,3;20,1;17,7;17,1;86;82;82;110;6,1;3,1;
2023/01/01;0500 UTC;0;903,4;904,1;903,4;;19,9;16,8;20,4;19,9;17;16,8;83;81;82;159;5,9;1,9;
2023/01/01;0600 UTC;0;903,2;903,4;903,2;;19,3;16,7;20,1;19,3;17,2;16,6;85;81;85;218;4,8;,2;
2023/01/01;0700 UTC;0;903,3;903,3;903,1;;19,2;17,4;19,5;19,2;17,4;16,7;89;85;89;208;4,2;,9;
2023/01/01;0800 UTC;0;903,3;903,4;903,3;;19,1;17,5;19,3;19,1;17,6;17,4;91;89;91;194;3,8;,8;
2023/01/01;0900 UTC;0;903,6;903,6;903,2;;18,8;17,5;19;18,8;17,6;17,5;92;91;92;213;2,7;0;
2023/01/01;1000 UTC;0;904,1;904,1;903,6;180,8;19,5;18,3;19,5;18,6;18,3;17,4;93;92;93;181;1,9;,3;
2023/01/01;1100 UTC;0;904,6;904,6;904,1;752,4;21,8;17,5;21,9;19,5;18,8;17,3;93;76;76;129;4,3;1,8;
2023/01/01;1200 UTC;0;904,8;904,9;904,6;1991,9;23,9;18,1;23,9;21,5;18,1;17;77;67;70;128;6,3;3,2;
2023/01/01;1300 UTC;0;905,2;905,2;904,8;2088,7;23,9;18;24,6;23,7;18,2;16,8;71;64;70;116;5,6;1,7;
2023/01/01;1400 UTC;0;905;905,2;905;2560,7;24,7;18,7;25,3;23,8;18,8;17,5;70;64;69;116;6,4;2,7;
2023/01/01;1500 UTC;0;904,5;905;904,5;3373,7;25,6;17,7;26,7;24,7;18,7;16,2;69;54;62;100;6,5;2,3;
2023/01/01;1600 UTC;0;903,9;904,5;903,9;2339,3;26,9;16,6;27,1;25,6;18;16;62;50;53;70;5,7;1,1;
2023/01/01;1700 UTC;0;902,6;903,9;902,6;2058,7;27,9;15,5;28,6;26,5;17,3;15,5;55;47;47;29;5,7;1,6;
2023/01/01;1800 UTC;0;901,7;902,7;901,7;2132,8;27,9;16,8;29,2;27,5;17,3;15,3;52;44;51;14;6,2;1,4;
2023/01/01;1900 UTC;0;901,5;901,7;901,3;1421,8;27,7;18,3;29;26,7;18,5;16,3;57;51;57;26;8;1,3;
2023/01/01;2000 UTC;0;901,6;901,6;901,2;1345;22,2;16,6;29;22,2;18,7;16,3;71;50;71;204;9;3,4;
2023/01/01;2100 UTC;11,8;902,1;902,3;901,5;154;18,7;17,6;22,2;18,3;18;16,8;94;71;93;225;9,1;1,2;
2023/01/01;2200 UTC;1,8;901,9;902,2;901,9;113,3;19,8;18,6;20;18,7;18,8;17,7;94;92;93;74;5;,2;
2023/01/01;2300 UTC;0;902,1;902,2;901,8;30,1;19,3;16,1;20,3;19,1;18,9;16,1;93;82;82;113;4,6;1,4;
2023/01/02;0000 UTC;0;902,8;902,8;902,1;,2;21,2;16;21,2;19,2;16,3;15,9;83;72;72;123;5,5;1,7;
2023/01/02;0100 UTC;0;903,3;903,5;902,8;;19;16,4;21,3;19;16,5;15,6;85;70;85;161;6;,3;
2023/01/02;0200 UTC;0;903,5;904;903,3;;19,8;16,5;19,9;19;17;16,4;85;81;81;179;4,1;1,9;
2023/01/02;0300 UTC;0;903,1;903,5;903,1;;20,7;16,9;20,8;19,8;17;16,5;82;79;79;135;5,9;2,3;
2023/01/02;0400 UTC;0;902,9;903,4;902,9;;20,8;17;21,1;20,5;17,1;16,8;80;78;79;137;5,6;2,3;
2023/01/02;0500 UTC;0;902,2;902,9;902,2;;20,5;17,4;21;20,4;17,4;17;83;78;83;105;6,9;3,5;
2023/01/02;0600 UTC;0;901,9;902,2;901,9;;20,5;17,6;20,7;20,4;17,6;17,3;83;82;83;112;7,1;2,4;
2023/01/02;0700 UTC;0;902,3;902,3;901,8;;19,8;17,4;20,5;19,8;17,6;17,4;86;83;86;195;5,1;,5;
2023/01/02;0800 UTC;,2;902,1;902,3;901,9;;19,6;17,4;20;19,6;17,7;17,4;87;86;87;160;4,5;1,5;
2023/01/02;0900 UTC;0;902,7;902,7;902,1;;18,8;17,4;19,6;18,6;17,4;16,9;92;87;92;206;4,5;,2;
2023/01/02;1000 UTC;0;903;903,1;902,7;123,1;19,2;18;19,2;18,4;18;17,1;93;92;93;200;1,9;,6;
2023/01/02;1100 UTC;0;903,5;903,5;903;639,2;20,8;17,9;21;19,2;18,9;17,6;93;82;83;150;5,2;2,2;
2023/01/02;1200 UTC;0;903,7;903,7;903,4;1340,8;21,8;17;22,6;20,8;18,1;16,9;83;72;74;119;8,7;4,3;
2023/01/02;1300 UTC;0;903,9;903,9;903,6;1907,7;23,2;17,9;23,4;21,6;18,2;17;77;70;72;126;8,9;4,4;
2023/01/02;1400 UTC;0;903,5;903,9;903,5;3319,4;25;17,8;25,6;23,1;18,6;17;72;63;64;107;9,9;4,3;
2023/01/02;1500 UTC;0;902,6;903,6;902,6;2893,5;26,1;18,3;26,1;24,6;18,6;17,2;67;60;62;92;8,9;3,5;
2023/01/02;1600 UTC;0;901,6;902,5;901,6;1790,4;25,3;17,4;26,2;24,8;18,4;17;65;59;62;90;7,8;3,2;
2023/01/02;1700 UTC;1,2;901,4;901,6;900,9;376,4;22,7;18,7;25,3;22,7;18,8;17,2;78;61;78;63;6,3;1,7;
2023/01/02;1800 UTC;8,2;900,3;901,6;900,3;486;20,5;18,6;22,7;20;19,2;18;91;78;89;32;8,2;1;
2023/01/02;1900 UTC;0;899,3;900,3;899,3;1588,3;23,4;18,4;23,4;20,3;20,8;18,1;91;73;73;73;6,5;1,9;
2023/01/02;2000 UTC;0;898,7;899,3;898,5;673,7;23,8;18,2;24;23,4;18,8;17,9;75;69;71;105;6,3;1,6;
2023/01/02;2100 UTC;0;899,4;899,4;898,6;162,6;23,5;19,1;23,8;23,4;19,1;18,2;77;71;76;153;3,7;,2;
2023/01/02;2200 UTC;0;899,6;899,9;899,4;90,9;22,8;18,7;23,5;22,8;19,1;18,6;79;75;77;124;2,4;0;
2023/01/02;2300 UTC;10,8;900,3;900,6;899,6;4,9;19;17,2;22,8;18,5;19,6;16,6;91;77;90;118;9,1;4,2;
2023/01/03;0000 UTC;0;901,5;901,6;900,3;4,7;19,7;16,6;20,1;19;17,6;16,6;90;81;83;108;9,1;2,9;
2023/01/03;0100 UTC;0;901,9;901,9;901,4;,4;18,9;17,7;19,7;18,8;17,7;16,7;93;83;93;112;8,9;4;
2023/01/03;0200 UTC;0;901,7;901,9;901,7;;19,3;17,8;19,3;18,8;17,8;17,5;93;91;91;120;6,9;3,3;
2023/01/03;0300 UTC;0;901,4;901,8;901,4;;19,4;17,3;19,5;19,3;17,7;17,3;91;88;88;118;5,6;2,8;
2023/01/03;0400 UTC;0;900,6;901,7;900,6;;19,3;17,4;19,8;19,3;17,6;17,1;89;86;89;56;5,7;1,9;
2023/01/03;0500 UTC;0;900,3;900,6;900,2;;19,4;17,3;19,5;19,3;17,6;17,3;89;88;88;81;3,8;2,1;
2023/01/03;0600 UTC;0;899,7;900,3;899,7;;19,2;17,4;19,5;19,2;17,5;17,2;89;88;89;93;3,8;1,7;
2023/01/03;0700 UTC;0;899,5;899,8;899,5;;18,6;17,2;19,2;18,6;17,5;17,2;91;89;91;111;4,3;2,6;
2023/01/03;0800 UTC;0;900;900;899,5;;18,7;17,3;18,7;18,5;17,3;17,1;92;91;92;101;4,4;2,4;
2023/01/03;0900 UTC;0;900,7;900,7;900;;19,2;17,2;19,3;18,7;17,5;17,1;92;88;88;72;4,6;2,2;
2023/01/03;1000 UTC;4,6;901,2;901,2;900,7;116,9;19;17,5;19,5;18,7;17,5;17;91;86;91;96;7,3;3,6;
2023/01/03;1100 UTC;0;902;902;901,2;499,5;19,7;17,7;19,8;19;18,2;17,3;91;88;88;81;9,6;4,9;
2023/01/03;1200 UTC;,2;902,2;902,2;901,9;1648,4;21,7;17,6;22;19,6;18,3;17,4;88;77;77;62;10,1;5,1;
2023/01/03;1300 UTC;0;902,9;902,9;902,2;1638,6;21,8;17,5;22;21,5;17,9;17,1;78;75;77;59;11,4;4,7;
2023/01/03;1400 UTC;0;902,8;903;902,8;1970,4;22,8;18,4;22,8;21,3;18,4;17,3;79;74;77;52;10,7;4;
2023/01/03;1500 UTC;0;902,3;902,8;902,3;2594,7;23,4;16,9;24,3;21,8;18,8;16,9;79;67;67;59;9,6;3,2;
2023/01/03;1600 UTC;0;901,7;902,3;901,7;2671,8;24,7;17,5;25,1;23,3;18,5;16,6;71;62;64;47;7,7;3,8;
2023/01/03;1700 UTC;0;900,6;901,7;900,6;2452,7;25,4;17,6;25,4;23,7;18,3;17;68;62;62;58;9,5;3,8;
2023/01/03;1800 UTC;0;900;900,6;900;2646,3;24,8;17,6;26,6;24,5;19;16,8;65;58;64;41;9,5;3;
2023/01/03;1900 UTC;0;899,4;900;899,4;937,3;23,2;18,6;25;23,2;18,9;17,3;75;64;75;345;7,1;2,1;
2023/01/03;2000 UTC;,2;899,5;899,5;899,1;840,6;20,5;17,3;23,7;20,5;19,2;17,3;82;71;82;14;7,3;3;
2023/01/03;2100 UTC;5,2;899,4;899,6;899,3;113,4;19,6;18,1;20,5;19,4;18,2;17,1;91;82;91;56;7,3;1,8;
2023/01/03;2200 UTC;1;899,6;899,6;899,3;134,1;20;18,2;20,1;19,6;18,6;18;91;89;89;89;5,2;1,4;
2023/01/03;2300 UTC;,2;900,1;900,1;899,6;9,2;19,7;18,3;20,1;19,7;18,4;18,1;91;89;91;109;5;3;
2023/01/04;0000 UTC;,2;901;901;900,1;,6;20;17,8;20;19,6;18,3;17,8;92;87;87;118;5;2,9;
2023/01/04;0100 UTC;,2;901,4;901,4;900,9;;19,9;18,2;20;19,8;18,2;17,8;90;87;90;107;5,8;3,3;
2023/01/04;0200 UTC;0;902;902;901,4;;19,9;18,3;20;19,9;18,3;18,1;90;90;90;109;5,6;3,1;
2023/01/04;0300 UTC;0;901,4;902,1;901,4;;19,8;18,3;20;19,8;18,3;18,2;91;90;91;109;7,3;4,1;
2023/01/04;0400 UTC;,2;900,7;901,4;900,7;;19,5;18,3;19,8;19,5;18,3;18,2;93;91;93;108;7,3;4,3;
2023/01/04;0500 UTC;0;900,2;900,7;900,1;;19,3;17,9;19,5;19,3;18,3;17,9;93;92;92;105;7,5;3,5;
2023/01/04;0600 UTC;0;899,7;900,2;899,7;;19,1;17,6;19,3;19;17,9;17,6;92;91;91;91;6,7;3,4;
2023/01/04;0700 UTC;0;899,6;899,7;899,4;;19,3;17,2;19,3;19;17,6;17,2;91;87;87;84;6,2;2,2;
2023/01/04;0800 UTC;0;899,9;899,9;899,5;;19,1;17,5;19,3;18,8;17,5;16,9;91;87;91;102;5;3;
2023/01/04;0900 UTC;0;900,2;900,2;899,8;;19,5;17,5;19,5;19,1;17,6;17,4;91;88;88;94;6,7;3,5;
2023/01/04;1000 UTC;0;901,1;901,1;900,2;98;20;17,7;20;19,5;17,7;17,4;88;86;87;63;7,3;3;
2023/01/04;1100 UTC;,2;902;902;901,1;186,6;19,6;18;20;19,5;18;17,7;91;87;91;61;9,2;4,1;
2023/01/04;1200 UTC;11,8;902,6;902,7;902;110,2;18;16,9;19,6;17,8;18;16,6;93;91;93;43;10,4;3,6;
