REGIAO:;SE
UF:;SP
ESTACAO:;SAO CARLOS
CODIGO (WMO):;A711
LATITUDE:;-21,980353
LONGITUDE:;-47,883927
ALTITUDE:;859,29
DATA DE FUNDACAO:;04/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;,2;921,1;921,1;920,2;;21,5;19,8;21,5;20,9;19,8;19,1;91;88;90;314;1,7;0;
2023/01/01;0100 UTC;0;921,4;921,5;921,1;;21,1;19,2;21,7;21,1;20;19,2;90;89;89;215;2,6;0;
2023/01/01;0200 UTC;0;921,2;921,5;921,2;;20,8;18,8;21,3;20,8;19,3;18,7;89;88;88;306;0;0;
2023/01/01;0300 UTC;0;920,8;921,2;920,8;;20,6;19;20,9;20,4;19;18,6;90;88;90;353;2,1;,4;
2023/01/01;0400 UTC;0;920;920,8;920;;20,7;18,9;20,7;20,6;19;18,9;90;89;90;355;2,6;0;
2023/01/01;0500 UTC;0;919,5;920;919,5;;20,1;18,4;20,9;20,1;19,1;18,4;90;89;90;311;3,1;0;
2023/01/01;0600 UTC;0;919,6;919,6;919,5;;20,3;18,7;20,3;19,7;18,7;18,2;91;90;90;332;5,9;1,6;
2023/01/01;0700 UTC;0;919,6;919,7;919,4;;19,9;18,2;20,3;19,9;18,7;18,2;90;90;90;54;6,3;1,6;
2023/01/01;0800 UTC;0;919,6;919,7;919,5;;19,4;18;19,9;19,4;18,2;18;92;90;92;356;5,4;1,3;
2023/01/01;0900 UTC;0;920,4;920,4;919,6;14,1;19,5;18;19,5;19,3;18,1;18;92;91;91;351;3,7;1;
2023/01/01;1000 UTC;0;921;921,1;920,4;415,1;21,4;19;21,4;19,4;19,1;18;91;86;86;352;3,7;1,2;
2023/01/01;1100 UTC;0;921,6;921,6;921;1262,6;22;18,4;22,4;21,4;19,3;17,9;86;79;80;38;3,6;1,2;
2023/01/01;1200 UTC;0;921,5;921,7;921,5;2182,5;24,1;19,1;24,5;22;19,8;17,8;80;70;74;347;5,1;1,7;
2023/01/01;1300 UTC;0;921,3;921,5;921,3;2736,7;25,1;18,5;25,9;23,8;20;18;74;67;67;321;5,3;1,1;
2023/01/01;1400 UTC;0;920,8;921,3;920,8;2983,3;26,3;19;27,2;24,4;20;17,8;69;59;64;306;3,9;1,4;
2023/01/01;1500 UTC;0;920,1;920,8;920,1;3051,7;27,6;19,5;28,2;26,1;20;18,2;66;56;61;359;4,6;1,3;
2023/01/01;1600 UTC;0;919;920,1;919;2987;29,4;18,3;29,6;26,8;19,8;17,4;62;51;51;307;5,4;,3;
2023/01/01;1700 UTC;,4;918,3;919,1;918,3;2764,6;28,5;18,8;29,4;26;21,9;17,4;75;51;56;304;6,5;,6;
2023/01/01;1800 UTC;0;917,9;918,4;917,9;2665,4;26;18,7;29,2;25;19,7;17,4;68;53;64;139;9,9;3,1;
2023/01/01;1900 UTC;0;917,6;918;917,6;1688,6;25,3;17,2;26,6;25,2;19,3;16,9;66;60;61;150;7;,6;
2023/01/01;2000 UTC;0;917,1;917,6;917;757,6;26,1;16,1;26,5;25,3;18,3;16,1;61;54;54;129;3,2;,6;
2023/01/01;2100 UTC;0;917,2;917,4;917;445;25,9;16,5;26,6;25,7;16,9;15,8;57;52;56;350;4,2;1,2;
2023/01/01;2200 UTC;0;917,6;917,7;917,1;66;23,9;18,1;25,9;23,9;18,1;16,5;70;56;70;344;4;,7;
2023/01/01;2300 UTC;0;918,1;918,2;917,5;;23,7;18,9;24,1;23,7;19,1;18,1;75;70;74;305;3,3;0;
2023/01/02;0000 UTC;0;919,1;919,2;918,1;;22,3;20;23,7;22,3;20,1;18,7;87;74;87;354;3,8;1,2;
2023/01/02;0100 UTC;0;919,5;919,6;919;;21,4;18,8;22,3;21,4;20;18,8;88;85;85;310;3,4;0;
2023/01/02;0200 UTC;0;919,6;919,8;919,4;;21,2;19;21,6;21,2;19;18,6;87;84;87;219;1,9;0;
2023/01/02;0300 UTC;0;919,3;919,6;919,3;;20,7;18,9;21,3;20,6;19,3;18,8;90;87;90;6;1,4;0;
2023/01/02;0400 UTC;0;918,9;919,3;918,9;;20,2;18,5;20,8;20,2;19;18,5;90;89;90;333;3,6;0;
2023/01/02;0500 UTC;0;918,7;918,9;918,6;;20,5;18,3;20,5;20;18,5;18,2;90;87;87;305;1;0;
2023/01/02;0600 UTC;0;918,5;918,8;918,4;;20,4;17,9;20,5;19,9;18,2;17,7;87;86;86;355;0;0;
2023/01/02;0700 UTC;0;918,5;918,5;918,3;;20,5;17,7;20,6;20,3;18;17,7;86;84;84;360;4,9;1,8;
2023/01/02;0800 UTC;0;918,6;918,6;918,3;;19,5;17,4;20,5;19,5;17,7;17,2;87;84;87;360;6;2,3;
2023/01/02;0900 UTC;0;919;919;918,6;25,1;19,3;17,7;19,5;19,1;17,7;17,3;90;87;90;360;5,1;1,8;
2023/01/02;1000 UTC;0;919,8;919,8;919;360,5;20,5;18,3;20,7;19,3;18,6;17,7;90;87;87;293;5,8;2,3;
2023/01/02;1100 UTC;0;920;920;919,8;1327,3;22,8;19,6;22,8;20,5;19,6;18,4;87;80;82;41;7,2;2,9;
2023/01/02;1200 UTC;0;919,8;920,1;919,8;2098,6;24;19,7;24;22,6;19,7;18,8;82;75;77;7;6,8;1,8;
2023/01/02;1300 UTC;0;919,5;920;919,5;2714,3;24,6;19,1;25,5;23,6;20,4;18,7;77;70;71;6;5,8;2,4;
2023/01/02;1400 UTC;0;918,9;919,5;918,8;2965,6;27,2;21,1;27,2;24,5;21,1;18,9;73;65;69;302;6,6;2,1;
2023/01/02;1500 UTC;0;917,8;918,9;917,8;3485,1;27,3;20,7;27,8;25,8;20,7;18,8;69;61;67;287;7,7;2,1;
2023/01/02;1600 UTC;0;916,3;917,8;916,3;3598,3;28;19,3;28,7;26,6;21,6;18,3;69;58;59;295;5,7;1,8;
2023/01/02;1700 UTC;0;915,3;916,3;915,3;3032,8;26,9;17,7;29,3;25,9;21;17,2;64;55;57;297;11;2,3;
