REGIAO:;SE
UF:;SP
ESTACAO:;SOROCABA
CODIGO (WMO):;A713
LATITUDE:;-23,4261111
LONGITUDE:;-47,58555555
ALTITUDE:;609,33
DATA DE FUNDACAO:;22/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;946,8;946,8;946,1;;21,4;19,3;22,1;21,4;19,5;19;88;83;88;64;3,1;1,8;
2023/01/01;0100 UTC;0;947,2;947,3;946,8;;20,5;18,9;21,4;20,5;19,4;18,7;90;88;90;203;2,9;,7;
2023/01/01;0200 UTC;0;946,9;947,4;946,9;;20,9;19,2;20,9;20,4;19,2;18,9;91;89;90;203;1,7;,1;
2023/01/01;0300 UTC;0;946,3;947;946,3;;19,8;18,6;21,1;19,8;19,3;18,4;93;88;93;183;,8;0;
2023/01/01;0400 UTC;0;945,5;946,3;945,5;;19,9;18,6;20;19,6;18,9;18,5;94;92;92;115;1,9;,9;
2023/01/01;0500 UTC;0;945,4;945,6;945,4;;19,5;18,5;20,1;19,2;18,8;18,1;94;92;94;127;2,5;1,6;
2023/01/01;0600 UTC;0;945,4;945,4;945,3;;19;18;19,5;19;18,5;17,9;94;94;94;180;2,5;1,1;
2023/01/01;0700 UTC;0;945,5;945,6;945,3;;18,9;17,8;19,1;18,8;18;17,8;94;93;94;190;2,2;1,4;
2023/01/01;0800 UTC;0;945,6;945,7;945,4;;19,1;17,9;19,1;18,7;18,1;17,7;94;93;93;257;2,2;,6;
2023/01/01;0900 UTC;0;946,2;946,2;945,6;38,6;19,5;18,4;19,5;18,8;18,5;17,8;94;93;93;145;1,2;0;
2023/01/01;1000 UTC;0;947;947;946,2;441,2;22,2;19,3;22,2;19,4;19,5;18,1;93;83;84;119;1,2;,3;
2023/01/01;1100 UTC;0;947,4;947,4;947;848,9;22,7;18,9;22,7;21,7;19,9;18,7;85;79;79;57;1,8;,6;
2023/01/01;1200 UTC;0;947,8;947,8;947,4;1306,2;23,7;19,4;24,2;22,7;19,8;18,7;79;75;77;296;3,3;1,3;
2023/01/01;1300 UTC;0;947,6;947,9;947,6;2189,1;25,3;19,2;26,3;23,7;20,8;19;78;68;69;9;3,4;1,2;
2023/01/01;1400 UTC;0;947,2;947,6;947,2;3764,9;27,6;20;27,6;25,2;20,7;18,2;71;60;63;2;4,6;1,4;
2023/01/01;1500 UTC;0;946,7;947,2;946,7;3525,6;28;18,9;28,5;26,8;21,4;18,6;67;57;58;280;4,6;1,3;
2023/01/01;1600 UTC;0;945,6;946,7;945,6;3202,4;29,1;19,2;29,4;27,7;20,4;18,3;62;54;55;111;4,5;,4;
2023/01/01;1700 UTC;0;944,4;945,6;944,4;3205,4;29,7;19,2;30;27,8;20,9;18,3;62;52;53;253;3,3;1,7;
2023/01/01;1800 UTC;0;944;944,4;944;2774,4;29,9;18,4;30,7;28,8;19,8;17,7;55;48;50;216;3,3;,6;
2023/01/01;1900 UTC;0;943,4;944;943,4;1274,2;30,3;18,1;30,7;28,9;19,6;17,6;55;47;48;278;2,3;,7;
2023/01/01;2000 UTC;0;942,7;943,4;942,7;1086,4;27,6;20,3;30,7;27,6;20,3;16,9;65;45;64;118;6,8;4,1;
2023/01/01;2100 UTC;0;943,6;943,6;942,5;224,1;26,9;18,9;28;26,9;20,5;18,7;65;61;62;118;6,8;2,9;
2023/01/01;2200 UTC;4,2;944;944,5;943,6;59,8;22,2;18,5;26,9;21,8;20,2;16,9;84;62;79;102;9,8;3,9;
2023/01/01;2300 UTC;,6;945,3;945,3;944;;22,2;20,3;22,4;21,1;20,8;18,6;91;80;89;228;6,2;1,6;
2023/01/02;0000 UTC;0;945,9;946;945,2;;21,6;20,1;22,6;21,6;20,3;19,7;91;84;91;65;3,9;0;
2023/01/02;0100 UTC;0;946,2;946,2;945,7;;21,3;19,4;21,7;21,3;20,2;19,4;91;89;89;147;2,5;1,1;
2023/01/02;0200 UTC;0;946;946,3;946;;21;19;21,3;20,8;19,5;19;91;88;89;129;2,2;,7;
2023/01/02;0300 UTC;0;944,8;946;944,8;;20,3;18,6;21,1;20,1;19;18,4;91;87;90;121;2,4;1,6;
2023/01/02;0400 UTC;0;945;945;944,6;;19,9;18,2;20,3;19,6;18,6;18,2;92;90;90;173;2,9;,7;
2023/01/02;0500 UTC;0;944,6;945,1;944,5;;19,8;17,8;20;19,7;18,3;17,8;90;88;88;187;2;1,1;
2023/01/02;0600 UTC;0;944,3;944,6;944,3;;19,2;17,7;19,8;19,2;17,9;17,6;91;88;91;160;2;1,2;
2023/01/02;0700 UTC;0;944,3;944,4;944,2;;19,1;17,7;19,2;18,9;17,8;17,5;92;91;92;171;3;1,7;
2023/01/02;0800 UTC;0;944,3;944,3;944,2;;19;17,6;19,1;18,7;17,7;17,4;92;91;91;225;3,1;1,3;
2023/01/02;0900 UTC;,2;944,8;944,9;944,2;42,8;19,3;17,8;19,3;18,8;17,8;17,3;92;91;91;252;2,2;1,1;
2023/01/02;1000 UTC;0;945,3;945,3;944,8;461;21,8;19,1;21,8;19,3;19,2;17,8;91;85;85;213;1,5;0;
2023/01/02;1100 UTC;0;945,5;945,6;945,3;1310,2;23,1;19,1;23,2;21,8;19,5;18,5;85;78;78;5;3,6;2,3;
2023/01/02;1200 UTC;0;945,5;945,5;945,3;2246;25;19,2;25,2;23;20,2;18,8;80;70;70;352;7;2,9;
2023/01/02;1300 UTC;0;945,2;945,5;945,1;2659,1;26,1;20,6;26,1;24,5;20,6;18,3;74;68;71;8;5,4;2,6;
2023/01/02;1400 UTC;0;944,7;945,2;944,7;2436,4;26,7;19,5;26,9;25,5;20,7;19,2;72;64;65;314;5,9;2,5;
2023/01/02;1500 UTC;0;943,9;944,7;943,8;3494,1;27,6;19,7;28,4;26,5;21;19;69;59;62;316;5,1;2,2;
2023/01/02;1600 UTC;0;942,7;943,9;942,7;3604,1;28,6;19,9;28,9;27,2;21,2;18,8;65;56;59;320;5,2;1,9;
2023/01/02;1700 UTC;0;941,4;942,7;941,4;3485,7;29,5;18,5;30;28,5;21,3;18,5;61;51;52;293;4,3;1,6;
2023/01/02;1800 UTC;0;940,2;941,4;940,2;3167,4;30,2;19,2;30,7;28,9;20,2;18,1;58;49;52;62;4,1;1,3;
2023/01/02;1900 UTC;0;939;940,1;939;2717,4;30,4;16,8;31,2;29,7;19,7;16,4;54;43;44;282;4,4;1,5;
2023/01/02;2000 UTC;0;938,9;939;938,9;1179;30;19;30,9;29,5;19;15,8;52;40;52;20;3,9;0;
2023/01/02;2100 UTC;0;939,2;939,2;938,7;597;29,1;18,4;30,1;29,1;19,5;17,6;54;48;52;302;1,3;0;
2023/01/02;2200 UTC;0;939,7;939,8;939,2;98,2;26,7;18,8;29,1;26,7;20,1;18,3;63;52;62;257;4,4;1,2;
2023/01/02;2300 UTC;0;941;941,1;939,6;;24,5;19,2;26,7;24,4;19,7;18,4;75;61;72;116;5,8;3,1;
2023/01/03;0000 UTC;0;942,2;942,3;941;;22,9;17,4;24,6;22,9;19,2;17,2;72;66;71;118;6,4;1,2;
2023/01/03;0100 UTC;2,4;942,8;942,8;942,2;;21,9;19,6;22,9;21,1;20;17,1;90;71;87;41;6;1,9;
2023/01/03;0200 UTC;0;943;943;942,8;;21,4;19,9;21,9;21,3;19,9;19,4;91;86;91;81;4;,2;
2023/01/03;0300 UTC;4,6;942,5;943,2;942,5;;21,3;19,8;21,7;20,9;20,1;19,4;91;90;91;8;7,1;2,4;
2023/01/03;0400 UTC;0;941,3;942,5;941,3;;20,7;19,3;21,3;20,7;19,8;19,2;92;90;92;55;3,7;1;
2023/01/03;0500 UTC;0;940,5;941,3;940,5;;20,3;19,1;20,7;20,3;19,3;19;93;91;93;67;1,8;0;
