REGIAO:;SE
UF:;SP
ESTACAO:;PIRACICABA
CODIGO (WMO):;A726
LATITUDE:;-22,70305555
LONGITUDE:;-47,62333332
ALTITUDE:;566,46
DATA DE FUNDACAO:;26/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;,2;950,8;951,1;950,5;;21,5;20,6;22,1;21;21,7;20;100;89;94;67;6,3;2,3;
2023/01/01;0100 UTC;0;951,1;951,1;950,7;;21,1;20,9;21,7;21,1;20,9;20,5;99;93;99;58;5,2;,9;
2023/01/01;0200 UTC;0;951,1;951,3;951,1;;21;20,9;21,2;20,9;21,1;20,8;100;99;99;352;2,2;,1;
2023/01/01;0300 UTC;0;950,6;951,1;950,5;;21,2;21;21,3;20,9;21,1;20,8;100;98;99;151;2,8;2;
2023/01/01;0400 UTC;0;949,7;950,6;949,7;;20,6;20,4;21,3;20,5;21;20,3;99;96;99;87;2,8;1,3;
2023/01/01;0500 UTC;0;949,4;949,8;949,4;;20,5;20,2;20,6;20,5;20,4;20,2;99;98;98;78;2,5;1,3;
2023/01/01;0600 UTC;0;949,4;949,4;949,3;;20,9;20,5;20,9;20,5;20,5;20,2;98;98;98;79;2,4;,9;
2023/01/01;0700 UTC;0;949,4;949,5;949,4;;20,7;20,3;20,9;20,7;20,6;20,3;98;98;98;75;2,1;1;
2023/01/01;0800 UTC;0;949,8;949,8;949,4;;20,4;20;20,7;20,3;20,3;20;98;98;98;72;2,8;1,5;
2023/01/01;0900 UTC;0;950,7;950,7;949,8;56,3;20,7;20,3;20,7;20,4;20,3;20;98;97;97;56;2,6;,5;
2023/01/01;1000 UTC;0;951,4;951,4;950,7;352,9;22,2;21,8;22,2;20,7;21,8;20,3;98;97;98;56;1,5;,8;
2023/01/01;1100 UTC;0;951,7;951,7;951,4;1297,8;24,5;20,1;24,5;22,1;22,3;19,3;98;75;76;18;3,5;1,4;
2023/01/01;1200 UTC;0;951,7;951,8;951,6;2282,8;25,8;19,5;26;24,5;20,4;18,7;76;65;68;357;5,4;2,7;
2023/01/01;1300 UTC;0;951,5;951,8;951,5;2744;26,8;18,6;27,6;25,6;20,7;18,6;72;60;61;13;5,1;1,3;
2023/01/01;1400 UTC;0;951,1;951,5;951,1;2499,1;27,9;19,9;28,6;26,4;20,7;18,4;66;57;62;103;3,7;1,9;
2023/01/01;1500 UTC;0;950,6;951,1;950,6;3971,7;27,8;19;29,3;27,8;21,1;18,2;64;52;59;138;4,2;1,7;
2023/01/01;1600 UTC;0;949,7;950,6;949,7;1941;28;19,4;29,3;27,6;20,5;18,6;62;55;60;145;5,5;1,1;
2023/01/01;1700 UTC;1,4;949,6;949,7;949,3;252,2;20,3;17,9;28;20,3;21,5;17,8;89;60;86;83;10,2;2,9;
2023/01/01;1800 UTC;8,8;948,4;949,7;948,4;1536,7;24,4;22,2;24,4;19,5;23;17,8;100;86;87;20;7,8;1,1;
2023/01/01;1900 UTC;0;947,8;948,4;947,8;2557,8;27,3;20,8;28,2;24,4;21,9;19,3;88;59;68;86;3;1,3;
2023/01/01;2000 UTC;0;946,9;947,8;946,9;1292,9;27,7;19,9;27,8;26,8;21,6;19,7;72;61;63;18;2,2;,2;
2023/01/01;2100 UTC;0;947,7;947,7;946,8;530,1;26,4;21,3;27,7;26,4;21,3;19,4;73;61;73;47;2,2;,8;
2023/01/01;2200 UTC;0;947,7;947,7;947,5;74;25,9;20,1;26,4;25,4;21,2;20;74;69;71;97;2,3;1,3;
