REGIAO:;SE
UF:;SP
ESTACAO:;JOSE BONIFACIO
CODIGO (WMO):;A735
LATITUDE:;-21,08555555
LONGITUDE:;-49,92027777
ALTITUDE:;408,35
DATA DE FUNDACAO:;03/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;966,7;966,7;965,9;;24,2;21,7;24,4;23,8;22,2;21,7;89;86;86;124;3,3;1,4;
2023/01/01;0100 UTC;0;966,7;966,8;966,6;;24,1;21,6;24,6;24;21,8;21,6;87;84;86;79;4,8;2,4;
2023/01/01;0200 UTC;0;967,1;967,3;966,7;;23,9;21,4;24,7;23,8;21,7;21;88;80;86;14;5,6;2,3;
2023/01/01;0300 UTC;0;966,4;967,1;966,4;;23,4;21,4;23,9;23,2;21,4;21,1;89;86;89;23;3,7;,9;
2023/01/01;0400 UTC;0;965,9;966,4;965,9;;22,7;21,3;23,4;22,7;21,5;21,2;92;89;92;286;1,9;,7;
2023/01/01;0500 UTC;0;965,5;965,9;965,5;;22,3;21,3;22,7;22,1;21,4;21;94;92;94;98;1,3;,5;
2023/01/01;0600 UTC;0;965,3;965,6;965,3;;22,6;21,5;22,8;22,3;21,7;21,3;94;94;94;120;3,1;1,4;
2023/01/01;0700 UTC;0;965,3;965,3;965,1;;22,2;21,2;22,7;22,2;21,7;21,2;94;94;94;117;2,3;,4;
2023/01/01;0800 UTC;0;965,5;965,5;965,3;;21,9;21,1;22,2;21,8;21,3;21;95;94;95;84;1,6;,9;
2023/01/01;0900 UTC;0;966,2;966,2;965,5;13,3;21,8;21,1;22;21,5;21,2;20,7;96;95;96;45;1,6;,3;
2023/01/01;1000 UTC;0;966,7;966,7;966,2;414,4;23,5;22;23,6;21,8;22,6;21,1;96;91;91;102;2,2;1,2;
2023/01/01;1100 UTC;0;967,1;967,1;966,7;1288,8;25,4;21,6;25,5;23,5;22,2;21,5;91;80;80;62;3,7;1,7;
