REGIAO:;SE
UF:;SP
ESTACAO:;BRAGANCA PAULISTA
CODIGO (WMO):;A744
LATITUDE:;-22,95194444
LONGITUDE:;-46,53055554
ALTITUDE:;891
DATA DE FUNDACAO:;20/12/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;916,5;916,8;916,5;;20,1;20,1;20,4;20,1;20,4;20;100;100;100;147;4;,1;
2023/01/01;0100 UTC;0;916,9;916,9;916,5;;20,1;20,1;20,1;20;20,1;20;100;100;100;8;3,9;,2;
2023/01/01;0200 UTC;0;916,8;917;916,8;;19,7;19,7;20,1;19,6;20;19,6;100;100;100;291;2,4;,2;
2023/01/01;0300 UTC;0;916,2;916,9;916,2;;19,4;19,4;19,8;19,3;19,8;19,3;100;100;100;307;2,4;,1;
2023/01/01;0400 UTC;0;915,8;916,2;915,8;;20,2;18,8;20,2;19,4;19,8;18,7;100;92;92;125;2,7;0;
2023/01/01;0500 UTC;0;915,2;915,8;915,2;;19,9;18,2;20,2;19,9;18,9;18,1;93;88;90;131;3,7;,1;
2023/01/01;0600 UTC;0;915;915,2;914,9;;19,8;17,5;19,9;19,6;18,3;17,3;92;85;86;145;4,2;,1;
2023/01/01;0700 UTC;0;915,3;915,4;915;;19,4;17,3;19,9;19,4;17,5;17,2;88;85;88;135;3,6;0;
2023/01/01;0800 UTC;0;915,5;915,6;915,2;;18,9;17,3;19,4;18,9;17,5;17,2;91;87;91;145;1,3;0;
2023/01/01;0900 UTC;0;916;916;915,5;43,6;18,9;18;19;18,8;18;16,9;94;88;94;306;0;0;
2023/01/01;1000 UTC;0;916,6;916,6;915,9;179,4;21,1;17,1;21,1;18,9;18,1;16,7;95;77;78;116;2,1;0;
2023/01/01;1100 UTC;0;917;917;916,6;770,9;22;16,8;22,1;21;17,5;16,2;79;70;72;166;2,8;,8;
2023/01/01;1200 UTC;0;917,5;917,5;917;1433,5;23,5;16,7;23,7;22;18,1;16,6;75;65;65;114;2,7;,7;
2023/01/01;1300 UTC;0;917,4;917,6;917,4;2467,4;24,3;17;25,2;23,2;18;15,9;68;58;64;95;2,8;,8;
2023/01/01;1400 UTC;0;916,9;917,4;916,9;3061,7;26;17,5;26,2;24,2;18,7;16,5;66;57;59;327;6,3;1;
2023/01/01;1500 UTC;0;916,4;916,9;916,4;2429,8;26,9;18,7;27,2;25,9;19,1;17,1;63;56;61;319;6,3;1,4;
2023/01/01;1600 UTC;0;915,6;916,4;915,6;2894;26,9;18,4;27,7;25,7;19,3;17,8;63;56;60;280;6,5;1,9;
2023/01/01;1700 UTC;0;914,5;915,6;914,5;2753,1;26,8;18,1;28,6;26,8;19,6;17,3;62;53;59;186;5,6;1,3;
2023/01/01;1800 UTC;0;914,4;914,6;914,3;768,5;24,6;18,1;27,3;24,6;19,7;17,8;68;59;67;140;6;,3;
2023/01/01;1900 UTC;0;913,7;914,4;913,6;604,9;23,4;18,9;24,6;23,3;19,6;18;79;67;76;201;4,1;,3;
2023/01/01;2000 UTC;1,6;914,3;914,6;913,7;183,8;18,8;17,3;23,5;17,7;19,7;16;97;76;91;149;16,9;,5;
2023/01/01;2100 UTC;0;914,1;914,6;913,8;308,9;20;19,3;20;18,6;19,4;17,4;100;91;96;176;4,2;,7;
2023/01/01;2200 UTC;0;915,1;915,2;914;78,2;19,4;19,4;20,1;19,2;19,8;18,7;100;93;100;237;3,6;,7;
2023/01/01;2300 UTC;0;915,1;915,3;914,7;;19,8;18,9;20,1;19,4;19,5;18,5;100;90;95;233;4,3;,5;
2023/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0100 UTC;0;915,8;916;915,3;;19,4;19,4;20;19,3;19,6;19,2;100;95;100;262;3,9;1,2;
2023/01/02;0200 UTC;0;915,8;916;915,5;;19,4;19,4;19,7;19,3;19,7;19,3;100;99;100;246;5,9;2,8;
2023/01/02;0300 UTC;0;915,1;915,8;915,1;;19;19;19,4;18,9;19,4;18,9;100;100;100;224;5,9;,5;
2023/01/02;0400 UTC;0;914,2;915,1;914,1;;18,9;18,9;19,1;18,7;19,1;18,7;100;100;100;203;3,5;1,4;
2023/01/02;0500 UTC;0;914,6;914,6;914,2;;19,6;17,5;19,8;18,8;19;17,5;100;88;88;145;3,6;,1;
2023/01/02;0600 UTC;0;914,1;914,6;914,1;;19,4;17,8;19,6;19,3;18;17,4;92;87;90;137;2,9;,1;
2023/01/02;0700 UTC;0;914,3;914,3;913,9;;18,7;18,1;19,5;18,7;18,1;17,3;96;88;96;125;2,9;,1;
2023/01/02;0800 UTC;0;914,4;914,4;914,1;;19,2;17,2;19,3;18,7;18,1;17,1;96;88;89;151;2,4;,2;
2023/01/02;0900 UTC;0;914,7;914,7;914,3;34,9;19,6;17,2;19,6;19,2;17,2;17;89;86;86;137;2,5;,1;
