REGIAO:;SE
UF:;SP
ESTACAO:;DRACENA
CODIGO (WMO):;A762
LATITUDE:;-21,45777777
LONGITUDE:;-51,55222222
ALTITUDE:;720
DATA DE FUNDACAO:;03/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;968,8;968,8;967,8;;26;22,4;26,7;26;22,5;21,7;81;74;81;95;6,6;3,5;
2023/01/01;0100 UTC;0;969,3;969,4;968,8;;25,3;23,7;26;25,3;23,7;22,3;90;80;90;88;6,8;4,1;
2023/01/01;0200 UTC;0;969,6;969,6;969,2;;24,6;24,6;25,3;24,6;25,1;23,8;100;90;100;73;6,4;3,2;
2023/01/01;0300 UTC;0;969,8;970,1;969,6;;24,5;24,5;24,8;24,4;24,9;24,4;100;100;100;29;5,1;2,6;
2023/01/01;0400 UTC;0;968,9;969,8;968,9;;24,2;24,2;24,5;23,9;24,4;23,9;100;100;100;79;4,3;1,6;
2023/01/01;0500 UTC;0;968,1;968,9;968,1;;24,1;24,1;24,2;24,1;24,2;24,1;100;100;100;95;4,4;2,7;
2023/01/01;0600 UTC;0;967,8;968,1;967,8;;23,4;23,4;24,1;23,4;24,1;23,4;100;100;100;70;4,5;2,1;
2023/01/01;0700 UTC;0;967,8;967,8;967,7;;22,9;22,9;23,4;22,9;23,4;22,9;100;100;100;82;3,8;2;
2023/01/01;0800 UTC;0;968,4;968,4;967,8;;22,5;22,5;22,9;22,5;22,9;22,5;100;100;100;73;3,7;2;
2023/01/01;0900 UTC;0;968,8;968,8;968,4;6,7;22,2;22,2;22,5;22,2;22,5;22,2;100;100;100;81;3,7;2,1;
2023/01/01;1000 UTC;0;969,3;969,3;968,8;339,5;23,8;23,8;23,8;22,2;23,8;22,2;100;100;100;73;4,6;2,5;
2023/01/01;1100 UTC;0;969,9;969,9;969,3;1118,7;25,7;23;25,7;23,8;24,4;22,5;100;83;85;37;5,2;2,8;
2023/01/01;1200 UTC;0;970,5;970,5;969,9;1796,5;27,4;22;27,8;25,7;23,7;21,8;86;71;73;58;6,6;4;
2023/01/01;1300 UTC;0;970,5;970,7;970,5;2415,7;29,2;22,4;29,2;27,4;23,1;21,3;75;65;67;34;7,2;4;
2023/01/01;1400 UTC;0;970,3;970,6;970,2;3167,6;30,3;22;30,5;29;23;21,7;67;61;61;3;8,2;3,9;
2023/01/01;1500 UTC;0;969,7;970,3;969,7;3802;31;22,1;31,8;30;23,4;21,5;64;57;59;2;7,4;3,6;
2023/01/01;1600 UTC;0;968,7;969,7;968,7;3815,9;32,2;21,4;32,3;30,7;22,9;20,9;62;51;53;43;6,1;2,8;
2023/01/01;1700 UTC;0;967,7;968,7;967,7;3781,6;32,1;21,8;33;31,9;23;21,2;57;53;54;7;7,9;3,1;
2023/01/01;1800 UTC;0;966,7;967,7;966,7;2171,9;32,5;22,1;32,6;32;22,3;20,2;56;49;54;24;6,4;2,3;
2023/01/01;1900 UTC;0;966,2;966,7;966;2725,9;32,8;20,7;33,8;32,2;22,8;20,1;54;47;49;25;;1,9;
2023/01/01;2000 UTC;0;966,4;966,4;965,8;537,9;29,6;22,3;33,2;29,6;22,9;20,8;65;49;65;28;6,6;3,3;
2023/01/01;2100 UTC;5,8;966;966,7;965,9;384,6;24;24;29,6;23,5;24,4;20,5;100;65;100;288;7,7;2,4;
2023/01/01;2200 UTC;,2;966,3;966,3;965,7;387,2;25,8;23,4;26,2;23,9;25;21,1;100;74;86;76;5,8;1,3;
2023/01/01;2300 UTC;0;966,9;966,9;966,1;9,2;24,5;20,8;25,8;24,5;25,4;20,2;100;75;80;92;5,1;1,3;
2023/01/02;0000 UTC;0;967,6;967,6;966,9;;24;23;24,5;23,7;23,9;20,7;100;79;94;114;2,6;2,2;
2023/01/02;0100 UTC;0;967,8;967,9;967,6;;24,4;23,7;24,6;23,7;24,1;21,8;100;85;96;91;3,4;2,2;
2023/01/02;0200 UTC;0;967,9;968,1;967,6;;24;23,6;24,6;24;24;22,3;98;87;98;82;6,8;3,6;
2023/01/02;0300 UTC;0;968,4;968,5;967,9;;23;23;24;22,9;23,8;22,9;100;98;100;331;5,6;1,4;
2023/01/02;0400 UTC;0;967,4;968,5;967,4;;22,6;22,6;23,4;22,6;23,4;22,6;100;100;100;84;2,8;,6;
2023/01/02;0500 UTC;0;966,8;967,5;966,8;;22,5;22,5;22,7;22,1;22,7;22,1;100;100;100;106;3,6;1,5;
2023/01/02;0600 UTC;0;966,5;966,8;966,5;;22,9;22,9;23,1;22,4;23,1;22,4;100;100;100;96;3,4;2;
2023/01/02;0700 UTC;0;967,1;967,3;966,5;;23;23,1;23,2;22,9;23,2;23;100;100;100;68;3,4;,5;
2023/01/02;0800 UTC;0;967,4;967,4;967,1;;22,3;22,3;23,1;22,3;23,1;22,3;100;100;100;138;1,4;,7;
2023/01/02;0900 UTC;0;967,5;967,6;967,4;6,6;22,2;22,2;22,4;22;22,4;22;100;100;100;120;1,8;1,2;
2023/01/02;1000 UTC;0;968;968;967,5;364,6;25,1;25;25,1;22,1;25;22,1;100;93;99;108;3,7;2,1;
2023/01/02;1100 UTC;0;968,3;968,4;967,9;971,8;26,7;24,7;26,7;25,1;26;23,1;99;84;89;93;4,1;2,3;
2023/01/02;1200 UTC;0;968,5;968,6;968,3;2120,2;28,5;23,7;28,7;26,8;25;23,1;90;73;76;58;4,9;3;
2023/01/02;1300 UTC;0;968,1;968,5;968,1;2067,2;29,3;23,8;29,4;28;24,8;23,3;81;70;72;70;5,3;2,7;
2023/01/02;1400 UTC;0;967,6;968,1;967,6;2412;30,2;23,4;30,6;29,2;24,6;22,9;74;65;67;24;4,9;2,6;
2023/01/02;1500 UTC;0;966,7;967,6;966,6;2998,4;31,2;23,4;31,4;30,2;24;22,5;69;61;63;5;7,2;3,4;
2023/01/02;1600 UTC;0;965,4;966,7;965,3;2894,6;31,4;24;31,8;30,8;24,2;22,7;66;60;65;355;6,5;3,3;
2023/01/02;1700 UTC;0;964,4;965,4;964,4;1786,9;30,7;22,3;31,4;30,4;23,9;22,1;68;60;61;346;7,5;4,7;
2023/01/02;1800 UTC;5,4;967,3;967,4;964,4;247,2;21,4;21,4;30,8;21,2;23,2;20,3;100;61;100;246;20,2;9,3;
2023/01/02;1900 UTC;,6;966,7;967,3;966,5;37,2;21;21;21,4;21;21,4;21;100;100;100;209;16,6;4,2;
2023/01/02;2000 UTC;,8;965,8;966,7;965,8;60,9;20,8;20,8;21,1;20,8;21,1;20,8;100;100;100;222;8,9;2,2;
2023/01/02;2100 UTC;,6;965,3;965,8;965,2;117,9;21,2;21,2;21,3;20,8;21,3;20,8;100;100;100;91;4;1,9;
2023/01/02;2200 UTC;,2;965,6;965,7;965,3;51,3;21,2;21,2;21,3;21,2;21,3;21,2;100;100;100;85;3,6;2,2;
2023/01/02;2300 UTC;0;966;966,1;965,6;,9;21;21;21,2;21;21,2;21;100;100;100;49;4,4;2,6;
2023/01/03;0000 UTC;0;967,3;967,3;966;;21;21;21;21;21;21;100;100;100;309;5,2;,3;
2023/01/03;0100 UTC;,2;967;967,3;966,9;;20,9;20,9;21;20,9;21;20,9;100;100;100;32;2,6;1,6;
2023/01/03;0200 UTC;0;966,5;967;966,5;;20,7;20,7;20,9;20,7;20,8;20,7;100;100;100;75;2,9;1,7;
2023/01/03;0300 UTC;0;966,2;966,5;966,2;;20,5;20,5;20,7;20,4;20,6;20,4;100;100;100;174;2,7;,9;
2023/01/03;0400 UTC;0;965,7;966,2;965,7;;20,5;20,5;20,6;20,5;20,6;20,5;100;100;100;304;1,6;,7;
2023/01/03;0500 UTC;0;964,6;965,7;964,6;;20,5;20,5;20,6;20,5;20,6;20,5;100;100;100;22;1,6;1,2;
2023/01/03;0600 UTC;0;965;965;964,4;;20,7;20,7;20,7;20,5;20,7;20,5;100;100;100;31;4,8;2,5;
2023/01/03;0700 UTC;0;965,1;965,2;965;0;20,8;20,8;20,8;20,6;20,8;20,6;100;100;100;359;5,9;3,1;
2023/01/03;0800 UTC;0;965,5;965,5;965;;21,4;21,4;21,5;20,8;21,5;20,8;100;100;100;349;6;3,2;
2023/01/03;0900 UTC;0;965,9;966;965,5;5,1;20,9;20,9;21,4;20,9;21,4;20,9;100;100;100;88;5,4;1;
2023/01/03;1000 UTC;0;966,5;966,5;965,9;329,5;22,9;22,9;22,9;20,8;22,9;20,8;100;100;100;97;2,3;,5;
2023/01/03;1100 UTC;0;967,4;967,4;966,5;665,4;23,3;23,3;23,3;22,7;23,3;22,7;100;100;100;55;2,4;,8;
2023/01/03;1200 UTC;0;967,9;967,9;967,4;752,3;24,1;24;24,1;23,3;24,1;23,3;100;96;99;322;3,3;1,4;
2023/01/03;1300 UTC;0;968,4;968,4;967,9;993,9;24,8;23,8;24,8;24;24,5;22,6;100;89;94;331;3,9;1,7;
2023/01/03;1400 UTC;0;968,4;968,6;968,3;1344,6;25,6;23,5;25,9;24,5;24,8;22,4;100;83;88;23;5,7;3,5;
2023/01/03;1500 UTC;0;967,7;968,4;967,6;3433,5;27;22,1;27,2;25,5;23,6;21;89;70;74;330;5,7;1,6;
2023/01/03;1600 UTC;0;966,7;967,7;966,7;2312,3;27,4;22,8;27,7;26,5;23,1;20,9;79;69;76;337;4,5;2;
2023/01/03;1700 UTC;0;965,1;966,7;965,1;3060,4;28,9;21,9;29;27,5;22,9;21;76;65;66;306;5,1;2,1;
2023/01/03;1800 UTC;0;964;965,1;964;2890,6;30;21,6;30;28,6;23,3;20,8;69;59;61;285;4,2;1,7;
2023/01/03;1900 UTC;1,4;962,8;964;962,8;1898,7;29,2;21,4;30;26,8;25,6;20,9;94;59;63;51;4,7;1,5;
2023/01/03;2000 UTC;0;962,3;962,8;962,3;1403,7;29;21,7;30,1;29;22,9;21;67;59;65;8;4;2,2;
2023/01/03;2100 UTC;0;962,4;962,4;962,3;756,2;28,7;22,1;29,9;28,7;22,3;21;68;60;68;27;3,9;1,4;
2023/01/03;2200 UTC;0;962,8;962,9;962,4;185,5;27,1;23,3;28,7;27;23,9;22,1;82;68;80;79;2,5;1,6;
2023/01/03;2300 UTC;0;963,9;963,9;962,8;;26,1;25;27,1;26,1;25,2;23;94;79;94;69;2,9;1,8;
2023/01/04;0000 UTC;1,6;965,4;965,4;963,9;;22,7;22,7;26,1;22,3;25,3;21,5;100;81;100;347;11,4;5,4;
2023/01/04;0100 UTC;1,4;966,7;966,7;965,4;;22,3;22,3;22,7;21,8;22,6;21,8;100;100;100;188;8,2;3,2;
2023/01/04;0200 UTC;,6;966,1;966,8;966,1;;22,8;22,8;22,8;22,3;22,8;22,3;100;100;100;150;5,3;1,9;
2023/01/04;0300 UTC;0;965,7;966,1;965,7;;22,6;22,6;22,9;22,6;22,9;22,6;100;100;100;69;4;2,6;
2023/01/04;0400 UTC;5,2;965;966,1;965;,8;21,7;21,7;22,6;21,4;22,6;21,4;100;100;100;58;8,4;3,7;
2023/01/04;0500 UTC;1,8;964,4;965;964,4;;21,4;21,4;21,8;21,4;21,8;21,4;100;100;100;41;7,5;2,8;
2023/01/04;0600 UTC;,6;964,2;964,4;964,1;;21,4;21,4;21,4;21,3;21,4;21,3;100;100;100;41;5;1,8;
2023/01/04;0700 UTC;,4;964,2;964,2;963,9;,4;21,3;21,3;21,4;21,3;21,4;21,3;100;100;100;24;6,2;3,6;
2023/01/04;0800 UTC;,4;964,4;964,4;964,2;,6;21,7;21,7;21,7;21,3;21,7;21,3;100;100;100;4;6,2;3,1;
2023/01/04;0900 UTC;,4;964,8;964,8;964,3;2,4;21,9;21,9;21,9;21,7;21,9;21,7;100;100;100;345;6,1;2,8;
2023/01/04;1000 UTC;,4;965,1;965,1;964,8;73,9;22,1;22,1;22,1;21,7;22,1;21,8;100;100;100;9;4,4;2,9;
2023/01/04;1100 UTC;1,2;965,7;965,7;965,1;424,7;23,1;23,1;23,2;22,1;23,2;22,1;100;100;100;2;8;4,8;
2023/01/04;1200 UTC;0;966;966;965,7;490,4;23,5;23,5;23,5;23,1;23,5;23,1;100;100;100;348;8;4,3;
2023/01/04;1300 UTC;0;966,1;966,1;965,9;1123,4;24,3;24,3;24,8;23,4;24,8;23,4;100;96;100;346;10,4;6,1;
2023/01/04;1400 UTC;1,4;966;966,1;965,9;1552,4;25;25;25,8;23,4;25,3;23,2;100;88;100;332;9,5;5;
2023/01/04;1500 UTC;0;965,7;966;965,6;1247,5;25;25;26;25;25,4;23,3;100;85;100;327;8,2;3,9;
2023/01/04;1600 UTC;,2;965,2;965,7;965,1;1550,8;24,2;23,6;25,2;24;25,2;22,5;100;89;96;338;8,7;4,3;
2023/01/04;1700 UTC;,4;964,5;965,2;964,5;454,7;23,8;23,8;24,3;23,5;24,3;23,4;100;95;100;250;7,3;2,9;
2023/01/04;1800 UTC;6,2;964,2;964,5;964,2;399,7;23,2;23,2;23,9;22,2;23,9;22,2;100;100;100;304;9,9;3,1;
2023/01/04;1900 UTC;,2;963,7;964,2;963,7;1014,2;24,1;24,1;24,3;23,2;24,3;23,2;100;99;100;287;7,5;3,4;
2023/01/04;2000 UTC;0;963,1;963,7;963,1;870;24,2;24,2;24,7;24,1;24,6;23,4;100;93;100;286;6,3;3,1;
2023/01/04;2100 UTC;0;963,6;963,6;962,9;399,3;23,8;23,6;24,3;23,8;24,3;23,6;100;97;99;301;7;3,7;
2023/01/04;2200 UTC;0;964,4;964,4;963,6;80,2;22,7;22,7;23,8;22,7;23,6;22,7;100;95;100;320;7;2,5;
2023/01/04;2300 UTC;0;964,9;964,9;964,4;1;22,1;22,1;22,7;22,1;22,7;22,1;100;100;100;327;4,9;2,7;
2023/01/05;0000 UTC;,2;965,8;965,8;964,9;;21,4;21,4;22,1;21,4;22,1;21,4;100;100;100;311;4,3;1,2;
2023/01/05;0100 UTC;0;966,4;966,4;965,7;;21,5;21,5;21,5;21,4;21,5;21,4;100;100;100;278;3,3;1,8;
2023/01/05;0200 UTC;0;966,5;966,7;966,4;;21,7;21,7;21,7;21,5;21,7;21,5;100;100;100;273;3,7;1,1;
2023/01/05;0300 UTC;0;966,3;966,5;966,3;;21,8;21,8;21,9;21,7;21,9;21,7;100;100;100;258;2,5;1;
2023/01/05;0400 UTC;0;965,9;966,3;965,9;;21,5;21,5;21,9;21,5;21,9;21,5;100;100;100;197;4,2;2,4;
2023/01/05;0500 UTC;0;965,5;965,9;965,5;;21,3;21,3;21,5;21,3;21,5;21,3;100;100;100;189;3,9;1,7;
2023/01/05;0600 UTC;0;965;965,5;965;;20,8;20,8;21,3;20,8;21,3;20,8;100;100;100;185;5,8;3,7;
2023/01/05;0700 UTC;0;965;965,1;964,9;,4;19,3;19,3;20,8;19,3;20,8;19,3;100;100;100;154;10,6;4,1;
2023/01/05;0800 UTC;0;965,3;965,3;964,9;;19;19;19,3;19;19,3;19;100;100;100;151;9,4;4,2;
2023/01/05;0900 UTC;0;965,9;965,9;965,3;2,7;19;19;19,1;19;19,1;19;100;100;100;132;7,6;4;
2023/01/05;1000 UTC;0;966,6;966,6;965,9;120,8;19,4;19,4;19,4;19;19,4;19;100;100;100;124;7,3;3,5;
2023/01/05;1100 UTC;0;967,1;967,2;966,6;443,4;19,5;19,5;19,9;19,3;19,9;19,3;100;100;100;119;6,8;4,1;
2023/01/05;1200 UTC;,2;967,8;967,8;967,1;641,7;19,8;19,8;19,8;19,4;19,8;19,4;100;100;100;135;6,7;3,7;
2023/01/05;1300 UTC;0;968,2;968,2;967,8;989,7;20,8;20,8;20,8;19,8;20,8;19,9;100;100;100;128;6,7;3,4;
2023/01/05;1400 UTC;0;968,4;968,4;968,2;924,3;21;21;21,3;20,9;21,3;20,9;100;100;100;142;5,8;2,5;
2023/01/05;1500 UTC;0;968,7;968,7;968,4;1020,2;21,7;21,7;22,5;21;22,5;21;100;96;100;145;5,8;2,9;
2023/01/05;1600 UTC;0;968,3;968,7;968,3;1335,5;22,7;22,6;22,7;21,3;22,6;21,3;100;100;100;139;5,5;3;
2023/01/05;1700 UTC;0;967,9;968,3;967,9;1318,2;23;21,8;23,3;22,1;22,7;21,1;100;90;93;148;6,3;2,4;
2023/01/05;1800 UTC;0;967,3;967,9;967,3;1203,6;23,6;21,1;23,9;22,6;22,2;20,6;98;83;86;161;5,9;3;
2023/01/05;1900 UTC;0;966,8;967,3;966,8;852;22,8;20,7;24,1;22,8;22,2;20,4;94;82;88;152;6,6;3,5;
2023/01/05;2000 UTC;0;966,6;966,8;966,4;614,6;22;22;22,9;21,8;22,7;20,7;100;88;100;155;7,6;3,5;
