REGIAO:;SE
UF:;SP
ESTACAO:;REGISTRO
CODIGO (WMO):;A766
LATITUDE:;-24,53305554
LONGITUDE:;-47,86416666
ALTITUDE:;35
DATA DE FUNDACAO:;09/02/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1011,3;1011,3;1010,5;;23,3;23,3;24;23,3;23,9;23,3;100;100;100;;;;
2023/01/01;0100 UTC;0;1012;1012;1011,3;;22,9;22,9;23,3;22,9;23,3;22,9;100;100;100;;;;
2023/01/01;0200 UTC;0;1012;1012,2;1012;;22,3;22,3;22,9;22,3;22,9;22,3;100;100;100;;;;
2023/01/01;0300 UTC;0;1011,3;1012;1011,3;;21,9;21,9;22,3;21,7;22,3;21,7;100;100;100;;;;
2023/01/01;0400 UTC;0;1010,6;1011,3;1010,6;;21,5;21,5;21,9;21,4;21,8;21,4;100;100;100;;;;
2023/01/01;0500 UTC;0;1010,4;1010,6;1010,4;;21,3;;21,5;21,2;;;;;;;;;
2023/01/01;0600 UTC;0;1010,3;1010,6;1010,3;;20,9;;21,4;20,9;;;;;;;;;
2023/01/01;0700 UTC;0;1010,2;1010,3;1010,1;;20,5;;21,1;20,5;;;;;;;;;
2023/01/01;0800 UTC;0;1010,4;1010,4;1010,2;;20,2;;20,7;20,2;;;;;;;;;
2023/01/01;0900 UTC;0;1011,1;1011,1;1010,4;45,5;20,3;;20,3;19,8;;;;;;;;;
2023/01/01;1000 UTC;0;1011,9;1011,9;1011,1;280,2;21,8;;21,9;20,3;;;;;;;;;
2023/01/01;1100 UTC;0;1012,5;1012,5;1011,9;724,3;23,1;23,1;23,3;21,8;;;;;100;;;;
2023/01/01;1200 UTC;0;1012,4;1012,5;1012,4;1936,9;25,9;25,5;27,5;23,1;26,6;23,1;100;90;98;;;;
2023/01/01;1300 UTC;0;1012,3;1012,4;1012,3;1459,2;26,5;24,4;27,1;25,8;26;23,9;98;86;88;;;;
2023/01/01;1400 UTC;0;1012;1012,3;1012;1859,6;28,8;23,9;28,8;26,5;25,5;22,9;93;74;75;;;;
