REGIAO:;S
UF:;PR
ESTACAO:;GOIOERE
CODIGO (WMO):;A825
LATITUDE:;-24,18388888
LONGITUDE:;-53,04888888
ALTITUDE:;481
DATA DE FUNDACAO:;19/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;957,5;957,5;956,9;0;26,6;21,4;27,5;26,6;21,4;21;73;68;73;;;;
2023/01/01;0100 UTC;0;958,3;958,3;957,5;0;26;21,4;26,6;25,9;21,5;21,4;76;73;76;;;;
2023/01/01;0200 UTC;0;958,4;958,5;958,3;0;25,3;21,1;26;25,3;21,4;21,1;78;76;78;;;;
2023/01/01;0300 UTC;0;958,4;958,5;958,3;0;25,1;20,7;25,4;24,8;21,1;20,7;79;76;76;;;;
2023/01/01;0400 UTC;0;958,1;958,4;958,1;0;24,5;20,5;25,2;24,5;20,7;20,5;79;76;79;;;;
2023/01/01;0500 UTC;0;957,8;958,1;957,8;0;23,9;20,6;24,5;23,9;20,6;20,5;82;79;82;;;;
2023/01/01;0600 UTC;0;957,4;957,8;957,4;0;23,2;20,8;23,9;23,2;20,8;20,6;86;82;86;;;;
2023/01/01;0700 UTC;0;957,1;957,5;957,1;0;23,3;20,6;23,4;23,2;20,8;20,6;86;85;85;;;;
2023/01/01;0800 UTC;0;957,6;957,6;957,1;0;23,1;20,3;23,3;23,1;20,7;20,3;86;84;84;;;;
2023/01/01;0900 UTC;0;958,3;958,3;957,7;7,6;22,8;20,1;23,2;22,7;20,3;20,1;85;84;85;;;;
2023/01/01;1000 UTC;0;958,7;958,7;958,3;401,3;24,3;20,2;24,3;22,7;20,2;20;85;78;78;;;;
2023/01/01;1100 UTC;0;959,4;959,4;958,7;1243,5;25,8;20,7;26;24,3;20,8;20,1;78;72;73;;;;
2023/01/01;1200 UTC;0;960,1;960,1;959,3;2100,3;27,3;21,6;27,5;25,8;21,6;20,6;74;70;71;;;;
2023/01/01;1300 UTC;0;960,1;960,2;960,1;2809,8;28,4;22,6;28,4;26,9;22,6;21,3;73;69;71;;;;
2023/01/01;1400 UTC;0;960,1;960,2;960,1;3268,2;29,8;23,3;29,8;28,1;23,3;21,9;71;66;68;;;;
2023/01/01;1500 UTC;0;959,5;960,1;959,5;3853,8;30,3;22,4;30,9;29,3;23,8;22,1;69;62;63;;;;
2023/01/01;1600 UTC;0;958,8;959,5;958,8;3569,6;31,3;22,6;31,8;29,5;23,5;22,2;67;58;60;;;;
2023/01/01;1700 UTC;0;957,9;958,8;957,9;3048,8;32;22,3;32,5;29,9;23,3;21,6;64;55;57;;;;
2023/01/01;1800 UTC;0;956,9;957,9;956,9;3584,4;32,9;21,6;33,4;31,8;23,5;20,9;58;49;52;;;;
2023/01/01;1900 UTC;0;956,1;956,9;956,1;2967,7;33,4;21,3;34;32,9;22,6;20,4;54;47;50;;;;
2023/01/01;2000 UTC;0;955,3;956,1;955,3;2157,6;32,5;20,8;33,8;32,5;21,9;20,2;52;47;50;;;;
2023/01/01;2100 UTC;0;954,6;955,3;954,6;1294,3;32,6;21,2;33,5;32,2;21,5;20,6;52;47;51;;;;
2023/01/01;2200 UTC;0;954,8;954,8;954,5;482,6;30,2;21,2;32,6;30,2;21,6;20,8;59;50;59;;;;
2023/01/01;2300 UTC;0;955,7;955,7;954,8;16;28,2;20,4;30,2;28,2;21,6;20,4;66;58;63;;;;
2023/01/02;0000 UTC;0;956,4;956,4;955,7;0;27,3;20,8;28,2;27,2;20,8;20,4;68;63;68;;;;
2023/01/02;0100 UTC;0;956,7;956,7;956,3;0;26,2;21,2;27,3;26,1;21,2;20,7;74;68;74;;;;
