REGIAO:;S
UF:;PR
ESTACAO:;JAPIRA
CODIGO (WMO):;A871
LATITUDE:;-23,77333332
LONGITUDE:;-50,18055554
ALTITUDE:;692,88
DATA DE FUNDACAO:;29/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;935,1;935,2;934,9;;23,2;18,8;24,1;23,2;19,1;18,8;77;74;76;297;4,2;2,3;
2023/01/01;0100 UTC;0;936,1;936,1;935,1;;21,9;18,4;23,2;21,8;18,8;18,4;82;76;81;264;3,9;2,5;
2023/01/01;0200 UTC;0;936,5;936,5;936,2;;21,7;18,4;22,4;21,6;18,5;18,2;82;78;82;257;6,7;4,5;
2023/01/01;0300 UTC;0;936,2;936,6;936,1;;21,4;19,1;21,7;21,2;19,1;18,4;87;82;87;268;9,5;1,8;
2023/01/01;0400 UTC;0;935,9;936,2;935,9;;20,9;18,8;21,4;20,8;19,1;18,8;88;87;88;283;7;1,1;
2023/01/01;0500 UTC;0;935,5;935,9;935,5;;20,4;18,4;20,9;20,4;18,8;18,4;88;88;88;275;5,9;,3;
2023/01/01;0600 UTC;0;935,2;935,5;935,2;;20,1;18,2;20,5;20;18,5;18,2;89;88;89;285;6,9;3,3;
2023/01/01;0700 UTC;0;935,1;935,2;935,1;;19,9;18,1;20,1;19,7;18,3;18;90;89;89;293;6,4;0;
2023/01/01;0800 UTC;0;935,3;935,3;935;;19,8;18;20;19,6;18,1;17,9;90;89;90;308;4,7;0;
2023/01/01;0900 UTC;0;936,1;936,1;935,3;42,9;20;18,3;20;19,5;18,3;17,8;91;89;90;298;4,3;,2;
2023/01/01;1000 UTC;0;936,5;936,5;936,1;592;21,7;18,5;21,7;20;18,7;18,1;90;82;82;278;4,7;0;
2023/01/01;1100 UTC;0;937,3;937,3;936,5;1422,1;22,4;18,6;22,9;21,5;19,2;18,3;82;78;79;267;7;3,7;
2023/01/01;1200 UTC;0;937,4;937,4;937,2;1311,7;22,4;18,9;23,2;22;19,5;18,3;83;77;80;241;6,4;3;
2023/01/01;1300 UTC;0;937,5;937,6;937,4;2003,4;24,2;19;24,6;22,3;20,1;18,7;82;72;73;243;4,9;1,9;
2023/01/01;1400 UTC;0;937,3;937,5;937,3;3573,9;26,2;19,9;26,3;24,1;20,2;18,9;76;66;68;247;4,8;1,8;
2023/01/01;1500 UTC;0;936,7;937,3;936,7;3629,2;26,6;19,2;27,7;26,1;20,7;18,6;69;60;64;213;4,7;1,3;
2023/01/01;1600 UTC;0;935,7;936,7;935,7;2703,2;28,1;19,9;28,1;26,5;20,5;18,4;66;57;61;159;4,3;1;
2023/01/01;1700 UTC;0;934,6;935,7;934,6;2816,4;27,5;18,4;29;27,2;20;18,1;63;54;58;145;3,1;0;
2023/01/01;1800 UTC;0;934,2;934,7;934,2;3266,2;28,5;18,9;30,3;27,5;19,9;17,7;59;50;56;247;3,2;,6;
2023/01/01;1900 UTC;0;933,3;934,2;933,3;2051,8;30,5;18,5;30,5;28,4;20;18;60;48;49;129;2,9;0;
2023/01/01;2000 UTC;0;932,7;933,3;932,6;1110,3;30;17,8;30,6;28,4;19,5;17,2;59;47;48;100;0;0;
2023/01/01;2100 UTC;0;932,5;932,8;932,3;779,4;28,2;20;30,1;28,2;20;17,3;61;47;61;276;,7;0;
2023/01/01;2200 UTC;0;933;933,2;932,5;453,9;26,6;20,2;28,7;26,6;20,2;18,3;68;53;68;289;4,6;,1;
2023/01/01;2300 UTC;0;933,5;933,5;933;5,5;24,8;20,4;26,6;24,8;20,5;20,1;76;68;76;300;5,3;,7;
2023/01/02;0000 UTC;0;934,2;934,2;933,5;;24,5;19,5;24,9;24,4;20,4;19,5;76;74;74;301;5,5;2,7;
2023/01/02;0100 UTC;0;934,8;934,8;934,2;;23;19,1;24,7;23;19,5;18,9;79;72;79;225;4,2;0;
2023/01/02;0200 UTC;0;935,1;935,2;934,7;;22,6;19,4;23;22,2;19,4;18,9;83;79;82;241;6,3;3,7;
2023/01/02;0300 UTC;0;935,1;935,1;934,8;;21,8;19,1;22,7;21,8;19,4;19,1;85;82;85;266;8,7;4,1;
2023/01/02;0400 UTC;0;935,2;935,3;935;;20,8;18,2;21,8;20,7;19,1;18,1;86;83;85;261;9,3;6,1;
2023/01/02;0500 UTC;0;934,3;935,2;934,3;;20,2;18,1;20,9;20,2;18,3;18,1;88;85;88;273;10,7;3,4;
2023/01/02;0600 UTC;0;933,7;934,3;933,6;;19,8;17,9;20,2;19,7;18,1;17,8;89;88;89;285;8,8;3,5;
2023/01/02;0700 UTC;0;934,1;934,4;933,7;;19,6;17,5;19,9;19,6;17,9;17,5;89;87;87;269;7,1;0;
2023/01/02;0800 UTC;0;934,3;934,3;934;;19,2;17,6;19,6;18,7;17,8;17,2;92;87;91;265;0;0;
2023/01/02;0900 UTC;0;934,9;934,9;934,2;32,2;19,2;17,9;19,2;18,6;17,9;17,2;93;91;93;279;0;0;
2023/01/02;1000 UTC;0;934,9;935;934,8;507,8;20,5;18,1;20,6;19,2;18,6;17,9;93;86;86;279;5,2;,8;
2023/01/02;1100 UTC;0;935,5;935,6;934,9;955,8;21,5;18,4;21,6;20,5;18,7;18,1;87;82;82;270;5,2;,7;
2023/01/02;1200 UTC;0;935,5;935,6;935,4;1426,7;22,5;18,9;22,7;21,5;19,3;18,2;83;78;80;253;5,6;2,1;
2023/01/02;1300 UTC;0;935;935,5;935;1836,2;23,7;19,7;23,9;22,5;19,9;18,7;81;76;78;220;5,6;0;
2023/01/02;1400 UTC;0;934,6;935;934,6;2149,3;24,1;20;24,7;23,6;20,3;19,3;78;73;78;196;0;0;
2023/01/02;1500 UTC;0;933,5;934,6;933,5;2215,6;25,8;20,6;25,8;23,9;20,8;19,6;79;71;73;211;0;0;
2023/01/02;1600 UTC;0;932,7;933,5;932,7;3052,8;26,5;20,7;26,9;25,7;21,6;20;75;68;70;200;2,3;0;
2023/01/02;1700 UTC;0;931,5;932,7;931,5;2077,7;26,8;20,7;27,6;26,3;21,4;19,9;71;66;69;211;0;0;
2023/01/02;1800 UTC;0;930,6;931,5;930,6;1080,7;26,9;20,4;27,2;26,6;20,9;19,8;70;65;67;85;1,6;0;
2023/01/02;1900 UTC;0;930,4;930,7;930,4;508,1;22,9;18,6;26,9;22,7;21,4;18,3;77;67;77;56;10,7;3,9;
2023/01/02;2000 UTC;0;930,1;930,5;929,8;518,7;22,3;18,6;22,9;22,1;18,7;18,2;79;76;79;61;7,8;,3;
2023/01/02;2100 UTC;0;930,3;930,3;930,1;559,4;22,9;18,6;23;21,9;19,1;18,5;83;77;77;61;5,2;0;
2023/01/02;2200 UTC;0;930,9;930,9;930,3;183,1;22;18,6;22,9;22;19,2;18,5;81;77;81;66;4,5;0;
2023/01/02;2300 UTC;0;931,6;931,6;930,8;;20,7;19,2;22,4;20,7;19,3;18,6;92;80;92;195;0;0;
2023/01/03;0000 UTC;0;932;932;931,5;;20,5;19,4;20,7;20,5;19,5;19,3;93;92;93;220;0;0;
2023/01/03;0100 UTC;0;931,8;932,2;931,8;;20,8;19,5;20,8;20,4;19,5;19,3;94;93;93;7;0;0;
2023/01/03;0200 UTC;0;931,9;932;931,6;;20,8;18,9;21;20,7;19,5;18,9;93;89;89;148;0;0;
2023/01/03;0300 UTC;0;931,4;931,9;931,4;;20,2;19,1;20,8;20,2;19,2;18,9;93;89;93;242;0;0;
2023/01/03;0400 UTC;0;930,7;931,4;930,7;;20,3;19,1;20,6;20,2;19,5;19,1;94;93;93;90;0;0;
2023/01/03;0500 UTC;0;929,9;930,7;929,9;;19,8;18,8;20,3;19,7;19;18,6;94;93;94;74;0;0;
2023/01/03;0600 UTC;0;929,3;929,9;929,3;;19,7;18,8;20,1;19,6;19;18,6;95;94;95;247;0;0;
2023/01/03;0700 UTC;0;929,9;929,9;929,3;;20;19,2;20;19,7;19,2;18,8;95;95;95;209;0;0;
2023/01/03;0800 UTC;0;930,7;930,7;929,9;;19,8;19,1;20;19,8;19,3;19,1;96;95;96;193;0;0;
2023/01/03;0900 UTC;0;931,6;931,6;930,7;4,7;19,4;18,8;19,8;19,4;19,1;18,8;96;96;96;199;0;0;
2023/01/03;1000 UTC;0;932,5;932,5;931,6;44,4;19,5;18,9;19,6;19,4;18,9;18,7;96;96;96;168;2,7;0;
2023/01/03;1100 UTC;0;932,8;932,8;932,5;124,9;19,9;19,2;19,9;19,5;19,3;18,8;96;96;96;174;2,7;0;
2023/01/03;1200 UTC;0;933,3;933,3;932,8;657,2;21,2;20,4;21,3;19,8;20,6;19,1;96;95;95;142;5,3;1,4;
2023/01/03;1300 UTC;0;933,7;933,7;933,3;813,3;22;19,7;22,1;21,2;20,7;19,5;95;86;87;115;5,3;,1;
2023/01/03;1400 UTC;0;933,6;933,8;933,6;1348,1;23,5;19,3;23,6;21,9;20,3;18,8;87;77;77;135;4,4;,5;
2023/01/03;1500 UTC;0;932,9;933,6;932,9;3458,7;25,8;19,3;26;23,5;20,6;18,4;77;66;67;142;6,4;2,3;
2023/01/03;1600 UTC;0;931,7;932,9;931,7;3553,9;26,5;18,8;26,6;24,9;20,2;17,7;73;61;63;111;6,3;1,4;
2023/01/03;1700 UTC;0;930,7;931,7;930,7;3144,5;26,8;18,5;27,3;25,9;19,4;18,2;65;59;60;111;6,8;2,9;
2023/01/03;1800 UTC;0;929,3;930,7;929,3;3165,2;27,9;19,1;28,2;26,7;19,7;17,7;64;57;59;135;6,1;1,4;
