REGIAO:;S
UF:;PR
ESTACAO:;CLEVELANDIA
CODIGO (WMO):;A876
LATITUDE:;-26,41722221
LONGITUDE:;-52,3486111
ALTITUDE:;966,06
DATA DE FUNDACAO:;15/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;905,5;905,6;905,3;;21,8;;23,2;21,8;;;;;;236;6,4;3,9;
2023/01/01;0100 UTC;0;905,9;905,9;905,5;;21;;21,8;20,9;;;;;;236;6,6;3,7;
2023/01/01;0200 UTC;0;906,3;906,3;905,9;;20,7;;21,1;20,7;;;;;;236;7;3,6;
2023/01/01;0300 UTC;0;906,2;906,4;906,1;;19,6;;20,7;19,6;;;;;;236;7;3,2;
2023/01/01;0400 UTC;0;906,1;906,3;906;;18,8;;19,7;18,8;;;;;;236;5,3;2,9;
2023/01/01;0500 UTC;0;905,9;906,1;905,9;;19,1;;19,1;18,4;;;;;;236;4,5;2,9;
2023/01/01;0600 UTC;0;905,7;905,9;905,7;;18,4;;19,1;18,4;;;;;;236;5,4;3,3;
2023/01/01;0700 UTC;0;905,8;905,9;905,7;;18,5;;18,8;18,3;;;;;;236;7,6;5;
2023/01/01;0800 UTC;0;905,7;905,8;905,7;;18,2;;18,5;18,1;;;;;;236;8,5;5,1;
2023/01/01;0900 UTC;0;906,5;906,5;905,7;26,1;18,3;;18,3;18;;;;;;236;8,1;4,6;
2023/01/01;1000 UTC;0;906,8;906,8;906,4;661,4;19,4;;19,4;18,3;;;;;;236;7,5;4,9;
2023/01/01;1100 UTC;0;907,2;907,2;906,8;1632,8;21,3;;21,4;19,4;;;;;;236;8,7;5,6;
2023/01/01;1200 UTC;0;907,5;907,5;907,2;2526,6;23,4;;23,5;21,3;;;;;;236;9,5;6,1;
2023/01/01;1300 UTC;0;907,6;907,7;907,5;3185,1;24,6;;25,2;23,3;;;;;;236;10,3;4,3;
2023/01/01;1400 UTC;0;907,2;907,6;907;3636,9;26,1;;26,5;24,5;;;;;;236;9,4;5,2;
2023/01/01;1500 UTC;0;906,7;907,2;906,7;2928,4;26,4;;27,1;24,7;;;;;;236;9,4;3,9;
2023/01/01;1600 UTC;0;906,2;906,8;906,2;3737,4;27,1;;27,9;26,2;;;;;;236;7,6;4,7;
2023/01/01;1700 UTC;0;905,5;906,2;905,5;3440,2;27,8;;28,5;27;;;;;;236;8,1;4,2;
2023/01/01;1800 UTC;0;904,6;905,5;904,6;3074,2;28,3;;28,8;27,3;;;;;;236;7,6;4,1;
2023/01/01;1900 UTC;0;904;904,7;904;2554,6;28,6;;28,8;28,1;;;;;;236;8,7;4,6;
2023/01/01;2000 UTC;0;903,3;904;903,3;1800,7;28,1;;28,8;28;;;;;;236;8,7;3,8;
2023/01/01;2100 UTC;0;902,9;903,3;902,9;977,7;27,5;;28,5;27,5;;;;;;236;6,7;2,5;
2023/01/01;2200 UTC;0;903,4;903,4;902,9;271,2;26,2;;27,5;26,2;;;;;;236;6,5;1,4;
2023/01/01;2300 UTC;0;903,8;903,8;903,3;6,3;23,3;;26,3;23,3;;;;;;236;4,3;2,2;
2023/01/02;0000 UTC;0;903,6;904;903,6;;21,7;;23,2;21,7;;;;;;236;6,1;3,9;
2023/01/02;0100 UTC;0;904,7;904,7;903,5;;21,3;;21,8;21,1;;;;;;236;6,2;2,2;
2023/01/02;0200 UTC;0;905,5;905,5;904,7;;21,5;;21,5;21;;;;;;236;3,8;2,3;
2023/01/02;0300 UTC;0;905,2;905,5;905;;20,1;;21,6;20,1;;;;;;236;4,8;2,7;
2023/01/02;0400 UTC;0;904,6;905,2;904,5;;20,3;;20,6;20,1;;;;;;236;6,3;3;
