REGIAO:;S
UF:;PR
ESTACAO:;CAMPINA DA LAGOA
CODIGO (WMO):;B803
LATITUDE:;-24,57083332
LONGITUDE:;-52,80027777
ALTITUDE:;598
DATA DE FUNDACAO:;04/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;1000 UTC;0;945,3;945,3;944,9;421,4;22,6;21,3;22,7;20,9;21,5;20,7;99;92;93;81;6,1;3,9;
2023/01/01;1100 UTC;0;946;946,1;945,3;1233,6;25;22,2;25;22,6;22,6;21,4;94;84;84;67;6,6;4,4;
2023/01/01;1200 UTC;0;946,4;946,4;946;1831,8;25,7;22,5;25,8;24,8;23;21,8;88;81;82;51;8,5;4,7;
2023/01/01;1300 UTC;0;946,6;946,6;946,4;2771,6;27,9;22,9;28,2;25,7;23,8;21,9;82;71;74;40;6,9;3,5;
2023/01/01;1400 UTC;0;946,4;946,6;946,3;2354,6;30,3;24,1;31;27,2;25,3;22,1;80;68;70;2;6,6;3,7;
2023/01/01;1500 UTC;0;945,9;946,4;945,9;3204,9;29,7;23,9;31,9;28;26,1;22,7;78;63;71;2;7,1;3,9;
2023/01/01;1600 UTC;0;945,2;945,9;945,2;3624,9;32,2;24,3;32,9;29,7;25,5;22,6;74;59;63;358;7,5;3,6;
2023/01/01;1700 UTC;0;944,3;945,2;944,3;2710,8;32,9;24,6;32,9;28,9;25,5;22,7;72;59;62;356;7;3,6;
2023/01/01;1800 UTC;0;943,4;944,3;943,4;3109,4;32;23,4;33,4;31,2;24,9;22;65;54;61;340;6,4;2,9;
2023/01/01;1900 UTC;0;942,7;943,4;942,7;2706,2;32,4;22,7;32,9;30,7;24,1;21,1;63;53;57;324;6,8;2,8;
2023/01/01;2000 UTC;0;941,7;942,7;941,7;2121,6;32,6;22,3;33,4;31,8;23,5;21,5;60;52;55;3;5,6;2,5;
2023/01/01;2100 UTC;0;941,3;941,7;941,3;1242,9;30,5;21,9;32,9;30,4;23,5;21,1;61;54;60;17;4,3;2,3;
