REGIAO:;S
UF:;RS
ESTACAO:;SANTA MARIA
CODIGO (WMO):;A803
LATITUDE:;-29,72499999
LONGITUDE:;-53,72055554
ALTITUDE:;103,1
DATA DE FUNDACAO:;26/11/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;998,3;998,3;998,1;;27;15,9;29,4;27;16,1;14,9;51;42;51;93;2;,9;
2023/01/01;0100 UTC;0;998,7;998,7;998,3;;23,8;16,5;26,9;23,8;16,8;15,6;64;50;64;111;1,8;,9;
2023/01/01;0200 UTC;0;999,2;999,2;998,7;;23,1;16,5;24;23,1;16,7;16,1;67;62;67;174;1,3;,5;
2023/01/01;0300 UTC;0;999,2;999,2;999,1;;22,1;16,5;23;21,5;17;15,9;75;65;71;132;2,4;,9;
2023/01/01;0400 UTC;0;998,9;999,2;998,9;;22,4;16,9;23,2;21,6;16,9;16;72;65;71;101;2,2;1;
2023/01/01;0500 UTC;0;999;999;998,9;;22,1;17,7;22,5;22,1;17,7;16,9;76;71;76;87;3,6;1,1;
2023/01/01;0600 UTC;0;998,9;999;998,9;;21,1;17,4;22,1;21,1;18;17,4;80;76;79;119;3,6;,9;
2023/01/01;0700 UTC;0;998,6;998,9;998,6;;20,3;17,5;21,1;20,3;17,6;17,2;84;79;84;79;1,9;,8;
2023/01/01;0800 UTC;0;999;999,1;998,6;;20,1;18;20,6;20;18,3;17,4;89;83;88;88;1,6;,7;
2023/01/01;0900 UTC;0;999,6;999,6;999;19,5;19,2;18,2;20,1;18,8;18,4;17,8;95;87;94;26;1,4;,2;
2023/01/01;1000 UTC;0;999,7;999,7;999,5;323,5;22,1;19;22,5;19,2;19,5;18,2;95;82;82;81;2,5;1,2;
2023/01/01;1100 UTC;0;999,9;999,9;999,7;1183,6;24,2;19,2;24,6;22,1;20,1;18,8;83;73;74;115;4,6;2,2;
2023/01/01;1200 UTC;0;999,6;999,9;999,6;1908,5;28,1;20,1;28,3;24,2;20,6;19,4;75;62;62;95;4,6;1,9;
2023/01/01;1300 UTC;0;999,2;999,6;999,2;2676,3;32,6;19,2;33,1;28,1;21,4;19,1;63;44;45;18;5,2;2,4;
2023/01/01;1400 UTC;0;998,6;999,2;998,6;3182,7;34,4;19,3;34,7;32,3;20,3;18,5;47;39;41;322;6,1;3,3;
2023/01/01;1500 UTC;0;997,9;998,6;997,9;3382,5;35,6;17,6;36,3;34,2;20,2;17,6;42;34;35;17;6,9;2,8;
2023/01/01;1600 UTC;0;997,2;998;997,1;2552,3;36,5;17,7;36,9;35,3;18,6;16;36;31;33;7;7;2,2;
2023/01/01;1700 UTC;0;996,2;997,2;996,2;2517,3;37,8;18,3;37,9;36;19;16,4;35;30;32;360;5,2;1,9;
2023/01/01;1800 UTC;0;995,3;996,2;995,3;2027,2;38,1;17,4;38,4;36,3;18,6;16;34;28;30;62;3,9;1,4;
2023/01/01;1900 UTC;0;994,4;995,3;994,4;2467,9;38;16,8;38,5;36,9;17,9;16;32;27;29;48;5,9;2,1;
2023/01/01;2000 UTC;0;993,5;994,4;993,5;1360,6;35;20;38,3;34,9;20,1;16;42;28;42;82;7,5;3,6;
2023/01/01;2100 UTC;0;993,1;993,5;993;580,2;33,8;20,5;35;33,8;20,7;19,5;46;41;46;89;6,6;3;
2023/01/01;2200 UTC;,6;994,4;994,4;992,7;75,6;25,4;20,4;33,8;25,3;21,2;18,7;77;46;74;42;12,1;6;
2023/01/01;2300 UTC;1;994,8;995,2;994,2;;24;20,8;25,7;23,8;21,5;19,2;85;67;82;155;12,1;2,1;
2023/01/02;0000 UTC;0;994,7;994,8;994,2;;25,1;20,6;25,1;23,8;21,6;20,2;83;76;76;35;5,2;2,7;
2023/01/02;0100 UTC;,4;998,1;998,1;994,7;0;24,3;22,1;26;24,3;22,1;20,4;87;74;87;188;8,6;3,5;
2023/01/02;0200 UTC;5;998,6;999,1;997,5;;23,5;22,6;24,4;22,7;23,2;22;100;86;95;195;7,4;2,5;
2023/01/02;0300 UTC;,2;998;998,7;998;;23,2;22,9;23,5;23,1;22,9;22,4;98;94;98;37;5,7;1,2;
2023/01/02;0400 UTC;,2;996,8;998;996,8;;23,1;22,5;23,3;23,1;23,2;22,5;100;96;97;40;4,6;2,5;
2023/01/02;0500 UTC;0;996;996,8;995,9;;23;22,9;23,1;22,9;22,9;22,2;99;95;99;146;3,5;,3;
2023/01/02;0600 UTC;0;996,1;996,1;995,6;;22,9;22,4;23;22,7;22,9;22,4;100;97;97;321;2,4;1;
2023/01/02;0700 UTC;0;995,8;996,6;995,8;;23,1;22,7;23,1;22,8;22,8;22,2;99;95;98;158;4,2;,6;
2023/01/02;0800 UTC;0;994,1;995,8;994,1;;23,6;22;23,7;22,8;22,9;21,8;100;89;91;23;3,5;2;
2023/01/02;0900 UTC;0;995,9;995,9;994,1;17,7;23,1;22,5;23,6;23;22,5;21,8;96;90;96;181;3,3;1,7;
2023/01/02;1000 UTC;0;996,8;996,8;996;330,3;24,3;22,9;24,3;23;23,2;22,4;99;91;92;163;3,3;,9;
2023/01/02;1100 UTC;0;997,2;997,2;996,8;713,5;24,6;22,2;25,3;24,3;23,2;22,2;92;84;86;284;2,3;,8;
2023/01/02;1200 UTC;0;996,9;997,2;996,9;1525,9;27,5;21,6;27,5;24,6;23,4;21,6;89;70;70;339;3,5;1,6;
