REGIAO:;S
UF:;RS
ESTACAO:;SANTO AUGUSTO
CODIGO (WMO):;A805
LATITUDE:;-27,85444444
LONGITUDE:;-53,7911111
ALTITUDE:;489,67
DATA DE FUNDACAO:;05/12/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;955;955;954,7;;28,2;13,7;29,3;28,2;14,7;13,5;42;39;41;116;4,4;,9;
2023/01/01;0100 UTC;0;955,6;955,6;955;;26,8;14,5;28,2;26,7;15,9;13,6;49;41;47;115;4;1,5;
2023/01/01;0200 UTC;0;956;956;955,6;;25,3;15,2;26,8;25,3;15,2;14,4;54;47;54;96;4,8;1,6;
2023/01/01;0300 UTC;0;955,8;956;955,8;;24,7;14;25,3;24,5;15,3;14;56;51;51;96;4,1;,6;
2023/01/01;0400 UTC;0;955,6;955,8;955,6;;24,6;14,4;25,2;24,6;14,4;13,9;53;50;53;111;4,3;1,4;
2023/01/01;0500 UTC;0;955,4;955,6;955,4;;24,6;14,1;24,8;24,2;14,5;14,1;54;52;52;103;5,6;1,2;
2023/01/01;0600 UTC;0;955,3;955,5;955,3;;22,9;14,8;25,2;22,9;14,9;13,9;60;50;60;129;4,5;,2;
2023/01/01;0700 UTC;0;955,1;955,3;955;;22,8;16,1;23,7;22,7;16,2;14,5;66;58;66;196;4,3;,3;
2023/01/01;0800 UTC;0;955,4;955,4;955,1;;22,9;17,2;23,5;22,8;17,2;16;70;65;70;87;4,6;,9;
2023/01/01;0900 UTC;0;956,2;956,2;955,4;8,1;22,8;17,7;23;22,6;17,8;17,2;74;70;73;81;6,5;,9;
2023/01/01;1000 UTC;0;956,8;956,8;956,2;370,7;24,7;18,5;24,7;22,8;18,5;17,7;74;68;68;67;6;1,8;
2023/01/01;1100 UTC;0;957,2;957,2;956,8;553,4;25;19,2;25;24,5;19,3;18,4;71;68;70;57;8,3;3;
2023/01/01;1200 UTC;0;957,3;957,4;957;1524,1;28;20,2;28,1;25;20,6;19,2;71;62;63;36;7,2;3,5;
2023/01/01;1300 UTC;0;957,1;957,4;957;2730,1;29,6;21,4;30,1;28;21,8;20,3;64;60;61;19;9,2;4,9;
2023/01/01;1400 UTC;0;956,5;957,1;956,5;3193,3;31,2;21,5;31,6;29,4;22,2;21,3;63;55;57;13;9,2;4,1;
2023/01/01;1500 UTC;0;956,1;956,5;956,1;3375;32,7;20,6;32,9;31,1;22;20,6;58;49;49;3;8,4;3,4;
2023/01/01;1600 UTC;0;955,5;956,1;955,5;3759,4;33,8;20,4;33,8;32,6;21,2;19,5;51;43;45;360;9,1;3,6;
