REGIAO:;S
UF:;RS
ESTACAO:;RIO PARDO
CODIGO (WMO):;A813
LATITUDE:;-29,87222221
LONGITUDE:;-52,38194443
ALTITUDE:;106,99
DATA DE FUNDACAO:;30/09/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;999,4;999,4;998,7;;26,4;17,5;28,1;26,4;17,5;14,5;58;43;58;111;7,1;3,1;
2023/01/01;0100 UTC;0;999,8;999,9;999,4;;24,7;18,6;26,4;24,6;18,8;17,6;69;58;69;88;5,8;2,1;
2023/01/01;0200 UTC;0;999,7;999,9;999,7;;23,9;17,5;24,8;23,9;18,6;17,5;70;65;67;86;5,5;2,4;
2023/01/01;0300 UTC;0;999,3;999,8;999,3;;24;16,3;24,4;23,9;17,6;16,3;67;61;62;103;7,1;3,3;
2023/01/01;0400 UTC;0;999,2;999,3;999,2;;22,9;16,2;24;22,8;16,4;16,2;67;62;66;114;6;2,9;
2023/01/01;0500 UTC;0;999,2;999,2;999,1;;22;16,2;22,9;22;16,5;16,2;70;66;69;109;5,2;2,2;
2023/01/01;0600 UTC;0;998,9;999,2;998,9;;21,4;16,2;22,2;21,4;16,3;16,1;72;69;72;90;4,5;2,1;
2023/01/01;0700 UTC;0;999,1;999,1;998,9;;21,4;16,2;21,7;21,3;16,3;16,1;73;71;72;89;4,4;2,2;
2023/01/01;0800 UTC;0;999,5;999,5;999,1;12,7;21;16,4;21,5;21;16,4;16,2;75;72;75;89;4,9;2,3;
2023/01/01;0900 UTC;0;999,8;999,8;999,5;402;22,7;17,2;22,7;21;17,2;16,4;76;71;71;81;4,2;2,5;
2023/01/01;1000 UTC;0;1000,2;1000,2;999,8;1146,4;25,5;17,8;25,5;22,7;18;17,2;71;62;62;99;5,4;3;
2023/01/01;1100 UTC;0;1000;1000,2;1000;1939,1;27,4;18,6;27,6;25,5;19,2;17,6;63;58;59;67;6,5;3,7;
2023/01/01;1200 UTC;0;999,7;1000;999,7;2632,2;30,1;19,2;30,2;27,3;19,8;18,5;60;50;52;62;6,5;2,5;
2023/01/01;1300 UTC;0;999,2;999,7;999,2;3176,4;32;19,2;32,2;30,1;19,9;18,5;53;46;47;49;5,3;2,4;
2023/01/01;1400 UTC;0;998,6;999,2;998,6;3552,6;33,9;19,6;33,9;31,8;19,6;17,8;48;40;43;154;4,6;2;
2023/01/01;1500 UTC;0;997,9;998,6;997,9;3773,5;34,2;18,2;34,7;32,9;19,8;17,7;44;38;39;112;4,8;2;
2023/01/01;1600 UTC;0;997,2;997,9;997,1;3476;34,8;18,2;35,5;34,1;19,4;16,5;40;33;38;132;7;3,1;
2023/01/01;1700 UTC;0;996,3;997,2;996,3;2818,9;35,4;16,3;36,3;34,5;18,1;16,3;37;32;32;52;7;2,1;
2023/01/01;1800 UTC;0;995,4;996,3;995,4;2655;36,3;15,4;36,9;35,1;17,5;14,9;34;27;29;73;4,5;2;
2023/01/01;1900 UTC;0;994,5;995,4;994,5;1544,7;35;17,1;36,6;34,9;17,1;14,7;35;27;35;86;5;1,6;
2023/01/01;2000 UTC;0;993,8;994,5;993,8;813,3;33,9;17,8;35;33,5;19,8;16;45;33;38;60;3,8;1,6;
2023/01/01;2100 UTC;0;993,8;993,8;993,6;810,3;32,6;18,7;34,5;32,6;19,5;17,7;44;37;44;72;5,8;2,5;
2023/01/01;2200 UTC;0;994,5;994,5;993,7;62,5;30,3;18,1;32,6;30,3;18,8;18;49;43;48;96;7,8;2,8;
2023/01/01;2300 UTC;0;994,5;994,9;994,5;;28,9;16,8;30,3;28,8;18,1;16,7;49;46;48;97;6,2;3,3;
2023/01/02;0000 UTC;0;995,8;995,8;994,3;;27,9;18;28,9;27,8;18;16,8;55;48;55;91;6,2;2,7;
2023/01/02;0100 UTC;0;996,9;997;995,7;;28,4;18,1;28,4;27,6;18,7;18,1;58;54;54;236;8,8;2,7;
2023/01/02;0200 UTC;2,8;995,9;997,3;995,9;;24,9;20,1;28,6;24,4;20,4;18;76;53;75;153;7,3;4,1;
2023/01/02;0300 UTC;,4;996,5;997,3;995,2;,6;24,3;21;25,5;24,2;21;19,9;82;72;82;280;9,7;3,6;
2023/01/02;0400 UTC;0;996,5;996,6;995,9;,9;23,5;20,6;24,5;23,5;21;20,2;84;77;84;309;5,9;4;
2023/01/02;0500 UTC;,2;995,4;996,6;995,4;;23;20,6;23,5;23;20,8;20,6;86;84;86;16;7,4;1,9;
2023/01/02;0600 UTC;0;995;995,7;994,6;;23;20,7;23,2;22,9;20,8;20,5;87;85;87;5;4,1;,9;
2023/01/02;0700 UTC;0;995,1;995,2;995;;23,2;20,8;23,3;23;20,8;20,7;87;85;87;326;4,1;1,5;
2023/01/02;0800 UTC;0;995,5;995,5;995,1;3,1;22,8;20,9;23,2;22,8;21;20,7;89;87;89;161;4,1;2,3;
2023/01/02;0900 UTC;,2;995,7;995,8;995,3;21,7;22,8;21,1;22,9;22,7;21,1;20,8;90;89;90;68;4,8;1,6;
2023/01/02;1000 UTC;,2;996,4;996,4;995,7;209,4;23,4;21,6;23,4;22,8;21,6;21,1;91;89;90;19;3,4;1,8;
2023/01/02;1100 UTC;1,2;996,5;996,6;996,4;354,3;24,1;21,7;24,1;23,3;21,8;21;90;86;87;295;3,7;,5;
2023/01/02;1200 UTC;0;996,4;996,8;996,4;1299,1;26;22;26,2;24,1;23,1;21,7;87;79;79;357;3,4;2;
2023/01/02;1300 UTC;0;995,9;996,5;995,9;2050,7;27,8;22,5;27,9;25,9;23;20,9;80;67;73;339;4,5;1,9;
2023/01/02;1400 UTC;0;995,1;995,9;995,1;3115,9;28,9;21,5;29,9;27,1;22,5;20,4;73;59;64;298;7;3,7;
2023/01/02;1500 UTC;0;994;995,1;994;2651,1;30,9;21,5;31,3;28,7;22,8;21,1;67;56;57;297;7;3;
2023/01/02;1600 UTC;0;993,3;994,1;993,3;3496,1;32,6;20,6;33;30,6;22,7;20,4;60;49;49;293;8,3;4,4;
2023/01/02;1700 UTC;,8;992,8;993,3;992,8;2098,2;29,1;24,5;32,8;27,3;24,5;20,2;80;49;76;354;9;1,1;
2023/01/02;1800 UTC;0;991,9;992,8;991,9;2596;31,3;22,1;31,8;29;24,2;21,6;76;56;58;270;8,4;4,6;
2023/01/02;1900 UTC;0;991,2;991,9;991,2;2132;31,6;20,3;32,3;30,8;22,5;20,3;59;51;51;273;10,8;5,1;
2023/01/02;2000 UTC;0;991,3;991,4;991,1;1165,2;30,5;20,5;31,7;30,3;21,5;20,3;58;51;55;262;11,7;5;
2023/01/02;2100 UTC;0;991,7;991,7;991,2;672,3;29,7;19,6;30,7;29,7;20,8;19,6;56;52;55;267;9,1;4,3;
