REGIAO:;S
UF:;RS
ESTACAO:;CAMAQUA
CODIGO (WMO):;A838
LATITUDE:;-30,807953
LONGITUDE:;-51,83424
ALTITUDE:;92,3
DATA DE FUNDACAO:;12/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1001,9;1001,9;1001,4;;25;;26,5;24,9;;;;;;40;4,5;1;
2023/01/01;0100 UTC;0;1002,3;1002,3;1001,9;;24,3;;25;24,2;;;;;;20;5,6;1,2;
2023/01/01;0200 UTC;0;1002,3;1002,5;1002,2;;23,5;;24,3;23,4;;;;;;23;6,3;,8;
2023/01/01;0300 UTC;0;1001,9;1002,3;1001,8;;22;;23,6;21,8;;;;;;332;3,6;,2;
2023/01/01;0400 UTC;0;1001,5;1002;1001,5;;21,9;;22,1;21,5;;;;;;336;2,8;,4;
2023/01/01;0500 UTC;0;1001,4;1001,6;1001,4;;21,3;;22;21,2;;;;;;346;3,1;,1;
2023/01/01;0600 UTC;0;1001,7;1001,8;1001,4;;19,3;;21,8;19,3;;;;;;137;2,1;0;
2023/01/01;0700 UTC;0;1001,8;1001,9;1001,7;;18;;19,3;18;;;;;;153;,5;0;
2023/01/01;0800 UTC;0;1002;1002,2;1001,8;;17,3;;18;17,3;;;;;;129;0;0;
2023/01/01;0900 UTC;0;1002,3;1002,4;1002;36;20,4;;20,4;17,3;;;;;;76;2,2;,2;
2023/01/01;1000 UTC;0;1002,8;1002,9;1002,3;279;21,6;;21,6;20,3;;;;;;21;2,6;0;
2023/01/01;1100 UTC;0;1002,7;1003;1002,7;996;23,9;;24;21,6;;;;;;72;2,7;,5;
2023/01/01;1200 UTC;0;1002,5;1002,7;1002,5;2177,8;26,1;;26,7;23,7;;;;;;101;3,8;1;
2023/01/01;1300 UTC;0;1002,1;1002,5;1002,1;2861,9;29;;29,2;26,1;;;;;;49;3,3;1;
2023/01/01;1400 UTC;0;1001,5;1002,1;1001,4;3326,3;30,7;;31;29;;;;;;77;3,8;,8;
2023/01/01;1500 UTC;0;1001;1001,5;1000,9;3599,2;32;;32,4;30,7;;;;;;64;5,1;1,8;
2023/01/01;1600 UTC;0;1000,3;1001;1000,3;3676,8;32,5;;33,2;31,6;;;;;;85;5,1;1,7;
2023/01/01;1700 UTC;0;999,6;1000,3;999,6;3535,6;32,3;;33,9;32,3;;;;;;145;7,2;2,4;
2023/01/01;1800 UTC;0;999,1;999,7;999,1;2743,5;31,9;;33;31,1;;;;;;118;6,5;2,1;
2023/01/01;1900 UTC;0;998,7;999,2;998,7;2119,6;30,6;;31,9;30,2;;;;;;90;6,5;2,5;
2023/01/01;2000 UTC;0;997,7;998,7;997,7;1749,7;29,1;;31,5;29,1;;;;;;64;8,9;2,2;
2023/01/01;2100 UTC;0;997,3;997,8;997,3;651;27,9;;29,1;27,9;;;;;;83;6,4;1,4;
2023/01/01;2200 UTC;0;997,5;997,5;997,1;219,7;26,4;;27,9;26,4;;;;;;72;6,1;,8;
2023/01/01;2300 UTC;0;997,4;997,6;997,2;5,8;25,1;;26,4;25,1;;;;;;66;4,9;,7;
2023/01/02;0000 UTC;0;997,6;997,8;997,4;;24,3;;25,1;24,2;;;;;;74;4,9;,3;
2023/01/02;0100 UTC;0;998,7;998,7;997,6;;23,4;;24,3;23,4;;;;;;66;4,1;0;
2023/01/02;0200 UTC;0;998,3;998,7;998,3;;23,5;;23,7;23,1;;;;;;85;3;,1;
2023/01/02;0300 UTC;0;998,8;999,3;997,7;;23,9;;23,9;23,2;;;;;;230;3,9;,6;
2023/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2023/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
