REGIAO:;S
UF:;RS
ESTACAO:;VACARIA
CODIGO (WMO):;A880
LATITUDE:;-28,513602
LONGITUDE:;-50,882738
ALTITUDE:;969,89
DATA DE FUNDACAO:;26/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;906;906;905,6;;20,3;16,2;22,1;20,3;16,6;16,2;77;71;77;81;7,7;3,1;
2023/01/01;0100 UTC;0;906,6;906,6;906;;18,8;15,9;20,3;18,8;16,3;15,9;83;77;83;64;6,6;3;
2023/01/01;0200 UTC;0;906,3;906,6;906,3;;19;15,7;19,1;18,2;16,1;15,7;87;81;81;52;5,2;3,5;
2023/01/01;0300 UTC;0;906;906,3;906;;18,1;14,7;19,2;17,7;15,7;14,7;84;78;81;30;6,4;3,6;
2023/01/01;0400 UTC;0;905,8;906;905,8;;17,6;15,2;18,2;17,5;15,2;14,6;86;81;86;27;5,3;3,5;
2023/01/01;0500 UTC;0;906;906;905,7;;16,6;15,2;17,6;16,6;15,3;14,9;91;86;91;22;5,6;3,8;
2023/01/01;0600 UTC;0;905,9;906;905,9;;16,7;15,6;17,1;16,6;16;15,2;93;91;93;17;5,6;3,3;
2023/01/01;0700 UTC;0;906,1;906,1;905,9;;16,4;15,5;16,7;16;15,6;15,1;95;93;94;13;5;3,5;
2023/01/01;0800 UTC;0;906,6;906,6;906,1;4,1;15,6;14,9;16,4;15,5;15,4;14,7;96;93;95;21;5;3,5;
2023/01/01;0900 UTC;0;907,1;907,1;906,6;206;16,4;15,2;16,4;15,6;15,2;14,8;95;92;92;17;5,6;3,6;
2023/01/01;1000 UTC;0;907,2;907,3;907,1;977,2;18,7;16;18,7;16,4;16,2;15,2;92;83;84;25;7,6;5,4;
2023/01/01;1100 UTC;0;907,6;907,6;907,2;1827,1;20,9;16,1;20,9;18,7;16,6;15,5;84;73;74;12;7,9;5;
2023/01/01;1200 UTC;0;907,3;907,6;907,3;2567,3;23,9;16,5;24;20,9;17,4;15,6;75;63;63;20;7,5;4,2;
2023/01/01;1300 UTC;0;906,9;907,3;906,9;3166,4;25,5;15,5;25,7;23,6;18;15,1;66;53;54;1;7;3,3;
2023/01/01;1400 UTC;0;906,5;906,9;906,5;3494,2;26,7;15,6;27,5;25,5;17,4;14,5;56;48;51;324;5,9;2,8;
2023/01/01;1500 UTC;0;905,7;906,5;905,7;3433;28,2;14,4;28,4;26,1;16,5;13,2;53;42;43;6;6,1;2,6;
2023/01/01;1600 UTC;0;905,2;905,7;905,2;3606,8;29;11,7;29;27,5;16,2;11,7;49;34;34;311;5,5;1,8;
2023/01/01;1700 UTC;0;904,6;905,2;904,6;3674,1;28,9;13,6;30;28,3;15,5;11;43;33;39;16;5,5;2,5;
2023/01/01;1800 UTC;0;904,1;904,7;904;1642;28,2;13,8;29,7;27,8;15,1;11,9;44;36;41;15;5,5;1,9;
2023/01/01;1900 UTC;0;903,4;904,1;903,4;2251,6;28,7;14,5;29,7;28,1;15,9;12,7;45;36;42;26;6,3;2,6;
2023/01/01;2000 UTC;0;903;903,4;903;1615,2;27,7;13,5;28,8;27,7;15;13,1;45;38;42;41;5,6;3,2;
2023/01/01;2100 UTC;0;902,7;903;902,7;694,5;26,8;14,9;28,3;26,8;14,9;13,2;48;41;48;43;4,8;2,2;
2023/01/01;2200 UTC;0;903;903;902,6;91,9;23,2;14,8;26,8;23,2;15,8;14,4;59;47;59;51;10,2;4,2;
2023/01/01;2300 UTC;0;903,7;903,9;902,9;;21,6;14,9;23,2;21,6;15,1;14,8;66;59;66;50;7,2;3,6;
2023/01/02;0000 UTC;0;904,3;904,3;903,7;;19,7;15,5;21,6;19,7;15,5;14,9;77;66;77;28;7,3;2,9;
2023/01/02;0100 UTC;0;905,4;905,4;904,3;;19,4;16,5;19,9;19,4;16,5;15,5;84;77;84;30;5,9;3,6;
2023/01/02;0200 UTC;0;905;905,5;905;;19,3;17,4;19,8;19,3;17,6;16,6;89;84;89;25;8,9;4,6;
2023/01/02;0300 UTC;0;904,6;905,1;904,6;;19,2;17,3;19,3;19,1;17,6;17,2;90;88;88;14;9,6;5,8;
2023/01/02;0400 UTC;0;903,5;904,6;903,5;;18,5;16,6;19,3;18,5;17,2;16,6;89;87;89;18;9,6;4,8;
2023/01/02;0500 UTC;0;903,4;903,6;903,4;;17,6;16,1;18,5;17,6;16,7;16,1;91;89;91;22;7,3;4,2;
2023/01/02;0600 UTC;0;903,4;903,5;903,1;;17,5;15,3;17,9;17,4;16,2;15,3;91;86;87;13;8,2;4,6;
2023/01/02;0700 UTC;0;903;903,4;902,9;;17,4;15,2;17,6;17,3;15,3;15,1;87;86;87;17;8,2;4,6;
2023/01/02;0800 UTC;0;902,9;903;902,7;1,6;17,3;15,4;17,5;17,2;15,4;15,2;88;87;88;12;8,1;5,4;
2023/01/02;0900 UTC;0;904,1;904,1;902,9;138,4;18;16;18;17,2;16;15,4;90;88;88;337;7,6;4,2;
2023/01/02;1000 UTC;0;904,2;904,3;904;499,1;18,9;16,3;19,1;18;16,5;16;88;85;85;353;6,8;4,8;
2023/01/02;1100 UTC;0;904,1;904,2;904;832,6;19,9;16,4;20,1;18,9;16,7;16,1;85;80;80;1;9,4;6,2;
2023/01/02;1200 UTC;0;903,8;904,1;903,8;1307,9;21,6;17,3;21,7;19,7;17,7;16,2;81;75;77;332;9,9;5;
2023/01/02;1300 UTC;0;903,4;903,8;903,4;1235,9;21;17,1;21,9;21;17,6;16,7;78;75;78;350;8,1;5,4;
2023/01/02;1400 UTC;0;903,4;903,8;903,4;838,3;21,4;17,7;21,4;20,1;17,7;16,8;82;78;79;11;7,9;5;
2023/01/02;1500 UTC;0;902,7;903,4;902,7;1850,2;23,4;17,9;23,5;21,2;18,6;17,2;80;71;71;334;7,1;4,3;
2023/01/02;1600 UTC;0;901,9;902,7;901,9;3198,9;25,4;17,1;26,2;23,3;18,8;15,9;72;56;60;318;8,9;5,6;
2023/01/02;1700 UTC;0;901;901,9;901;2729,6;25,7;15,9;26,2;24,9;17,5;14,9;61;52;55;314;10,3;5,6;
2023/01/02;1800 UTC;0;900,2;901;900,2;2966,4;26,6;17,4;26,9;25,3;17,8;15,5;59;54;57;305;9,5;6;
2023/01/02;1900 UTC;0;899,5;900,2;899,5;1492,9;24,6;16,8;26,6;24,3;17,5;16,1;62;56;62;315;9,2;5,1;
2023/01/02;2000 UTC;0;899;899,6;899;1182,8;25,2;17,4;26,4;24,1;18,5;16,7;65;59;62;276;7,5;3,2;
2023/01/02;2100 UTC;0;899,1;899,3;898,9;747,2;23,9;17,6;25,2;23,8;17,8;16,9;69;62;68;300;7,3;3,5;
2023/01/02;2200 UTC;0;899,5;899,5;899,1;123,8;21,1;17,5;23,9;21,1;18;17,5;80;68;80;315;6,1;2,7;
2023/01/02;2300 UTC;0;899,9;899,9;899,5;;19,9;17,7;21,2;19,8;17,7;17,3;87;80;87;317;3,5;2,2;
2023/01/03;0000 UTC;0;900,7;900,7;899,9;;20,1;17,9;20,1;19,6;18;17,6;89;87;88;316;4,3;3,1;
2023/01/03;0100 UTC;0;900,6;900,9;900,6;;19,4;17,4;20,2;19,4;17,9;17,4;88;85;88;322;5,2;2,3;
2023/01/03;0200 UTC;0;900,7;900,9;900,6;;20,3;17,8;20,3;19,4;17,8;17,4;88;84;86;234;4,9;1,5;
2023/01/03;0300 UTC;,2;900,2;900,7;900,2;;19,3;18,2;20,3;19,3;18,2;17,8;93;86;93;239;3,1;1,2;
2023/01/03;0400 UTC;0;899,6;900,2;899,6;;19,1;18,2;19,3;19;18,2;18;94;93;94;216;2,9;1,2;
2023/01/03;0500 UTC;0;899,3;899,6;899,3;;19,1;18,2;19,2;19,1;18,2;18,1;94;94;94;246;2,9;1,1;
2023/01/03;0600 UTC;0;899,2;899,3;899;;18,3;17,5;19,1;18,3;18,2;17,5;95;94;95;219;3,3;1,5;
2023/01/03;0700 UTC;0;899,4;899,4;899;;17,8;17,1;18,4;17,8;17,6;17,1;96;95;96;233;3,3;,7;
2023/01/03;0800 UTC;0;900,1;900,1;899,4;1,3;17,6;17,1;18;17,4;17,5;16,9;97;96;97;184;2,3;,6;
2023/01/03;0900 UTC;0;900,9;900,9;900,1;85,6;18,2;18;18,2;17,5;18;17;99;97;99;173;1,7;,6;
2023/01/03;1000 UTC;0;901,4;901,4;900,9;268;18,9;18,3;19;18,2;18,4;18;99;96;96;175;3;1,3;
2023/01/03;1100 UTC;0;902,2;902,2;901,4;918,2;20,4;17,8;20,4;18,9;19,2;17,7;96;85;85;165;3,5;1,1;
2023/01/03;1200 UTC;0;902,2;902,3;902,1;1840,9;23,1;18,7;23,1;20,1;18,7;16,8;86;73;76;150;4;1,7;
2023/01/03;1300 UTC;0;902,2;902,2;902,1;2796,8;23,7;16,7;24,1;22,2;19,4;16,5;76;64;65;229;5,2;2,1;
2023/01/03;1400 UTC;0;901,8;902,2;901,8;2410,9;24,6;17,1;25,3;22,8;18,6;15,4;70;58;63;244;6,5;3,4;
