REGIAO:;S
UF:;SC
ESTACAO:;FLORIANOPOLIS
CODIGO (WMO):;A806
LATITUDE:;-27,6025
LONGITUDE:;-48,61999999
ALTITUDE:;4,87
DATA DE FUNDACAO:;22/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1014,9;1014,9;1014,4;;25,2;21;25,4;25,2;21;20,7;77;76;77;5;5,9;1,8;
2023/01/01;0100 UTC;0;1015,5;1015,5;1014,9;;25,2;20,8;25,3;25,1;20,9;20,6;77;76;77;351;5,9;0;
2023/01/01;0200 UTC;0;1015,7;1015,8;1015,5;;24,7;21;25,2;24,7;21,1;20,6;80;76;80;328;0;0;
2023/01/01;0300 UTC;0;1015,3;1015,7;1015,3;;24,4;20,9;24,9;24,3;21,2;20,8;81;80;81;314;0;0;
2023/01/01;0400 UTC;0;1014,6;1015,3;1014,6;;24,2;20,6;24,4;24;20,9;20,6;81;80;80;327;0;0;
2023/01/01;0500 UTC;0;1014,2;1014,6;1014,1;;24,1;20,7;24,2;23,9;20,7;20,5;82;80;81;322;0;0;
2023/01/01;0600 UTC;0;1013,9;1014,2;1013,9;;23,7;20,6;24,1;23,7;20,7;20,6;83;81;83;299;0;0;
2023/01/01;0700 UTC;0;1013,7;1013,9;1013,7;;23,5;20,8;23,7;23,4;20,8;20,6;85;83;85;300;0;0;
2023/01/01;0800 UTC;0;1014;1014;1013,7;;22,5;20,4;23,5;22,4;20,8;20,2;88;85;88;323;0;0;
2023/01/01;0900 UTC;0;1014,3;1014,3;1014;42,4;22,5;20,6;22,6;22,2;20,6;20,2;89;88;89;335;2;0;
2023/01/01;1000 UTC;0;1014,8;1014,8;1014,3;551,4;25,1;20,6;25,4;22,5;21,3;20,5;89;76;76;359;2;0;
2023/01/01;1100 UTC;0;1015,3;1015,3;1014,8;803;25,8;20,4;25,8;25,1;21;20;76;72;72;17;0;0;
