REGIAO:;S
UF:;SC
ESTACAO:;URUSSANGA
CODIGO (WMO):;A814
LATITUDE:;-28,53249999
LONGITUDE:;-49,31527777
ALTITUDE:;40,56
DATA DE FUNDACAO:;29/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1008,9;1008,9;1008,4;;23,8;18,1;24,7;23,6;18,1;17,3;70;65;70;246;1,5;,6;
2023/01/01;0100 UTC;0;1009,3;1009,3;1008,9;;22,2;18,2;23,7;22,2;18,4;18;78;71;78;253;1,6;,5;
2023/01/01;0200 UTC;0;1009,2;1009,4;1009,2;;21,5;18,2;22,2;21,5;18,6;18,2;82;78;81;222;1,6;,4;
2023/01/01;0300 UTC;0;1009;1009,2;1008,9;;20,8;18;21,5;20,8;18,2;18;84;81;84;271;1,5;,3;
2023/01/01;0400 UTC;0;1008,7;1009;1008,7;;20;17,5;20,8;20;18;17,4;85;84;85;227;1,6;,4;
2023/01/01;0500 UTC;0;1008,4;1008,7;1008,3;;19,8;17,4;20,1;19,8;17,6;17,4;86;85;86;223;1,6;,6;
2023/01/01;0600 UTC;0;1008,3;1008,4;1008,2;;19,5;17,3;19,8;19,4;17,4;17,1;87;86;87;243;1,6;,8;
2023/01/01;0700 UTC;0;1008,3;1008,5;1008,3;;18,8;16,7;19,5;18,7;17,3;16,6;88;87;88;236;1,6;,6;
2023/01/01;0800 UTC;0;1009;1009;1008,3;;18,7;16,8;18,8;18,4;16,8;16,4;89;88;89;224;1,8;,7;
2023/01/01;0900 UTC;0;1009,5;1009,5;1009;39,8;19;17;19,3;18,6;17,4;16,6;89;88;88;257;2;,7;
2023/01/01;1000 UTC;0;1009,7;1009,7;1009,5;539,2;22,2;18,4;22,5;18,9;19;16,9;88;79;79;155;1,5;,6;
2023/01/01;1100 UTC;0;1010;1010,1;1009,7;1462,6;25,8;18,5;26;22,2;19,3;18,3;79;63;64;87;3,5;1,1;
2023/01/01;1200 UTC;0;1009,8;1010,1;1009,8;2299,8;27,4;16,8;27,6;25,8;18,2;16,5;64;52;52;4;4,7;2,5;
