REGIAO:;S
UF:;SC
ESTACAO:;SAO JOAQUIM
CODIGO (WMO):;A815
LATITUDE:;-28,27564
LONGITUDE:;-49,934617
ALTITUDE:;1400,06
DATA DE FUNDACAO:;12/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;862,6;862,6;862,2;12,4;18,4;13,8;19,4;18,4;14,7;13,8;75;74;75;98;4;2,3;
2023/01/01;0100 UTC;0;862,9;862,9;862,6;;17,5;11,9;18,4;17,5;13,8;11,9;75;69;70;105;3,6;2,1;
2023/01/01;0200 UTC;0;863,1;863,1;862,9;;17,2;13;17,6;17,1;13,2;11,9;77;69;76;83;3,9;2,2;
2023/01/01;0300 UTC;0;863,2;863,3;863,1;;17,5;11,4;17,7;17,2;13;11,3;76;66;67;60;3,9;2,1;
2023/01/01;0400 UTC;0;862,6;863,2;862,6;;17,6;8,8;18,1;17,5;11,4;8,8;67;56;56;61;4,6;2,2;
2023/01/01;0500 UTC;0;862,2;862,6;862,2;;17,7;7,9;17,9;17,4;8,8;7,8;56;53;53;29;4;2,4;
2023/01/01;0600 UTC;0;862;862,3;862;;15,5;9,8;17,8;15,5;9,8;7,9;69;53;69;357;4,8;1;
2023/01/01;0700 UTC;0;862;862;861,9;;14,8;13;15,5;14,7;13,2;10;90;69;89;9;4,3;1,5;
2023/01/01;0800 UTC;0;862;862;861,8;;14;12,7;14,8;14;13;12,6;92;89;92;326;4,6;,6;
2023/01/01;0900 UTC;0;862,3;862,3;861,9;;13,9;13;14;13,7;13,1;12,6;95;92;94;329;3,2;,9;
2023/01/01;1000 UTC;0;862,6;862,7;862,3;57,5;14,9;12,5;14,9;13,7;13,1;12,3;94;86;86;285;3,2;,1;
2023/01/01;1100 UTC;0;863,1;863,1;862,6;647,5;19,6;10,7;19,6;14,9;12,5;10,6;86;56;57;307;1,7;,2;
2023/01/01;1200 UTC;0;863,6;863,6;863,1;1516,9;20,9;10,4;21;19,5;11,3;9,1;58;48;51;348;2,5;,5;
2023/01/01;1300 UTC;0;863,6;863,7;863,5;2360,8;22,4;8,8;22,5;20,9;10,9;8,5;51;41;42;338;2,8;,9;
2023/01/01;1400 UTC;0;863,6;863,8;863,6;3110,6;23,5;11,6;23,5;22,2;12;8,8;50;41;47;295;2,9;1,2;
2023/01/01;1500 UTC;0;863,2;863,6;863,2;3721,3;24;11,1;24,3;23,2;12,8;10,5;51;43;44;279;3,2;1;
2023/01/01;1600 UTC;0;862,8;863,3;862,8;4284,8;24,7;12,3;25,1;23,9;14;10,4;53;42;46;305;4,5;1,7;
2023/01/01;1700 UTC;0;862,1;862,8;862,1;4073,6;25,9;11,6;26;23,7;13,8;10,6;50;39;41;297;4,1;1;
2023/01/01;1800 UTC;0;861,8;862,1;861,7;2922,6;24,7;10,3;26,4;24,1;12,4;9,4;46;38;40;236;4,1;1,1;
2023/01/01;1900 UTC;0;861,4;861,8;861,4;2025;23,5;15,1;25,7;22,3;15,6;10,3;63;38;59;113;6,4;2,1;
2023/01/01;2000 UTC;0;861,2;861,5;861,2;3065,7;23,9;12,5;24,2;22,5;15,8;11,7;62;47;49;72;5,2;2,2;
2023/01/01;2100 UTC;0;861;861,2;861;1701,8;20;14;24,1;19,4;14,2;11,2;71;46;68;53;6,7;3,9;
2023/01/01;2200 UTC;0;860,8;861,1;860,8;1207;21,2;11,6;21,2;20;14;11,2;68;53;55;41;5,6;2,5;
2023/01/01;2300 UTC;0;860,7;860,8;860,6;304,1;19,4;11,2;21,2;19,4;12;11;59;54;59;49;4,5;2,6;
2023/01/02;0000 UTC;0;860,4;860,7;860,3;13,4;19,1;13,2;19,5;19,1;13,2;11,2;69;59;69;30;5,2;2,9;
2023/01/02;0100 UTC;0;861;861;860,4;;18;14,5;19,1;18;14,5;13,4;80;69;80;43;5,2;2,1;
2023/01/02;0200 UTC;0;861,7;861,7;861;;17,7;15,4;18,1;17,6;15,5;14,6;87;80;87;13;4,6;2,2;
2023/01/02;0300 UTC;0;861,9;862,1;861,5;;16,7;14,9;17,7;16,7;15,4;14,9;89;86;89;15;5,6;2,3;
2023/01/02;0400 UTC;0;861,6;862,1;861,6;;16,1;14,1;16,7;16,1;15;14,1;90;88;88;15;7,1;3,1;
2023/01/02;0500 UTC;0;860,7;861,6;860,7;;15,5;13,1;16,1;15,4;14,1;13,1;88;86;86;10;7,1;3,1;
2023/01/02;0600 UTC;0;860;860,8;860;;15,2;12,7;15,5;15,2;13,1;12,7;87;85;85;24;6,2;3,3;
2023/01/02;0700 UTC;0;859,6;860,2;859,6;;15,2;12,7;15,4;15,1;12,9;12,7;86;85;85;19;6,4;2,7;
2023/01/02;0800 UTC;0;859,5;859,7;859,4;;15,2;12,6;15,4;15,1;12,7;12,5;85;83;85;21;5,4;1,9;
2023/01/02;0900 UTC;0;859,5;859,7;859,4;;14,9;12,8;15,2;14,7;12,8;12,5;87;84;87;12;5,5;1,7;
2023/01/02;1000 UTC;0;859,8;859,8;859,5;63,8;15,5;13;15,5;14,8;13,1;12,8;89;85;85;16;5,5;1,1;
2023/01/02;1100 UTC;0;860;860;859,7;423,4;16,6;13,9;16,6;15,5;13,9;13;85;84;84;14;5,3;1,7;
2023/01/02;1200 UTC;0;860,3;860,3;860;1373,6;18,1;14,5;18,6;16,6;14,9;13,6;84;78;79;352;5,5;1,2;
2023/01/02;1300 UTC;0;860,1;860,4;860,1;2297,5;19,2;15,2;19,5;17,9;15,6;14,1;81;76;77;348;6,3;1,3;
2023/01/02;1400 UTC;0;860;860,1;859,9;2892,8;20,5;15,1;21;18,8;16,3;14,8;80;70;71;354;5,4;1,6;
2023/01/02;1500 UTC;0;860;860,1;859,9;1489,4;18,7;15,4;21,1;18,7;16,2;15;81;70;81;333;4,3;1,5;
2023/01/02;1600 UTC;0;859,9;860,1;859,9;503,3;19,1;16,3;19,1;18,4;16,3;15,4;85;81;84;320;6,1;1,3;
2023/01/02;1700 UTC;0;859,2;859,9;859,2;1112,6;19,5;16,4;19,5;18,7;16,4;15,8;84;82;82;319;4,4;1,8;
2023/01/02;1800 UTC;0;858,3;859,2;858,3;1929,7;21,1;16,3;21,2;19,3;17,2;15,8;83;74;74;316;4,7;1,6;
2023/01/02;1900 UTC;0;857,5;858,3;857,4;1952,5;22,2;16,7;22,8;20,4;17,4;15,5;78;67;71;307;4,9;2,1;
2023/01/02;2000 UTC;0;856,9;857,5;856,9;1630,7;21,6;15,8;22,9;21,2;16,8;15,1;72;65;69;298;5,5;2,3;
2023/01/02;2100 UTC;0;856,4;856,9;856,4;1314,8;21,4;15,3;23,5;21,4;16,4;14,4;70;60;68;311;5;1,1;
2023/01/02;2200 UTC;0;856,2;856,4;856,1;649,6;21;16,1;22,4;20,9;16,3;15,2;74;67;73;310;3,7;,4;
2023/01/02;2300 UTC;0;856,3;856,4;856,1;308,7;19,8;16,5;21;19,8;16,7;16;81;73;81;312;2,7;1;
2023/01/03;0000 UTC;0;856,6;856,6;856,3;12,8;18,3;15,8;19,8;18,2;16,5;15,8;87;81;86;296;2,4;,4;
2023/01/03;0100 UTC;0;856,9;857;856,5;;17,6;15,3;18,4;17,4;15,8;15,2;87;84;87;291;2,5;,6;
2023/01/03;0200 UTC;0;857,7;857,8;856,9;;17,5;15,5;17,9;17,3;15,8;15,3;89;86;88;294;4,3;,7;
2023/01/03;0300 UTC;0;857,2;857,8;857,2;;17,4;15,9;17,7;17,4;16,1;15,5;91;88;91;303;3,3;,8;
2023/01/03;0400 UTC;0;856,9;857,3;856,9;;17,1;16,1;17,5;17,1;16,2;15,9;94;91;94;316;2,6;,9;
2023/01/03;0500 UTC;0;856,4;857;856,4;;17,4;16,4;17,6;17,1;16,5;16,1;94;93;94;331;3,3;,5;
2023/01/03;0600 UTC;0;855,7;856,4;855,6;;17,3;16,5;17,4;17,3;16,5;16,3;95;94;95;317;3,7;,9;
2023/01/03;0700 UTC;0;855,4;855,7;855,3;;17,2;16,5;17,3;17,2;16,6;16,5;96;95;96;316;3,9;1,2;
2023/01/03;0800 UTC;,4;855,6;855,7;855,2;;16,8;16,2;17,2;16,8;16,5;16,2;96;96;96;296;3,9;1,1;
2023/01/03;0900 UTC;0;855,9;855,9;855,6;;16,8;16,3;16,9;16,8;16,4;16,2;97;96;97;296;2,2;,7;
2023/01/03;1000 UTC;0;856,6;856,6;855,9;13,3;16,8;16,3;16,8;16,7;16,3;16,2;97;97;97;286;1,6;0;
2023/01/03;1100 UTC;0;857,1;857,1;856,6;224,4;17;16,5;17,4;16,7;16,9;16,3;97;96;96;316;1,1;,1;
2023/01/03;1200 UTC;0;857,4;857,4;857,1;469,5;18;16,6;18,2;17;17,1;16,4;96;91;91;237;,9;,2;
2023/01/03;1300 UTC;0;858;858;857,4;1033,5;19;16,4;19,5;18;17,3;15,8;91;82;85;197;2,4;1,3;
2023/01/03;1400 UTC;,2;858,1;858,1;858;1493,2;20,1;16,8;20,2;18;17,9;16,1;91;81;81;196;2,9;1,4;
2023/01/03;1500 UTC;0;858,1;858,2;858,1;2268,8;22;16,4;22,4;19,3;17,7;15,7;83;70;71;243;3,6;1,8;
2023/01/03;1600 UTC;0;857,7;858,1;857,6;2448;21,7;15,6;22,6;20,4;17,2;15,3;76;66;68;252;4,8;2,3;
2023/01/03;1700 UTC;0;856,9;857,7;856,9;3570,8;23;14,8;23,5;21,2;16,4;13,9;71;56;60;242;5,2;2,6;
2023/01/03;1800 UTC;0;856;857;856;3171,7;23,4;14,1;24,2;22,3;15,4;12,6;63;51;56;227;5;2,7;
2023/01/03;1900 UTC;0;855,5;856;855,5;2542;23,4;14,6;24,2;22,7;15,8;12,7;61;50;58;201;5,9;2,8;
2023/01/03;2000 UTC;0;855,5;855,6;855,3;2745,5;20,5;16;24,4;20,5;16,4;13,4;76;51;76;120;5,4;2,5;
2023/01/03;2100 UTC;0;855,8;855,9;855,5;915,8;19,7;16,5;20,6;19,5;16,8;16,1;82;76;82;146;5,4;2,2;
2023/01/03;2200 UTC;0;856,5;856,5;855,8;500,6;17,6;15,6;19,8;17,6;16,5;15,6;89;81;88;111;4,7;2,4;
2023/01/03;2300 UTC;0;857,2;857,2;856,4;132,7;16,9;15,1;17,6;16,9;15,6;15;89;87;89;126;4,2;1,4;
2023/01/04;0000 UTC;0;857,8;857,8;857,2;3;15,9;14,8;16,9;15,9;15,1;14,8;93;89;93;122;3,7;1,4;
2023/01/04;0100 UTC;0;858,3;858,7;857,8;;15;14,4;15,9;15;14,8;14,3;96;93;96;128;3;1,3;
2023/01/04;0200 UTC;0;858,8;858,9;858,3;,2;14,5;14;15;14,4;14,4;13,9;97;96;97;121;3;1,1;
2023/01/04;0300 UTC;0;858,8;858,8;858,6;;14,6;14;14,7;14,4;14,1;13,9;97;96;96;121;2,8;1,2;
2023/01/04;0400 UTC;0;858,3;858,8;858,3;;14,4;13,9;14,6;14,4;14;13,8;96;96;96;140;2,6;1,1;
2023/01/04;0500 UTC;,4;858,1;858,4;858,1;;14,2;12,7;14,4;14,1;13,9;12,7;97;90;90;102;2,3;,9;
2023/01/04;0600 UTC;,2;857,7;858,4;857,4;;13,6;12,6;14,2;12,6;12,7;10;95;78;94;167;4,3;,8;
2023/01/04;0700 UTC;0;857,6;857,9;857,4;;13,6;11,7;13,9;13,5;12,6;11,5;94;86;88;150;3,5;,5;
2023/01/04;0800 UTC;,2;857,6;857,8;857,4;;12,9;10,3;14,5;12,9;11,8;8,7;89;68;84;186;3,5;2,1;
2023/01/04;0900 UTC;1,8;857,6;857,9;857,6;;11,2;9,7;12,9;11,2;10,5;9,3;94;83;91;168;4,2;2,6;
2023/01/04;1000 UTC;1,6;858,2;858,3;857,6;1,6;10,9;10,3;11,2;10,9;10,3;9,6;96;90;96;155;4,2;1,8;
2023/01/04;1100 UTC;1,6;858,4;858,5;858,2;62;10,9;9,9;11;10,9;10,3;9,9;96;94;94;121;2,9;1,6;
2023/01/04;1200 UTC;1,6;858,9;858,9;858,4;157,7;10,9;10;11;10,8;10;9,6;94;92;94;131;2,5;1,4;
2023/01/04;1300 UTC;,2;858,8;858,9;858,4;519,5;11,5;9,5;11,5;10,9;10,3;9,4;94;87;87;125;4,2;1,6;
2023/01/04;1400 UTC;,4;859,1;859,3;858,7;713,6;12,7;10,6;12,7;11,5;10,6;9,3;89;83;87;112;4,1;1,5;
2023/01/04;1500 UTC;0;858,9;859,3;858,8;1853,7;14,4;9,6;14,6;12,7;10,7;8,7;87;69;73;123;4,6;1,7;
2023/01/04;1600 UTC;0;859,4;859,4;858,8;2262,5;15,8;9,7;16,1;14,3;11;8,6;76;63;67;149;4,6;2,7;
2023/01/04;1700 UTC;0;859;859,4;859;3532,7;17,4;6,6;18;15,6;10,4;6,6;70;48;49;158;5,7;2,9;
2023/01/04;1800 UTC;0;858,4;859,1;858,3;3797,5;18,8;3,8;19,1;16,9;8,8;3,8;55;37;37;164;6,3;3,4;
2023/01/04;1900 UTC;0;858,5;858,7;858,3;3701,2;19,6;4;20;18,7;6;,2;41;28;36;172;7,6;2,6;
2023/01/04;2000 UTC;0;858,6;858,6;858,4;3105,4;18,6;2,1;20;18,5;4,4;1;38;30;33;161;6,6;3,9;
2023/01/04;2100 UTC;0;858,4;858,6;858,4;2319,7;18;2,3;18,8;17,9;4,8;2;41;33;35;161;7,4;4,1;
2023/01/04;2200 UTC;0;859;859;858,4;1162,9;17;4,3;18,1;17;5,7;1,8;45;34;43;155;7,2;3,1;
2023/01/04;2300 UTC;0;859,6;859,6;859;506,5;14,9;5,9;17;14,9;6,8;3,8;56;42;55;137;6,3;1,7;
2023/01/05;0000 UTC;0;859,9;859,9;859,6;20,4;12,7;8,7;14,9;12,6;8,7;5,8;76;55;76;121;4,5;1,2;
2023/01/05;0100 UTC;0;860,3;860,3;859,9;;11,3;8,9;12,7;11,3;9;8,6;85;76;85;138;2,3;1,1;
2023/01/05;0200 UTC;0;860,7;860,7;860,3;;11,7;9,2;11,8;11;9,3;8,7;87;85;85;106;3,3;2,1;
2023/01/05;0300 UTC;0;860,9;861;860,7;;11,3;8,1;11,7;10,3;9,2;8,1;87;81;81;104;3,3;2;
2023/01/05;0400 UTC;0;860,8;860,9;860,8;;11,4;4;11,7;10,6;8;4;81;60;60;104;3,4;2,2;
2023/01/05;0500 UTC;0;860,7;860,9;860,7;;11,3;2;11,6;11,2;4;1,4;60;50;53;98;4;2,3;
2023/01/05;0600 UTC;0;860,2;860,7;860,2;;11;,6;11,4;10,9;2,3;,6;54;49;49;96;3,7;2,1;
2023/01/05;0700 UTC;0;859,8;860,2;859,8;;11,2;-,2;11,5;11;,8;-,2;49;45;46;92;3,8;2,4;
2023/01/05;0800 UTC;0;859,8;859,8;859,7;;11,3;0;11,5;11,1;,2;-,3;47;44;46;85;3,8;2;
2023/01/05;0900 UTC;0;860,2;860,2;859,8;;11;,2;11,6;10,9;,3;-,3;48;44;47;87;3;1,8;
2023/01/05;1000 UTC;0;860,6;860,6;860,2;50,6;11,5;1,2;11,5;10,7;1,4;,2;51;47;49;93;2,8;1,8;
2023/01/05;1100 UTC;0;861,1;861,1;860,6;696,7;13,9;2,8;13,9;11,5;2,8;1,3;50;46;47;87;3,5;2;
2023/01/05;1200 UTC;0;861,6;861,6;861;1632,7;15,8;3,3;15,8;13,9;3,7;2,3;47;41;43;83;3,9;2,5;
2023/01/05;1300 UTC;0;861,9;861,9;861,6;2503,4;18,3;4,7;18,3;15,7;5,6;2,3;44;38;41;100;4,4;1,9;
2023/01/05;1400 UTC;0;862,5;862,5;861,9;3249,4;17,8;2,7;18,5;17,1;4,8;,5;42;31;36;105;5,1;1,9;
2023/01/05;1500 UTC;0;862,6;862,7;862,4;3800,7;19,2;2,9;19,5;17,8;4,7;1,9;41;32;34;93;4,2;1,9;
2023/01/05;1600 UTC;0;862,6;862,8;862,6;4138,4;19,4;4,1;19,8;18,5;5;1,9;39;32;36;125;5,3;2;
