REGIAO:;S
UF:;SC
ESTACAO:;CHAPECO
CODIGO (WMO):;A895
LATITUDE:;-27,0853111
LONGITUDE:;-52,6357111
ALTITUDE:;679
DATA DE FUNDACAO:;19/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;934,9;934,9;934,5;;27,1;14,2;28,7;26,9;15,5;14;47;41;45;75;2,9;2,3;
2023/01/01;0100 UTC;0;935,3;935,3;934,9;;26,3;14,7;27,2;25,6;14,8;14;51;44;49;70;3,8;1,8;
2023/01/01;0200 UTC;0;935,6;935,7;935,3;;25,1;15,9;26,3;25,1;16;14,7;57;49;57;36;5,1;3,3;
2023/01/01;0300 UTC;0;935,6;935,7;935,5;;25,1;15,9;25,5;25;15,9;15,7;57;54;57;30;6,8;3,8;
2023/01/01;0400 UTC;0;935,5;935,6;935,5;;24,4;16,1;25,2;24,4;16,2;15,9;60;56;60;21;6,4;2,1;
2023/01/01;0500 UTC;0;935,3;935,5;935,3;;24,6;16,5;24,8;24,1;16,5;16,2;62;60;61;25;7,4;3,8;
2023/01/01;0600 UTC;0;935,3;935,3;935,2;;24,6;16,7;25;24,5;16,7;16,5;61;59;61;38;8,6;4,6;
2023/01/01;0700 UTC;0;935,3;935,3;935,2;;23,5;17;24,6;23,5;17,1;16,7;67;62;67;63;7,8;2,2;
2023/01/01;0800 UTC;0;935,5;935,5;935,2;;23,1;17,1;23,6;23;17,1;16,9;69;66;69;71;5,5;2,9;
2023/01/01;0900 UTC;0;936,1;936,1;935,5;16,1;22,6;17,3;23,1;22,4;17,3;17;72;69;72;67;5,8;3,3;
2023/01/01;1000 UTC;0;936,7;936,7;936,2;410,3;23,9;17,9;24;22,6;17,9;17,3;72;69;69;73;5,6;2,3;
2023/01/01;1100 UTC;0;937,3;937,4;936,7;1199,7;24,5;18;25,1;23,7;18,7;17,6;70;66;67;41;6,1;3,1;
2023/01/01;1200 UTC;0;937,4;937,5;937,3;2057,5;26,2;19,3;26,2;24,5;19,4;18,4;69;65;66;21;8,3;5,1;
2023/01/01;1300 UTC;0;937;937,5;936,9;2778,3;28,2;19,7;28,5;26,2;20,3;19;67;59;60;17;9;4,8;
2023/01/01;1400 UTC;0;936,8;937,1;936,8;3368;29,4;18,8;29,7;27,9;20,1;18,3;61;52;53;351;9,5;5;
2023/01/01;1500 UTC;0;936,4;936,8;936,4;3528,5;30,2;19;30,6;29;20;17,7;55;48;51;357;8,5;4,8;
2023/01/01;1600 UTC;0;935,6;936,4;935,5;3381,7;31,5;18,6;32;29;20,1;17,9;55;45;46;345;8,9;4,5;
